,is_returning,legacy_id,is_renting,num_docks_available,is_installed,last_reported,num_bikes_disabled,eightd_has_available_keys,station_id,num_docks_disabled,station_status,num_ebikes_available,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
0,True,3,True,14,True,2020-08-14 04:21:27+00:00,1,False,3,0,active,0,0,2020-08-14 04:47:55,2020
1,True,4,True,11,True,2020-08-14 03:40:59+00:00,0,False,4,0,active,0,8,2020-08-14 04:47:55,2020
2,True,5,True,5,True,2020-08-14 04:05:37+00:00,0,False,5,0,active,0,10,2020-08-14 04:47:55,2020
3,True,6,True,12,True,2020-08-14 04:45:09+00:00,1,False,6,0,active,0,2,2020-08-14 04:47:55,2020
4,True,7,True,13,True,2020-08-14 03:02:50+00:00,0,False,7,0,active,0,2,2020-08-14 04:47:55,2020
5,True,8,True,7,True,2020-08-14 03:18:30+00:00,0,False,8,0,active,0,12,2020-08-14 04:47:55,2020
6,True,9,True,4,True,2020-08-14 04:00:21+00:00,1,False,9,0,active,0,10,2020-08-14 04:47:55,2020
7,True,10,True,10,True,2020-08-14 03:50:04+00:00,1,False,10,0,active,0,0,2020-08-14 04:47:55,2020
8,True,11,True,15,True,2020-08-14 04:46:42+00:00,0,False,11,0,active,0,0,2020-08-14 04:47:55,2020
9,True,12,True,10,True,2020-08-14 04:44:20+00:00,0,True,12,0,active,0,8,2020-08-14 04:47:55,2020
10,True,13,True,18,True,2020-08-14 04:45:16+00:00,0,False,13,0,active,0,1,2020-08-14 04:47:55,2020
11,True,14,True,25,True,2020-08-14 04:09:32+00:00,0,False,14,0,active,0,0,2020-08-14 04:47:55,2020
12,True,15,True,1,True,2020-08-14 03:05:08+00:00,0,False,15,0,active,0,14,2020-08-14 04:47:55,2020
13,True,16,True,1,True,2020-08-14 04:09:57+00:00,0,True,16,0,active,0,18,2020-08-14 04:47:55,2020
14,True,17,True,6,True,2020-08-14 03:56:11+00:00,1,False,17,0,active,0,8,2020-08-14 04:47:55,2020
15,True,19,True,12,True,2020-08-14 04:05:38+00:00,0,False,19,0,active,0,3,2020-08-14 04:47:55,2020
16,True,20,True,19,True,2020-08-14 04:41:35+00:00,0,True,20,0,active,0,4,2020-08-14 04:47:55,2020
17,True,21,True,10,True,2020-08-14 03:33:41+00:00,1,True,21,0,active,0,7,2020-08-14 04:47:55,2020
18,True,22,True,40,True,2020-08-14 04:38:15+00:00,0,True,22,0,active,0,7,2020-08-14 04:47:55,2020
19,True,23,True,20,True,2020-08-14 04:40:17+00:00,0,False,23,0,active,0,1,2020-08-14 04:47:55,2020
20,True,24,True,16,True,2020-08-14 03:21:55+00:00,1,False,24,0,active,0,2,2020-08-14 04:47:55,2020
21,True,25,True,0,True,2020-08-14 00:17:43+00:00,0,False,25,0,active,0,15,2020-08-14 04:47:55,2020
22,True,26,True,1,True,2020-08-14 03:43:50+00:00,1,False,26,0,active,0,13,2020-08-14 04:47:55,2020
23,True,27,True,1,True,2020-08-14 04:10:52+00:00,1,False,27,0,active,0,21,2020-08-14 04:47:55,2020
24,True,29,True,11,True,2020-08-14 03:53:19+00:00,0,False,29,0,active,0,4,2020-08-14 04:47:55,2020
25,True,30,True,4,True,2020-08-14 03:13:55+00:00,1,False,30,0,active,0,10,2020-08-14 04:47:55,2020
26,True,31,True,11,True,2020-08-14 04:44:29+00:00,0,True,31,0,active,0,8,2020-08-14 04:47:55,2020
27,True,32,True,2,True,2020-08-14 04:30:39+00:00,1,False,32,0,active,0,12,2020-08-14 04:47:55,2020
28,True,33,True,17,True,2020-08-14 04:04:14+00:00,0,False,33,0,active,0,10,2020-08-14 04:47:55,2020
29,True,35,True,17,True,2020-08-14 00:38:22+00:00,0,False,35,0,active,0,6,2020-08-14 04:47:55,2020
30,True,36,True,33,True,2020-08-14 00:26:02+00:00,0,True,36,0,active,0,0,2020-08-14 04:47:55,2020
31,True,37,True,12,True,2020-08-14 02:47:07+00:00,0,True,37,0,active,0,3,2020-08-14 04:47:55,2020
32,True,39,True,10,True,2020-08-14 04:40:41+00:00,0,False,39,0,active,0,13,2020-08-14 04:47:55,2020
33,True,40,True,11,True,2020-08-14 03:52:20+00:00,0,False,40,0,active,0,8,2020-08-14 04:47:55,2020
34,True,41,True,0,True,2020-08-14 04:44:52+00:00,0,True,41,0,active,0,27,2020-08-14 04:47:55,2020
35,True,42,True,13,True,2020-08-14 02:29:54+00:00,2,False,42,0,active,0,8,2020-08-14 04:47:55,2020
36,True,43,True,14,True,2020-08-14 03:07:00+00:00,1,True,43,0,active,0,0,2020-08-14 04:47:55,2020
37,True,44,True,23,True,2020-08-14 03:10:16+00:00,0,False,44,0,active,0,0,2020-08-14 04:47:55,2020
38,True,46,True,10,True,2020-08-14 04:11:48+00:00,0,False,46,0,active,0,9,2020-08-14 04:47:55,2020
39,True,47,True,3,True,2020-08-14 04:36:35+00:00,0,True,47,0,active,0,16,2020-08-14 04:47:55,2020
40,True,48,True,18,True,2020-08-14 03:26:16+00:00,0,False,48,0,active,0,1,2020-08-14 04:47:55,2020
41,True,49,True,9,True,2020-08-14 02:14:14+00:00,0,False,49,0,active,0,9,2020-08-14 04:47:55,2020
42,True,50,True,14,True,2020-08-14 03:17:26+00:00,0,True,50,0,active,0,1,2020-08-14 04:47:55,2020
43,True,51,True,3,True,2020-08-14 03:07:40+00:00,0,False,51,0,active,0,12,2020-08-14 04:47:55,2020
44,True,52,True,17,True,2020-08-14 04:39:49+00:00,3,True,52,0,active,0,3,2020-08-14 04:47:55,2020
45,True,53,True,2,True,2020-08-14 04:26:48+00:00,2,False,53,0,active,0,15,2020-08-14 04:47:55,2020
46,True,54,True,5,True,2020-08-14 04:16:15+00:00,0,False,54,0,active,0,10,2020-08-14 04:47:55,2020
47,True,55,True,13,True,2020-08-14 03:13:48+00:00,1,False,55,0,active,0,1,2020-08-14 04:47:55,2020
48,True,56,True,8,True,2020-08-14 03:34:07+00:00,1,True,56,0,active,0,9,2020-08-14 04:47:55,2020
49,True,57,True,2,True,2020-08-14 03:41:11+00:00,1,True,57,0,active,0,11,2020-08-14 04:47:55,2020
50,True,58,True,8,True,2020-08-14 03:40:10+00:00,2,True,58,0,active,0,9,2020-08-14 04:47:55,2020
51,True,59,True,10,True,2020-08-14 02:27:13+00:00,0,True,59,0,active,0,9,2020-08-14 04:47:55,2020
52,True,60,True,14,True,2020-08-14 03:49:57+00:00,0,False,60,0,active,0,5,2020-08-14 04:47:55,2020
53,True,61,True,16,True,2020-08-14 04:04:05+00:00,0,False,61,0,active,0,3,2020-08-14 04:47:55,2020
54,True,63,True,11,True,2020-08-14 02:31:08+00:00,0,False,63,0,active,0,4,2020-08-14 04:47:55,2020
55,True,64,True,10,True,2020-08-14 04:24:32+00:00,2,False,64,0,active,0,7,2020-08-14 04:47:55,2020
56,True,65,True,19,True,2020-08-14 02:21:20+00:00,1,False,65,0,active,0,3,2020-08-14 04:47:55,2020
57,True,66,True,0,True,2020-08-14 02:01:27+00:00,2,False,66,0,active,0,13,2020-08-14 04:47:55,2020
58,True,67,True,26,True,2020-08-14 03:08:13+00:00,0,True,67,0,active,0,1,2020-08-14 04:47:55,2020
59,True,68,True,2,True,2020-08-14 04:35:16+00:00,1,True,68,0,active,0,16,2020-08-14 04:47:55,2020
60,True,69,True,7,True,2020-08-14 04:14:06+00:00,0,True,69,0,active,0,12,2020-08-14 04:47:55,2020
61,True,70,True,6,True,2020-08-14 03:22:57+00:00,0,False,70,0,active,0,17,2020-08-14 04:47:55,2020
62,True,71,True,10,True,2020-08-14 03:38:57+00:00,1,False,71,0,active,0,12,2020-08-14 04:47:55,2020
63,True,72,True,23,True,2020-08-14 02:15:35+00:00,0,False,72,0,active,0,0,2020-08-14 04:47:55,2020
64,True,73,True,12,True,2020-08-14 02:59:54+00:00,1,False,73,0,active,0,2,2020-08-14 04:47:55,2020
65,True,74,True,9,True,2020-08-14 04:25:49+00:00,2,True,74,0,active,0,8,2020-08-14 04:47:55,2020
66,True,75,True,13,True,2020-08-14 04:20:57+00:00,0,False,75,0,active,0,2,2020-08-14 04:47:55,2020
67,True,76,True,5,True,2020-08-14 03:42:32+00:00,1,False,76,0,active,0,11,2020-08-14 04:47:55,2020
68,True,77,True,7,True,2020-08-14 03:04:06+00:00,1,False,77,0,active,0,7,2020-08-14 04:47:55,2020
69,True,78,True,0,True,2020-08-14 03:55:42+00:00,0,False,78,0,active,0,19,2020-08-14 04:47:55,2020
70,True,79,True,2,True,2020-08-14 04:45:57+00:00,5,False,79,0,active,0,12,2020-08-14 04:47:55,2020
