,station_id,num_docks_available,last_reported,num_ebikes_available,num_docks_disabled,is_renting,eightd_has_available_keys,num_bikes_disabled,station_status,legacy_id,is_installed,is_returning,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
56,65,10,2020-08-21 22:08:28+00:00,0,0,True,False,0,active,65,True,True,13,,,2020-08-21 23:10:35,2020
57,66,10,2020-08-21 23:06:36+00:00,0,0,True,False,0,active,66,True,True,5,,,2020-08-21 23:10:35,2020
58,67,9,2020-08-21 23:10:18+00:00,0,0,True,True,1,active,67,True,True,17,,,2020-08-21 23:10:35,2020
59,68,12,2020-08-21 23:07:14+00:00,0,0,True,True,1,active,68,True,True,6,,,2020-08-21 23:10:35,2020
60,69,4,2020-08-21 23:01:20+00:00,0,0,True,True,0,active,69,True,True,15,,,2020-08-21 23:10:35,2020
61,70,4,2020-08-21 23:09:02+00:00,0,0,True,False,1,active,70,True,True,18,,,2020-08-21 23:10:35,2020
62,71,12,2020-08-21 22:56:23+00:00,0,0,True,False,1,active,71,True,True,10,,,2020-08-21 23:10:35,2020
63,72,19,2020-08-21 23:08:32+00:00,0,0,True,False,1,active,72,True,True,3,,,2020-08-21 23:10:35,2020
64,73,0,2020-08-21 23:05:43+00:00,0,0,True,False,1,active,73,True,True,14,,,2020-08-21 23:10:35,2020
65,74,0,2020-08-21 23:02:17+00:00,0,0,True,True,0,active,74,True,True,19,,,2020-08-21 23:10:35,2020
66,75,12,2020-08-21 23:10:13+00:00,0,0,True,False,0,active,75,True,True,3,,,2020-08-21 23:10:35,2020
67,76,11,2020-08-21 23:08:31+00:00,0,0,True,False,0,active,76,True,True,6,,,2020-08-21 23:10:35,2020
68,77,15,2020-08-21 22:44:37+00:00,0,0,True,False,0,active,77,True,True,0,,,2020-08-21 23:10:35,2020
69,78,12,2020-08-21 22:58:54+00:00,0,0,True,False,0,active,78,True,True,7,,,2020-08-21 23:10:35,2020
70,79,12,2020-08-21 23:08:15+00:00,0,0,True,False,2,active,79,True,True,5,,,2020-08-21 23:10:35,2020
71,80,34,2020-08-21 23:08:58+00:00,0,0,True,False,1,active,80,True,True,0,,,2020-08-21 23:10:35,2020
72,81,11,2020-08-21 22:57:15+00:00,0,0,True,False,2,active,81,True,True,6,,,2020-08-21 23:10:35,2020
73,82,15,2020-08-21 22:42:37+00:00,0,0,True,False,0,active,82,True,True,0,,,2020-08-21 23:10:35,2020
74,84,2,2020-08-21 22:59:27+00:00,0,0,True,False,0,active,84,True,True,13,,,2020-08-21 23:10:35,2020
75,85,15,2020-08-21 23:09:19+00:00,0,0,True,False,0,active,85,True,True,4,,,2020-08-21 23:10:35,2020
76,86,2,2020-08-21 23:05:28+00:00,0,0,True,False,0,active,86,True,True,17,,,2020-08-21 23:10:35,2020
77,87,15,2020-08-21 23:04:34+00:00,0,0,True,False,0,active,87,True,True,0,,,2020-08-21 23:10:35,2020
78,89,12,2020-08-21 23:07:12+00:00,0,0,True,False,0,active,89,True,True,7,,,2020-08-21 23:10:35,2020
79,90,13,2020-08-21 23:05:28+00:00,0,0,True,False,0,active,90,True,True,6,,,2020-08-21 23:10:35,2020
80,91,7,2020-08-21 23:05:11+00:00,0,0,True,False,1,active,91,True,True,11,,,2020-08-21 23:10:35,2020
81,92,11,2020-08-21 21:04:11+00:00,0,0,True,False,1,active,92,True,True,7,,,2020-08-21 23:10:35,2020
82,93,11,2020-08-21 23:06:56+00:00,0,0,True,False,0,active,93,True,True,4,,,2020-08-21 23:10:35,2020
83,94,2,2020-08-21 22:55:34+00:00,0,0,True,False,1,active,94,True,True,8,,,2020-08-21 23:10:35,2020
84,95,8,2020-08-21 23:02:05+00:00,0,0,True,False,1,active,95,True,True,6,,,2020-08-21 23:10:35,2020
85,96,13,2020-08-21 23:01:23+00:00,0,0,True,False,1,active,96,True,True,5,,,2020-08-21 23:10:35,2020
86,97,18,2020-08-21 23:01:30+00:00,0,0,True,False,1,active,97,True,True,0,,,2020-08-21 23:10:35,2020
87,98,19,2020-08-21 23:04:32+00:00,0,0,True,False,2,active,98,True,True,2,,,2020-08-21 23:10:35,2020
88,99,3,2020-08-21 22:45:31+00:00,0,0,True,False,0,active,99,True,True,12,,,2020-08-21 23:10:35,2020
89,100,13,2020-08-21 23:04:28+00:00,0,0,True,True,1,active,100,True,True,11,,,2020-08-21 23:10:35,2020
90,101,12,2020-08-21 22:15:21+00:00,0,0,True,False,0,active,101,True,True,3,,,2020-08-21 23:10:35,2020
91,102,12,2020-08-21 22:17:12+00:00,0,0,True,False,0,active,102,True,True,3,,,2020-08-21 23:10:35,2020
92,103,8,2020-08-21 23:10:15+00:00,0,0,True,False,0,active,103,True,True,7,,,2020-08-21 23:10:35,2020
93,104,11,2020-08-21 22:53:45+00:00,0,0,True,False,0,active,104,True,True,8,,,2020-08-21 23:10:35,2020
94,105,7,2020-08-21 23:07:46+00:00,0,0,True,False,0,active,105,True,True,12,,,2020-08-21 23:10:35,2020
95,106,13,2020-08-21 22:15:43+00:00,0,0,True,False,0,active,106,True,True,2,,,2020-08-21 23:10:35,2020
96,107,19,2020-08-21 23:01:20+00:00,0,0,True,False,0,active,107,True,True,0,,,2020-08-21 23:10:35,2020
97,108,14,2020-08-21 23:10:19+00:00,0,0,True,False,1,active,108,True,True,2,,,2020-08-21 23:10:35,2020
98,109,33,2020-08-21 22:41:16+00:00,0,0,True,False,0,active,109,True,True,2,,,2020-08-21 23:10:35,2020
99,110,14,2020-08-21 23:02:33+00:00,0,0,True,False,0,active,110,True,True,1,,,2020-08-21 23:10:35,2020
100,111,8,2020-08-21 23:08:55+00:00,0,0,True,False,0,active,111,True,True,7,,,2020-08-21 23:10:35,2020
101,112,8,2020-08-21 22:18:16+00:00,0,0,True,False,0,active,112,True,True,7,,,2020-08-21 23:10:35,2020
102,113,11,2020-08-21 23:02:34+00:00,0,0,True,False,0,active,113,True,True,4,,,2020-08-21 23:10:35,2020
103,114,8,2020-08-21 23:09:24+00:00,0,0,True,False,0,active,114,True,True,7,,,2020-08-21 23:10:35,2020
104,115,9,2020-08-21 23:06:56+00:00,0,0,True,False,1,active,115,True,True,9,,,2020-08-21 23:10:35,2020
105,116,13,2020-08-21 22:58:05+00:00,0,0,True,False,0,active,116,True,True,10,,,2020-08-21 23:10:35,2020
106,117,9,2020-08-21 21:58:21+00:00,0,0,True,False,0,active,117,True,True,10,,,2020-08-21 23:10:35,2020
107,118,6,2020-08-21 22:59:38+00:00,0,0,True,False,2,active,118,True,True,11,,,2020-08-21 23:10:35,2020
108,119,12,2020-08-21 23:03:58+00:00,0,0,True,False,0,active,119,True,True,3,,,2020-08-21 23:10:35,2020
109,120,1,2020-08-21 22:53:28+00:00,0,0,True,False,2,active,120,True,True,12,,,2020-08-21 23:10:35,2020
110,121,12,2020-08-21 22:45:24+00:00,0,0,True,False,0,active,121,True,True,5,,,2020-08-21 23:10:35,2020
111,122,8,2020-08-21 23:06:59+00:00,0,0,True,False,0,active,122,True,True,7,,,2020-08-21 23:10:35,2020
112,124,10,2020-08-21 21:50:12+00:00,0,0,True,False,0,active,124,True,True,5,,,2020-08-21 23:10:35,2020
113,125,2,2020-08-21 23:01:40+00:00,0,0,True,False,2,active,125,True,True,11,,,2020-08-21 23:10:35,2020
114,126,4,2020-08-21 19:54:04+00:00,0,0,True,False,1,active,126,True,True,10,,,2020-08-21 23:10:35,2020
115,128,17,2020-08-21 23:08:05+00:00,0,0,True,False,0,active,128,True,True,2,,,2020-08-21 23:10:35,2020
116,129,11,2020-08-21 21:57:19+00:00,0,0,True,False,0,active,129,True,True,8,,,2020-08-21 23:10:35,2020
117,130,7,2020-08-21 21:49:07+00:00,0,0,True,False,0,active,130,True,True,8,,,2020-08-21 23:10:35,2020
118,131,10,2020-08-21 23:06:37+00:00,0,0,True,False,0,active,131,True,True,8,,,2020-08-21 23:10:35,2020
119,133,15,2020-08-21 22:29:47+00:00,0,0,True,False,1,active,133,True,True,7,,,2020-08-21 23:10:35,2020
120,135,17,2020-08-21 22:43:50+00:00,0,0,True,False,0,active,135,True,True,0,,,2020-08-21 23:10:35,2020
121,136,19,2020-08-21 22:23:29+00:00,0,0,True,False,0,active,136,True,True,0,,,2020-08-21 23:10:35,2020
122,137,10,2020-08-21 23:02:12+00:00,0,0,True,False,0,active,137,True,True,5,,,2020-08-21 23:10:35,2020
123,138,9,2020-08-21 22:35:28+00:00,0,0,True,False,1,active,138,True,True,5,,,2020-08-21 23:10:35,2020
124,139,17,2020-08-21 23:00:03+00:00,0,0,True,False,0,active,139,True,True,2,,,2020-08-21 23:10:35,2020
125,140,0,2020-08-21 22:11:58+00:00,0,0,True,False,0,active,140,True,True,17,,,2020-08-21 23:10:35,2020
126,141,15,2020-08-21 23:01:21+00:00,0,0,True,False,0,active,141,True,True,0,,,2020-08-21 23:10:35,2020
127,142,5,2020-08-21 22:53:17+00:00,0,0,True,False,0,active,142,True,True,18,,,2020-08-21 23:10:35,2020
128,143,11,2020-08-21 23:08:20+00:00,0,0,True,False,0,active,143,True,True,12,,,2020-08-21 23:10:35,2020
129,144,5,2020-08-21 23:05:51+00:00,0,0,True,False,0,active,144,True,True,14,,,2020-08-21 23:10:35,2020
130,145,1,2020-08-21 23:04:31+00:00,0,0,True,False,0,active,145,True,True,18,,,2020-08-21 23:10:35,2020
131,146,8,2020-08-21 23:01:59+00:00,0,0,True,False,1,active,146,True,True,10,,,2020-08-21 23:10:35,2020
132,149,6,2020-08-21 23:09:32+00:00,0,0,True,True,0,active,149,True,True,12,,,2020-08-21 23:10:35,2020
133,150,8,2020-08-21 22:07:11+00:00,0,0,True,False,1,active,150,True,True,10,,,2020-08-21 23:10:35,2020
