,num_docks_disabled,num_bikes_disabled,last_reported,is_installed,station_id,is_renting,num_docks_available,num_ebikes_available,station_status,is_returning,num_bikes_available,legacy_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
52,0,0,2020-08-14 09:09:49+00:00,True,60,True,14,0,active,True,5,60,False,2020-08-14 09:13:40,2020
53,0,0,2020-08-14 08:19:10+00:00,True,61,True,18,0,active,True,1,61,False,2020-08-14 09:13:40,2020
54,0,0,2020-08-14 08:10:28+00:00,True,63,True,11,0,active,True,4,63,False,2020-08-14 09:13:40,2020
55,0,1,2020-08-14 08:04:04+00:00,True,64,True,15,0,active,True,3,64,False,2020-08-14 09:13:40,2020
56,0,1,2020-08-14 08:11:23+00:00,True,65,True,18,0,active,True,4,65,False,2020-08-14 09:13:40,2020
57,0,2,2020-08-14 08:48:54+00:00,True,66,True,1,0,active,True,12,66,False,2020-08-14 09:13:40,2020
58,0,0,2020-08-14 08:34:23+00:00,True,67,True,27,0,active,True,0,67,True,2020-08-14 09:13:40,2020
59,0,1,2020-08-14 09:07:00+00:00,True,68,True,3,0,active,True,15,68,True,2020-08-14 09:13:40,2020
60,0,0,2020-08-14 08:34:50+00:00,True,69,True,8,0,active,True,11,69,True,2020-08-14 09:13:40,2020
61,0,0,2020-08-14 08:14:56+00:00,True,70,True,6,0,active,True,17,70,False,2020-08-14 09:13:40,2020
62,0,1,2020-08-14 08:14:15+00:00,True,71,True,10,0,active,True,12,71,False,2020-08-14 09:13:40,2020
63,0,0,2020-08-14 08:09:50+00:00,True,72,True,23,0,active,True,0,72,False,2020-08-14 09:13:40,2020
64,0,1,2020-08-14 08:14:39+00:00,True,73,True,14,0,active,True,0,73,False,2020-08-14 09:13:40,2020
65,0,2,2020-08-14 08:35:53+00:00,True,74,True,8,0,active,True,9,74,True,2020-08-14 09:13:40,2020
66,0,0,2020-08-14 08:14:22+00:00,True,75,True,13,0,active,True,2,75,False,2020-08-14 09:13:40,2020
67,0,1,2020-08-14 08:15:03+00:00,True,76,True,4,0,active,True,12,76,False,2020-08-14 09:13:40,2020
68,0,1,2020-08-14 08:15:15+00:00,True,77,True,6,0,active,True,8,77,False,2020-08-14 09:13:40,2020
69,0,0,2020-08-14 08:10:01+00:00,True,78,True,1,0,active,True,18,78,False,2020-08-14 09:13:40,2020
70,0,1,2020-08-14 08:14:23+00:00,True,79,True,4,0,active,True,14,79,False,2020-08-14 09:13:40,2020
71,0,1,2020-08-14 08:54:22+00:00,True,80,True,31,0,active,True,3,80,False,2020-08-14 09:13:40,2020
72,0,0,2020-08-14 09:13:06+00:00,True,81,True,3,0,active,True,16,81,False,2020-08-14 09:13:40,2020
73,0,0,2020-08-14 08:14:45+00:00,True,82,True,12,0,active,True,3,82,False,2020-08-14 09:13:40,2020
74,0,0,2020-08-14 08:15:01+00:00,True,84,True,11,0,active,True,4,84,False,2020-08-14 09:13:40,2020
75,0,0,2020-08-14 08:14:42+00:00,True,85,True,17,0,active,True,2,85,False,2020-08-14 09:13:40,2020
76,0,0,2020-08-14 08:40:47+00:00,True,86,True,5,0,active,True,14,86,False,2020-08-14 09:13:40,2020
77,0,0,2020-08-14 08:14:09+00:00,True,87,True,1,0,active,True,14,87,False,2020-08-14 09:13:40,2020
78,0,0,2020-08-14 08:15:48+00:00,True,89,True,8,0,active,True,11,89,False,2020-08-14 09:13:40,2020
79,0,2,2020-08-14 08:14:27+00:00,True,90,True,0,0,active,True,17,90,False,2020-08-14 09:13:40,2020
80,0,0,2020-08-14 08:15:32+00:00,True,91,True,18,0,active,True,1,91,False,2020-08-14 09:13:40,2020
81,0,0,2020-08-14 08:14:37+00:00,True,92,True,9,0,active,True,10,92,False,2020-08-14 09:13:40,2020
82,0,0,2020-08-14 08:10:21+00:00,True,93,True,1,0,active,True,14,93,False,2020-08-14 09:13:40,2020
83,0,0,2020-08-14 08:24:57+00:00,True,94,True,6,0,active,True,5,94,False,2020-08-14 09:13:40,2020
84,0,1,2020-08-14 08:14:35+00:00,True,95,True,3,0,active,True,11,95,False,2020-08-14 09:13:40,2020
85,0,1,2020-08-14 08:14:25+00:00,True,96,True,5,0,active,True,13,96,False,2020-08-14 09:13:40,2020
86,0,1,2020-08-14 08:15:26+00:00,True,97,True,12,0,active,True,6,97,False,2020-08-14 09:13:40,2020
87,0,0,2020-08-14 08:29:53+00:00,True,98,True,14,0,active,True,9,98,False,2020-08-14 09:13:40,2020
88,0,0,2020-08-14 08:10:46+00:00,True,99,True,0,0,active,True,15,99,False,2020-08-14 09:13:40,2020
89,0,1,2020-08-14 08:34:04+00:00,True,100,True,1,0,active,True,23,100,True,2020-08-14 09:13:40,2020
90,0,0,2020-08-14 08:19:16+00:00,True,101,True,0,0,active,True,15,101,False,2020-08-14 09:13:40,2020
91,0,1,2020-08-14 08:19:14+00:00,True,102,True,3,0,active,True,11,102,False,2020-08-14 09:13:40,2020
92,0,0,2020-08-14 08:09:10+00:00,True,103,True,6,0,active,True,9,103,False,2020-08-14 09:13:40,2020
93,0,0,2020-08-14 08:44:09+00:00,True,104,True,11,0,active,True,8,104,False,2020-08-14 09:13:40,2020
94,0,0,2020-08-14 08:15:42+00:00,True,105,True,13,0,active,True,6,105,False,2020-08-14 09:13:40,2020
95,0,0,2020-08-14 08:41:15+00:00,True,106,True,12,0,active,True,3,106,False,2020-08-14 09:13:40,2020
96,0,0,2020-08-14 08:15:19+00:00,True,107,True,19,0,active,True,0,107,False,2020-08-14 09:13:40,2020
97,0,0,2020-08-14 08:19:19+00:00,True,108,True,15,0,active,True,2,108,False,2020-08-14 09:13:40,2020
98,0,0,2020-08-14 08:54:44+00:00,True,109,True,35,0,active,True,0,109,False,2020-08-14 09:13:40,2020
99,0,0,2020-08-14 08:19:39+00:00,True,110,True,8,0,active,True,7,110,False,2020-08-14 09:13:40,2020
100,0,0,2020-08-14 08:19:56+00:00,True,111,True,9,0,active,True,6,111,False,2020-08-14 09:13:40,2020
101,0,0,2020-08-14 08:49:56+00:00,True,112,True,5,0,active,True,10,112,False,2020-08-14 09:13:40,2020
102,0,0,2020-08-14 08:52:50+00:00,True,113,True,1,0,active,True,14,113,False,2020-08-14 09:13:40,2020
103,0,1,2020-08-14 08:50:35+00:00,True,114,True,12,0,active,True,2,114,False,2020-08-14 09:13:40,2020
104,0,3,2020-08-14 08:20:29+00:00,True,115,True,5,0,active,True,11,115,False,2020-08-14 09:13:40,2020
