,is_returning,num_bikes_available,num_ebikes_available,station_id,is_installed,last_reported,eightd_has_available_keys,legacy_id,num_docks_disabled,num_bikes_disabled,station_status,num_docks_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,True,12,0,56,True,2020-07-29 18:31:43+00:00,True,56,0,0,active,6,True,,,2020-07-29 21:39:00,2020
49,True,3,0,57,True,2020-07-29 20:38:18+00:00,True,57,0,0,active,11,True,,,2020-07-29 21:39:00,2020
50,True,2,0,58,True,2020-07-29 21:32:07+00:00,True,58,0,0,active,17,True,,,2020-07-29 21:39:00,2020
51,True,7,0,59,True,2020-07-29 21:35:39+00:00,True,59,0,0,active,12,True,,,2020-07-29 21:39:00,2020
52,True,13,0,60,True,2020-07-29 21:38:32+00:00,False,60,0,0,active,6,True,"{'off_dock_count': 12, 'active': True, 'dock_blocked_count': 0, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'off_dock_capacity': 40, 'valet_revision': 61}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-29 21:39:00,2020
53,True,9,0,61,True,2020-07-29 21:34:52+00:00,False,61,0,0,active,10,True,,,2020-07-29 21:39:00,2020
54,True,15,0,63,True,2020-07-29 19:23:59+00:00,False,63,0,0,active,0,True,,,2020-07-29 21:39:00,2020
55,True,13,0,64,True,2020-07-29 21:38:32+00:00,False,64,0,2,active,4,True,,,2020-07-29 21:39:00,2020
56,True,11,0,65,True,2020-07-29 21:18:24+00:00,False,65,0,1,active,11,True,,,2020-07-29 21:39:00,2020
57,True,15,0,66,True,2020-07-29 21:36:41+00:00,False,66,0,0,active,0,True,,,2020-07-29 21:39:00,2020
58,True,5,0,67,True,2020-07-29 21:36:19+00:00,True,67,0,2,active,20,True,,,2020-07-29 21:39:00,2020
59,True,5,0,68,True,2020-07-29 21:37:14+00:00,True,68,0,1,active,13,True,,,2020-07-29 21:39:00,2020
60,True,2,0,69,True,2020-07-29 21:27:15+00:00,True,69,0,0,active,17,True,,,2020-07-29 21:39:00,2020
61,True,4,0,70,True,2020-07-29 21:33:24+00:00,False,70,0,0,active,19,True,,,2020-07-29 21:39:00,2020
62,True,19,0,71,True,2020-07-29 21:25:07+00:00,False,71,0,0,active,4,True,,,2020-07-29 21:39:00,2020
63,True,12,0,72,True,2020-07-29 21:10:48+00:00,False,72,0,0,active,11,True,,,2020-07-29 21:39:00,2020
64,True,10,0,73,True,2020-07-29 21:32:32+00:00,False,73,0,1,active,4,True,,,2020-07-29 21:39:00,2020
65,True,9,0,74,True,2020-07-29 21:37:55+00:00,True,74,0,2,active,8,True,,,2020-07-29 21:39:00,2020
66,True,0,0,75,True,2020-07-29 21:19:57+00:00,False,75,0,0,active,15,True,,,2020-07-29 21:39:00,2020
67,True,8,0,76,True,2020-07-29 21:36:38+00:00,False,76,0,1,active,8,True,,,2020-07-29 21:39:00,2020
68,True,4,0,77,True,2020-07-29 21:29:12+00:00,False,77,0,0,active,11,True,,,2020-07-29 21:39:00,2020
69,True,17,0,78,True,2020-07-29 21:35:18+00:00,False,78,0,0,active,2,True,,,2020-07-29 21:39:00,2020
70,True,3,0,79,True,2020-07-29 21:17:25+00:00,False,79,0,1,active,15,True,,,2020-07-29 21:39:00,2020
71,True,28,0,80,True,2020-07-29 21:37:15+00:00,False,80,0,2,active,5,True,,,2020-07-29 21:39:00,2020
72,True,7,0,81,True,2020-07-29 21:35:49+00:00,False,81,0,0,active,12,True,,,2020-07-29 21:39:00,2020
73,True,0,0,82,True,2020-07-29 20:54:22+00:00,False,82,0,0,active,15,True,,,2020-07-29 21:39:00,2020
74,True,12,0,84,True,2020-07-29 21:17:47+00:00,False,84,0,1,active,2,True,,,2020-07-29 21:39:00,2020
75,True,5,0,85,True,2020-07-29 21:30:17+00:00,False,85,0,1,active,13,True,,,2020-07-29 21:39:00,2020
76,True,3,0,86,True,2020-07-29 21:37:37+00:00,False,86,0,2,active,14,True,,,2020-07-29 21:39:00,2020
77,True,1,0,87,True,2020-07-29 21:38:24+00:00,False,87,0,1,active,13,True,,,2020-07-29 21:39:00,2020
78,True,14,0,89,True,2020-07-29 21:37:03+00:00,False,89,0,0,active,5,True,,,2020-07-29 21:39:00,2020
79,True,11,0,90,True,2020-07-29 21:09:29+00:00,False,90,0,0,active,8,True,,,2020-07-29 21:39:00,2020
80,True,4,0,91,True,2020-07-29 21:34:56+00:00,False,91,0,2,active,13,True,,,2020-07-29 21:39:00,2020
81,True,9,0,92,True,2020-07-29 21:21:07+00:00,False,92,0,0,active,10,True,,,2020-07-29 21:39:00,2020
82,True,2,0,93,True,2020-07-29 21:11:34+00:00,False,93,0,3,active,10,True,,,2020-07-29 21:39:00,2020
83,True,9,0,94,True,2020-07-29 21:38:27+00:00,False,94,0,0,active,2,True,,,2020-07-29 21:39:00,2020
84,True,6,0,95,True,2020-07-29 21:36:41+00:00,False,95,0,1,active,8,True,,,2020-07-29 21:39:00,2020
85,True,5,0,96,True,2020-07-29 21:30:58+00:00,False,96,0,0,active,14,True,,,2020-07-29 21:39:00,2020
86,True,3,0,97,True,2020-07-29 21:38:34+00:00,False,97,0,1,active,15,True,,,2020-07-29 21:39:00,2020
87,True,8,0,98,True,2020-07-29 21:30:08+00:00,False,98,0,0,active,14,True,,,2020-07-29 21:39:00,2020
88,True,12,0,99,True,2020-07-29 21:05:17+00:00,False,99,0,0,active,3,True,,,2020-07-29 21:39:00,2020
89,True,15,0,100,True,2020-07-29 21:37:35+00:00,True,100,0,1,active,9,True,,,2020-07-29 21:39:00,2020
90,True,1,0,101,True,2020-07-29 21:37:17+00:00,False,101,0,0,active,14,True,,,2020-07-29 21:39:00,2020
91,True,2,0,102,True,2020-07-29 21:27:33+00:00,False,102,0,0,active,13,True,,,2020-07-29 21:39:00,2020
92,True,1,0,103,True,2020-07-29 21:17:42+00:00,False,103,0,1,active,13,True,,,2020-07-29 21:39:00,2020
93,True,9,0,104,True,2020-07-29 21:17:26+00:00,False,104,0,1,active,9,True,,,2020-07-29 21:39:00,2020
94,True,9,0,105,True,2020-07-29 21:38:39+00:00,False,105,0,0,active,10,True,,,2020-07-29 21:39:00,2020
95,True,11,0,106,True,2020-07-29 12:13:40+00:00,False,106,0,0,active,4,True,,,2020-07-29 21:39:00,2020
96,True,9,0,107,True,2020-07-29 21:26:54+00:00,False,107,0,1,active,9,True,,,2020-07-29 21:39:00,2020
97,True,15,0,108,True,2020-07-29 21:10:27+00:00,False,108,0,0,active,2,True,,,2020-07-29 21:39:00,2020
98,True,21,0,109,True,2020-07-29 18:46:27+00:00,False,109,0,2,active,12,True,,,2020-07-29 21:39:00,2020
99,True,2,0,110,True,2020-07-29 21:33:46+00:00,False,110,0,0,active,13,True,,,2020-07-29 21:39:00,2020
100,True,5,0,111,True,2020-07-29 20:18:00+00:00,False,111,0,0,active,10,True,,,2020-07-29 21:39:00,2020
101,True,5,0,112,True,2020-07-29 21:26:08+00:00,False,112,0,0,active,10,True,,,2020-07-29 21:39:00,2020
102,True,4,0,113,True,2020-07-29 21:09:10+00:00,False,113,0,0,active,11,True,,,2020-07-29 21:39:00,2020
103,True,4,0,114,True,2020-07-29 21:32:38+00:00,False,114,0,0,active,11,True,,,2020-07-29 21:39:00,2020
104,True,10,0,115,True,2020-07-29 21:18:35+00:00,False,115,0,1,active,8,True,,,2020-07-29 21:39:00,2020
105,True,3,0,116,True,2020-07-29 21:38:31+00:00,False,116,0,0,active,20,True,,,2020-07-29 21:39:00,2020
106,True,15,0,117,True,2020-07-29 21:35:17+00:00,False,117,0,0,active,4,True,,,2020-07-29 21:39:00,2020
107,True,6,0,118,True,2020-07-29 21:16:43+00:00,False,118,0,0,active,13,True,,,2020-07-29 21:39:00,2020
108,True,10,0,119,True,2020-07-29 21:36:48+00:00,False,119,0,0,active,5,True,,,2020-07-29 21:39:00,2020
109,True,7,0,120,True,2020-07-29 21:35:13+00:00,False,120,0,0,active,8,True,,,2020-07-29 21:39:00,2020
110,True,2,0,121,True,2020-07-29 21:30:13+00:00,False,121,0,1,active,14,True,,,2020-07-29 21:39:00,2020
111,True,5,0,122,True,2020-07-29 21:32:56+00:00,False,122,0,0,active,10,True,,,2020-07-29 21:39:00,2020
112,True,3,0,124,True,2020-07-29 18:12:32+00:00,False,124,0,0,active,12,True,,,2020-07-29 21:39:00,2020
113,True,5,0,125,True,2020-07-29 21:38:07+00:00,False,125,0,0,active,10,True,,,2020-07-29 21:39:00,2020
114,True,2,0,126,True,2020-07-29 21:24:40+00:00,False,126,0,0,active,13,True,,,2020-07-29 21:39:00,2020
115,True,14,0,128,True,2020-07-29 21:24:03+00:00,False,128,0,0,active,5,True,,,2020-07-29 21:39:00,2020
116,True,8,0,129,True,2020-07-29 21:24:36+00:00,False,129,0,0,active,11,True,,,2020-07-29 21:39:00,2020
117,True,7,0,130,True,2020-07-29 17:49:53+00:00,False,130,0,0,active,8,True,,,2020-07-29 21:39:00,2020
118,True,8,0,131,True,2020-07-29 21:19:46+00:00,False,131,0,1,active,9,True,,,2020-07-29 21:39:00,2020
119,True,3,0,133,True,2020-07-29 21:34:28+00:00,False,133,0,0,active,20,True,,,2020-07-29 21:39:00,2020
120,True,6,0,135,True,2020-07-29 20:25:08+00:00,False,135,0,0,active,11,True,,,2020-07-29 21:39:00,2020
121,True,14,0,136,True,2020-07-29 21:29:30+00:00,False,136,0,0,active,5,True,,,2020-07-29 21:39:00,2020
122,True,2,0,137,True,2020-07-29 20:55:32+00:00,False,137,0,0,active,13,True,,,2020-07-29 21:39:00,2020
123,True,9,0,138,True,2020-07-29 20:24:13+00:00,False,138,0,0,active,6,True,,,2020-07-29 21:39:00,2020
124,True,5,0,139,True,2020-07-29 21:26:41+00:00,False,139,0,0,active,14,True,,,2020-07-29 21:39:00,2020
