,eightd_has_available_keys,legacy_id,num_bikes_disabled,num_ebikes_available,num_docks_disabled,is_returning,station_status,is_renting,num_bikes_available,num_docks_available,is_installed,station_id,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
231,False,340,0,0,0,True,active,True,17,2,True,340,2020-08-06 08:37:01+00:00,,,2020-08-06 22:02:50,2020
232,True,341,0,0,0,True,active,True,3,12,True,341,2020-08-06 17:40:27+00:00,,,2020-08-06 22:02:50,2020
233,False,342,0,0,0,True,active,True,2,13,True,342,2020-08-06 21:58:40+00:00,,,2020-08-06 22:02:50,2020
234,False,343,0,0,0,True,active,True,6,9,True,343,2020-08-06 08:36:41+00:00,,,2020-08-06 22:02:50,2020
235,False,344,0,0,0,True,active,True,1,18,True,344,2020-08-06 21:31:51+00:00,,,2020-08-06 22:02:50,2020
236,False,345,0,0,0,True,active,True,18,1,True,345,2020-08-06 22:01:09+00:00,,,2020-08-06 22:02:50,2020
237,False,346,0,0,0,True,active,True,0,15,True,346,2020-08-06 20:34:13+00:00,,,2020-08-06 22:02:50,2020
238,False,347,0,0,0,True,active,True,10,5,True,347,2020-08-06 19:55:17+00:00,,,2020-08-06 22:02:50,2020
239,False,348,0,0,0,True,active,True,4,11,True,348,2020-08-06 21:24:05+00:00,,,2020-08-06 22:02:50,2020
240,True,349,0,0,0,True,active,True,7,10,True,349,2020-08-06 16:11:55+00:00,,,2020-08-06 22:02:50,2020
241,False,350,0,0,0,True,active,True,7,10,True,350,2020-08-06 16:42:14+00:00,,,2020-08-06 22:02:50,2020
242,False,351,0,0,0,True,active,True,9,6,True,351,2020-08-06 20:24:28+00:00,,,2020-08-06 22:02:50,2020
243,False,352,0,0,0,True,active,True,6,9,True,352,2020-08-06 21:59:52+00:00,,,2020-08-06 22:02:50,2020
244,True,353,0,0,0,True,active,True,8,7,True,353,2020-08-05 23:35:59+00:00,,,2020-08-06 22:02:50,2020
245,False,354,0,0,0,True,active,True,2,13,True,354,2020-08-06 21:39:11+00:00,,,2020-08-06 22:02:50,2020
246,False,355,0,0,0,True,active,True,8,9,True,355,2020-08-06 21:10:20+00:00,,,2020-08-06 22:02:50,2020
247,False,356,0,0,0,True,active,True,15,8,True,356,2020-08-06 21:57:09+00:00,,,2020-08-06 22:02:50,2020
248,False,357,0,0,0,True,active,True,12,3,True,357,2020-08-06 21:59:43+00:00,,,2020-08-06 22:02:50,2020
249,False,358,0,0,0,True,active,True,16,3,True,358,2020-08-06 21:36:14+00:00,,,2020-08-06 22:02:50,2020
250,False,359,0,0,0,True,active,True,1,14,True,359,2020-08-06 21:47:30+00:00,,,2020-08-06 22:02:50,2020
251,False,360,0,0,0,True,active,True,2,13,True,360,2020-08-06 21:12:46+00:00,,,2020-08-06 22:02:50,2020
252,False,361,1,0,0,True,active,True,16,2,True,361,2020-08-06 21:43:41+00:00,,,2020-08-06 22:02:50,2020
253,False,362,0,0,0,True,active,True,4,15,True,362,2020-08-06 21:50:12+00:00,,,2020-08-06 22:02:50,2020
254,False,363,1,0,0,True,active,True,1,17,True,363,2020-08-06 21:55:49+00:00,,,2020-08-06 22:02:50,2020
255,False,364,1,0,0,True,active,True,13,5,True,364,2020-08-06 21:52:53+00:00,,,2020-08-06 22:02:50,2020
256,False,365,0,0,0,True,active,True,11,8,True,365,2020-08-06 22:00:47+00:00,,,2020-08-06 22:02:50,2020
257,False,366,0,0,0,True,active,True,15,0,True,366,2020-08-06 21:53:12+00:00,,,2020-08-06 22:02:50,2020
258,False,367,0,0,0,True,active,True,17,2,True,367,2020-08-06 19:29:58+00:00,,,2020-08-06 22:02:50,2020
259,False,368,0,0,0,True,active,True,3,12,True,368,2020-08-06 13:30:58+00:00,,,2020-08-06 22:02:50,2020
260,False,369,2,0,0,True,active,True,6,7,True,369,2020-08-06 21:48:44+00:00,,,2020-08-06 22:02:50,2020
261,False,370,1,0,0,True,active,True,9,9,True,370,2020-08-06 21:54:49+00:00,,,2020-08-06 22:02:50,2020
262,False,371,0,0,0,True,active,True,15,4,True,371,2020-08-06 21:43:51+00:00,,,2020-08-06 22:02:50,2020
263,False,372,0,0,0,True,active,True,7,12,True,372,2020-08-06 22:02:00+00:00,,,2020-08-06 22:02:50,2020
264,False,373,0,0,0,True,active,True,6,9,True,373,2020-08-06 09:15:06+00:00,,,2020-08-06 22:02:50,2020
265,False,374,0,0,0,True,active,True,15,4,True,374,2020-08-06 22:01:19+00:00,,,2020-08-06 22:02:50,2020
266,False,376,0,0,0,True,active,True,3,12,True,376,2020-08-06 21:56:25+00:00,,,2020-08-06 22:02:50,2020
267,False,377,0,0,0,True,active,True,13,6,True,377,2020-08-06 21:39:58+00:00,,,2020-08-06 22:02:50,2020
268,False,378,0,0,0,True,active,True,2,17,True,378,2020-08-06 21:32:57+00:00,,,2020-08-06 22:02:50,2020
269,False,379,0,0,0,True,active,True,5,10,True,379,2020-08-06 21:58:07+00:00,,,2020-08-06 22:02:50,2020
270,False,380,0,0,0,True,active,True,5,13,True,380,2020-08-06 21:51:19+00:00,,,2020-08-06 22:02:50,2020
271,False,381,0,0,0,True,active,True,14,5,True,381,2020-08-06 21:59:53+00:00,,,2020-08-06 22:02:50,2020
272,True,384,0,0,0,True,active,True,10,9,True,384,2020-08-06 21:54:10+00:00,,,2020-08-06 22:02:50,2020
273,False,385,2,0,1,True,active,True,1,11,True,385,2020-08-06 21:43:07+00:00,,,2020-08-06 22:02:50,2020
274,False,386,1,0,0,True,active,True,3,15,True,386,2020-08-06 21:55:34+00:00,,,2020-08-06 22:02:50,2020
275,False,387,0,0,0,True,active,True,14,1,True,387,2020-08-06 21:12:44+00:00,,,2020-08-06 22:02:50,2020
276,False,388,0,0,0,True,active,True,2,9,True,388,2020-08-06 08:57:33+00:00,,,2020-08-06 22:02:50,2020
277,False,389,0,0,0,True,active,True,14,0,True,389,2020-08-06 16:35:16+00:00,,,2020-08-06 22:02:50,2020
278,False,390,0,0,0,True,active,True,13,2,True,390,2020-08-06 20:11:25+00:00,,,2020-08-06 22:02:50,2020
279,False,391,0,0,0,True,active,True,14,1,True,391,2020-08-06 21:59:33+00:00,,,2020-08-06 22:02:50,2020
280,False,392,0,0,0,True,active,True,6,9,True,392,2020-08-06 21:47:55+00:00,,,2020-08-06 22:02:50,2020
281,False,393,0,0,0,True,active,True,5,10,True,393,2020-08-06 14:12:12+00:00,,,2020-08-06 22:02:50,2020
282,False,394,0,0,0,True,active,True,1,13,True,394,2020-08-06 21:22:01+00:00,,,2020-08-06 22:02:50,2020
283,False,395,0,0,0,True,active,True,12,3,True,395,2020-08-06 20:45:18+00:00,,,2020-08-06 22:02:50,2020
284,False,396,0,0,0,True,active,True,12,3,True,396,2020-08-06 08:51:49+00:00,,,2020-08-06 22:02:50,2020
285,False,397,0,0,0,True,active,True,7,8,True,397,2020-08-06 18:00:52+00:00,,,2020-08-06 22:02:50,2020
286,False,398,1,0,0,True,active,True,8,10,True,398,2020-08-06 21:56:34+00:00,,,2020-08-06 22:02:50,2020
287,False,399,0,0,0,True,active,True,8,7,True,399,2020-08-06 21:56:56+00:00,,,2020-08-06 22:02:50,2020
288,False,400,0,0,0,True,active,True,5,22,True,400,2020-08-06 22:00:16+00:00,,,2020-08-06 22:02:50,2020
289,False,401,0,0,0,True,active,True,12,3,True,401,2020-08-06 21:22:48+00:00,,,2020-08-06 22:02:50,2020
290,False,402,1,0,0,True,active,True,5,9,True,402,2020-08-06 21:41:32+00:00,,,2020-08-06 22:02:50,2020
291,False,403,1,0,0,True,active,True,2,12,True,403,2020-08-06 21:51:03+00:00,,,2020-08-06 22:02:50,2020
292,False,404,0,0,0,True,active,True,16,0,True,404,2020-08-06 21:54:19+00:00,,,2020-08-06 22:02:50,2020
293,False,405,0,0,0,True,active,True,18,1,True,405,2020-08-06 22:01:17+00:00,,,2020-08-06 22:02:50,2020
294,False,406,1,0,0,True,active,True,8,10,True,406,2020-08-06 21:52:47+00:00,,,2020-08-06 22:02:50,2020
295,False,407,0,0,0,True,active,True,1,18,True,407,2020-08-06 21:25:05+00:00,,,2020-08-06 22:02:50,2020
296,False,408,0,0,0,True,active,True,12,3,True,408,2020-08-06 21:25:51+00:00,,,2020-08-06 22:02:50,2020
297,False,409,0,0,0,True,active,True,12,7,True,409,2020-08-06 21:46:41+00:00,,,2020-08-06 22:02:50,2020
298,False,410,0,0,0,True,active,True,14,5,True,410,2020-08-06 20:16:35+00:00,,,2020-08-06 22:02:50,2020
299,False,411,0,0,0,True,active,True,6,9,True,411,2020-08-06 22:02:16+00:00,,,2020-08-06 22:02:50,2020
300,False,412,0,0,0,True,active,True,5,14,True,412,2020-08-06 21:50:39+00:00,,,2020-08-06 22:02:50,2020
301,False,413,0,0,0,True,active,True,7,12,True,413,2020-08-06 21:17:59+00:00,,,2020-08-06 22:02:50,2020
302,False,414,0,0,0,True,active,True,0,23,True,414,2020-08-06 20:51:43+00:00,,,2020-08-06 22:02:50,2020
303,False,415,0,0,0,True,active,True,2,17,True,415,2020-08-06 22:01:27+00:00,,,2020-08-06 22:02:50,2020
304,False,416,0,0,0,True,active,True,5,10,True,416,2020-08-06 21:58:58+00:00,,,2020-08-06 22:02:50,2020
305,False,417,0,0,0,True,active,True,9,10,True,417,2020-08-06 21:52:54+00:00,,,2020-08-06 22:02:50,2020
306,False,419,0,0,0,True,active,True,5,10,True,419,2020-08-06 21:54:59+00:00,,,2020-08-06 22:02:50,2020
307,False,420,0,0,0,False,out_of_service,False,0,0,False,420,1970-01-02 00:00:00+00:00,,,2020-08-06 22:02:50,1970
308,False,421,0,0,0,True,active,True,13,6,True,421,2020-08-06 11:24:04+00:00,,,2020-08-06 22:02:50,2020
309,False,422,0,0,0,True,active,True,7,8,True,422,2020-08-06 17:50:22+00:00,,,2020-08-06 22:02:50,2020
310,False,423,0,0,0,True,active,True,6,13,True,423,2020-08-06 21:28:50+00:00,,,2020-08-06 22:02:50,2020
311,False,424,1,0,0,True,active,True,5,13,True,424,2020-08-06 19:17:57+00:00,,,2020-08-06 22:02:50,2020
312,False,425,0,0,0,True,active,True,13,3,True,425,2020-08-06 21:45:20+00:00,,,2020-08-06 22:02:50,2020
313,False,426,1,0,0,True,active,True,12,14,True,426,2020-08-06 21:49:00+00:00,,,2020-08-06 22:02:50,2020
314,False,427,0,0,0,True,active,True,0,19,True,427,2020-08-06 20:59:13+00:00,,,2020-08-06 22:02:50,2020
315,False,428,0,0,0,True,active,True,4,15,True,428,2020-08-06 21:51:04+00:00,,,2020-08-06 22:02:50,2020
