,num_bikes_disabled,station_id,eightd_has_available_keys,last_reported,legacy_id,num_docks_disabled,num_ebikes_available,is_returning,station_status,is_renting,num_bikes_available,num_docks_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
52,0,60,False,2020-08-04 15:58:30+00:00,60,0,0,True,active,True,7,12,True,,,2020-08-04 16:00:40,2020
53,0,61,False,2020-08-04 15:24:35+00:00,61,0,0,True,active,True,3,16,True,,,2020-08-04 16:00:40,2020
54,0,63,False,2020-08-04 14:43:47+00:00,63,0,0,True,active,True,7,8,True,,,2020-08-04 16:00:40,2020
55,0,64,False,2020-08-04 15:46:50+00:00,64,0,0,True,active,True,15,4,True,,,2020-08-04 16:00:40,2020
56,1,65,False,2020-08-04 15:45:49+00:00,65,0,0,True,active,True,5,17,True,,,2020-08-04 16:00:40,2020
57,0,66,False,2020-08-04 15:07:57+00:00,66,0,0,True,active,True,1,14,True,,,2020-08-04 16:00:40,2020
58,0,67,True,2020-08-04 15:55:12+00:00,67,0,0,True,active,True,10,17,True,,,2020-08-04 16:00:40,2020
59,1,68,True,2020-08-04 15:53:40+00:00,68,0,0,True,active,True,1,17,True,,,2020-08-04 16:00:40,2020
60,0,69,True,2020-08-04 15:43:49+00:00,69,0,0,True,active,True,8,11,True,,,2020-08-04 16:00:40,2020
61,0,70,False,2020-08-04 15:45:26+00:00,70,0,0,True,active,True,19,4,True,,,2020-08-04 16:00:40,2020
62,0,71,False,2020-08-04 15:27:05+00:00,71,0,0,True,active,True,10,13,True,,,2020-08-04 16:00:40,2020
63,0,72,False,2020-08-04 14:27:32+00:00,72,0,0,True,active,True,4,19,True,,,2020-08-04 16:00:40,2020
64,0,73,False,2020-08-04 15:55:56+00:00,73,0,0,True,active,True,7,8,True,,,2020-08-04 16:00:40,2020
65,0,74,True,2020-08-04 15:47:54+00:00,74,0,0,True,active,True,6,13,True,,,2020-08-04 16:00:40,2020
66,0,75,False,2020-08-04 15:55:18+00:00,75,0,0,True,active,True,2,13,True,,,2020-08-04 16:00:40,2020
67,0,76,False,2020-08-04 15:58:19+00:00,76,0,0,True,active,True,3,14,True,,,2020-08-04 16:00:40,2020
68,0,77,False,2020-08-04 15:17:02+00:00,77,0,0,True,active,True,6,9,True,,,2020-08-04 16:00:40,2020
69,0,78,False,2020-08-04 15:55:18+00:00,78,0,0,True,active,True,14,5,True,,,2020-08-04 16:00:40,2020
70,0,79,False,2020-08-04 15:45:06+00:00,79,0,0,True,active,True,4,15,True,,,2020-08-04 16:00:40,2020
71,2,80,False,2020-08-04 15:57:26+00:00,80,0,0,True,active,True,29,4,True,,,2020-08-04 16:00:40,2020
72,1,81,False,2020-08-04 15:57:30+00:00,81,0,0,True,active,True,12,6,True,,,2020-08-04 16:00:40,2020
73,0,82,False,2020-08-04 15:58:48+00:00,82,0,0,True,active,True,13,2,True,,,2020-08-04 16:00:40,2020
74,0,84,False,2020-08-04 15:49:01+00:00,84,0,0,True,active,True,2,13,True,,,2020-08-04 16:00:40,2020
75,0,85,False,2020-08-04 13:38:55+00:00,85,0,0,True,active,True,18,1,True,,,2020-08-04 16:00:40,2020
76,1,86,False,2020-08-04 15:55:12+00:00,86,0,0,True,active,True,13,5,True,,,2020-08-04 16:00:40,2020
77,1,87,False,2020-08-04 15:59:44+00:00,87,0,0,True,active,True,5,9,True,,,2020-08-04 16:00:40,2020
78,1,89,False,2020-08-04 14:57:38+00:00,89,0,0,True,active,True,12,6,True,,,2020-08-04 16:00:40,2020
79,1,90,False,2020-08-04 15:58:02+00:00,90,0,0,True,active,True,4,14,True,,,2020-08-04 16:00:40,2020
80,1,91,False,2020-08-04 15:17:28+00:00,91,0,0,True,active,True,14,4,True,,,2020-08-04 16:00:40,2020
81,0,92,False,2020-08-04 13:31:45+00:00,92,0,0,True,active,True,16,3,True,,,2020-08-04 16:00:40,2020
82,1,93,False,2020-08-04 15:27:12+00:00,93,0,0,True,active,True,8,6,True,,,2020-08-04 16:00:40,2020
83,2,94,False,2020-08-04 15:34:10+00:00,94,0,0,True,active,True,8,1,True,,,2020-08-04 16:00:40,2020
84,0,95,False,2020-08-04 15:52:21+00:00,95,0,0,True,active,True,13,2,True,,,2020-08-04 16:00:40,2020
85,0,96,False,2020-08-04 15:57:01+00:00,96,0,0,True,active,True,11,8,True,,,2020-08-04 16:00:40,2020
86,1,97,False,2020-08-04 15:55:36+00:00,97,0,0,True,active,True,14,4,True,,,2020-08-04 16:00:40,2020
87,0,98,False,2020-08-04 15:22:26+00:00,98,0,0,True,active,True,1,21,True,,,2020-08-04 16:00:40,2020
88,0,99,False,2020-08-04 15:46:12+00:00,99,0,0,True,active,True,9,6,True,,,2020-08-04 16:00:40,2020
89,1,100,True,2020-08-04 14:06:15+00:00,100,0,0,True,active,True,16,8,True,,,2020-08-04 16:00:40,2020
90,0,101,False,2020-08-04 14:36:53+00:00,101,0,0,True,active,True,15,0,True,,,2020-08-04 16:00:40,2020
91,1,102,False,2020-08-04 13:09:35+00:00,102,0,0,True,active,True,3,11,True,,,2020-08-04 16:00:40,2020
92,0,103,False,2020-08-04 15:46:31+00:00,103,0,0,True,active,True,2,13,True,,,2020-08-04 16:00:40,2020
93,0,104,False,2020-08-04 15:59:29+00:00,104,0,0,True,active,True,3,16,True,,,2020-08-04 16:00:40,2020
94,1,105,False,2020-08-04 15:57:43+00:00,105,0,0,True,active,True,5,13,True,,,2020-08-04 16:00:40,2020
95,0,106,False,2020-08-04 15:31:40+00:00,106,0,0,True,active,True,2,13,True,,,2020-08-04 16:00:40,2020
96,0,107,False,2020-08-04 15:59:04+00:00,107,0,0,True,active,True,16,3,True,,,2020-08-04 16:00:40,2020
97,1,108,False,2020-08-04 15:28:47+00:00,108,0,0,True,active,True,11,5,True,,,2020-08-04 16:00:40,2020
98,2,109,False,2020-08-04 15:23:27+00:00,109,0,0,True,active,True,16,17,True,,,2020-08-04 16:00:40,2020
99,0,110,False,2020-08-04 14:31:29+00:00,110,0,0,True,active,True,7,8,True,,,2020-08-04 16:00:40,2020
100,0,111,False,2020-08-04 11:14:33+00:00,111,0,0,True,active,True,1,14,True,,,2020-08-04 16:00:40,2020
101,0,112,False,2020-08-04 15:43:14+00:00,112,0,0,True,active,True,9,6,True,,,2020-08-04 16:00:40,2020
102,0,113,False,2020-08-04 15:51:31+00:00,113,0,0,True,active,True,14,1,True,,,2020-08-04 16:00:40,2020
103,0,114,False,2020-08-04 12:40:10+00:00,114,0,0,True,active,True,11,4,True,,,2020-08-04 16:00:40,2020
104,0,115,False,2020-08-04 15:12:38+00:00,115,0,0,True,active,True,16,3,True,,,2020-08-04 16:00:40,2020
105,0,116,False,2020-08-04 15:58:43+00:00,116,0,0,True,active,True,12,11,True,,,2020-08-04 16:00:40,2020
106,0,117,False,2020-08-04 15:58:19+00:00,117,0,0,True,active,True,8,11,True,,,2020-08-04 16:00:40,2020
107,0,118,False,2020-08-04 13:37:34+00:00,118,0,0,True,active,True,14,5,True,,,2020-08-04 16:00:40,2020
108,0,119,False,2020-08-04 14:47:24+00:00,119,0,0,True,active,True,2,13,True,,,2020-08-04 16:00:40,2020
