,num_docks_disabled,last_reported,is_installed,legacy_id,num_bikes_disabled,num_ebikes_available,eightd_has_available_keys,station_status,num_bikes_available,station_id,is_returning,is_renting,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
0,0,2020-07-30 02:33:20+00:00,True,3,2,0,True,active,2,3,True,True,11,2020-07-30 02:45:20,2020
1,0,2020-07-30 02:34:55+00:00,True,4,1,0,False,active,14,4,True,True,4,2020-07-30 02:45:20,2020
2,0,2020-07-30 02:39:30+00:00,True,5,0,0,False,active,8,5,True,True,7,2020-07-30 02:45:20,2020
3,0,2020-07-30 02:33:41+00:00,True,6,0,0,False,active,9,6,True,True,6,2020-07-30 02:45:20,2020
4,0,2020-07-30 02:42:59+00:00,True,7,1,0,False,active,9,7,True,True,5,2020-07-30 02:45:20,2020
5,0,2020-07-30 02:00:10+00:00,True,8,2,0,False,active,13,8,True,True,4,2020-07-30 02:45:20,2020
6,0,2020-07-30 02:25:22+00:00,True,9,1,0,False,active,3,9,True,True,11,2020-07-30 02:45:20,2020
7,0,2020-07-30 00:54:27+00:00,True,10,0,0,False,active,0,10,True,True,11,2020-07-30 02:45:20,2020
8,0,2020-07-30 02:29:13+00:00,True,11,1,0,False,active,0,11,True,True,14,2020-07-30 02:45:20,2020
9,0,2020-07-30 02:37:51+00:00,True,12,1,0,True,active,6,12,True,True,11,2020-07-30 02:45:20,2020
10,0,2020-07-30 01:11:35+00:00,True,13,0,0,False,active,0,13,True,True,19,2020-07-30 02:45:20,2020
11,0,2020-07-30 02:20:48+00:00,True,14,0,0,False,active,0,14,True,True,25,2020-07-30 02:45:20,2020
12,0,2020-07-30 01:53:00+00:00,True,15,0,0,False,active,10,15,True,True,5,2020-07-30 02:45:20,2020
13,0,2020-07-30 01:06:31+00:00,True,16,2,0,True,active,2,16,True,True,15,2020-07-30 02:45:20,2020
14,0,2020-07-30 02:43:37+00:00,True,17,0,0,False,active,13,17,True,True,2,2020-07-30 02:45:20,2020
15,0,2020-07-30 01:24:28+00:00,True,19,0,0,False,active,6,19,True,True,9,2020-07-30 02:45:20,2020
16,0,2020-07-30 02:36:48+00:00,True,20,1,0,False,active,14,20,True,True,8,2020-07-30 02:45:20,2020
17,0,2020-07-30 02:43:07+00:00,True,21,0,0,False,active,14,21,True,True,4,2020-07-30 02:45:20,2020
18,0,2020-07-30 01:51:15+00:00,True,22,1,0,True,active,16,22,True,True,30,2020-07-30 02:45:20,2020
19,0,2020-07-30 02:32:35+00:00,True,23,0,0,True,active,8,23,True,True,13,2020-07-30 02:45:20,2020
20,0,2020-07-30 02:38:20+00:00,True,24,0,0,False,active,15,24,True,True,4,2020-07-30 02:45:20,2020
21,0,2020-07-30 02:37:18+00:00,True,25,0,0,False,active,14,25,True,True,1,2020-07-30 02:45:20,2020
22,0,2020-07-30 02:23:26+00:00,True,26,1,0,False,active,3,26,True,True,11,2020-07-30 02:45:20,2020
23,0,2020-07-30 02:37:51+00:00,True,27,2,0,False,active,5,27,True,True,16,2020-07-30 02:45:20,2020
24,0,2020-07-30 00:20:39+00:00,True,29,0,0,False,active,7,29,True,True,8,2020-07-30 02:45:20,2020
25,0,2020-07-30 02:44:58+00:00,True,30,0,0,False,active,0,30,True,True,15,2020-07-30 02:45:20,2020
26,0,2020-07-30 02:41:54+00:00,True,31,1,0,True,active,7,31,True,True,11,2020-07-30 02:45:20,2020
27,0,2020-07-30 02:38:25+00:00,True,32,1,0,False,active,8,32,True,True,6,2020-07-30 02:45:20,2020
28,0,2020-07-30 02:44:22+00:00,True,33,1,0,False,active,20,33,True,True,6,2020-07-30 02:45:20,2020
29,0,2020-07-30 01:41:03+00:00,True,35,0,0,False,active,1,35,True,True,22,2020-07-30 02:45:20,2020
30,0,2020-07-30 02:04:04+00:00,True,36,0,0,True,active,13,36,True,True,20,2020-07-30 02:45:20,2020
31,0,2020-07-29 23:52:20+00:00,True,37,0,0,True,active,3,37,True,True,12,2020-07-30 02:45:20,2020
32,0,2020-07-30 02:44:24+00:00,True,39,1,0,False,active,15,39,True,True,7,2020-07-30 02:45:20,2020
33,0,2020-07-30 02:43:45+00:00,True,40,0,0,False,active,6,40,True,True,13,2020-07-30 02:45:20,2020
34,0,2020-07-30 02:20:23+00:00,True,41,1,0,True,active,22,41,True,True,4,2020-07-30 02:45:20,2020
35,0,2020-07-30 02:13:18+00:00,True,42,1,0,False,active,21,42,True,True,1,2020-07-30 02:45:20,2020
36,0,2020-07-30 02:37:40+00:00,True,43,0,0,True,active,6,43,True,True,9,2020-07-30 02:45:20,2020
37,0,2020-07-30 02:06:30+00:00,True,44,1,0,False,active,11,44,True,True,11,2020-07-30 02:45:20,2020
38,0,2020-07-30 02:45:00+00:00,True,46,1,0,False,active,6,46,True,True,12,2020-07-30 02:45:20,2020
39,0,2020-07-30 02:43:30+00:00,True,47,0,0,True,active,14,47,True,True,5,2020-07-30 02:45:20,2020
40,0,2020-07-29 23:43:25+00:00,True,48,0,0,False,active,0,48,True,True,19,2020-07-30 02:45:20,2020
41,0,2020-07-30 02:19:42+00:00,True,49,0,0,False,active,4,49,True,True,14,2020-07-30 02:45:20,2020
42,0,2020-07-30 02:42:21+00:00,True,50,0,0,True,active,2,50,True,True,13,2020-07-30 02:45:20,2020
43,0,2020-07-30 01:38:59+00:00,True,51,1,0,False,active,1,51,True,True,13,2020-07-30 02:45:20,2020
44,0,2020-07-30 02:39:29+00:00,True,52,0,0,True,active,3,52,True,True,20,2020-07-30 02:45:20,2020
45,0,2020-07-30 02:38:32+00:00,True,53,0,0,False,active,7,53,True,True,12,2020-07-30 02:45:20,2020
46,0,2020-07-30 01:45:26+00:00,True,54,0,0,False,active,1,54,True,True,14,2020-07-30 02:45:20,2020
