,num_bikes_available,is_installed,num_docks_disabled,num_bikes_disabled,legacy_id,station_id,station_status,eightd_has_available_keys,num_ebikes_available,is_renting,is_returning,num_docks_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
50,7,True,0,1,58,58,active,True,0,True,True,11,2020-08-07 03:26:20+00:00,,,2020-08-07 03:51:25,2020
51,6,True,0,0,59,59,active,True,0,True,True,13,2020-08-07 03:50:10+00:00,,,2020-08-07 03:51:25,2020
52,9,True,0,0,60,60,active,False,0,True,True,10,2020-08-07 03:43:37+00:00,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'active': True, 'dock_blocked_count': 0, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'valet_revision': 69, 'off_dock_count': 3, 'region': 'BOS'}",2020-08-07 03:51:25,2020
53,11,True,0,0,61,61,active,False,0,True,True,8,2020-08-07 03:33:20+00:00,,,2020-08-07 03:51:25,2020
54,8,True,0,0,63,63,active,False,0,True,True,7,2020-08-07 00:32:26+00:00,,,2020-08-07 03:51:25,2020
55,1,True,0,1,64,64,active,False,0,True,True,17,2020-08-07 03:45:45+00:00,,,2020-08-07 03:51:25,2020
56,3,True,0,0,65,65,active,False,0,True,True,20,2020-08-07 03:41:14+00:00,,,2020-08-07 03:51:25,2020
57,10,True,0,0,66,66,active,False,0,True,True,5,2020-08-07 03:42:25+00:00,,,2020-08-07 03:51:25,2020
58,0,True,0,0,67,67,active,True,0,True,True,27,2020-08-07 03:15:47+00:00,,,2020-08-07 03:51:25,2020
59,12,True,0,0,68,68,active,True,0,True,True,7,2020-08-07 03:38:30+00:00,,,2020-08-07 03:51:25,2020
60,6,True,0,0,69,69,active,True,0,True,True,13,2020-08-07 03:03:28+00:00,,,2020-08-07 03:51:25,2020
61,20,True,0,2,70,70,active,False,0,True,True,1,2020-08-07 03:30:46+00:00,,,2020-08-07 03:51:25,2020
62,22,True,0,0,71,71,active,False,0,True,True,1,2020-08-07 03:03:29+00:00,,,2020-08-07 03:51:25,2020
63,3,True,0,0,72,72,active,False,0,True,True,20,2020-08-07 01:09:37+00:00,,,2020-08-07 03:51:25,2020
64,7,True,0,1,73,73,active,False,0,True,True,7,2020-08-07 03:42:18+00:00,,,2020-08-07 03:51:25,2020
65,6,True,0,0,74,74,active,False,0,True,True,13,2020-08-07 03:23:58+00:00,,,2020-08-07 03:51:25,2020
66,11,True,0,0,75,75,active,False,0,True,True,4,2020-08-07 03:23:46+00:00,,,2020-08-07 03:51:25,2020
67,7,True,0,1,76,76,active,False,0,True,True,9,2020-08-07 03:38:48+00:00,,,2020-08-07 03:51:25,2020
