,is_returning,num_bikes_disabled,num_docks_disabled,num_docks_available,station_id,is_installed,num_bikes_available,is_renting,legacy_id,station_status,num_ebikes_available,eightd_has_available_keys,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,0,0,7,3,True,8,True,3,active,0,False,2020-08-20 14:05:45+00:00,,,2020-08-20 14:52:10,2020
1,True,1,0,13,4,True,5,True,4,active,0,False,2020-08-20 14:08:09+00:00,,,2020-08-20 14:52:10,2020
2,True,0,0,14,5,True,1,True,5,active,0,False,2020-08-20 14:49:22+00:00,,,2020-08-20 14:52:10,2020
3,True,1,0,9,6,True,5,True,6,active,0,False,2020-08-20 14:51:49+00:00,,,2020-08-20 14:52:10,2020
4,True,0,0,6,7,True,9,True,7,active,0,False,2020-08-20 13:48:45+00:00,,,2020-08-20 14:52:10,2020
5,True,1,0,14,8,True,4,True,8,active,0,False,2020-08-20 14:44:50+00:00,,,2020-08-20 14:52:10,2020
6,True,0,0,1,9,True,14,True,9,active,0,False,2020-08-20 14:43:52+00:00,,,2020-08-20 14:52:10,2020
7,True,0,0,0,10,True,11,True,10,active,0,False,2020-08-20 12:53:06+00:00,,,2020-08-20 14:52:10,2020
8,True,0,0,7,11,True,8,True,11,active,0,False,2020-08-20 14:51:23+00:00,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'off_dock_count': 51, 'active': True, 'valet_revision': 96, 'region': 'BOS', 'off_dock_capacity': 50}",2020-08-20 14:52:10,2020
9,True,1,0,2,12,True,15,True,12,active,0,True,2020-08-20 14:02:04+00:00,,,2020-08-20 14:52:10,2020
10,True,0,0,10,13,True,9,True,13,active,0,False,2020-08-20 14:47:33+00:00,,,2020-08-20 14:52:10,2020
11,True,0,0,1,14,True,24,True,14,active,0,False,2020-08-20 14:41:41+00:00,,,2020-08-20 14:52:10,2020
12,True,0,0,5,15,True,10,True,15,active,0,False,2020-08-20 14:27:40+00:00,,,2020-08-20 14:52:10,2020
13,True,0,0,18,16,True,1,True,16,active,0,True,2020-08-20 14:47:59+00:00,,,2020-08-20 14:52:10,2020
14,True,1,0,7,17,True,7,True,17,active,0,False,2020-08-20 14:49:49+00:00,,,2020-08-20 14:52:10,2020
15,True,0,0,14,19,True,1,True,19,active,0,False,2020-08-20 14:38:09+00:00,,,2020-08-20 14:52:10,2020
16,True,0,0,15,20,True,8,True,20,active,0,True,2020-08-20 13:32:45+00:00,,,2020-08-20 14:52:10,2020
17,True,0,0,8,21,True,10,True,21,active,0,True,2020-08-20 14:50:20+00:00,,,2020-08-20 14:52:10,2020
18,True,1,0,25,22,True,21,True,22,active,0,True,2020-08-20 14:47:33+00:00,,,2020-08-20 14:52:10,2020
19,True,0,0,4,23,True,17,True,23,active,0,False,2020-08-20 14:50:30+00:00,,,2020-08-20 14:52:10,2020
20,True,2,0,7,24,True,10,True,24,active,0,False,2020-08-20 14:31:08+00:00,,,2020-08-20 14:52:10,2020
21,True,0,0,6,25,True,9,True,25,active,0,False,2020-08-20 14:49:59+00:00,,,2020-08-20 14:52:10,2020
22,True,0,0,9,26,True,6,True,26,active,0,False,2020-08-20 14:24:11+00:00,,,2020-08-20 14:52:10,2020
23,True,0,0,8,27,True,15,True,27,active,0,False,2020-08-20 14:51:05+00:00,,,2020-08-20 14:52:10,2020
24,True,1,0,10,29,True,4,True,29,active,0,False,2020-08-20 13:39:01+00:00,,,2020-08-20 14:52:10,2020
25,True,0,0,4,30,True,11,True,30,active,0,False,2020-08-20 14:24:03+00:00,,,2020-08-20 14:52:10,2020
26,True,0,0,18,31,True,1,True,31,active,0,True,2020-08-20 12:25:04+00:00,,,2020-08-20 14:52:10,2020
27,True,0,0,2,32,True,13,True,32,active,0,False,2020-08-20 14:34:40+00:00,,,2020-08-20 14:52:10,2020
28,True,0,0,10,33,True,17,True,33,active,0,False,2020-08-20 14:21:24+00:00,,,2020-08-20 14:52:10,2020
29,True,1,0,7,35,True,15,True,35,active,0,False,2020-08-20 14:51:24+00:00,,,2020-08-20 14:52:10,2020
30,True,2,0,13,36,True,18,True,36,active,0,True,2020-08-20 14:46:59+00:00,,,2020-08-20 14:52:10,2020
31,True,0,0,2,37,True,13,True,37,active,0,True,2020-08-20 13:42:23+00:00,,,2020-08-20 14:52:10,2020
32,True,0,0,15,39,True,8,True,39,active,0,False,2020-08-20 14:34:58+00:00,,,2020-08-20 14:52:10,2020
33,True,0,0,18,40,True,1,True,40,active,0,False,2020-08-20 14:47:20+00:00,,,2020-08-20 14:52:10,2020
34,True,1,0,16,41,True,10,True,41,active,0,True,2020-08-20 14:41:48+00:00,,,2020-08-20 14:52:10,2020
35,True,1,0,7,42,True,15,True,42,active,0,False,2020-08-20 14:46:22+00:00,,,2020-08-20 14:52:10,2020
36,True,0,0,3,43,True,12,True,43,active,0,True,2020-08-20 14:49:08+00:00,,,2020-08-20 14:52:10,2020
37,True,0,0,8,44,True,15,True,44,active,0,False,2020-08-20 14:27:33+00:00,,,2020-08-20 14:52:10,2020
38,True,0,0,18,46,True,1,True,46,active,0,False,2020-08-20 14:50:06+00:00,,,2020-08-20 14:52:10,2020
39,True,0,0,19,47,True,0,True,47,active,0,True,2020-08-20 14:13:17+00:00,,,2020-08-20 14:52:10,2020
40,True,0,0,5,48,True,14,True,48,active,0,False,2020-08-20 14:03:52+00:00,,,2020-08-20 14:52:10,2020
41,True,0,0,4,49,True,14,True,49,active,0,False,2020-08-20 13:07:36+00:00,,,2020-08-20 14:52:10,2020
42,True,1,0,11,50,True,3,True,50,active,0,True,2020-08-20 14:40:45+00:00,,,2020-08-20 14:52:10,2020
43,True,1,0,6,51,True,8,True,51,active,0,False,2020-08-20 14:27:05+00:00,,,2020-08-20 14:52:10,2020
44,True,0,0,21,52,True,2,True,52,active,0,True,2020-08-20 14:30:16+00:00,,,2020-08-20 14:52:10,2020
45,True,1,0,15,53,True,3,True,53,active,0,False,2020-08-20 14:48:23+00:00,,,2020-08-20 14:52:10,2020
46,True,2,0,7,54,True,6,True,54,active,0,False,2020-08-20 13:58:26+00:00,,,2020-08-20 14:52:10,2020
