,is_renting,legacy_id,num_docks_available,eightd_has_available_keys,num_bikes_available,is_returning,station_id,num_bikes_disabled,is_installed,num_docks_disabled,num_ebikes_available,station_status,last_reported,timestamp_of_data_read_request,year_station_last_reported
156,True,182,15,True,4,True,182,0,True,0,0,active,2020-08-18 23:06:03+00:00,2020-08-18 23:19:40,2020
157,True,183,13,False,6,True,183,0,True,0,0,active,2020-08-18 23:11:49+00:00,2020-08-18 23:19:40,2020
158,True,184,11,False,8,True,184,0,True,0,0,active,2020-08-18 23:01:14+00:00,2020-08-18 23:19:40,2020
159,True,185,12,False,2,True,185,1,True,0,0,active,2020-08-18 23:18:12+00:00,2020-08-18 23:19:40,2020
160,True,186,15,True,0,True,186,0,True,0,0,active,2020-08-18 22:47:27+00:00,2020-08-18 23:19:40,2020
161,True,187,6,False,9,True,187,0,True,0,0,active,2020-08-18 23:09:45+00:00,2020-08-18 23:19:40,2020
162,True,188,2,False,13,True,188,0,True,0,0,active,2020-08-18 23:08:04+00:00,2020-08-18 23:19:40,2020
163,True,189,6,True,17,True,189,0,True,0,0,active,2020-08-18 23:18:16+00:00,2020-08-18 23:19:40,2020
164,True,190,14,True,21,True,190,2,True,0,0,active,2020-08-18 23:04:37+00:00,2020-08-18 23:19:40,2020
165,True,191,13,False,2,True,191,0,True,0,0,active,2020-08-18 22:43:55+00:00,2020-08-18 23:19:40,2020
166,True,192,17,False,2,True,192,0,True,0,0,active,2020-08-18 23:16:09+00:00,2020-08-18 23:19:40,2020
167,True,193,13,True,2,True,193,0,True,0,0,active,2020-08-18 22:32:25+00:00,2020-08-18 23:19:40,2020
168,True,194,14,False,2,True,194,3,True,0,0,active,2020-08-18 21:44:37+00:00,2020-08-18 23:19:40,2020
169,True,195,13,False,10,True,195,0,True,0,0,active,2020-08-18 23:05:44+00:00,2020-08-18 23:19:40,2020
170,True,196,10,False,0,True,196,0,True,0,0,active,2020-08-18 21:20:25+00:00,2020-08-18 23:19:40,2020
171,True,197,7,False,8,True,197,0,True,0,0,active,2020-08-18 22:30:39+00:00,2020-08-18 23:19:40,2020
172,True,199,6,False,9,True,199,0,True,0,0,active,2020-08-18 21:21:35+00:00,2020-08-18 23:19:40,2020
173,True,200,6,False,13,True,200,0,True,0,0,active,2020-08-18 23:19:20+00:00,2020-08-18 23:19:40,2020
174,True,201,11,False,4,True,201,0,True,0,0,active,2020-08-18 22:29:02+00:00,2020-08-18 23:19:40,2020
175,True,202,12,False,3,True,202,0,True,0,0,active,2020-08-18 21:38:52+00:00,2020-08-18 23:19:40,2020
176,True,203,8,False,6,True,203,1,True,0,0,active,2020-08-18 22:44:51+00:00,2020-08-18 23:19:40,2020
177,True,204,13,False,2,True,204,0,True,0,0,active,2020-08-18 21:52:14+00:00,2020-08-18 23:19:40,2020
178,True,205,12,False,3,True,205,0,True,0,0,active,2020-08-18 21:47:42+00:00,2020-08-18 23:19:40,2020
179,True,206,18,True,4,True,206,1,True,0,0,active,2020-08-18 23:06:41+00:00,2020-08-18 23:19:40,2020
180,True,208,4,True,11,True,208,0,True,0,0,active,2020-08-18 22:57:27+00:00,2020-08-18 23:19:40,2020
181,True,209,2,False,12,True,209,1,True,0,0,active,2020-08-18 21:20:16+00:00,2020-08-18 23:19:40,2020
182,True,210,11,False,3,True,210,1,True,0,0,active,2020-08-18 18:50:30+00:00,2020-08-18 23:19:40,2020
183,True,211,15,False,4,True,211,0,True,0,0,active,2020-08-18 23:02:58+00:00,2020-08-18 23:19:40,2020
184,True,212,30,False,3,True,212,0,True,0,0,active,2020-08-18 23:11:22+00:00,2020-08-18 23:19:40,2020
185,True,213,16,True,0,True,213,0,True,0,0,active,2020-08-18 21:21:10+00:00,2020-08-18 23:19:40,2020
186,True,214,9,False,5,True,214,1,True,0,0,active,2020-08-18 23:19:24+00:00,2020-08-18 23:19:40,2020
187,True,215,3,False,10,True,215,2,True,0,0,active,2020-08-18 23:17:07+00:00,2020-08-18 23:19:40,2020
188,True,216,0,False,19,True,216,0,True,0,0,active,2020-08-18 23:12:50+00:00,2020-08-18 23:19:40,2020
189,True,217,7,False,11,True,217,1,True,0,0,active,2020-08-18 22:49:59+00:00,2020-08-18 23:19:40,2020
190,True,218,2,False,11,True,218,2,True,0,0,active,2020-08-18 23:05:30+00:00,2020-08-18 23:19:40,2020
191,True,219,13,False,2,True,219,0,True,0,0,active,2020-08-18 21:48:43+00:00,2020-08-18 23:19:40,2020
192,True,221,14,False,4,True,221,1,True,0,0,active,2020-08-18 22:59:20+00:00,2020-08-18 23:19:40,2020
193,True,222,14,True,0,True,222,0,True,0,0,active,2020-08-18 22:24:44+00:00,2020-08-18 23:19:40,2020
194,True,224,4,False,12,True,224,1,True,0,0,active,2020-08-18 23:06:42+00:00,2020-08-18 23:19:40,2020
195,True,225,10,False,8,True,225,1,True,0,0,active,2020-08-18 23:09:23+00:00,2020-08-18 23:19:40,2020
196,True,226,12,False,2,True,226,1,True,0,0,active,2020-08-18 23:16:45+00:00,2020-08-18 23:19:40,2020
197,True,227,15,False,2,True,227,2,True,0,0,active,2020-08-18 23:10:30+00:00,2020-08-18 23:19:40,2020
198,True,228,14,False,5,True,228,0,True,0,0,active,2020-08-18 23:11:22+00:00,2020-08-18 23:19:40,2020
199,True,232,9,False,2,True,232,0,True,0,0,active,2020-08-18 23:08:38+00:00,2020-08-18 23:19:40,2020
200,True,233,11,False,3,True,233,1,True,0,0,active,2020-08-18 23:13:34+00:00,2020-08-18 23:19:40,2020
201,True,234,14,False,1,True,234,0,True,0,0,active,2020-08-18 22:32:42+00:00,2020-08-18 23:19:40,2020
202,True,235,12,False,3,True,235,0,True,0,0,active,2020-08-18 22:57:39+00:00,2020-08-18 23:19:40,2020
203,True,236,9,False,6,True,236,0,True,0,0,active,2020-08-18 22:53:52+00:00,2020-08-18 23:19:40,2020
204,True,239,4,False,10,True,239,1,True,0,0,active,2020-08-18 23:15:31+00:00,2020-08-18 23:19:40,2020
205,True,255,8,False,6,True,255,1,True,0,0,active,2020-08-18 22:20:19+00:00,2020-08-18 23:19:40,2020
206,True,258,7,False,8,True,258,0,True,0,0,active,2020-08-18 23:18:08+00:00,2020-08-18 23:19:40,2020
207,True,259,5,False,10,True,259,0,True,0,0,active,2020-08-18 17:28:18+00:00,2020-08-18 23:19:40,2020
208,True,260,10,False,5,True,260,0,True,0,0,active,2020-08-18 21:49:05+00:00,2020-08-18 23:19:40,2020
209,True,271,3,False,12,True,271,0,True,0,0,active,2020-08-18 23:11:53+00:00,2020-08-18 23:19:40,2020
210,True,272,7,False,12,True,272,0,True,0,0,active,2020-08-18 21:45:45+00:00,2020-08-18 23:19:40,2020
211,True,273,16,False,24,True,273,0,True,0,0,active,2020-08-18 23:07:42+00:00,2020-08-18 23:19:40,2020
212,True,279,0,False,19,True,279,0,True,0,0,active,2020-08-18 23:17:20+00:00,2020-08-18 23:19:40,2020
213,True,280,5,False,14,True,280,0,True,0,0,active,2020-08-18 22:54:33+00:00,2020-08-18 23:19:40,2020
214,True,282,4,False,11,True,282,0,True,0,0,active,2020-08-18 23:11:54+00:00,2020-08-18 23:19:40,2020
215,True,296,5,False,17,True,296,1,True,0,0,active,2020-08-18 23:07:08+00:00,2020-08-18 23:19:40,2020
216,True,318,13,False,6,True,318,0,True,0,0,active,2020-08-18 23:18:24+00:00,2020-08-18 23:19:40,2020
217,True,319,17,False,8,True,319,0,True,0,0,active,2020-08-18 23:07:32+00:00,2020-08-18 23:19:40,2020
218,True,327,11,False,4,True,327,0,True,0,0,active,2020-08-18 22:41:51+00:00,2020-08-18 23:19:40,2020
219,True,328,8,False,7,True,328,0,True,0,0,active,2020-08-18 23:07:19+00:00,2020-08-18 23:19:40,2020
220,True,329,1,False,13,True,329,1,True,0,0,active,2020-08-18 21:14:17+00:00,2020-08-18 23:19:40,2020
221,True,330,13,False,2,True,330,0,True,0,0,active,2020-08-18 22:56:44+00:00,2020-08-18 23:19:40,2020
222,True,331,12,False,3,True,331,0,True,0,0,active,2020-08-18 23:17:17+00:00,2020-08-18 23:19:40,2020
223,True,332,9,False,5,True,332,1,True,0,0,active,2020-08-18 23:19:19+00:00,2020-08-18 23:19:40,2020
224,True,333,4,False,21,True,333,0,True,0,0,active,2020-08-18 22:30:06+00:00,2020-08-18 23:19:40,2020
225,True,334,1,False,18,True,334,0,True,0,0,active,2020-08-18 23:10:34+00:00,2020-08-18 23:19:40,2020
226,True,335,16,False,3,True,335,0,True,0,0,active,2020-08-18 23:06:26+00:00,2020-08-18 23:19:40,2020
227,True,336,12,False,3,True,336,0,True,0,0,active,2020-08-18 21:08:08+00:00,2020-08-18 23:19:40,2020
228,True,337,2,False,13,True,337,0,True,0,0,active,2020-08-18 21:44:03+00:00,2020-08-18 23:19:40,2020
229,True,338,8,False,7,True,338,0,True,0,0,active,2020-08-18 23:06:38+00:00,2020-08-18 23:19:40,2020
230,True,339,7,False,8,True,339,0,True,0,0,active,2020-08-18 22:28:06+00:00,2020-08-18 23:19:40,2020
231,True,340,1,False,18,True,340,0,True,0,0,active,2020-08-18 19:23:25+00:00,2020-08-18 23:19:40,2020
232,True,341,4,True,11,True,341,0,True,0,0,active,2020-08-18 22:53:28+00:00,2020-08-18 23:19:40,2020
233,True,342,12,False,3,True,342,0,True,0,0,active,2020-08-18 23:16:48+00:00,2020-08-18 23:19:40,2020
234,True,343,10,False,4,True,343,1,True,0,0,active,2020-08-18 21:51:30+00:00,2020-08-18 23:19:40,2020
235,True,344,6,False,13,True,344,0,True,0,0,active,2020-08-18 23:09:49+00:00,2020-08-18 23:19:40,2020
236,True,345,5,False,13,True,345,1,True,0,0,active,2020-08-18 23:11:11+00:00,2020-08-18 23:19:40,2020
237,True,346,11,False,4,True,346,0,True,0,0,active,2020-08-18 23:03:25+00:00,2020-08-18 23:19:40,2020
