,num_docks_available,station_status,num_docks_disabled,eightd_has_available_keys,num_bikes_available,num_ebikes_available,is_renting,is_installed,last_reported,station_id,is_returning,legacy_id,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
71,35,active,0,False,0,0,True,True,2020-08-12 00:14:01+00:00,80,True,80,0,2020-08-12 00:47:25,2020
72,4,active,0,False,12,0,True,True,2020-08-12 00:35:45+00:00,81,True,81,3,2020-08-12 00:47:25,2020
73,10,active,0,False,5,0,True,True,2020-08-12 00:45:55+00:00,82,True,82,0,2020-08-12 00:47:25,2020
74,2,active,0,False,13,0,True,True,2020-08-12 00:34:39+00:00,84,True,84,0,2020-08-12 00:47:25,2020
75,19,active,0,False,0,0,True,True,2020-08-12 00:30:40+00:00,85,True,85,0,2020-08-12 00:47:25,2020
76,12,active,0,False,7,0,True,True,2020-08-12 00:28:27+00:00,86,True,86,0,2020-08-12 00:47:25,2020
77,5,active,0,False,10,0,True,True,2020-08-12 00:42:54+00:00,87,True,87,0,2020-08-12 00:47:25,2020
78,12,active,0,False,7,0,True,True,2020-08-12 00:35:05+00:00,89,True,89,0,2020-08-12 00:47:25,2020
79,2,active,0,False,17,0,True,True,2020-08-12 00:35:17+00:00,90,True,90,0,2020-08-12 00:47:25,2020
80,18,active,0,False,0,0,True,True,2020-08-12 00:30:25+00:00,91,True,91,1,2020-08-12 00:47:25,2020
81,9,active,0,False,9,0,True,True,2020-08-12 00:24:18+00:00,92,True,92,1,2020-08-12 00:47:25,2020
82,2,active,0,False,11,0,True,True,2020-08-11 22:52:35+00:00,93,True,93,2,2020-08-12 00:47:25,2020
83,3,active,0,False,8,0,True,True,2020-08-12 00:30:12+00:00,94,True,94,0,2020-08-12 00:47:25,2020
84,12,active,0,False,2,0,True,True,2020-08-12 00:22:10+00:00,95,True,95,1,2020-08-12 00:47:25,2020
85,4,active,0,False,14,0,True,True,2020-08-12 00:06:32+00:00,96,True,96,1,2020-08-12 00:47:25,2020
86,3,active,0,False,16,0,True,True,2020-08-12 00:46:49+00:00,97,True,97,0,2020-08-12 00:47:25,2020
87,11,active,0,False,12,0,False,True,2020-08-11 17:39:33+00:00,98,False,98,0,2020-08-12 00:47:25,2020
88,8,active,0,False,7,0,True,True,2020-08-12 00:28:51+00:00,99,True,99,0,2020-08-12 00:47:25,2020
89,2,active,0,True,22,0,True,True,2020-08-12 00:11:14+00:00,100,True,100,1,2020-08-12 00:47:25,2020
90,6,active,0,False,9,0,True,True,2020-08-12 00:26:22+00:00,101,True,101,0,2020-08-12 00:47:25,2020
