,is_installed,last_reported,num_bikes_available,num_ebikes_available,station_id,num_bikes_disabled,station_status,is_returning,legacy_id,num_docks_disabled,eightd_has_available_keys,num_docks_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,2020-07-29 22:50:03+00:00,0,0,3,2,active,True,3,0,True,13,True,,,2020-07-29 22:50:30,2020
1,True,2020-07-29 22:39:12+00:00,18,0,4,1,active,True,4,0,False,0,True,,,2020-07-29 22:50:30,2020
2,True,2020-07-29 22:49:38+00:00,0,0,5,0,active,True,5,0,False,15,True,,,2020-07-29 22:50:30,2020
3,True,2020-07-29 22:47:08+00:00,7,0,6,0,active,True,6,0,False,8,True,,,2020-07-29 22:50:30,2020
4,True,2020-07-29 21:40:19+00:00,7,0,7,0,active,True,7,0,False,8,True,,,2020-07-29 22:50:30,2020
5,True,2020-07-29 22:48:40+00:00,3,0,8,1,active,True,8,0,False,15,True,,,2020-07-29 22:50:30,2020
6,True,2020-07-29 22:44:43+00:00,7,0,9,1,active,True,9,0,False,7,True,,,2020-07-29 22:50:30,2020
7,True,2020-07-29 21:45:24+00:00,2,0,10,1,active,True,10,0,False,8,True,,,2020-07-29 22:50:30,2020
8,True,2020-07-29 22:40:54+00:00,0,0,11,1,active,True,11,0,False,14,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 50, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'off_dock_count': 12, 'valet_revision': 69, 'dock_blocked_count': 0}",2020-07-29 22:50:30,2020
9,True,2020-07-29 22:47:39+00:00,13,0,12,1,active,True,12,0,True,4,True,,,2020-07-29 22:50:30,2020
10,True,2020-07-29 22:46:07+00:00,6,0,13,0,active,True,13,0,False,13,True,,,2020-07-29 22:50:30,2020
11,True,2020-07-29 22:39:54+00:00,0,0,14,0,active,True,14,0,False,25,True,,,2020-07-29 22:50:30,2020
12,True,2020-07-29 22:44:33+00:00,10,0,15,0,active,True,15,0,False,5,True,,,2020-07-29 22:50:30,2020
13,True,2020-07-29 22:50:10+00:00,12,0,16,2,active,True,16,0,True,5,True,,,2020-07-29 22:50:30,2020
14,True,2020-07-29 22:38:23+00:00,7,0,17,0,active,True,17,0,False,8,True,,,2020-07-29 22:50:30,2020
15,True,2020-07-29 22:49:44+00:00,3,0,19,0,active,True,19,0,False,12,True,,,2020-07-29 22:50:30,2020
16,True,2020-07-29 22:43:44+00:00,15,0,20,1,active,True,20,0,False,7,True,,,2020-07-29 22:50:30,2020
17,True,2020-07-29 22:33:54+00:00,5,0,21,0,active,True,21,0,False,13,True,,,2020-07-29 22:50:30,2020
18,True,2020-07-29 22:44:01+00:00,13,0,22,2,active,True,22,0,True,32,True,,,2020-07-29 22:50:30,2020
19,True,2020-07-29 22:43:53+00:00,2,0,23,0,active,True,23,0,True,19,True,,,2020-07-29 22:50:30,2020
20,True,2020-07-29 22:28:19+00:00,9,0,24,0,active,True,24,0,False,10,True,,,2020-07-29 22:50:30,2020
21,True,2020-07-29 22:34:25+00:00,9,0,25,0,active,False,25,0,False,6,False,,,2020-07-29 22:50:30,2020
22,True,2020-07-29 22:49:03+00:00,4,0,26,1,active,True,26,0,False,10,True,,,2020-07-29 22:50:30,2020
23,True,2020-07-29 22:49:34+00:00,5,0,27,2,active,True,27,0,False,16,True,,,2020-07-29 22:50:30,2020
24,True,2020-07-29 22:09:15+00:00,12,0,29,0,active,True,29,0,False,3,True,,,2020-07-29 22:50:30,2020
25,True,2020-07-29 22:40:50+00:00,0,0,30,0,active,True,30,0,False,15,True,,,2020-07-29 22:50:30,2020
26,True,2020-07-29 22:11:37+00:00,7,0,31,1,active,True,31,0,True,11,True,,,2020-07-29 22:50:30,2020
27,True,2020-07-29 22:48:15+00:00,11,0,32,1,active,True,32,0,False,3,True,,,2020-07-29 22:50:30,2020
28,True,2020-07-29 22:32:39+00:00,17,0,33,1,active,True,33,0,False,9,True,,,2020-07-29 22:50:30,2020
29,True,2020-07-29 22:31:04+00:00,14,0,35,0,active,True,35,0,False,9,True,,,2020-07-29 22:50:30,2020
30,True,2020-07-29 22:40:59+00:00,22,0,36,0,active,True,36,0,True,11,True,,,2020-07-29 22:50:30,2020
31,True,2020-07-29 22:35:10+00:00,4,0,37,0,active,True,37,0,True,11,True,,,2020-07-29 22:50:30,2020
32,True,2020-07-29 22:48:21+00:00,7,0,39,1,active,True,39,0,False,15,True,,,2020-07-29 22:50:30,2020
33,True,2020-07-29 22:49:03+00:00,2,0,40,0,active,True,40,0,False,17,True,,,2020-07-29 22:50:30,2020
34,True,2020-07-29 22:50:00+00:00,6,0,41,1,active,True,41,0,True,20,True,,,2020-07-29 22:50:30,2020
35,True,2020-07-29 22:36:43+00:00,20,0,42,2,active,True,42,0,False,1,True,,,2020-07-29 22:50:30,2020
36,True,2020-07-29 22:36:28+00:00,4,0,43,0,active,True,43,0,True,11,True,,,2020-07-29 22:50:30,2020
37,True,2020-07-29 22:46:56+00:00,13,0,44,1,active,True,44,0,False,9,True,,,2020-07-29 22:50:30,2020
38,True,2020-07-29 22:46:43+00:00,12,0,46,2,active,True,46,0,False,5,True,,,2020-07-29 22:50:30,2020
39,True,2020-07-29 22:48:34+00:00,10,0,47,1,active,True,47,0,True,8,True,,,2020-07-29 22:50:30,2020
40,True,2020-07-29 22:44:54+00:00,2,0,48,0,active,True,48,0,False,17,True,,,2020-07-29 22:50:30,2020
41,True,2020-07-29 22:09:23+00:00,4,0,49,0,active,True,49,0,False,14,True,,,2020-07-29 22:50:30,2020
42,True,2020-07-29 22:48:10+00:00,11,0,50,0,active,True,50,0,True,4,True,,,2020-07-29 22:50:30,2020
43,True,2020-07-29 22:47:03+00:00,2,0,51,1,active,True,51,0,False,12,True,,,2020-07-29 22:50:30,2020
44,True,2020-07-29 22:49:28+00:00,18,0,52,0,active,True,52,0,True,5,True,,,2020-07-29 22:50:30,2020
45,True,2020-07-29 22:47:06+00:00,19,0,53,0,active,True,53,0,False,0,True,,,2020-07-29 22:50:30,2020
46,True,2020-07-29 22:30:52+00:00,1,0,54,1,active,True,54,0,False,13,True,,,2020-07-29 22:50:30,2020
47,True,2020-07-29 22:46:10+00:00,0,0,55,2,active,True,55,0,False,13,True,,,2020-07-29 22:50:30,2020
48,True,2020-07-29 22:26:47+00:00,12,0,56,0,active,True,56,0,True,6,True,,,2020-07-29 22:50:30,2020
49,True,2020-07-29 22:41:53+00:00,0,0,57,0,active,True,57,0,True,14,True,,,2020-07-29 22:50:30,2020
50,True,2020-07-29 22:50:16+00:00,16,0,58,0,active,True,58,0,True,3,True,,,2020-07-29 22:50:30,2020
51,True,2020-07-29 22:24:02+00:00,0,0,59,0,active,True,59,0,True,19,True,,,2020-07-29 22:50:30,2020
52,True,2020-07-29 22:48:50+00:00,11,0,60,0,active,True,60,0,False,8,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 40, 'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'off_dock_count': 2, 'valet_revision': 61, 'dock_blocked_count': 0}",2020-07-29 22:50:30,2020
53,True,2020-07-29 22:44:29+00:00,7,0,61,0,active,True,61,0,False,12,True,,,2020-07-29 22:50:30,2020
54,True,2020-07-29 22:02:32+00:00,9,0,63,0,active,True,63,0,False,6,True,,,2020-07-29 22:50:30,2020
55,True,2020-07-29 22:49:24+00:00,13,0,64,2,active,True,64,0,False,4,True,,,2020-07-29 22:50:30,2020
56,True,2020-07-29 22:08:42+00:00,11,0,65,1,active,True,65,0,False,11,True,,,2020-07-29 22:50:30,2020
57,True,2020-07-29 22:45:42+00:00,5,0,66,1,active,True,66,0,False,9,True,,,2020-07-29 22:50:30,2020
58,True,2020-07-29 22:45:24+00:00,14,0,67,2,active,True,67,0,True,11,True,,,2020-07-29 22:50:30,2020
59,True,2020-07-29 22:47:19+00:00,7,0,68,1,active,True,68,0,True,11,True,,,2020-07-29 22:50:30,2020
60,True,2020-07-29 22:14:52+00:00,7,0,69,0,active,True,69,0,True,12,True,,,2020-07-29 22:50:30,2020
61,True,2020-07-29 22:50:13+00:00,8,0,70,0,active,True,70,0,False,15,True,,,2020-07-29 22:50:30,2020
62,True,2020-07-29 22:43:30+00:00,21,0,71,0,active,True,71,0,False,2,True,,,2020-07-29 22:50:30,2020
63,True,2020-07-29 22:42:11+00:00,8,0,72,0,active,True,72,0,False,15,True,,,2020-07-29 22:50:30,2020
64,True,2020-07-29 22:07:00+00:00,8,0,73,1,active,True,73,0,False,6,True,,,2020-07-29 22:50:30,2020
65,True,2020-07-29 22:48:28+00:00,16,0,74,1,active,True,74,0,True,2,True,,,2020-07-29 22:50:30,2020
66,True,2020-07-29 22:38:51+00:00,0,0,75,0,active,True,75,0,False,15,True,,,2020-07-29 22:50:30,2020
67,True,2020-07-29 22:49:35+00:00,2,0,76,1,active,True,76,0,False,14,True,,,2020-07-29 22:50:30,2020
68,True,2020-07-29 22:30:57+00:00,5,0,77,0,active,True,77,0,False,10,True,,,2020-07-29 22:50:30,2020
