,num_bikes_available,valet,last_reported,is_returning,legacy_id,num_bikes_disabled,station_status,num_docks_disabled,num_ebikes_available,station_id,is_installed,is_renting,eightd_has_available_keys,num_docks_available,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,3,,2020-08-02 17:39:45+00:00,True,48,0,active,0,0,48,True,True,False,16,,2020-08-02 17:47:25,2020
42,3,,2020-08-02 17:07:20+00:00,True,49,0,active,0,0,49,True,True,False,15,,2020-08-02 17:47:25,2020
43,13,,2020-08-02 17:25:54+00:00,True,50,0,active,0,0,50,True,True,True,2,,2020-08-02 17:47:25,2020
44,13,,2020-08-02 16:56:17+00:00,True,51,0,active,0,0,51,True,True,False,2,,2020-08-02 17:47:25,2020
45,6,,2020-08-02 17:42:14+00:00,True,52,1,active,0,0,52,True,True,True,16,,2020-08-02 17:47:25,2020
46,2,,2020-08-02 17:40:27+00:00,True,53,2,active,0,0,53,True,True,False,15,,2020-08-02 17:47:25,2020
47,11,,2020-08-02 17:46:58+00:00,True,54,1,active,0,0,54,True,True,False,3,,2020-08-02 17:47:25,2020
48,4,,2020-08-02 17:45:19+00:00,True,55,0,active,0,0,55,True,True,False,11,,2020-08-02 17:47:25,2020
49,10,,2020-08-02 16:22:13+00:00,True,56,0,active,0,0,56,True,True,True,8,,2020-08-02 17:47:25,2020
50,5,,2020-08-02 17:28:41+00:00,True,57,0,active,0,0,57,True,True,True,9,,2020-08-02 17:47:25,2020
51,15,,2020-08-02 17:46:24+00:00,True,58,0,active,0,0,58,True,True,True,4,,2020-08-02 17:47:25,2020
52,8,,2020-08-02 17:37:52+00:00,True,59,0,active,0,0,59,True,True,True,11,,2020-08-02 17:47:25,2020
53,5,,2020-08-02 17:41:13+00:00,True,60,2,active,0,0,60,True,True,False,12,,2020-08-02 17:47:25,2020
54,10,,2020-08-02 17:45:40+00:00,True,61,0,active,0,0,61,True,True,False,9,,2020-08-02 17:47:25,2020
55,0,,2020-08-02 15:46:18+00:00,True,63,0,active,0,0,63,True,True,False,15,,2020-08-02 17:47:25,2020
56,7,,2020-08-02 17:38:09+00:00,True,64,0,active,0,0,64,True,True,False,12,,2020-08-02 17:47:25,2020
57,23,,2020-08-02 17:37:17+00:00,True,65,0,active,0,0,65,True,True,False,0,,2020-08-02 17:47:25,2020
58,9,,2020-08-02 17:33:02+00:00,True,66,1,active,0,0,66,True,True,False,5,,2020-08-02 17:47:25,2020
59,3,,2020-08-02 17:37:13+00:00,True,67,2,active,0,0,67,True,True,True,22,,2020-08-02 17:47:25,2020
