,is_installed,is_renting,is_returning,num_ebikes_available,num_bikes_available,num_bikes_disabled,station_id,station_status,num_docks_available,legacy_id,eightd_has_available_keys,last_reported,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,True,True,0,0,0,3,active,15,3,True,2020-07-29 06:09:47+00:00,0,,,2020-07-29 07:25:05,2020
1,True,True,True,0,12,1,4,active,6,4,False,2020-07-29 06:24:08+00:00,0,,,2020-07-29 07:25:05,2020
2,True,True,True,0,5,0,5,active,10,5,False,2020-07-29 06:37:49+00:00,0,,,2020-07-29 07:25:05,2020
3,True,True,True,0,5,0,6,active,10,6,False,2020-07-29 04:25:07+00:00,0,,,2020-07-29 07:25:05,2020
4,True,True,True,0,1,0,7,active,14,7,False,2020-07-29 01:18:59+00:00,0,,,2020-07-29 07:25:05,2020
5,True,True,True,0,17,1,8,active,1,8,False,2020-07-29 06:11:17+00:00,0,,,2020-07-29 07:25:05,2020
6,True,True,True,0,4,1,9,active,10,9,False,2020-07-29 06:33:09+00:00,0,,,2020-07-29 07:25:05,2020
7,True,True,True,0,9,0,10,active,2,10,False,2020-07-29 04:00:11+00:00,0,,,2020-07-29 07:25:05,2020
8,True,True,True,0,0,2,11,active,13,11,False,2020-07-29 06:13:26+00:00,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 2, 'off_dock_capacity': 50, 'dock_blocked_count': 0, 'valet_revision': 69}",2020-07-29 07:25:05,2020
9,True,True,True,0,3,0,12,active,15,12,True,2020-07-29 04:26:52+00:00,0,,,2020-07-29 07:25:05,2020
10,True,True,True,0,0,0,13,active,19,13,False,2020-07-29 03:20:49+00:00,0,,,2020-07-29 07:25:05,2020
11,True,True,True,0,0,0,14,active,25,14,False,2020-07-29 01:55:26+00:00,0,,,2020-07-29 07:25:05,2020
12,True,True,True,0,9,0,15,active,6,15,False,2020-07-29 04:21:32+00:00,0,,,2020-07-29 07:25:05,2020
13,True,True,True,0,9,2,16,active,8,16,True,2020-07-29 06:56:03+00:00,0,,,2020-07-29 07:25:05,2020
14,True,True,True,0,14,0,17,active,1,17,False,2020-07-29 02:53:39+00:00,0,,,2020-07-29 07:25:05,2020
15,True,True,True,0,13,0,19,active,2,19,False,2020-07-29 04:22:01+00:00,0,,,2020-07-29 07:25:05,2020
16,True,True,True,0,23,0,20,active,0,20,True,2020-07-29 05:07:04+00:00,0,,,2020-07-29 07:25:05,2020
17,True,True,True,0,7,0,21,active,11,21,True,2020-07-29 05:08:44+00:00,0,,,2020-07-29 07:25:05,2020
18,True,True,True,0,0,0,22,active,47,22,False,2020-07-29 03:20:08+00:00,0,,,2020-07-29 07:25:05,2020
19,True,True,True,0,3,0,23,active,18,23,True,2020-07-29 04:21:00+00:00,0,,,2020-07-29 07:25:05,2020
20,True,True,True,0,1,0,24,active,18,24,False,2020-07-29 01:59:15+00:00,0,,,2020-07-29 07:25:05,2020
21,True,False,False,0,15,0,25,active,0,25,False,2020-07-29 02:30:10+00:00,0,,,2020-07-29 07:25:05,2020
22,True,True,True,0,10,1,26,active,4,26,False,2020-07-29 04:15:28+00:00,0,,,2020-07-29 07:25:05,2020
23,True,True,True,0,18,0,27,active,5,27,False,2020-07-29 05:33:33+00:00,0,,,2020-07-29 07:25:05,2020
24,True,True,True,0,9,0,29,active,6,29,False,2020-07-29 01:16:11+00:00,0,,,2020-07-29 07:25:05,2020
25,True,True,True,0,2,0,30,active,13,30,False,2020-07-29 06:47:08+00:00,0,,,2020-07-29 07:25:05,2020
26,True,True,True,0,3,1,31,active,15,31,True,2020-07-29 03:45:45+00:00,0,,,2020-07-29 07:25:05,2020
27,True,True,True,0,3,0,32,active,12,32,False,2020-07-29 06:13:09+00:00,0,,,2020-07-29 07:25:05,2020
28,True,True,True,0,14,0,33,active,13,33,False,2020-07-29 05:19:17+00:00,0,,,2020-07-29 07:25:05,2020
29,True,True,True,0,2,1,35,active,20,35,False,2020-07-29 01:27:12+00:00,0,,,2020-07-29 07:25:05,2020
30,True,True,True,0,19,1,36,active,13,36,True,2020-07-29 05:12:48+00:00,0,,,2020-07-29 07:25:05,2020
31,True,True,True,0,2,0,37,active,13,37,True,2020-07-29 01:10:00+00:00,0,,,2020-07-29 07:25:05,2020
32,True,True,True,0,10,1,39,active,12,39,False,2020-07-29 04:41:07+00:00,0,,,2020-07-29 07:25:05,2020
33,True,True,True,0,18,0,40,active,1,40,False,2020-07-29 05:54:47+00:00,0,,,2020-07-29 07:25:05,2020
34,True,True,True,0,16,1,41,active,10,41,True,2020-07-29 06:29:40+00:00,0,,,2020-07-29 07:25:05,2020
35,True,True,True,0,8,1,42,active,14,42,False,2020-07-29 04:16:18+00:00,0,,,2020-07-29 07:25:05,2020
36,True,True,True,0,2,0,43,active,13,43,True,2020-07-29 01:36:20+00:00,0,,,2020-07-29 07:25:05,2020
37,True,True,True,0,16,0,44,active,7,44,False,2020-07-29 05:56:05+00:00,0,,,2020-07-29 07:25:05,2020
38,True,True,True,0,13,0,46,active,6,46,False,2020-07-29 06:19:50+00:00,0,,,2020-07-29 07:25:05,2020
39,True,True,True,0,19,0,47,active,0,47,True,2020-07-29 04:57:08+00:00,0,,,2020-07-29 07:25:05,2020
40,True,True,True,0,0,1,48,active,18,48,False,2020-07-29 02:03:41+00:00,0,,,2020-07-29 07:25:05,2020
41,True,True,True,0,2,1,49,active,15,49,False,2020-07-29 04:50:31+00:00,0,,,2020-07-29 07:25:05,2020
