,station_status,num_docks_disabled,is_returning,eightd_has_available_keys,num_ebikes_available,num_docks_available,is_installed,station_id,legacy_id,num_bikes_available,last_reported,is_renting,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
53,active,0,True,False,0,2,True,61,61,15,2020-08-12 17:57:25+00:00,True,2,2020-08-12 18:24:20,2020
54,active,0,True,False,0,14,True,63,63,1,2020-08-12 16:24:47+00:00,True,0,2020-08-12 18:24:20,2020
55,active,0,True,False,0,14,True,64,64,5,2020-08-12 18:23:18+00:00,True,0,2020-08-12 18:24:20,2020
56,active,0,True,False,0,21,True,65,65,2,2020-08-12 11:53:40+00:00,True,0,2020-08-12 18:24:20,2020
57,active,0,True,False,0,15,True,66,66,0,2020-08-12 15:35:54+00:00,True,0,2020-08-12 18:24:20,2020
58,active,0,True,True,0,14,True,67,67,13,2020-08-12 18:23:38+00:00,True,0,2020-08-12 18:24:20,2020
59,active,0,True,True,0,7,True,68,68,12,2020-08-12 18:22:47+00:00,True,0,2020-08-12 18:24:20,2020
60,active,0,True,True,0,16,True,69,69,3,2020-08-12 18:12:39+00:00,True,0,2020-08-12 18:24:20,2020
61,active,0,True,False,0,5,True,70,70,17,2020-08-12 17:41:34+00:00,True,1,2020-08-12 18:24:20,2020
62,active,0,True,False,0,5,True,71,71,18,2020-08-12 17:08:00+00:00,True,0,2020-08-12 18:24:20,2020
63,active,0,True,False,0,12,True,72,72,11,2020-08-12 18:07:09+00:00,True,0,2020-08-12 18:24:20,2020
64,active,0,True,False,0,4,True,73,73,10,2020-08-12 17:59:40+00:00,True,1,2020-08-12 18:24:20,2020
65,active,0,True,True,0,4,True,74,74,14,2020-08-12 18:05:39+00:00,True,1,2020-08-12 18:24:20,2020
66,active,0,True,False,0,13,True,75,75,2,2020-08-12 18:17:37+00:00,True,0,2020-08-12 18:24:20,2020
67,active,0,True,False,0,5,True,76,76,12,2020-08-12 18:20:47+00:00,True,0,2020-08-12 18:24:20,2020
68,active,0,True,False,0,14,True,77,77,0,2020-08-12 16:46:01+00:00,True,1,2020-08-12 18:24:20,2020
69,active,0,True,False,0,10,True,78,78,9,2020-08-12 17:43:33+00:00,True,0,2020-08-12 18:24:20,2020
70,active,0,True,False,0,14,True,79,79,4,2020-08-12 17:29:18+00:00,True,1,2020-08-12 18:24:20,2020
71,active,0,True,False,0,0,True,80,80,35,2020-08-12 18:24:02+00:00,True,0,2020-08-12 18:24:20,2020
72,active,0,True,False,0,5,True,81,81,14,2020-08-12 18:15:03+00:00,True,0,2020-08-12 18:24:20,2020
73,active,0,True,False,0,11,True,82,82,4,2020-08-12 17:54:23+00:00,True,0,2020-08-12 18:24:20,2020
74,active,0,True,False,0,3,True,84,84,12,2020-08-12 18:09:39+00:00,True,0,2020-08-12 18:24:20,2020
75,active,0,True,False,0,2,True,85,85,16,2020-08-12 17:13:51+00:00,True,1,2020-08-12 18:24:20,2020
76,active,0,True,False,0,11,True,86,86,8,2020-08-12 18:01:48+00:00,True,0,2020-08-12 18:24:20,2020
77,active,0,True,False,0,10,True,87,87,5,2020-08-12 18:21:26+00:00,True,0,2020-08-12 18:24:20,2020
78,active,0,True,False,0,15,True,89,89,4,2020-08-12 18:22:34+00:00,True,0,2020-08-12 18:24:20,2020
79,active,0,True,False,0,5,True,90,90,13,2020-08-12 18:19:18+00:00,True,1,2020-08-12 18:24:20,2020
80,active,0,True,False,0,6,True,91,91,13,2020-08-12 18:21:10+00:00,True,0,2020-08-12 18:24:20,2020
81,active,0,True,False,0,10,True,92,92,8,2020-08-12 18:07:58+00:00,True,1,2020-08-12 18:24:20,2020
82,active,0,True,False,0,3,True,93,93,10,2020-08-12 17:58:27+00:00,True,2,2020-08-12 18:24:20,2020
83,active,0,True,False,0,8,True,94,94,3,2020-08-12 17:39:18+00:00,True,0,2020-08-12 18:24:20,2020
84,active,0,True,False,0,13,True,95,95,2,2020-08-12 18:06:48+00:00,True,0,2020-08-12 18:24:20,2020
85,active,0,True,False,0,13,True,96,96,6,2020-08-12 17:44:20+00:00,True,0,2020-08-12 18:24:20,2020
86,active,0,True,False,0,11,True,97,97,7,2020-08-12 17:36:45+00:00,True,1,2020-08-12 18:24:20,2020
87,active,0,True,False,0,4,True,98,98,19,2020-08-12 18:17:45+00:00,True,0,2020-08-12 18:24:20,2020
88,active,0,True,False,0,9,True,99,99,6,2020-08-12 17:26:10+00:00,True,0,2020-08-12 18:24:20,2020
89,active,0,True,True,0,3,True,100,100,22,2020-08-12 18:00:47+00:00,True,0,2020-08-12 18:24:20,2020
90,active,0,True,False,0,6,True,101,101,9,2020-08-12 17:19:54+00:00,True,0,2020-08-12 18:24:20,2020
91,active,0,True,False,0,14,True,102,102,1,2020-08-12 18:10:46+00:00,True,0,2020-08-12 18:24:20,2020
92,active,0,True,False,0,13,True,103,103,2,2020-08-12 17:45:40+00:00,True,0,2020-08-12 18:24:20,2020
93,active,0,True,False,0,14,True,104,104,5,2020-08-12 17:58:26+00:00,True,0,2020-08-12 18:24:20,2020
94,active,0,True,False,0,2,True,105,105,17,2020-08-12 17:53:54+00:00,True,0,2020-08-12 18:24:20,2020
95,active,0,True,False,0,11,True,106,106,3,2020-08-12 15:08:22+00:00,True,1,2020-08-12 18:24:20,2020
96,active,0,True,False,0,2,True,107,107,16,2020-08-12 18:22:42+00:00,True,1,2020-08-12 18:24:20,2020
97,active,0,True,False,0,5,True,108,108,12,2020-08-12 16:40:53+00:00,True,0,2020-08-12 18:24:20,2020
98,active,0,True,False,0,29,True,109,109,6,2020-08-12 17:24:45+00:00,True,0,2020-08-12 18:24:20,2020
99,active,0,True,False,0,12,True,110,110,3,2020-08-12 18:16:20+00:00,True,0,2020-08-12 18:24:20,2020
100,active,0,True,False,0,7,True,111,111,8,2020-08-12 18:04:12+00:00,True,0,2020-08-12 18:24:20,2020
101,active,0,True,False,0,2,True,112,112,13,2020-08-12 16:05:02+00:00,True,0,2020-08-12 18:24:20,2020
102,active,0,True,False,0,5,True,113,113,10,2020-08-12 15:36:18+00:00,True,0,2020-08-12 18:24:20,2020
103,active,0,True,False,0,10,True,114,114,5,2020-08-12 17:57:45+00:00,True,0,2020-08-12 18:24:20,2020
104,active,0,True,False,0,5,True,115,115,11,2020-08-12 18:17:47+00:00,True,3,2020-08-12 18:24:20,2020
105,active,0,True,False,0,16,True,116,116,7,2020-08-12 18:03:27+00:00,True,0,2020-08-12 18:24:20,2020
106,active,0,True,False,0,11,True,117,117,8,2020-08-12 18:19:13+00:00,True,0,2020-08-12 18:24:20,2020
107,active,0,True,False,0,5,True,118,118,13,2020-08-12 18:19:29+00:00,True,1,2020-08-12 18:24:20,2020
108,active,0,True,False,0,11,True,119,119,4,2020-08-12 18:04:41+00:00,True,0,2020-08-12 18:24:20,2020
109,active,0,True,False,0,1,True,120,120,14,2020-08-12 18:04:45+00:00,True,0,2020-08-12 18:24:20,2020
110,active,0,True,False,0,14,True,121,121,3,2020-08-12 18:13:16+00:00,True,0,2020-08-12 18:24:20,2020
111,active,0,True,False,0,12,True,122,122,3,2020-08-12 17:31:05+00:00,True,0,2020-08-12 18:24:20,2020
