,station_id,last_reported,num_docks_disabled,eightd_has_available_keys,is_renting,num_bikes_disabled,is_installed,num_ebikes_available,is_returning,num_docks_available,legacy_id,station_status,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
77,87,2020-08-05 21:05:40+00:00,0,False,True,0,True,0,True,12,87,active,3,,,2020-08-05 21:08:20,2020
78,89,2020-08-05 21:01:29+00:00,0,False,True,1,True,0,True,11,89,active,7,,,2020-08-05 21:08:20,2020
79,90,2020-08-05 21:06:29+00:00,0,False,True,0,True,0,True,11,90,active,8,,,2020-08-05 21:08:20,2020
80,91,2020-08-05 21:04:27+00:00,0,False,True,1,True,0,True,7,91,active,11,,,2020-08-05 21:08:20,2020
81,92,2020-08-05 17:42:06+00:00,0,False,True,1,True,0,True,6,92,active,12,,,2020-08-05 21:08:20,2020
82,93,2020-08-05 20:08:22+00:00,0,False,True,1,True,0,True,9,93,active,5,,,2020-08-05 21:08:20,2020
83,94,2020-08-05 20:26:49+00:00,0,False,True,0,True,0,True,7,94,active,4,,,2020-08-05 21:08:20,2020
84,95,2020-08-05 21:04:21+00:00,0,False,True,1,True,0,True,10,95,active,4,,,2020-08-05 21:08:20,2020
85,96,2020-08-05 21:06:56+00:00,0,False,True,0,True,0,True,16,96,active,3,,,2020-08-05 21:08:20,2020
86,97,2020-08-05 20:06:56+00:00,0,False,True,0,True,0,True,2,97,active,17,,,2020-08-05 21:08:20,2020
87,98,2020-08-05 21:07:34+00:00,0,False,True,1,True,0,True,9,98,active,13,,,2020-08-05 21:08:20,2020
88,99,2020-08-05 20:20:18+00:00,0,False,True,0,True,0,True,3,99,active,12,,,2020-08-05 21:08:20,2020
89,100,2020-08-05 20:35:20+00:00,0,True,True,1,True,0,True,5,100,active,19,,,2020-08-05 21:08:20,2020
90,101,2020-08-05 20:19:52+00:00,0,False,True,0,True,0,True,4,101,active,11,,,2020-08-05 21:08:20,2020
91,102,2020-08-05 20:24:39+00:00,0,False,True,1,True,0,True,6,102,active,8,,,2020-08-05 21:08:20,2020
92,103,2020-08-05 21:06:20+00:00,0,False,True,0,True,0,True,15,103,active,0,,,2020-08-05 21:08:20,2020
93,104,2020-08-05 19:41:50+00:00,0,False,True,0,True,0,True,18,104,active,1,,,2020-08-05 21:08:20,2020
94,105,2020-08-05 21:04:27+00:00,0,False,True,1,True,0,True,10,105,active,8,,,2020-08-05 21:08:20,2020
95,106,2020-08-05 20:26:43+00:00,0,False,True,0,True,0,True,9,106,active,6,,,2020-08-05 21:08:20,2020
96,107,2020-08-05 21:08:07+00:00,0,False,True,1,True,0,True,13,107,active,5,,,2020-08-05 21:08:20,2020
97,108,2020-08-05 21:00:31+00:00,0,False,True,0,True,0,True,8,108,active,9,,,2020-08-05 21:08:20,2020
98,109,2020-08-05 18:13:43+00:00,0,False,True,1,True,0,True,22,109,active,12,,,2020-08-05 21:08:20,2020
99,110,2020-08-05 19:33:42+00:00,0,False,True,0,True,0,True,15,110,active,0,,,2020-08-05 21:08:20,2020
100,111,2020-08-05 20:30:01+00:00,0,False,True,0,True,0,True,11,111,active,4,,,2020-08-05 21:08:20,2020
101,112,2020-08-05 20:55:34+00:00,0,False,True,0,True,0,True,7,112,active,8,,,2020-08-05 21:08:20,2020
102,113,2020-08-05 20:58:52+00:00,0,False,True,1,True,0,True,5,113,active,9,,,2020-08-05 21:08:20,2020
103,114,2020-08-05 21:06:13+00:00,0,False,True,0,True,0,True,6,114,active,9,,,2020-08-05 21:08:20,2020
104,115,2020-08-05 21:03:24+00:00,0,False,True,1,True,0,True,3,115,active,15,,,2020-08-05 21:08:20,2020
105,116,2020-08-05 21:07:23+00:00,0,False,True,0,True,0,True,15,116,active,8,,,2020-08-05 21:08:20,2020
106,117,2020-08-05 20:59:02+00:00,0,False,True,0,True,0,True,7,117,active,12,,,2020-08-05 21:08:20,2020
107,118,2020-08-05 20:03:14+00:00,0,False,True,0,True,0,True,6,118,active,13,,,2020-08-05 21:08:20,2020
108,119,2020-08-05 21:06:02+00:00,0,False,True,1,True,0,True,0,119,active,14,,,2020-08-05 21:08:20,2020
109,120,2020-08-05 21:06:51+00:00,0,False,True,1,True,0,True,5,120,active,9,,,2020-08-05 21:08:20,2020
110,121,2020-08-05 21:05:26+00:00,0,False,True,0,True,0,True,12,121,active,5,,,2020-08-05 21:08:20,2020
111,122,2020-08-05 20:51:55+00:00,0,False,True,0,True,0,True,10,122,active,5,,,2020-08-05 21:08:20,2020
112,124,2020-08-05 20:04:56+00:00,0,False,True,0,True,0,True,12,124,active,3,,,2020-08-05 21:08:20,2020
113,125,2020-08-05 21:07:27+00:00,0,False,True,1,True,0,True,7,125,active,7,,,2020-08-05 21:08:20,2020
114,126,2020-08-05 19:33:31+00:00,0,False,True,0,True,0,True,12,126,active,3,,,2020-08-05 21:08:20,2020
115,128,2020-08-05 19:17:00+00:00,0,False,True,0,True,0,True,8,128,active,11,,,2020-08-05 21:08:20,2020
116,129,2020-08-05 20:27:12+00:00,0,False,True,0,True,0,True,4,129,active,15,,,2020-08-05 21:08:20,2020
117,130,2020-08-05 21:02:41+00:00,0,False,True,0,True,0,True,3,130,active,12,,,2020-08-05 21:08:20,2020
118,131,2020-08-05 21:08:06+00:00,0,False,True,1,True,0,True,10,131,active,7,,,2020-08-05 21:08:20,2020
119,133,2020-08-05 20:43:08+00:00,0,False,True,1,True,0,True,15,133,active,7,,,2020-08-05 21:08:20,2020
120,135,2020-08-05 20:35:21+00:00,0,False,True,0,True,0,True,5,135,active,12,,,2020-08-05 21:08:20,2020
121,136,2020-08-05 21:06:52+00:00,0,False,True,1,True,0,True,12,136,active,6,,,2020-08-05 21:08:20,2020
122,137,2020-08-05 20:34:28+00:00,0,False,True,0,True,0,True,13,137,active,2,,,2020-08-05 21:08:20,2020
123,138,2020-08-05 20:11:05+00:00,0,False,True,1,True,0,True,7,138,active,7,,,2020-08-05 21:08:20,2020
124,139,2020-08-05 20:57:45+00:00,0,False,True,0,True,0,True,14,139,active,5,,,2020-08-05 21:08:20,2020
125,140,2020-08-05 20:16:01+00:00,0,False,True,1,True,0,True,4,140,active,12,,,2020-08-05 21:08:20,2020
126,141,2020-08-05 21:04:52+00:00,0,False,True,0,True,0,True,10,141,active,5,,,2020-08-05 21:08:20,2020
127,142,2020-08-05 20:05:28+00:00,0,False,True,2,True,0,True,9,142,active,12,,,2020-08-05 21:08:20,2020
128,143,2020-08-05 20:56:56+00:00,0,False,True,1,True,0,True,17,143,active,5,,,2020-08-05 21:08:20,2020
129,144,2020-08-05 20:51:38+00:00,0,False,True,0,True,0,True,9,144,active,10,,,2020-08-05 21:08:20,2020
130,145,2020-08-05 20:55:15+00:00,0,False,True,0,True,0,True,15,145,active,4,,,2020-08-05 21:08:20,2020
131,146,2020-08-05 21:02:17+00:00,0,False,True,3,True,0,True,9,146,active,7,,,2020-08-05 21:08:20,2020
132,149,2020-08-05 20:59:33+00:00,0,True,True,0,True,0,True,7,149,active,11,,,2020-08-05 21:08:20,2020
133,150,2020-08-05 20:37:51+00:00,0,False,True,0,True,0,True,17,150,active,2,,,2020-08-05 21:08:20,2020
134,151,2020-08-05 20:32:19+00:00,0,False,True,0,True,0,True,14,151,active,5,,,2020-08-05 21:08:20,2020
135,152,2020-08-05 21:04:28+00:00,0,True,True,0,True,0,True,6,152,active,9,,,2020-08-05 21:08:20,2020
136,156,2020-08-05 20:42:26+00:00,0,False,True,0,True,0,True,11,156,active,4,,,2020-08-05 21:08:20,2020
137,157,2020-08-05 21:04:41+00:00,0,False,True,1,True,0,True,9,157,active,5,,,2020-08-05 21:08:20,2020
138,159,2020-08-05 20:55:21+00:00,0,False,True,2,True,0,True,12,159,active,1,,,2020-08-05 21:08:20,2020
139,160,2020-08-05 20:25:31+00:00,0,True,True,0,True,0,True,5,160,active,9,,,2020-08-05 21:08:20,2020
140,161,2020-08-05 20:48:40+00:00,0,True,True,0,True,0,True,10,161,active,13,,,2020-08-05 21:08:20,2020
141,162,2020-08-05 20:45:08+00:00,0,False,True,0,True,0,True,7,162,active,8,,,2020-08-05 21:08:20,2020
142,163,2020-08-05 21:05:54+00:00,0,True,True,0,True,0,True,12,163,active,7,,,2020-08-05 21:08:20,2020
143,167,2020-08-05 21:06:37+00:00,0,False,True,0,True,0,True,11,167,active,4,,,2020-08-05 21:08:20,2020
144,169,2020-08-05 20:04:53+00:00,0,False,True,0,True,0,True,5,169,active,14,,,2020-08-05 21:08:20,2020
145,170,2020-08-05 18:31:26+00:00,0,True,True,0,True,0,True,14,170,active,0,,,2020-08-05 21:08:20,2020
146,171,2020-08-05 18:45:23+00:00,0,True,True,0,True,0,True,16,171,active,7,,,2020-08-05 21:08:20,2020
147,173,2020-08-05 19:42:14+00:00,0,True,True,0,True,0,True,5,173,active,9,,,2020-08-05 21:08:20,2020
148,174,2020-08-05 20:13:23+00:00,0,False,True,2,True,0,True,7,174,active,6,,,2020-08-05 21:08:20,2020
149,175,2020-08-05 20:45:00+00:00,0,True,True,0,True,0,True,17,175,active,0,,,2020-08-05 21:08:20,2020
150,176,2020-08-05 21:02:04+00:00,0,False,True,0,True,0,True,6,176,active,9,,,2020-08-05 21:08:20,2020
151,177,2020-08-05 21:02:16+00:00,0,False,True,0,True,0,True,18,177,active,1,,,2020-08-05 21:08:20,2020
152,178,2020-08-05 20:48:14+00:00,0,False,True,0,True,0,True,13,178,active,6,,,2020-08-05 21:08:20,2020
153,179,2020-08-05 21:03:35+00:00,0,False,True,0,True,0,True,17,179,active,8,,,2020-08-05 21:08:20,2020
154,180,2020-08-05 20:40:40+00:00,0,False,True,0,True,0,True,4,180,active,15,,,2020-08-05 21:08:20,2020
155,181,2020-08-05 20:55:34+00:00,0,False,True,0,True,0,True,4,181,active,15,,,2020-08-05 21:08:20,2020
156,182,2020-08-05 20:16:28+00:00,0,True,True,0,True,0,True,15,182,active,4,,,2020-08-05 21:08:20,2020
157,183,2020-08-05 20:58:24+00:00,0,False,True,0,True,0,True,13,183,active,6,,,2020-08-05 21:08:20,2020
158,184,2020-08-05 20:48:31+00:00,0,False,True,0,True,0,True,12,184,active,7,,,2020-08-05 21:08:20,2020
159,185,2020-08-05 21:08:08+00:00,0,False,True,0,True,0,True,12,185,active,3,,,2020-08-05 21:08:20,2020
160,186,2020-08-05 20:52:10+00:00,0,True,True,0,True,0,True,6,186,active,9,,,2020-08-05 21:08:20,2020
161,187,2020-08-05 20:38:43+00:00,0,False,True,0,True,0,True,4,187,active,11,,,2020-08-05 21:08:20,2020
162,188,2020-08-05 20:42:08+00:00,0,False,True,0,True,0,True,7,188,active,8,,,2020-08-05 21:08:20,2020
163,189,2020-08-05 21:04:42+00:00,0,True,True,1,True,0,True,15,189,active,7,,,2020-08-05 21:08:20,2020
164,190,2020-08-05 21:05:13+00:00,0,True,True,1,True,0,True,24,190,active,12,,,2020-08-05 21:08:20,2020
165,191,2020-08-05 20:46:39+00:00,0,False,True,0,True,0,True,15,191,active,0,,,2020-08-05 21:08:20,2020
166,192,2020-08-05 21:05:20+00:00,0,False,True,0,True,0,True,5,192,active,14,,,2020-08-05 21:08:20,2020
167,193,2020-08-05 21:01:17+00:00,0,True,True,1,True,0,True,12,193,active,2,,,2020-08-05 21:08:20,2020
168,194,2020-08-05 20:57:21+00:00,0,False,True,0,True,0,True,15,194,active,4,,,2020-08-05 21:08:20,2020
169,195,2020-08-05 21:07:51+00:00,0,False,True,1,True,0,True,20,195,active,2,,,2020-08-05 21:08:20,2020
170,196,2020-08-05 21:03:23+00:00,0,True,True,0,True,0,True,8,196,active,2,,,2020-08-05 21:08:20,2020
171,197,2020-08-05 20:57:11+00:00,0,False,True,0,True,0,True,12,197,active,3,,,2020-08-05 21:08:20,2020
172,199,2020-08-05 21:00:22+00:00,0,False,True,0,True,0,True,1,199,active,14,,,2020-08-05 21:08:20,2020
173,200,2020-08-05 19:07:01+00:00,0,False,True,2,True,0,True,0,200,active,17,,,2020-08-05 21:08:20,2020
174,201,2020-08-05 16:42:59+00:00,0,False,True,0,True,0,True,10,201,active,5,,,2020-08-05 21:08:20,2020
175,202,2020-08-05 19:59:22+00:00,0,False,True,0,True,0,True,13,202,active,2,,,2020-08-05 21:08:20,2020
176,203,2020-08-05 12:49:49+00:00,0,False,True,0,True,0,True,10,203,active,5,,,2020-08-05 21:08:20,2020
177,204,2020-08-05 19:56:54+00:00,0,False,True,1,True,0,True,7,204,active,7,,,2020-08-05 21:08:20,2020
178,205,2020-08-05 18:26:18+00:00,0,False,True,0,True,0,True,9,205,active,6,,,2020-08-05 21:08:20,2020
179,206,2020-08-05 20:55:51+00:00,0,False,True,0,True,0,True,21,206,active,2,,,2020-08-05 21:08:20,2020
180,208,2020-08-05 18:50:19+00:00,0,True,True,0,True,0,True,4,208,active,11,,,2020-08-05 21:08:20,2020
181,209,2020-08-05 19:02:11+00:00,0,False,True,0,True,0,True,9,209,active,6,,,2020-08-05 21:08:20,2020
182,210,2020-08-05 20:38:58+00:00,0,False,True,0,True,0,True,14,210,active,1,,,2020-08-05 21:08:20,2020
183,211,2020-08-05 20:22:30+00:00,0,False,True,0,True,0,True,4,211,active,15,,,2020-08-05 21:08:20,2020
184,212,2020-08-05 20:19:21+00:00,0,False,True,0,True,0,True,13,212,active,20,,,2020-08-05 21:08:20,2020
185,213,2020-08-05 13:33:25+00:00,0,True,True,0,True,0,True,10,213,active,6,,,2020-08-05 21:08:20,2020
186,214,2020-08-05 20:48:52+00:00,0,False,True,0,True,0,True,5,214,active,10,,,2020-08-05 21:08:20,2020
187,215,2020-08-05 18:07:47+00:00,0,False,True,0,True,0,True,2,215,active,13,,,2020-08-05 21:08:20,2020
188,216,2020-08-05 20:56:20+00:00,0,False,True,0,True,0,True,6,216,active,13,,,2020-08-05 21:08:20,2020
189,217,2020-08-05 20:53:58+00:00,0,False,True,0,True,0,True,1,217,active,18,,,2020-08-05 21:08:20,2020
190,218,2020-08-05 21:07:36+00:00,0,False,True,1,True,0,True,10,218,active,4,,,2020-08-05 21:08:20,2020
191,219,2020-08-05 19:14:33+00:00,0,False,True,0,True,0,True,3,219,active,12,,,2020-08-05 21:08:20,2020
192,221,2020-08-05 21:07:18+00:00,0,False,True,2,True,0,True,8,221,active,9,,,2020-08-05 21:08:20,2020
193,222,2020-08-05 20:52:02+00:00,0,True,True,0,True,0,True,13,222,active,1,,,2020-08-05 21:08:20,2020
194,224,2020-08-05 19:59:53+00:00,0,False,True,1,True,0,True,10,224,active,6,,,2020-08-05 21:08:20,2020
195,225,2020-08-05 21:00:41+00:00,0,False,True,0,True,0,True,17,225,active,2,,,2020-08-05 21:08:20,2020
196,226,2020-08-05 21:05:30+00:00,0,False,True,0,True,0,True,7,226,active,8,,,2020-08-05 21:08:20,2020
197,227,2020-08-05 21:06:37+00:00,0,False,True,0,True,0,True,9,227,active,10,,,2020-08-05 21:08:20,2020
198,228,2020-08-05 20:46:38+00:00,0,False,True,0,True,0,True,6,228,active,13,,,2020-08-05 21:08:20,2020
199,232,2020-08-05 08:41:18+00:00,0,False,True,0,True,0,True,10,232,active,1,,,2020-08-05 21:08:20,2020
200,233,2020-08-05 20:33:40+00:00,0,False,True,0,True,0,True,10,233,active,5,,,2020-08-05 21:08:20,2020
201,234,2020-08-05 19:40:53+00:00,0,False,True,0,True,0,True,12,234,active,3,,,2020-08-05 21:08:20,2020
202,235,2020-08-05 19:51:04+00:00,0,False,True,1,True,0,True,9,235,active,5,,,2020-08-05 21:08:20,2020
203,236,2020-08-05 20:51:30+00:00,0,False,True,0,True,0,True,4,236,active,11,,,2020-08-05 21:08:20,2020
204,239,2020-08-05 21:05:06+00:00,0,False,True,0,True,0,True,6,239,active,9,,,2020-08-05 21:08:20,2020
205,255,2020-08-05 18:30:56+00:00,0,False,True,0,True,0,True,4,255,active,11,,,2020-08-05 21:08:20,2020
206,258,2020-08-05 20:36:59+00:00,0,False,True,0,True,0,True,8,258,active,7,,,2020-08-05 21:08:20,2020
207,259,2020-08-04 09:01:37+00:00,0,False,True,0,True,0,True,15,259,active,0,,,2020-08-05 21:08:20,2020
208,260,2020-08-05 20:06:53+00:00,0,False,True,0,True,0,True,8,260,active,7,,,2020-08-05 21:08:20,2020
209,271,2020-08-05 18:45:59+00:00,0,False,True,0,True,0,True,8,271,active,7,,,2020-08-05 21:08:20,2020
210,272,2020-08-05 19:11:19+00:00,0,False,True,0,True,0,True,13,272,active,6,,,2020-08-05 21:08:20,2020
211,273,2020-08-05 20:52:21+00:00,0,False,True,1,True,0,True,19,273,active,20,,,2020-08-05 21:08:20,2020
212,279,2020-08-05 21:01:02+00:00,0,False,True,0,True,0,True,14,279,active,5,,,2020-08-05 21:08:20,2020
213,280,2020-08-05 20:24:43+00:00,0,False,True,0,True,0,True,13,280,active,6,,,2020-08-05 21:08:20,2020
214,282,2020-08-05 20:55:44+00:00,0,False,True,0,True,0,True,3,282,active,12,,,2020-08-05 21:08:20,2020
215,296,2020-08-05 20:59:43+00:00,0,False,True,0,True,0,True,16,296,active,7,,,2020-08-05 21:08:20,2020
216,318,2020-08-05 21:05:25+00:00,0,False,True,0,True,0,True,9,318,active,10,,,2020-08-05 21:08:20,2020
217,319,2020-08-05 20:18:34+00:00,0,False,True,0,True,0,True,10,319,active,15,,,2020-08-05 21:08:20,2020
218,327,2020-08-05 20:59:18+00:00,0,False,True,0,True,0,True,10,327,active,5,,,2020-08-05 21:08:20,2020
219,328,2020-08-05 21:00:52+00:00,0,False,True,0,True,0,True,2,328,active,13,,,2020-08-05 21:08:20,2020
220,329,2020-08-05 20:46:25+00:00,0,False,True,1,True,0,True,6,329,active,8,,,2020-08-05 21:08:20,2020
221,330,2020-08-05 20:54:48+00:00,0,False,True,0,True,0,True,3,330,active,12,,,2020-08-05 21:08:20,2020
222,331,2020-08-05 21:03:52+00:00,0,False,True,0,True,0,True,15,331,active,0,,,2020-08-05 21:08:20,2020
223,332,2020-08-05 21:02:57+00:00,0,False,True,0,True,0,True,10,332,active,5,,,2020-08-05 21:08:20,2020
224,333,2020-08-05 20:24:31+00:00,0,False,True,0,True,0,True,7,333,active,18,,,2020-08-05 21:08:20,2020
225,334,2020-08-05 21:04:46+00:00,0,False,True,1,True,0,True,10,334,active,8,,,2020-08-05 21:08:20,2020
226,335,2020-08-05 21:04:57+00:00,0,False,True,1,True,0,True,7,335,active,11,,,2020-08-05 21:08:20,2020
227,336,2020-08-05 17:23:33+00:00,0,False,True,0,True,0,True,4,336,active,11,,,2020-08-05 21:08:20,2020
228,337,2020-08-05 17:52:19+00:00,0,False,True,0,True,0,True,2,337,active,13,,,2020-08-05 21:08:20,2020
229,338,2020-08-05 20:58:02+00:00,0,False,True,0,True,0,True,14,338,active,1,,,2020-08-05 21:08:20,2020
230,339,2020-08-05 21:05:27+00:00,0,False,True,0,True,0,True,5,339,active,10,,,2020-08-05 21:08:20,2020
231,340,2020-08-04 17:02:48+00:00,0,False,True,0,True,0,True,3,340,active,16,,,2020-08-05 21:08:20,2020
232,341,2020-08-05 21:04:18+00:00,0,True,True,0,True,0,True,12,341,active,3,,,2020-08-05 21:08:20,2020
233,342,2020-08-05 20:46:55+00:00,0,False,True,0,True,0,True,9,342,active,6,,,2020-08-05 21:08:20,2020
234,343,2020-08-04 19:00:47+00:00,0,False,True,0,True,0,True,9,343,active,6,,,2020-08-05 21:08:20,2020
235,344,2020-08-05 14:56:38+00:00,0,False,True,0,True,0,True,19,344,active,0,,,2020-08-05 21:08:20,2020
236,345,2020-08-05 20:52:36+00:00,0,False,True,0,True,0,True,4,345,active,15,,,2020-08-05 21:08:20,2020
237,346,2020-08-05 21:03:32+00:00,0,False,True,0,True,0,True,14,346,active,1,,,2020-08-05 21:08:20,2020
