,num_ebikes_available,num_bikes_disabled,last_reported,station_id,is_returning,station_status,num_docks_disabled,eightd_has_available_keys,is_renting,num_docks_available,legacy_id,num_bikes_available,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,0,0,2020-08-04 14:22:12+00:00,3,True,active,0,True,True,2,3,13,True,,,2020-08-04 15:09:35,2020
1,0,1,2020-08-04 15:09:12+00:00,4,True,active,0,False,True,13,4,5,True,,,2020-08-04 15:09:35,2020
2,0,0,2020-08-04 15:03:20+00:00,5,True,active,0,False,True,12,5,3,True,,,2020-08-04 15:09:35,2020
3,0,1,2020-08-04 15:01:02+00:00,6,True,active,0,False,True,13,6,1,True,,,2020-08-04 15:09:35,2020
4,0,0,2020-08-04 13:59:12+00:00,7,True,active,0,False,True,5,7,10,True,,,2020-08-04 15:09:35,2020
5,0,0,2020-08-04 14:54:29+00:00,8,True,active,0,False,True,17,8,2,True,,,2020-08-04 15:09:35,2020
6,0,0,2020-08-04 14:47:47+00:00,9,True,active,0,False,True,5,9,10,True,,,2020-08-04 15:09:35,2020
7,0,1,2020-08-04 14:56:02+00:00,10,True,active,0,False,True,2,10,8,True,,,2020-08-04 15:09:35,2020
8,0,0,2020-08-04 15:06:30+00:00,11,True,active,0,False,True,2,11,13,True,"{'valet_revision': 77, 'off_dock_count': 54, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'dock_blocked_count': 0, 'region': 'BOS', 'off_dock_capacity': 50}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-04 15:09:35,2020
9,0,0,2020-08-04 15:05:21+00:00,12,True,active,0,True,True,10,12,8,True,,,2020-08-04 15:09:35,2020
10,0,2,2020-08-04 15:01:57+00:00,13,True,active,0,False,True,0,13,17,True,,,2020-08-04 15:09:35,2020
11,0,0,2020-08-04 15:07:48+00:00,14,True,active,0,False,True,6,14,19,True,,,2020-08-04 15:09:35,2020
12,0,1,2020-08-04 14:51:41+00:00,15,True,active,0,False,True,7,15,7,True,,,2020-08-04 15:09:35,2020
13,0,1,2020-08-04 15:01:23+00:00,16,True,active,0,True,True,11,16,7,True,,,2020-08-04 15:09:35,2020
14,0,2,2020-08-04 15:00:38+00:00,17,True,active,0,False,True,8,17,5,True,,,2020-08-04 15:09:35,2020
15,0,0,2020-08-04 14:54:30+00:00,19,True,active,0,False,True,9,19,6,True,,,2020-08-04 15:09:35,2020
16,0,1,2020-08-04 14:59:31+00:00,20,True,active,0,True,True,16,20,6,True,,,2020-08-04 15:09:35,2020
17,0,0,2020-08-04 14:24:44+00:00,21,True,active,0,True,True,15,21,3,True,,,2020-08-04 15:09:35,2020
18,0,0,2020-08-04 14:48:00+00:00,22,True,active,0,True,True,40,22,7,True,,,2020-08-04 15:09:35,2020
19,0,1,2020-08-04 14:54:57+00:00,23,True,active,0,True,True,1,23,19,True,,,2020-08-04 15:09:35,2020
20,0,1,2020-08-04 14:29:07+00:00,24,True,active,0,False,True,14,24,4,True,,,2020-08-04 15:09:35,2020
21,0,0,2020-08-04 15:02:56+00:00,25,True,active,0,False,True,13,25,2,True,,,2020-08-04 15:09:35,2020
22,0,0,2020-08-04 14:43:12+00:00,26,True,active,0,False,True,11,26,4,True,,,2020-08-04 15:09:35,2020
23,0,0,2020-08-04 15:04:52+00:00,27,True,active,0,False,True,12,27,11,True,,,2020-08-04 15:09:35,2020
24,0,0,2020-08-04 12:52:14+00:00,29,True,active,0,False,True,6,29,9,True,,,2020-08-04 15:09:35,2020
25,0,3,2020-08-04 14:56:17+00:00,30,True,active,0,False,True,3,30,9,True,,,2020-08-04 15:09:35,2020
26,0,0,2020-08-04 15:08:10+00:00,31,True,active,0,True,True,18,31,1,True,,,2020-08-04 15:09:35,2020
27,0,0,2020-08-04 15:09:05+00:00,32,True,active,0,False,True,7,32,8,True,,,2020-08-04 15:09:35,2020
28,0,1,2020-08-04 15:08:15+00:00,33,True,active,0,False,True,16,33,10,True,,,2020-08-04 15:09:35,2020
29,0,0,2020-08-04 15:06:07+00:00,35,True,active,0,False,True,12,35,11,True,,,2020-08-04 15:09:35,2020
30,0,0,2020-08-04 14:56:42+00:00,36,True,active,0,True,True,30,36,3,True,,,2020-08-04 15:09:35,2020
31,0,0,2020-08-04 13:51:45+00:00,37,True,active,0,True,True,4,37,11,True,,,2020-08-04 15:09:35,2020
32,0,1,2020-08-04 15:08:48+00:00,39,True,active,0,False,True,17,39,5,True,,,2020-08-04 15:09:35,2020
33,0,2,2020-08-04 14:25:22+00:00,40,True,active,0,False,True,0,40,17,True,,,2020-08-04 15:09:35,2020
34,0,3,2020-08-04 15:07:24+00:00,41,True,active,0,True,True,15,41,9,True,,,2020-08-04 15:09:35,2020
35,0,1,2020-08-04 14:44:12+00:00,42,True,active,0,False,True,12,42,10,True,,,2020-08-04 15:09:35,2020
36,0,0,2020-08-04 15:01:40+00:00,43,True,active,0,True,True,7,43,8,True,,,2020-08-04 15:09:35,2020
37,0,1,2020-08-04 13:21:01+00:00,44,True,active,0,False,True,4,44,18,True,,,2020-08-04 15:09:35,2020
38,0,0,2020-08-04 15:06:53+00:00,46,True,active,0,False,True,16,46,3,True,,,2020-08-04 15:09:35,2020
39,0,0,2020-08-04 15:07:27+00:00,47,True,active,0,True,True,14,47,5,True,,,2020-08-04 15:09:35,2020
40,0,0,2020-08-04 14:14:39+00:00,48,True,active,0,False,True,14,48,5,True,,,2020-08-04 15:09:35,2020
41,0,1,2020-08-04 14:49:14+00:00,49,True,active,0,False,True,1,49,16,True,,,2020-08-04 15:09:35,2020
42,0,2,2020-08-04 12:54:13+00:00,50,True,active,0,True,True,0,50,13,True,,,2020-08-04 15:09:35,2020
43,0,0,2020-08-04 14:43:07+00:00,51,True,active,0,False,True,10,51,5,True,,,2020-08-04 15:09:35,2020
44,0,1,2020-08-04 15:03:22+00:00,52,True,active,0,True,True,15,52,7,True,,,2020-08-04 15:09:35,2020
45,0,0,2020-08-04 15:06:05+00:00,53,True,active,0,False,True,15,53,4,True,,,2020-08-04 15:09:35,2020
46,0,1,2020-08-04 15:08:12+00:00,54,True,active,0,False,True,3,54,11,True,,,2020-08-04 15:09:35,2020
47,0,0,2020-08-04 14:56:11+00:00,55,True,active,0,False,True,4,55,11,True,,,2020-08-04 15:09:35,2020
48,0,0,2020-08-04 14:15:41+00:00,56,True,active,0,True,True,11,56,7,True,,,2020-08-04 15:09:35,2020
49,0,1,2020-08-04 15:03:51+00:00,57,True,active,0,True,True,13,57,0,True,,,2020-08-04 15:09:35,2020
50,0,0,2020-08-04 12:34:38+00:00,58,True,active,0,True,True,19,58,0,True,,,2020-08-04 15:09:35,2020
51,0,1,2020-08-04 14:50:28+00:00,59,True,active,0,True,True,14,59,4,True,,,2020-08-04 15:09:35,2020
52,0,0,2020-08-04 15:08:56+00:00,60,True,active,0,False,True,15,60,4,True,,,2020-08-04 15:09:35,2020
53,0,1,2020-08-04 15:02:01+00:00,61,True,active,0,False,True,14,61,4,True,,,2020-08-04 15:09:35,2020
54,0,0,2020-08-04 14:43:47+00:00,63,True,active,0,False,True,8,63,7,True,,,2020-08-04 15:09:35,2020
55,0,0,2020-08-04 14:39:51+00:00,64,True,active,0,False,True,4,64,15,True,,,2020-08-04 15:09:35,2020
56,0,0,2020-08-04 15:02:39+00:00,65,True,active,0,False,True,16,65,7,True,,,2020-08-04 15:09:35,2020
57,0,0,2020-08-04 15:07:57+00:00,66,True,active,0,False,True,14,66,1,True,,,2020-08-04 15:09:35,2020
58,0,0,2020-08-04 15:03:16+00:00,67,True,active,0,True,True,14,67,13,True,,,2020-08-04 15:09:35,2020
59,0,1,2020-08-04 14:58:24+00:00,68,True,active,0,True,True,18,68,0,True,,,2020-08-04 15:09:35,2020
60,0,0,2020-08-04 15:04:40+00:00,69,True,active,0,True,True,11,69,8,True,,,2020-08-04 15:09:35,2020
61,0,1,2020-08-04 15:02:31+00:00,70,True,active,0,False,True,3,70,19,True,,,2020-08-04 15:09:35,2020
