,num_docks_available,is_renting,last_reported,num_bikes_available,legacy_id,station_id,num_ebikes_available,num_docks_disabled,eightd_has_available_keys,num_bikes_disabled,is_installed,is_returning,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,3,True,2020-07-30 15:22:45+00:00,12,3,3,0,0,True,0,True,True,active,,,2020-07-30 16:34:35,2020
1,9,True,2020-07-30 16:02:54+00:00,9,4,4,0,0,False,1,True,True,active,,,2020-07-30 16:34:35,2020
2,14,True,2020-07-30 16:31:35+00:00,0,5,5,0,0,False,1,True,True,active,,,2020-07-30 16:34:35,2020
3,1,True,2020-07-30 16:29:51+00:00,14,6,6,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
4,2,True,2020-07-30 16:17:07+00:00,11,7,7,0,0,False,2,True,True,active,,,2020-07-30 16:34:35,2020
5,15,True,2020-07-30 16:29:25+00:00,2,8,8,0,0,False,2,True,True,active,,,2020-07-30 16:34:35,2020
6,10,True,2020-07-30 16:34:20+00:00,5,9,9,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
7,8,True,2020-07-30 16:31:14+00:00,3,10,10,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
8,4,True,2020-07-30 16:33:29+00:00,11,11,11,0,0,False,0,True,True,active,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 73, 'off_dock_count': 61, 'off_dock_capacity': 50, 'region': 'BOS', 'dock_blocked_count': 0}",2020-07-30 16:34:35,2020
9,12,True,2020-07-30 16:01:03+00:00,5,12,12,0,0,True,1,True,True,active,,,2020-07-30 16:34:35,2020
10,2,True,2020-07-30 16:22:14+00:00,17,13,13,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
11,1,True,2020-07-30 16:25:40+00:00,24,14,14,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
12,8,True,2020-07-30 15:23:33+00:00,7,15,15,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
13,15,True,2020-07-30 16:19:37+00:00,1,16,16,0,0,True,3,True,True,active,,,2020-07-30 16:34:35,2020
14,9,True,2020-07-30 16:30:51+00:00,6,17,17,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
15,13,True,2020-07-30 15:55:15+00:00,2,19,19,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
16,6,True,2020-07-30 16:28:33+00:00,17,20,20,0,0,True,0,True,True,active,,,2020-07-30 16:34:35,2020
17,5,True,2020-07-30 16:20:10+00:00,13,21,21,0,0,True,0,True,True,active,,,2020-07-30 16:34:35,2020
18,38,True,2020-07-30 16:33:00+00:00,8,22,22,0,0,True,1,True,True,active,,,2020-07-30 16:34:35,2020
19,13,True,2020-07-30 16:26:13+00:00,8,23,23,0,0,True,0,True,True,active,,,2020-07-30 16:34:35,2020
20,3,True,2020-07-30 15:50:24+00:00,15,24,24,0,0,False,1,True,True,active,,,2020-07-30 16:34:35,2020
21,8,True,2020-07-30 16:19:27+00:00,7,25,25,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
22,12,True,2020-07-30 14:57:05+00:00,1,26,26,0,0,False,2,True,True,active,,,2020-07-30 16:34:35,2020
23,20,True,2020-07-30 16:11:31+00:00,1,27,27,0,0,False,2,True,True,active,,,2020-07-30 16:34:35,2020
24,6,True,2020-07-30 13:11:12+00:00,9,29,29,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
25,5,True,2020-07-30 16:30:46+00:00,10,30,30,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
26,9,True,2020-07-30 15:39:12+00:00,9,31,31,0,0,True,1,True,True,active,,,2020-07-30 16:34:35,2020
27,0,True,2020-07-30 16:21:59+00:00,13,32,32,0,0,False,2,True,True,active,,,2020-07-30 16:34:35,2020
28,7,True,2020-07-30 16:26:48+00:00,18,33,33,0,0,False,2,True,True,active,,,2020-07-30 16:34:35,2020
29,7,True,2020-07-30 16:18:10+00:00,16,35,35,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
30,17,True,2020-07-30 16:31:20+00:00,16,36,36,0,0,True,0,True,True,active,,,2020-07-30 16:34:35,2020
31,12,True,2020-07-30 15:41:04+00:00,3,37,37,0,0,True,0,True,True,active,,,2020-07-30 16:34:35,2020
32,2,True,2020-07-30 16:08:15+00:00,21,39,39,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
33,14,True,2020-07-30 16:27:49+00:00,5,40,40,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
34,13,True,2020-07-30 16:31:36+00:00,13,41,41,0,0,True,1,True,True,active,,,2020-07-30 16:34:35,2020
35,1,True,2020-07-30 15:47:56+00:00,22,42,42,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
36,7,True,2020-07-30 16:27:08+00:00,8,43,43,0,0,True,0,True,True,active,,,2020-07-30 16:34:35,2020
37,8,True,2020-07-30 16:26:42+00:00,15,44,44,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
38,17,True,2020-07-30 16:19:00+00:00,2,46,46,0,0,False,0,True,True,active,,,2020-07-30 16:34:35,2020
