,station_id,num_ebikes_available,legacy_id,num_docks_available,num_bikes_available,is_returning,last_reported,num_docks_disabled,station_status,is_installed,num_bikes_disabled,eightd_has_available_keys,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
41,49,0,49,10,8,True,2020-08-01 02:29:05+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
42,50,0,50,15,0,True,2020-08-01 02:07:44+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
43,51,0,51,7,6,True,2020-08-01 02:31:36+00:00,0,active,True,2,False,True,,,2020-08-01 02:46:50,2020
44,52,0,52,19,3,True,2020-08-01 02:45:09+00:00,0,active,True,1,True,True,,,2020-08-01 02:46:50,2020
45,53,0,53,7,11,True,2020-08-01 02:36:06+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
46,54,0,54,8,7,True,2020-08-01 02:38:47+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
47,55,0,55,13,0,True,2020-08-01 02:38:54+00:00,0,active,True,2,False,True,,,2020-08-01 02:46:50,2020
48,56,0,56,9,9,True,2020-08-01 02:20:46+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
49,57,0,57,2,12,True,2020-08-01 02:07:08+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
50,58,0,58,10,9,True,2020-08-01 02:44:40+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
51,59,0,59,3,16,True,2020-08-01 02:45:25+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
52,60,0,60,6,11,True,2020-08-01 02:33:36+00:00,0,active,True,2,False,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'off_dock_capacity': 40, 'active': True, 'region': 'BOS', 'valet_revision': 63, 'off_dock_count': 2}",2020-08-01 02:46:50,2020
53,61,0,61,9,10,True,2020-08-01 02:44:06+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
54,63,0,63,14,1,True,2020-08-01 00:38:23+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
55,64,0,64,6,12,True,2020-08-01 02:38:02+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
56,65,0,65,9,13,True,2020-08-01 01:18:13+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
57,66,0,66,8,6,True,2020-08-01 02:26:13+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
58,67,0,67,23,2,True,2020-08-01 02:46:36+00:00,0,active,True,2,True,True,,,2020-08-01 02:46:50,2020
59,68,0,68,10,9,True,2020-08-01 02:44:28+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
60,69,0,69,8,11,True,2020-08-01 02:18:25+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
61,70,0,70,0,22,True,2020-08-01 02:00:54+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
62,71,0,71,1,22,True,2020-08-01 01:57:45+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
63,72,0,72,22,1,True,2020-08-01 02:36:02+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
64,73,0,73,3,12,True,2020-08-01 02:41:16+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
65,74,0,74,5,13,True,2020-08-01 02:42:55+00:00,0,active,True,1,True,True,,,2020-08-01 02:46:50,2020
66,75,0,75,13,2,True,2020-08-01 02:25:40+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
67,76,0,76,5,11,True,2020-08-01 02:45:20+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
68,77,0,77,7,7,True,2020-08-01 01:54:17+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
69,78,0,78,1,16,True,2020-08-01 02:41:25+00:00,0,active,True,2,False,True,,,2020-08-01 02:46:50,2020
70,79,0,79,5,14,True,2020-08-01 01:55:55+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
71,80,0,80,32,1,True,2020-08-01 02:20:34+00:00,0,active,True,2,False,True,,,2020-08-01 02:46:50,2020
72,81,0,81,18,1,True,2020-08-01 01:59:39+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
73,82,0,82,9,6,True,2020-07-31 23:34:40+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
74,84,0,84,14,1,True,2020-08-01 02:36:01+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
75,85,0,85,19,0,True,2020-08-01 00:16:04+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
76,86,0,86,8,11,True,2020-08-01 02:42:58+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
77,87,0,87,4,10,True,2020-08-01 01:24:30+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
78,89,0,89,0,19,True,2020-08-01 02:41:19+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
79,90,0,90,16,3,True,2020-08-01 02:37:21+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
80,91,0,91,12,7,True,2020-08-01 02:46:02+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
81,92,0,92,7,12,True,2020-07-31 23:47:39+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
82,93,0,93,1,11,True,2020-08-01 02:31:31+00:00,0,active,True,3,False,True,,,2020-08-01 02:46:50,2020
83,94,0,94,1,10,True,2020-08-01 01:38:15+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
84,95,0,95,14,1,True,2020-08-01 02:46:35+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
85,96,0,96,17,2,True,2020-08-01 01:47:06+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
86,97,0,97,11,7,True,2020-08-01 02:41:45+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
87,98,0,98,13,8,True,2020-08-01 02:42:33+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
88,99,0,99,9,5,True,2020-08-01 02:35:43+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
89,100,0,100,9,13,True,2020-08-01 02:25:31+00:00,0,active,True,3,True,True,,,2020-08-01 02:46:50,2020
90,101,0,101,9,6,True,2020-08-01 02:44:49+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
91,102,0,102,5,10,True,2020-08-01 01:15:32+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
92,103,0,103,11,3,True,2020-08-01 01:58:30+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
93,104,0,104,0,19,True,2020-08-01 02:28:51+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
94,105,0,105,0,19,True,2020-08-01 02:41:33+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
95,106,0,106,9,5,True,2020-08-01 00:37:19+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
96,107,0,107,19,0,True,2020-08-01 01:47:27+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
97,108,0,108,4,13,True,2020-08-01 02:46:18+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
98,109,0,109,8,25,True,2020-08-01 02:10:12+00:00,0,active,True,2,False,True,,,2020-08-01 02:46:50,2020
99,110,0,110,7,7,True,2020-08-01 01:55:05+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
100,111,0,111,14,1,True,2020-07-31 23:04:28+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
101,112,0,112,11,4,True,2020-08-01 02:21:12+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
102,113,0,113,6,8,True,2020-08-01 02:27:16+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
103,114,0,114,15,0,True,2020-08-01 02:18:23+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
104,115,0,115,5,13,True,2020-08-01 02:18:54+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
105,116,0,116,6,17,True,2020-08-01 02:41:00+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
106,117,0,117,12,6,True,2020-08-01 02:45:42+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
107,118,0,118,3,15,True,2020-08-01 01:57:01+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
108,119,0,119,0,14,True,2020-08-01 02:14:03+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
109,120,0,120,6,7,True,2020-08-01 02:32:27+00:00,0,active,True,2,False,True,,,2020-08-01 02:46:50,2020
110,121,0,121,8,9,True,2020-08-01 02:45:32+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
111,122,0,122,1,14,True,2020-08-01 01:54:32+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
112,124,0,124,10,5,True,2020-08-01 01:51:02+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
113,125,0,125,8,7,True,2020-08-01 02:45:41+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
114,126,0,126,3,12,True,2020-08-01 01:15:41+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
115,128,0,128,3,16,True,2020-08-01 01:48:00+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
116,129,0,129,10,9,True,2020-08-01 02:44:59+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
117,130,0,130,2,13,True,2020-08-01 01:36:43+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
118,131,0,131,8,6,True,2020-08-01 02:06:20+00:00,0,active,True,4,False,True,,,2020-08-01 02:46:50,2020
119,133,0,133,10,12,True,2020-08-01 01:47:40+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
120,135,0,135,14,3,True,2020-07-31 23:18:05+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
121,136,0,136,2,17,True,2020-08-01 02:24:04+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
122,137,0,137,12,3,True,2020-08-01 02:32:22+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
123,138,0,138,6,9,True,2020-08-01 02:03:15+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
124,139,0,139,3,16,True,2020-08-01 02:46:03+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
125,140,0,140,12,3,True,2020-08-01 02:45:45+00:00,0,active,True,2,False,True,,,2020-08-01 02:46:50,2020
126,141,0,141,15,0,True,2020-08-01 01:30:56+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
127,142,0,142,7,16,True,2020-08-01 02:16:40+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
128,143,0,143,10,12,True,2020-08-01 02:27:38+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
129,144,0,144,18,1,True,2020-08-01 01:01:13+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
130,145,0,145,9,10,True,2020-08-01 00:19:58+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
131,146,0,146,1,16,True,2020-08-01 02:27:03+00:00,0,active,True,2,False,True,,,2020-08-01 02:46:50,2020
132,149,0,149,14,4,True,2020-08-01 01:58:55+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
133,150,0,150,1,17,True,2020-08-01 02:45:50+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
134,151,0,151,13,4,True,2020-08-01 02:18:25+00:00,0,active,True,2,False,True,,,2020-08-01 02:46:50,2020
135,152,0,152,5,10,True,2020-08-01 01:35:58+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
136,156,0,156,14,1,True,2020-08-01 00:44:43+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
137,157,0,157,14,0,True,2020-08-01 02:40:48+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
138,159,0,159,8,6,True,2020-08-01 02:03:02+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
139,160,0,160,13,1,True,2020-08-01 02:15:44+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
140,161,0,161,1,22,True,2020-08-01 02:35:10+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
141,162,0,162,10,5,True,2020-08-01 00:50:29+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
142,163,0,163,4,15,True,2020-08-01 02:34:39+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
143,167,0,167,10,3,True,2020-08-01 02:38:22+00:00,0,active,True,2,False,True,,,2020-08-01 02:46:50,2020
144,169,0,169,15,4,True,2020-08-01 02:00:52+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
145,170,0,170,12,2,True,2020-08-01 02:30:11+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
146,171,0,171,16,7,True,2020-08-01 00:37:20+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
147,173,0,173,5,7,True,2020-08-01 01:45:23+00:00,0,active,True,2,True,True,,,2020-08-01 02:46:50,2020
148,174,0,174,7,8,True,2020-07-31 22:41:56+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
149,175,0,175,8,8,True,2020-08-01 02:32:03+00:00,0,active,True,1,True,True,,,2020-08-01 02:46:50,2020
150,176,0,176,9,6,True,2020-08-01 01:27:08+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
151,177,0,177,5,14,True,2020-08-01 02:36:58+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
152,178,0,178,16,3,True,2020-08-01 02:41:19+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
153,179,0,179,10,13,True,2020-08-01 02:44:21+00:00,0,active,True,2,False,True,,,2020-08-01 02:46:50,2020
154,180,0,180,10,9,True,2020-08-01 00:07:53+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
155,181,0,181,12,6,True,2020-08-01 00:10:48+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
156,182,0,182,14,3,True,2020-08-01 00:52:34+00:00,0,active,True,2,True,True,,,2020-08-01 02:46:50,2020
157,183,0,183,8,11,True,2020-08-01 02:08:48+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
158,184,0,184,16,3,True,2020-08-01 02:32:44+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
159,185,0,185,1,14,True,2020-08-01 02:43:13+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
160,186,0,186,6,9,True,2020-08-01 02:21:49+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
161,187,0,187,1,14,True,2020-08-01 00:12:13+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
162,188,0,188,11,4,True,2020-08-01 02:22:44+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
163,189,0,189,23,0,True,2020-08-01 02:42:56+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
164,190,0,190,8,26,True,2020-08-01 02:35:25+00:00,0,active,True,3,True,True,,,2020-08-01 02:46:50,2020
165,191,0,191,13,2,True,2020-07-31 20:45:59+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
166,192,0,192,7,10,True,2020-08-01 02:26:20+00:00,0,active,True,2,False,True,,,2020-08-01 02:46:50,2020
167,193,0,193,10,5,True,2020-08-01 01:48:30+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
168,194,0,194,7,12,True,2020-08-01 02:34:00+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
