,legacy_id,station_status,station_id,num_docks_available,num_bikes_available,is_renting,eightd_has_available_keys,last_reported,is_installed,num_docks_disabled,num_ebikes_available,num_bikes_disabled,is_returning,timestamp_of_data_read_request,year_station_last_reported
0,3,active,3,14,0,True,False,2020-08-12 00:47:12+00:00,True,0,0,1,True,2020-08-12 00:57:40,2020
1,4,active,4,4,15,True,False,2020-08-12 00:53:50+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
2,5,active,5,1,14,True,False,2020-08-12 00:45:11+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
3,6,active,6,10,3,True,False,2020-08-12 00:51:54+00:00,True,0,0,2,True,2020-08-12 00:57:40,2020
4,7,active,7,9,6,True,False,2020-08-12 00:53:07+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
5,8,active,8,7,11,True,False,2020-08-12 00:57:21+00:00,True,0,0,1,True,2020-08-12 00:57:40,2020
6,9,active,9,5,10,True,False,2020-08-12 00:30:17+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
7,10,active,10,11,0,True,False,2020-08-12 00:54:52+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
8,11,active,11,8,7,True,False,2020-08-12 00:44:39+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
9,12,active,12,6,12,True,True,2020-08-12 00:48:13+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
10,13,active,13,19,0,True,False,2020-08-11 23:21:28+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
11,14,active,14,25,0,True,False,2020-08-11 23:22:54+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
12,15,active,15,4,11,True,False,2020-08-12 00:14:49+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
13,16,active,16,8,11,True,True,2020-08-12 00:35:10+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
14,17,active,17,7,6,True,False,2020-08-12 00:49:37+00:00,True,0,0,2,True,2020-08-12 00:57:40,2020
15,19,active,19,8,7,True,False,2020-08-12 00:56:05+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
16,20,active,20,8,15,True,True,2020-08-12 00:54:11+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
17,21,active,21,16,2,True,True,2020-08-12 00:33:58+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
18,22,active,22,47,0,True,True,2020-08-12 00:14:27+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
19,23,active,23,18,3,True,False,2020-08-12 00:35:15+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
20,24,active,24,11,6,True,False,2020-08-12 00:36:55+00:00,True,0,0,2,True,2020-08-12 00:57:40,2020
21,25,active,25,9,6,True,False,2020-08-12 00:46:31+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
22,26,active,26,6,9,True,False,2020-08-12 00:29:50+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
23,27,active,27,5,17,True,False,2020-08-12 00:50:59+00:00,True,0,0,1,True,2020-08-12 00:57:40,2020
24,29,active,29,6,9,True,False,2020-08-12 00:32:23+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
25,30,active,30,14,1,True,False,2020-08-12 00:55:25+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
26,31,active,31,17,2,True,True,2020-08-12 00:24:33+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
27,32,active,32,12,2,True,False,2020-08-12 00:57:07+00:00,True,0,0,1,True,2020-08-12 00:57:40,2020
28,33,active,33,25,2,True,False,2020-08-12 00:52:06+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
29,35,active,35,11,12,True,False,2020-08-12 00:35:23+00:00,True,0,0,0,True,2020-08-12 00:57:40,2020
