,legacy_id,num_ebikes_available,num_docks_disabled,is_installed,is_returning,last_reported,num_bikes_available,station_status,num_bikes_disabled,eightd_has_available_keys,station_id,num_docks_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,3,0,0,True,True,2020-07-28 21:17:35+00:00,4,active,0,True,3,11,True,,,2020-07-28 21:23:05,2020
1,4,0,0,True,True,2020-07-28 21:07:44+00:00,12,active,0,False,4,7,True,,,2020-07-28 21:23:05,2020
2,5,0,0,True,True,2020-07-28 21:22:15+00:00,9,active,0,False,5,6,True,,,2020-07-28 21:23:05,2020
3,6,0,0,True,True,2020-07-28 21:17:24+00:00,9,active,0,False,6,6,True,,,2020-07-28 21:23:05,2020
4,7,0,0,True,True,2020-07-28 20:40:44+00:00,1,active,0,False,7,14,True,,,2020-07-28 21:23:05,2020
5,8,0,0,True,True,2020-07-28 21:14:47+00:00,1,active,1,False,8,17,True,,,2020-07-28 21:23:05,2020
6,9,0,0,True,True,2020-07-28 20:59:18+00:00,9,active,1,False,9,5,True,,,2020-07-28 21:23:05,2020
7,10,0,0,True,True,2020-07-28 21:22:16+00:00,8,active,1,False,10,2,True,,,2020-07-28 21:23:05,2020
8,11,0,0,True,True,2020-07-28 21:22:18+00:00,0,active,2,False,11,13,True,"{'region': 'BOS', 'valet_revision': 69, 'active': True, 'off_dock_capacity': 50, 'dock_blocked_count': 0, 'off_dock_count': 41, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-28 21:23:05,2020
9,12,0,0,True,True,2020-07-28 21:19:25+00:00,10,active,0,True,12,8,True,,,2020-07-28 21:23:05,2020
10,13,0,0,True,True,2020-07-28 21:16:30+00:00,0,active,0,False,13,19,True,,,2020-07-28 21:23:05,2020
11,14,0,0,True,True,2020-07-28 21:18:25+00:00,12,active,1,False,14,12,True,,,2020-07-28 21:23:05,2020
12,15,0,0,True,True,2020-07-28 21:21:00+00:00,9,active,0,False,15,6,True,,,2020-07-28 21:23:05,2020
13,16,0,0,True,True,2020-07-28 21:22:12+00:00,10,active,1,True,16,8,True,,,2020-07-28 21:23:05,2020
14,17,0,0,True,True,2020-07-28 21:09:56+00:00,7,active,0,False,17,8,True,,,2020-07-28 21:23:05,2020
15,19,0,0,True,True,2020-07-28 21:04:54+00:00,2,active,0,False,19,13,True,,,2020-07-28 21:23:05,2020
16,20,0,0,True,True,2020-07-28 21:13:37+00:00,8,active,0,True,20,15,True,,,2020-07-28 21:23:05,2020
17,21,0,0,True,True,2020-07-28 21:08:01+00:00,3,active,2,True,21,13,True,,,2020-07-28 21:23:05,2020
18,22,0,0,True,True,2020-07-28 21:22:02+00:00,3,active,0,True,22,44,True,,,2020-07-28 21:23:05,2020
19,23,0,0,True,True,2020-07-28 21:07:06+00:00,8,active,2,True,23,11,True,,,2020-07-28 21:23:05,2020
20,24,0,0,True,True,2020-07-28 21:16:09+00:00,10,active,0,False,24,9,True,,,2020-07-28 21:23:05,2020
21,25,0,0,True,True,2020-07-28 21:17:37+00:00,13,active,0,False,25,2,True,,,2020-07-28 21:23:05,2020
22,26,0,0,True,True,2020-07-28 21:03:48+00:00,14,active,0,False,26,1,True,,,2020-07-28 21:23:05,2020
23,27,0,0,True,True,2020-07-28 21:14:40+00:00,13,active,0,False,27,10,True,,,2020-07-28 21:23:05,2020
24,29,0,0,True,True,2020-07-28 18:55:47+00:00,12,active,1,False,29,2,True,,,2020-07-28 21:23:05,2020
25,30,0,0,True,True,2020-07-28 21:07:24+00:00,9,active,0,False,30,6,True,,,2020-07-28 21:23:05,2020
26,31,0,0,True,True,2020-07-28 21:08:50+00:00,3,active,0,True,31,16,True,,,2020-07-28 21:23:05,2020
27,32,0,0,True,True,2020-07-28 21:17:48+00:00,1,active,0,False,32,14,True,,,2020-07-28 21:23:05,2020
28,33,0,0,True,True,2020-07-28 21:10:44+00:00,4,active,2,False,33,21,True,,,2020-07-28 21:23:05,2020
29,35,0,0,True,True,2020-07-28 21:20:59+00:00,2,active,1,False,35,20,True,,,2020-07-28 21:23:05,2020
30,36,0,0,True,True,2020-07-28 21:19:40+00:00,21,active,1,True,36,11,True,,,2020-07-28 21:23:05,2020
31,37,0,0,True,True,2020-07-28 20:55:56+00:00,1,active,0,True,37,14,True,,,2020-07-28 21:23:05,2020
32,39,0,0,True,True,2020-07-28 21:22:19+00:00,8,active,0,False,39,15,True,,,2020-07-28 21:23:05,2020
33,40,0,0,True,True,2020-07-28 21:07:43+00:00,14,active,2,False,40,3,True,,,2020-07-28 21:23:05,2020
34,41,0,0,True,True,2020-07-28 21:22:11+00:00,13,active,1,True,41,13,True,,,2020-07-28 21:23:05,2020
35,42,0,0,True,True,2020-07-28 21:17:07+00:00,13,active,1,False,42,9,True,,,2020-07-28 21:23:05,2020
36,43,0,0,True,True,2020-07-28 21:07:38+00:00,4,active,0,True,43,11,True,,,2020-07-28 21:23:05,2020
37,44,0,0,True,True,2020-07-28 21:17:58+00:00,7,active,0,False,44,16,True,,,2020-07-28 21:23:05,2020
38,46,0,0,True,True,2020-07-28 21:04:12+00:00,12,active,1,False,46,6,True,,,2020-07-28 21:23:05,2020
39,47,0,0,True,True,2020-07-28 21:21:57+00:00,14,active,0,True,47,5,True,,,2020-07-28 21:23:05,2020
40,48,0,0,True,True,2020-07-28 21:19:17+00:00,6,active,1,False,48,12,True,,,2020-07-28 21:23:05,2020
41,49,0,0,True,True,2020-07-28 21:14:05+00:00,2,active,1,False,49,15,True,,,2020-07-28 21:23:05,2020
