,station_id,is_returning,legacy_id,station_status,last_reported,num_ebikes_available,eightd_has_available_keys,is_renting,num_docks_available,num_bikes_disabled,num_bikes_available,is_installed,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,56,True,56,active,2020-07-31 17:17:07+00:00,0,True,True,10,0,8,True,0,,,2020-07-31 17:35:00,2020
49,57,True,57,active,2020-07-31 17:17:39+00:00,0,True,True,9,0,5,True,0,,,2020-07-31 17:35:00,2020
50,58,True,58,active,2020-07-31 17:18:51+00:00,0,True,True,19,0,0,True,0,,,2020-07-31 17:35:00,2020
51,59,True,59,active,2020-07-31 17:14:32+00:00,0,True,True,4,0,15,True,0,,,2020-07-31 17:35:00,2020
52,60,True,60,active,2020-07-31 17:34:10+00:00,0,False,True,17,1,1,True,0,"{'off_dock_count': 19, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'valet_revision': 63, 'region': 'BOS', 'active': True, 'off_dock_capacity': 40}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-31 17:35:00,2020
53,61,True,61,active,2020-07-31 17:22:12+00:00,0,False,True,7,0,12,True,0,,,2020-07-31 17:35:00,2020
54,63,True,63,active,2020-07-31 16:59:32+00:00,0,False,True,7,0,8,True,0,,,2020-07-31 17:35:00,2020
55,64,True,64,active,2020-07-31 17:27:41+00:00,0,False,True,2,1,16,True,0,,,2020-07-31 17:35:00,2020
56,65,True,65,active,2020-07-31 17:12:43+00:00,0,False,True,19,0,4,True,0,,,2020-07-31 17:35:00,2020
57,66,True,66,active,2020-07-31 17:31:16+00:00,0,False,True,15,0,0,True,0,,,2020-07-31 17:35:00,2020
58,67,True,67,active,2020-07-31 17:28:44+00:00,0,True,True,20,1,6,True,0,,,2020-07-31 17:35:00,2020
59,68,True,68,active,2020-07-31 17:27:06+00:00,0,True,True,10,0,9,True,0,,,2020-07-31 17:35:00,2020
60,69,True,69,active,2020-07-31 17:34:24+00:00,0,True,True,14,0,5,True,0,,,2020-07-31 17:35:00,2020
61,70,True,70,active,2020-07-31 17:00:15+00:00,0,False,True,2,0,21,True,0,,,2020-07-31 17:35:00,2020
62,71,True,71,active,2020-07-31 16:26:16+00:00,0,False,True,11,0,12,True,0,,,2020-07-31 17:35:00,2020
63,72,True,72,active,2020-07-31 16:53:23+00:00,0,False,True,17,0,6,True,0,,,2020-07-31 17:35:00,2020
64,73,True,73,active,2020-07-31 17:32:49+00:00,0,False,True,3,1,11,True,0,,,2020-07-31 17:35:00,2020
65,74,True,74,active,2020-07-31 17:26:40+00:00,0,True,True,5,0,14,True,0,,,2020-07-31 17:35:00,2020
66,75,True,75,active,2020-07-31 17:22:09+00:00,0,False,True,12,1,2,True,0,,,2020-07-31 17:35:00,2020
67,76,True,76,active,2020-07-31 17:32:10+00:00,0,False,True,15,0,2,True,0,,,2020-07-31 17:35:00,2020
68,77,True,77,active,2020-07-31 17:30:18+00:00,0,False,True,14,0,1,True,0,,,2020-07-31 17:35:00,2020
69,78,True,78,active,2020-07-31 17:34:52+00:00,0,False,True,9,1,9,True,0,,,2020-07-31 17:35:00,2020
70,79,True,79,active,2020-07-31 17:10:20+00:00,0,False,True,18,0,1,True,0,,,2020-07-31 17:35:00,2020
71,80,True,80,active,2020-07-31 17:28:23+00:00,0,False,True,1,1,33,True,0,,,2020-07-31 17:35:00,2020
72,81,True,81,active,2020-07-31 17:30:06+00:00,0,False,True,15,0,4,True,0,,,2020-07-31 17:35:00,2020
73,82,True,82,active,2020-07-31 17:01:26+00:00,0,False,True,12,0,3,True,0,,,2020-07-31 17:35:00,2020
74,84,True,84,active,2020-07-31 17:11:24+00:00,0,False,True,13,0,2,True,0,,,2020-07-31 17:35:00,2020
75,85,True,85,active,2020-07-31 16:46:41+00:00,0,False,True,1,0,18,True,0,,,2020-07-31 17:35:00,2020
76,86,True,86,active,2020-07-31 17:27:30+00:00,0,False,True,13,0,6,True,0,,,2020-07-31 17:35:00,2020
77,87,True,87,active,2020-07-31 17:31:25+00:00,0,False,True,9,0,6,True,0,,,2020-07-31 17:35:00,2020
78,89,True,89,active,2020-07-31 17:34:11+00:00,0,False,True,6,0,13,True,0,,,2020-07-31 17:35:00,2020
79,90,True,90,active,2020-07-31 17:09:51+00:00,0,False,True,17,0,2,True,0,,,2020-07-31 17:35:00,2020
80,91,True,91,active,2020-07-31 17:30:42+00:00,0,False,True,1,0,18,True,0,,,2020-07-31 17:35:00,2020
81,92,True,92,active,2020-07-31 17:30:33+00:00,0,False,True,5,3,11,True,0,,,2020-07-31 17:35:00,2020
82,93,True,93,active,2020-07-31 17:22:20+00:00,0,False,True,2,2,11,True,0,,,2020-07-31 17:35:00,2020
83,94,True,94,active,2020-07-31 16:57:14+00:00,0,False,True,3,0,8,True,0,,,2020-07-31 17:35:00,2020
84,95,True,95,active,2020-07-31 16:35:15+00:00,0,False,True,5,1,9,True,0,,,2020-07-31 17:35:00,2020
85,96,True,96,active,2020-07-31 17:30:33+00:00,0,False,True,16,0,3,True,0,,,2020-07-31 17:35:00,2020
86,97,True,97,active,2020-07-31 17:12:19+00:00,0,False,True,8,0,11,True,0,,,2020-07-31 17:35:00,2020
87,98,True,98,active,2020-07-31 17:25:41+00:00,0,False,True,20,0,2,True,0,,,2020-07-31 17:35:00,2020
88,99,True,99,active,2020-07-31 16:53:35+00:00,0,False,True,5,0,10,True,0,,,2020-07-31 17:35:00,2020
89,100,True,100,active,2020-07-31 17:26:08+00:00,0,True,True,12,1,12,True,0,,,2020-07-31 17:35:00,2020
90,101,True,101,active,2020-07-31 13:22:41+00:00,0,False,True,15,0,0,True,0,,,2020-07-31 17:35:00,2020
91,102,True,102,active,2020-07-31 17:15:10+00:00,0,False,True,15,0,0,True,0,,,2020-07-31 17:35:00,2020
92,103,True,103,active,2020-07-31 17:31:29+00:00,0,False,True,14,1,0,True,0,,,2020-07-31 17:35:00,2020
