,is_returning,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,station_id,last_reported,legacy_id,num_bikes_available,is_installed,is_renting,num_docks_disabled,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,0,active,False,2,3,2020-08-18 20:32:17+00:00,3,13,True,True,0,0,,,2020-08-18 20:56:40,2020
1,True,0,active,False,14,4,2020-08-18 20:53:07+00:00,4,5,True,True,0,0,,,2020-08-18 20:56:40,2020
2,True,0,active,False,10,5,2020-08-18 20:49:13+00:00,5,4,True,True,0,1,,,2020-08-18 20:56:40,2020
3,True,0,active,False,11,6,2020-08-18 20:56:01+00:00,6,3,True,True,0,1,,,2020-08-18 20:56:40,2020
4,True,0,active,False,9,7,2020-08-18 20:38:32+00:00,7,5,True,True,0,1,,,2020-08-18 20:56:40,2020
5,True,0,active,False,16,8,2020-08-18 20:46:44+00:00,8,0,True,True,0,3,,,2020-08-18 20:56:40,2020
6,True,0,active,False,13,9,2020-08-18 20:56:31+00:00,9,1,True,True,0,1,,,2020-08-18 20:56:40,2020
7,True,0,active,False,8,10,2020-08-18 20:35:35+00:00,10,3,True,True,0,0,,,2020-08-18 20:56:40,2020
8,True,0,active,False,7,11,2020-08-18 20:55:16+00:00,11,8,True,True,0,0,"{'valet_revision': 92, 'region': 'BOS', 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'off_dock_count': 37, 'off_dock_capacity': 50}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-18 20:56:40,2020
9,True,0,active,False,11,12,2020-08-18 20:55:52+00:00,12,7,True,True,0,0,,,2020-08-18 20:56:40,2020
10,True,0,active,False,18,13,2020-08-18 20:45:54+00:00,13,1,True,True,0,0,,,2020-08-18 20:56:40,2020
11,True,0,active,False,21,14,2020-08-18 20:55:37+00:00,14,3,True,True,0,1,,,2020-08-18 20:56:40,2020
12,True,0,active,False,0,15,2020-08-18 20:27:32+00:00,15,14,True,True,0,1,,,2020-08-18 20:56:40,2020
13,True,0,active,True,9,16,2020-08-18 20:52:53+00:00,16,8,True,True,0,2,,,2020-08-18 20:56:40,2020
14,True,0,active,False,15,17,2020-08-18 20:25:01+00:00,17,0,True,True,0,0,,,2020-08-18 20:56:40,2020
15,True,0,active,False,11,19,2020-08-18 20:35:13+00:00,19,4,True,True,0,0,,,2020-08-18 20:56:40,2020
16,True,0,active,True,8,20,2020-08-18 20:40:44+00:00,20,15,True,True,0,0,,,2020-08-18 20:56:40,2020
17,True,0,active,True,16,21,2020-08-18 20:56:05+00:00,21,2,True,True,0,0,,,2020-08-18 20:56:40,2020
18,True,0,active,True,42,22,2020-08-18 20:55:15+00:00,22,4,True,True,0,1,,,2020-08-18 20:56:40,2020
19,True,0,active,False,14,23,2020-08-18 20:54:27+00:00,23,7,True,True,0,0,,,2020-08-18 20:56:40,2020
20,True,0,active,False,4,24,2020-08-18 20:54:38+00:00,24,14,True,True,0,1,,,2020-08-18 20:56:40,2020
21,True,0,active,False,9,25,2020-08-18 20:56:00+00:00,25,6,True,True,0,0,,,2020-08-18 20:56:40,2020
22,True,0,active,False,7,26,2020-08-18 20:22:38+00:00,26,8,True,True,0,0,,,2020-08-18 20:56:40,2020
23,True,0,active,False,5,27,2020-08-18 20:55:51+00:00,27,17,True,True,0,1,,,2020-08-18 20:56:40,2020
24,True,0,active,False,6,29,2020-08-18 20:55:46+00:00,29,8,True,True,0,1,,,2020-08-18 20:56:40,2020
25,True,0,active,False,11,30,2020-08-18 20:53:52+00:00,30,3,True,True,0,1,,,2020-08-18 20:56:40,2020
26,True,0,active,True,15,31,2020-08-18 19:08:45+00:00,31,4,True,True,0,0,,,2020-08-18 20:56:40,2020
27,True,0,active,False,5,32,2020-08-18 20:56:27+00:00,32,10,True,True,0,0,,,2020-08-18 20:56:40,2020
28,True,0,active,False,5,33,2020-08-18 20:55:51+00:00,33,22,True,True,0,0,,,2020-08-18 20:56:40,2020
29,True,0,active,False,12,35,2020-08-18 20:52:11+00:00,35,11,True,True,0,0,,,2020-08-18 20:56:40,2020
30,True,0,active,True,5,36,2020-08-18 20:53:56+00:00,36,28,True,True,0,0,,,2020-08-18 20:56:40,2020
31,True,0,active,True,0,37,2020-08-18 19:15:16+00:00,37,15,True,True,0,0,,,2020-08-18 20:56:40,2020
32,True,0,active,False,15,39,2020-08-18 20:55:11+00:00,39,7,True,True,0,1,,,2020-08-18 20:56:40,2020
33,True,0,active,False,13,40,2020-08-18 20:40:15+00:00,40,6,True,True,0,0,,,2020-08-18 20:56:40,2020
34,True,0,active,True,17,41,2020-08-18 20:54:29+00:00,41,9,True,True,0,1,,,2020-08-18 20:56:40,2020
35,True,0,active,False,1,42,2020-08-18 20:51:22+00:00,42,21,True,True,0,1,,,2020-08-18 20:56:40,2020
36,True,0,active,True,11,43,2020-08-18 20:44:36+00:00,43,4,True,True,0,0,,,2020-08-18 20:56:40,2020
37,True,0,active,False,4,44,2020-08-18 20:42:13+00:00,44,19,True,True,0,0,,,2020-08-18 20:56:40,2020
38,True,0,active,False,16,46,2020-08-18 20:55:26+00:00,46,3,True,True,0,0,,,2020-08-18 20:56:40,2020
