,is_returning,legacy_id,is_renting,num_docks_available,is_installed,last_reported,num_bikes_disabled,eightd_has_available_keys,station_id,num_docks_disabled,station_status,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
66,True,75,True,7,True,2020-08-15 19:35:13+00:00,1,False,75,0,active,0,7,,,2020-08-15 19:47:05,2020
67,True,76,True,1,True,2020-08-15 19:42:28+00:00,1,False,76,0,active,0,15,,,2020-08-15 19:47:05,2020
68,True,77,True,11,True,2020-08-15 19:37:09+00:00,1,False,77,0,active,0,3,,,2020-08-15 19:47:05,2020
69,True,78,True,6,True,2020-08-15 19:39:29+00:00,0,False,78,0,active,0,13,,,2020-08-15 19:47:05,2020
70,True,79,True,15,True,2020-08-15 19:43:15+00:00,0,False,79,0,active,0,4,,,2020-08-15 19:47:05,2020
71,True,80,True,21,True,2020-08-15 19:43:06+00:00,1,False,80,0,active,0,13,,,2020-08-15 19:47:05,2020
72,True,81,True,10,True,2020-08-15 19:46:52+00:00,1,False,81,0,active,0,8,,,2020-08-15 19:47:05,2020
73,True,82,True,12,True,2020-08-15 19:42:39+00:00,0,False,82,0,active,0,3,,,2020-08-15 19:47:05,2020
74,True,84,True,4,True,2020-08-15 19:45:39+00:00,1,False,84,0,active,0,10,,,2020-08-15 19:47:05,2020
75,True,85,True,10,True,2020-08-15 19:32:20+00:00,0,False,85,0,active,0,9,,,2020-08-15 19:47:05,2020
76,True,86,True,1,True,2020-08-15 19:30:22+00:00,1,False,86,0,active,0,17,,,2020-08-15 19:47:05,2020
77,True,87,True,10,True,2020-08-15 19:40:03+00:00,0,False,87,0,active,0,5,,,2020-08-15 19:47:05,2020
78,True,89,True,4,True,2020-08-15 19:42:25+00:00,0,False,89,0,active,0,15,,,2020-08-15 19:47:05,2020
79,True,90,True,13,True,2020-08-15 19:34:28+00:00,1,False,90,0,active,0,5,,,2020-08-15 19:47:05,2020
80,True,91,True,7,True,2020-08-15 19:38:50+00:00,1,False,91,0,active,0,11,,,2020-08-15 19:47:05,2020
81,True,92,True,0,True,2020-08-15 19:43:28+00:00,0,False,92,0,active,0,19,,,2020-08-15 19:47:05,2020
82,True,93,True,2,True,2020-08-15 19:40:54+00:00,0,False,93,0,active,0,13,,,2020-08-15 19:47:05,2020
83,True,94,True,3,True,2020-08-15 19:44:06+00:00,0,False,94,0,active,0,8,,,2020-08-15 19:47:05,2020
84,True,95,True,0,True,2020-08-15 19:32:04+00:00,3,False,95,0,active,0,12,,,2020-08-15 19:47:05,2020
85,True,96,True,19,True,2020-08-15 19:18:09+00:00,0,False,96,0,active,0,0,,,2020-08-15 19:47:05,2020
86,True,97,True,15,True,2020-08-15 19:46:38+00:00,0,False,97,0,active,0,4,,,2020-08-15 19:47:05,2020
87,True,98,True,21,True,2020-08-15 19:46:24+00:00,0,False,98,0,active,0,2,,,2020-08-15 19:47:05,2020
88,True,99,True,14,True,2020-08-15 19:37:44+00:00,0,False,99,0,active,0,1,,,2020-08-15 19:47:05,2020
89,True,100,True,9,True,2020-08-15 19:44:29+00:00,1,True,100,0,active,0,15,,,2020-08-15 19:47:05,2020
90,True,101,True,6,True,2020-08-15 19:00:49+00:00,0,False,101,0,active,0,9,,,2020-08-15 19:47:05,2020
91,True,102,True,7,True,2020-08-15 19:33:39+00:00,0,False,102,0,active,0,8,,,2020-08-15 19:47:05,2020
92,True,103,True,13,True,2020-08-15 19:44:12+00:00,0,False,103,0,active,0,2,,,2020-08-15 19:47:05,2020
93,True,104,True,16,True,2020-08-15 19:43:15+00:00,0,False,104,0,active,0,3,,,2020-08-15 19:47:05,2020
94,True,105,True,14,True,2020-08-15 19:46:09+00:00,1,False,105,0,active,0,4,,,2020-08-15 19:47:05,2020
95,True,106,True,9,True,2020-08-15 19:29:43+00:00,0,False,106,0,active,0,6,,,2020-08-15 19:47:05,2020
96,True,107,True,4,True,2020-08-15 19:38:59+00:00,1,False,107,0,active,0,14,,,2020-08-15 19:47:05,2020
97,True,108,True,8,True,2020-08-15 19:43:26+00:00,1,False,108,0,active,0,8,,,2020-08-15 19:47:05,2020
98,True,109,True,33,True,2020-08-15 19:34:54+00:00,1,False,109,0,active,0,1,,,2020-08-15 19:47:05,2020
99,True,110,True,1,True,2020-08-15 18:46:57+00:00,2,False,110,0,active,0,12,,,2020-08-15 19:47:05,2020
100,True,111,True,14,True,2020-08-15 19:40:08+00:00,0,False,111,0,active,0,1,,,2020-08-15 19:47:05,2020
101,True,112,True,7,True,2020-08-15 19:04:10+00:00,0,False,112,0,active,0,8,,,2020-08-15 19:47:05,2020
102,True,113,True,13,True,2020-08-15 19:29:09+00:00,0,False,113,0,active,0,2,,,2020-08-15 19:47:05,2020
103,True,114,True,9,True,2020-08-15 19:13:25+00:00,0,False,114,0,active,0,6,,,2020-08-15 19:47:05,2020
104,True,115,True,6,True,2020-08-15 19:31:05+00:00,0,False,115,0,active,0,13,,,2020-08-15 19:47:05,2020
105,True,116,True,20,True,2020-08-15 19:24:47+00:00,0,False,116,0,active,0,3,,,2020-08-15 19:47:05,2020
106,True,117,True,15,True,2020-08-15 19:26:11+00:00,1,False,117,0,active,0,3,,,2020-08-15 19:47:05,2020
107,True,118,True,5,True,2020-08-15 19:14:46+00:00,1,False,118,0,active,0,13,,,2020-08-15 19:47:05,2020
108,True,119,True,13,True,2020-08-15 19:42:40+00:00,0,False,119,0,active,0,2,,,2020-08-15 19:47:05,2020
109,True,120,True,12,True,2020-08-15 19:42:41+00:00,0,False,120,0,active,0,3,,,2020-08-15 19:47:05,2020
110,True,121,True,14,True,2020-08-15 19:44:08+00:00,0,False,121,0,active,0,3,,,2020-08-15 19:47:05,2020
111,True,122,True,7,True,2020-08-15 19:19:13+00:00,0,False,122,0,active,0,8,,,2020-08-15 19:47:05,2020
112,True,124,True,10,True,2020-08-15 19:19:24+00:00,0,False,124,0,active,0,5,,,2020-08-15 19:47:05,2020
113,True,125,True,8,True,2020-08-15 19:12:33+00:00,2,False,125,0,active,0,5,,,2020-08-15 19:47:05,2020
114,True,126,True,8,True,2020-08-15 17:46:40+00:00,1,False,126,0,active,0,6,,,2020-08-15 19:47:05,2020
115,True,128,True,1,True,2020-08-15 19:35:26+00:00,0,False,128,0,active,0,18,,,2020-08-15 19:47:05,2020
116,True,129,True,4,True,2020-08-15 14:21:30+00:00,0,False,129,0,active,0,15,,,2020-08-15 19:47:05,2020
117,True,130,True,2,True,2020-08-15 19:36:52+00:00,0,False,130,0,active,0,13,,,2020-08-15 19:47:05,2020
118,True,131,True,12,True,2020-08-15 19:41:55+00:00,1,False,131,0,active,0,5,,,2020-08-15 19:47:05,2020
119,True,133,True,22,True,2020-08-15 19:28:21+00:00,0,False,133,0,active,0,1,,,2020-08-15 19:47:05,2020
120,True,135,True,17,True,2020-08-15 08:40:52+00:00,0,False,135,0,active,0,0,,,2020-08-15 19:47:05,2020
121,True,136,True,13,True,2020-08-15 18:51:10+00:00,0,False,136,0,active,0,6,,,2020-08-15 19:47:05,2020
122,True,137,True,4,True,2020-08-15 18:51:41+00:00,1,False,137,0,active,0,10,,,2020-08-15 19:47:05,2020
123,True,138,True,2,True,2020-08-15 18:37:47+00:00,3,False,138,0,active,0,10,,,2020-08-15 19:47:05,2020
124,True,139,True,15,True,2020-08-15 19:26:43+00:00,1,False,139,0,active,0,3,,,2020-08-15 19:47:05,2020
125,True,140,True,8,True,2020-08-15 19:34:17+00:00,0,False,140,0,active,0,9,,,2020-08-15 19:47:05,2020
126,True,141,True,14,True,2020-08-15 19:15:09+00:00,0,False,141,0,active,0,1,,,2020-08-15 19:47:05,2020
127,True,142,True,1,True,2020-08-15 19:36:39+00:00,0,False,142,0,active,0,22,,,2020-08-15 19:47:05,2020
128,True,143,True,15,True,2020-08-15 19:31:03+00:00,1,False,143,0,active,0,7,,,2020-08-15 19:47:05,2020
129,True,144,True,3,True,2020-08-15 19:39:16+00:00,0,False,144,0,active,0,16,,,2020-08-15 19:47:05,2020
130,False,145,False,3,True,2020-08-15 19:14:57+00:00,0,False,145,0,active,0,16,,,2020-08-15 19:47:05,2020
131,True,146,True,0,True,2020-08-15 19:45:52+00:00,2,False,146,0,active,0,17,,,2020-08-15 19:47:05,2020
132,True,149,True,6,True,2020-08-15 19:43:30+00:00,0,True,149,0,active,0,12,,,2020-08-15 19:47:05,2020
133,True,150,True,2,True,2020-08-15 18:46:54+00:00,1,False,150,0,active,0,16,,,2020-08-15 19:47:05,2020
134,True,151,True,17,True,2020-08-15 19:42:52+00:00,0,False,151,0,active,0,2,,,2020-08-15 19:47:05,2020
135,True,152,True,5,True,2020-08-15 19:37:02+00:00,0,True,152,0,active,0,10,,,2020-08-15 19:47:05,2020
136,True,156,True,12,True,2020-08-15 19:45:20+00:00,0,False,156,0,active,0,3,,,2020-08-15 19:47:05,2020
137,True,157,True,2,True,2020-08-15 19:46:18+00:00,1,False,157,0,active,0,12,,,2020-08-15 19:47:05,2020
138,True,159,True,9,True,2020-08-15 19:19:57+00:00,0,False,159,0,active,0,6,,,2020-08-15 19:47:05,2020
139,True,160,True,11,True,2020-08-15 19:43:34+00:00,0,True,160,0,active,0,3,,,2020-08-15 19:47:05,2020
140,True,161,True,14,True,2020-08-15 19:45:03+00:00,1,True,161,0,active,0,8,,,2020-08-15 19:47:05,2020
141,True,162,True,13,True,2020-08-15 18:52:24+00:00,0,False,162,0,active,0,2,,,2020-08-15 19:47:05,2020
142,True,163,True,18,True,2020-08-15 18:54:38+00:00,0,True,163,0,active,0,1,,,2020-08-15 19:47:05,2020
143,True,167,True,6,True,2020-08-15 19:40:53+00:00,0,False,167,0,active,0,9,,,2020-08-15 19:47:05,2020
144,True,169,True,12,True,2020-08-15 19:10:46+00:00,0,False,169,0,active,0,7,,,2020-08-15 19:47:05,2020
145,True,170,True,14,True,2020-08-15 19:32:26+00:00,0,True,170,0,active,0,0,,,2020-08-15 19:47:05,2020
146,True,171,True,14,True,2020-08-15 17:44:53+00:00,0,True,171,0,active,0,9,,,2020-08-15 19:47:05,2020
147,True,173,True,6,True,2020-08-15 17:57:38+00:00,0,True,173,0,active,0,8,,,2020-08-15 19:47:05,2020
148,True,174,True,5,True,2020-08-15 16:05:26+00:00,0,False,174,0,active,0,10,,,2020-08-15 19:47:05,2020
149,True,175,True,13,True,2020-08-15 19:46:35+00:00,0,True,175,0,active,0,4,,,2020-08-15 19:47:05,2020
150,True,176,True,4,True,2020-08-15 19:22:51+00:00,0,False,176,0,active,0,11,,,2020-08-15 19:47:05,2020
151,True,177,True,10,True,2020-08-15 19:18:13+00:00,1,False,177,0,active,0,8,,,2020-08-15 19:47:05,2020
152,True,178,True,18,True,2020-08-15 19:45:51+00:00,1,False,178,0,active,0,0,,,2020-08-15 19:47:05,2020
153,True,179,True,16,True,2020-08-15 18:59:47+00:00,0,False,179,0,active,0,9,,,2020-08-15 19:47:05,2020
154,True,180,True,3,True,2020-08-15 19:28:09+00:00,0,False,180,0,active,0,16,,,2020-08-15 19:47:05,2020
155,True,181,True,8,True,2020-08-15 19:03:29+00:00,0,False,181,0,active,0,11,,,2020-08-15 19:47:05,2020
156,True,182,True,8,True,2020-08-15 19:44:31+00:00,0,True,182,0,active,0,11,,,2020-08-15 19:47:05,2020
157,True,183,True,8,True,2020-08-15 19:30:17+00:00,0,False,183,0,active,0,11,,,2020-08-15 19:47:05,2020
158,True,184,True,15,True,2020-08-15 19:26:54+00:00,0,False,184,0,active,0,4,,,2020-08-15 19:47:05,2020
159,True,185,True,11,True,2020-08-15 19:29:42+00:00,1,False,185,0,active,0,3,,,2020-08-15 19:47:05,2020
160,True,186,True,14,True,2020-08-15 19:17:36+00:00,0,True,186,0,active,0,1,,,2020-08-15 19:47:05,2020
161,True,187,True,4,True,2020-08-15 19:39:31+00:00,0,False,187,0,active,0,11,,,2020-08-15 19:47:05,2020
162,True,188,True,11,True,2020-08-15 19:20:31+00:00,0,False,188,0,active,0,4,,,2020-08-15 19:47:05,2020
163,True,189,True,16,True,2020-08-15 19:39:50+00:00,0,True,189,0,active,0,7,,,2020-08-15 19:47:05,2020
164,True,190,True,35,True,2020-08-15 19:41:54+00:00,0,True,190,0,active,0,2,,,2020-08-15 19:47:05,2020
165,True,191,True,9,True,2020-08-15 18:58:30+00:00,0,False,191,0,active,0,6,,,2020-08-15 19:47:05,2020
166,True,192,True,11,True,2020-08-15 19:34:53+00:00,0,False,192,0,active,0,8,,,2020-08-15 19:47:05,2020
167,True,193,True,2,True,2020-08-15 19:26:47+00:00,2,True,193,0,active,0,11,,,2020-08-15 19:47:05,2020
168,True,194,True,17,True,2020-08-15 17:19:50+00:00,0,False,194,0,active,0,2,,,2020-08-15 19:47:05,2020
169,True,195,True,14,True,2020-08-15 19:23:34+00:00,0,False,195,0,active,0,9,,,2020-08-15 19:47:05,2020
170,True,196,True,10,True,2020-08-15 18:22:47+00:00,0,False,196,0,active,0,0,,,2020-08-15 19:47:05,2020
171,True,197,True,10,True,2020-08-15 19:16:35+00:00,0,False,197,0,active,0,5,,,2020-08-15 19:47:05,2020
172,True,199,True,9,True,2020-08-15 19:36:47+00:00,0,False,199,0,active,0,6,,,2020-08-15 19:47:05,2020
173,True,200,True,6,True,2020-08-15 19:46:51+00:00,0,False,200,0,active,0,13,,,2020-08-15 19:47:05,2020
174,True,201,True,9,True,2020-08-15 19:27:33+00:00,0,False,201,0,active,0,6,,,2020-08-15 19:47:05,2020
175,True,202,True,7,True,2020-08-15 19:35:02+00:00,0,False,202,0,active,0,8,,,2020-08-15 19:47:05,2020
176,True,203,True,14,True,2020-08-15 19:39:30+00:00,0,False,203,0,active,0,1,,,2020-08-15 19:47:05,2020
177,True,204,True,13,True,2020-08-15 10:45:22+00:00,0,False,204,0,active,0,2,,,2020-08-15 19:47:05,2020
178,True,205,True,8,True,2020-08-15 16:25:20+00:00,0,False,205,0,active,0,7,,,2020-08-15 19:47:05,2020
179,True,206,True,19,True,2020-08-15 19:45:00+00:00,1,True,206,0,active,0,3,,,2020-08-15 19:47:05,2020
180,True,208,True,7,True,2020-08-15 18:50:22+00:00,0,True,208,0,active,0,8,,,2020-08-15 19:47:05,2020
181,True,209,True,2,True,2020-08-15 19:07:07+00:00,0,False,209,0,active,0,13,,,2020-08-15 19:47:05,2020
182,True,210,True,11,True,2020-08-15 18:11:07+00:00,1,False,210,0,active,0,3,,,2020-08-15 19:47:05,2020
183,True,211,True,16,True,2020-08-15 19:45:09+00:00,0,False,211,0,active,0,3,,,2020-08-15 19:47:05,2020
184,True,212,True,14,True,2020-08-15 19:26:00+00:00,1,False,212,0,active,0,18,,,2020-08-15 19:47:05,2020
185,True,213,True,13,True,2020-08-15 17:21:58+00:00,0,True,213,0,active,0,3,,,2020-08-15 19:47:05,2020
186,True,214,True,13,True,2020-08-15 19:43:20+00:00,0,False,214,0,active,0,2,,,2020-08-15 19:47:05,2020
187,True,215,True,6,True,2020-08-15 18:57:28+00:00,1,False,215,0,active,0,8,,,2020-08-15 19:47:05,2020
188,True,216,True,0,True,2020-08-15 13:51:48+00:00,1,False,216,0,active,0,18,,,2020-08-15 19:47:05,2020
189,True,217,True,11,True,2020-08-15 19:22:16+00:00,0,False,217,0,active,0,8,,,2020-08-15 19:47:05,2020
190,True,218,True,1,True,2020-08-15 19:45:02+00:00,0,False,218,0,active,0,14,,,2020-08-15 19:47:05,2020
191,True,219,True,14,True,2020-08-15 17:26:12+00:00,0,False,219,0,active,0,1,,,2020-08-15 19:47:05,2020
192,True,221,True,10,True,2020-08-15 19:35:58+00:00,0,False,221,0,active,0,9,,,2020-08-15 19:47:05,2020
193,True,222,True,9,True,2020-08-15 19:15:35+00:00,0,True,222,0,active,0,5,,,2020-08-15 19:47:05,2020
194,True,224,True,1,True,2020-08-15 19:46:07+00:00,3,False,224,0,active,0,13,,,2020-08-15 19:47:05,2020
195,True,225,True,12,True,2020-08-15 18:15:15+00:00,1,False,225,0,active,0,6,,,2020-08-15 19:47:05,2020
196,True,226,True,14,True,2020-08-15 19:39:08+00:00,0,False,226,0,active,0,1,,,2020-08-15 19:47:05,2020
197,True,227,True,3,True,2020-08-15 19:38:59+00:00,1,False,227,0,active,0,15,,,2020-08-15 19:47:05,2020
198,True,228,True,12,True,2020-08-15 19:39:35+00:00,1,False,228,0,active,0,6,,,2020-08-15 19:47:05,2020
199,True,232,True,8,True,2020-08-15 17:01:48+00:00,0,False,232,0,active,0,3,,,2020-08-15 19:47:05,2020
200,True,233,True,6,True,2020-08-15 19:43:19+00:00,1,False,233,0,active,0,8,,,2020-08-15 19:47:05,2020
201,True,234,True,14,True,2020-08-15 18:43:16+00:00,1,False,234,0,active,0,0,,,2020-08-15 19:47:05,2020
202,True,235,True,2,True,2020-08-15 19:41:34+00:00,0,False,235,0,active,0,13,,,2020-08-15 19:47:05,2020
203,True,236,True,4,True,2020-08-15 19:39:51+00:00,0,False,236,0,active,0,11,,,2020-08-15 19:47:05,2020
204,True,239,True,6,True,2020-08-15 19:37:02+00:00,1,False,239,0,active,0,8,,,2020-08-15 19:47:05,2020
205,True,255,True,4,True,2020-08-15 14:15:01+00:00,0,False,255,0,active,0,11,,,2020-08-15 19:47:05,2020
206,True,258,True,11,True,2020-08-15 19:44:24+00:00,0,False,258,0,active,0,4,,,2020-08-15 19:47:05,2020
207,True,259,True,4,True,2020-08-15 14:02:58+00:00,0,False,259,0,active,0,11,,,2020-08-15 19:47:05,2020
