,num_docks_disabled,legacy_id,num_docks_available,is_renting,num_bikes_available,eightd_has_available_keys,is_returning,num_bikes_disabled,last_reported,station_id,num_ebikes_available,station_status,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
198,0,228,7,True,12,False,True,0,2020-08-11 15:07:40+00:00,228,0,active,True,,,2020-08-11 15:08:50,2020
199,0,232,3,True,8,False,True,0,2020-08-11 01:22:39+00:00,232,0,active,True,,,2020-08-11 15:08:50,2020
200,0,233,5,True,8,False,True,2,2020-08-11 15:03:51+00:00,233,0,active,True,,,2020-08-11 15:08:50,2020
201,0,234,13,True,2,False,True,0,2020-08-11 15:02:58+00:00,234,0,active,True,,,2020-08-11 15:08:50,2020
202,0,235,9,True,6,False,True,0,2020-08-11 15:04:42+00:00,235,0,active,True,,,2020-08-11 15:08:50,2020
203,0,236,5,True,10,False,True,0,2020-08-11 13:23:09+00:00,236,0,active,True,,,2020-08-11 15:08:50,2020
204,0,239,9,True,6,False,True,0,2020-08-11 14:01:56+00:00,239,0,active,True,,,2020-08-11 15:08:50,2020
205,0,255,3,True,12,False,True,0,2020-08-11 13:33:23+00:00,255,0,active,True,,,2020-08-11 15:08:50,2020
206,0,258,8,True,7,False,True,0,2020-08-11 13:35:55+00:00,258,0,active,True,,,2020-08-11 15:08:50,2020
207,0,259,0,True,15,False,True,0,2020-08-11 08:42:57+00:00,259,0,active,True,,,2020-08-11 15:08:50,2020
208,0,260,3,True,12,False,True,0,2020-08-11 12:30:13+00:00,260,0,active,True,,,2020-08-11 15:08:50,2020
209,0,271,9,True,6,False,True,0,2020-08-11 14:00:19+00:00,271,0,active,True,,,2020-08-11 15:08:50,2020
210,0,272,12,True,6,False,True,1,2020-08-11 12:29:04+00:00,272,0,active,True,,,2020-08-11 15:08:50,2020
211,0,273,22,True,18,False,True,0,2020-08-11 14:18:14+00:00,273,0,active,True,,,2020-08-11 15:08:50,2020
212,0,279,5,True,14,False,True,0,2020-08-11 15:07:32+00:00,279,0,active,True,,,2020-08-11 15:08:50,2020
213,0,280,13,True,6,False,True,0,2020-08-11 14:01:42+00:00,280,0,active,True,,,2020-08-11 15:08:50,2020
214,0,282,7,True,6,False,True,2,2020-08-11 14:27:36+00:00,282,0,active,True,,,2020-08-11 15:08:50,2020
215,0,296,14,True,8,False,True,1,2020-08-11 14:53:12+00:00,296,0,active,True,,,2020-08-11 15:08:50,2020
216,0,318,0,True,19,False,True,0,2020-08-11 14:14:25+00:00,318,0,active,True,,,2020-08-11 15:08:50,2020
217,0,319,22,True,3,False,True,0,2020-08-11 13:16:07+00:00,319,0,active,True,,,2020-08-11 15:08:50,2020
218,0,327,2,True,12,False,True,1,2020-08-11 15:02:15+00:00,327,0,active,True,,,2020-08-11 15:08:50,2020
219,0,328,13,True,2,False,True,0,2020-08-11 14:46:52+00:00,328,0,active,True,,,2020-08-11 15:08:50,2020
220,0,329,12,True,3,False,True,0,2020-08-11 15:01:17+00:00,329,0,active,True,,,2020-08-11 15:08:50,2020
221,0,330,6,True,9,False,True,0,2020-08-11 12:48:03+00:00,330,0,active,True,,,2020-08-11 15:08:50,2020
222,0,331,12,True,3,False,True,0,2020-08-11 15:07:25+00:00,331,0,active,True,,,2020-08-11 15:08:50,2020
223,0,332,9,True,5,False,True,1,2020-08-11 15:02:22+00:00,332,0,active,True,,,2020-08-11 15:08:50,2020
224,0,333,5,True,20,False,True,0,2020-08-11 13:21:39+00:00,333,0,active,True,,,2020-08-11 15:08:50,2020
225,0,334,1,True,18,False,True,0,2020-08-11 13:14:38+00:00,334,0,active,True,,,2020-08-11 15:08:50,2020
226,0,335,7,True,12,False,True,0,2020-08-11 14:07:56+00:00,335,0,active,True,,,2020-08-11 15:08:50,2020
227,0,336,5,True,9,False,True,1,2020-08-11 14:45:28+00:00,336,0,active,True,,,2020-08-11 15:08:50,2020
228,0,337,0,True,15,False,True,0,2020-08-11 14:38:17+00:00,337,0,active,True,,,2020-08-11 15:08:50,2020
229,0,338,12,True,3,False,True,0,2020-08-11 15:08:43+00:00,338,0,active,True,,,2020-08-11 15:08:50,2020
230,0,339,5,True,10,False,True,0,2020-08-11 11:59:20+00:00,339,0,active,True,,,2020-08-11 15:08:50,2020
231,0,340,1,True,18,False,True,0,2020-08-11 11:04:47+00:00,340,0,active,True,,,2020-08-11 15:08:50,2020
232,0,341,11,True,4,True,True,0,2020-08-11 13:17:14+00:00,341,0,active,True,,,2020-08-11 15:08:50,2020
233,0,342,14,True,1,False,True,0,2020-08-11 15:04:33+00:00,342,0,active,True,,,2020-08-11 15:08:50,2020
234,0,343,10,True,5,False,True,0,2020-08-11 08:47:45+00:00,343,0,active,True,,,2020-08-11 15:08:50,2020
235,0,344,19,True,0,False,True,0,2020-08-11 14:54:33+00:00,344,0,active,True,,,2020-08-11 15:08:50,2020
236,0,345,13,True,4,False,True,2,2020-08-11 14:24:43+00:00,345,0,active,True,,,2020-08-11 15:08:50,2020
237,0,346,13,True,2,False,True,0,2020-08-11 15:05:40+00:00,346,0,active,True,,,2020-08-11 15:08:50,2020
238,0,347,4,True,11,False,True,0,2020-08-11 09:01:53+00:00,347,0,active,True,,,2020-08-11 15:08:50,2020
239,0,348,10,True,4,False,True,1,2020-08-11 11:53:10+00:00,348,0,active,True,,,2020-08-11 15:08:50,2020
240,0,349,12,True,5,True,True,0,2020-08-11 08:47:38+00:00,349,0,active,True,,,2020-08-11 15:08:50,2020
241,0,350,3,True,14,False,True,0,2020-08-11 09:53:47+00:00,350,0,active,True,,,2020-08-11 15:08:50,2020
242,0,351,10,True,5,False,True,0,2020-08-11 14:52:13+00:00,351,0,active,True,,,2020-08-11 15:08:50,2020
243,0,352,8,True,7,False,True,0,2020-08-11 14:31:22+00:00,352,0,active,True,,,2020-08-11 15:08:50,2020
244,0,353,9,True,6,True,True,0,2020-08-11 14:25:11+00:00,353,0,active,True,,,2020-08-11 15:08:50,2020
245,0,354,14,True,0,False,True,1,2020-08-11 15:07:32+00:00,354,0,active,True,,,2020-08-11 15:08:50,2020
246,0,355,2,True,15,False,True,0,2020-08-11 13:45:12+00:00,355,0,active,True,,,2020-08-11 15:08:50,2020
247,0,356,11,True,12,False,True,0,2020-08-11 14:47:49+00:00,356,0,active,True,,,2020-08-11 15:08:50,2020
248,0,357,14,True,1,False,True,0,2020-08-11 14:45:40+00:00,357,0,active,True,,,2020-08-11 15:08:50,2020
249,0,358,7,True,12,False,True,0,2020-08-11 13:20:46+00:00,358,0,active,True,,,2020-08-11 15:08:50,2020
250,0,359,11,True,4,False,True,0,2020-08-11 14:53:04+00:00,359,0,active,True,,,2020-08-11 15:08:50,2020
251,0,360,11,True,4,False,True,0,2020-08-11 14:20:46+00:00,360,0,active,True,,,2020-08-11 15:08:50,2020
252,0,361,11,True,8,False,True,0,2020-08-11 14:25:19+00:00,361,0,active,True,,,2020-08-11 15:08:50,2020
253,0,362,8,True,11,False,True,0,2020-08-11 13:02:55+00:00,362,0,active,True,,,2020-08-11 15:08:50,2020
254,0,363,16,True,2,False,True,1,2020-08-11 14:53:10+00:00,363,0,active,True,,,2020-08-11 15:08:50,2020
