,num_bikes_disabled,last_reported,station_status,is_installed,is_returning,num_docks_disabled,eightd_has_available_keys,legacy_id,num_bikes_available,station_id,num_docks_available,num_ebikes_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,0,2020-07-29 18:31:43+00:00,active,True,True,0,True,56,12,56,6,0,True,,,2020-07-29 21:28:45,2020
49,0,2020-07-29 20:38:18+00:00,active,True,True,0,True,57,3,57,11,0,True,,,2020-07-29 21:28:45,2020
50,0,2020-07-29 21:25:02+00:00,active,True,True,0,True,58,2,58,17,0,True,,,2020-07-29 21:28:45,2020
51,0,2020-07-29 21:19:31+00:00,active,True,True,0,True,59,6,59,13,0,True,,,2020-07-29 21:28:45,2020
52,0,2020-07-29 21:28:21+00:00,active,True,True,0,False,60,13,60,6,0,True,"{'off_dock_capacity': 40, 'off_dock_count': 8, 'region': 'BOS', 'dock_blocked_count': 0, 'active': True, 'valet_revision': 61, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-29 21:28:45,2020
53,0,2020-07-29 21:24:58+00:00,active,True,True,0,False,61,7,61,12,0,True,,,2020-07-29 21:28:45,2020
54,0,2020-07-29 19:23:59+00:00,active,True,True,0,False,63,15,63,0,0,True,,,2020-07-29 21:28:45,2020
55,2,2020-07-29 21:13:07+00:00,active,True,True,0,False,64,12,64,5,0,True,,,2020-07-29 21:28:45,2020
56,1,2020-07-29 21:18:24+00:00,active,True,True,0,False,65,11,65,11,0,True,,,2020-07-29 21:28:45,2020
57,0,2020-07-29 21:25:38+00:00,active,True,True,0,False,66,11,66,4,0,True,,,2020-07-29 21:28:45,2020
58,2,2020-07-29 21:28:20+00:00,active,True,True,0,True,67,8,67,17,0,True,,,2020-07-29 21:28:45,2020
59,1,2020-07-29 21:27:05+00:00,active,True,True,0,True,68,7,68,11,0,True,,,2020-07-29 21:28:45,2020
60,0,2020-07-29 21:27:15+00:00,active,True,True,0,True,69,2,69,17,0,True,,,2020-07-29 21:28:45,2020
61,0,2020-07-29 21:21:05+00:00,active,True,True,0,False,70,5,70,18,0,True,,,2020-07-29 21:28:45,2020
62,0,2020-07-29 21:25:07+00:00,active,True,True,0,False,71,19,71,4,0,True,,,2020-07-29 21:28:45,2020
63,0,2020-07-29 21:10:48+00:00,active,True,True,0,False,72,12,72,11,0,True,,,2020-07-29 21:28:45,2020
64,1,2020-07-29 21:27:40+00:00,active,True,True,0,False,73,9,73,5,0,True,,,2020-07-29 21:28:45,2020
65,2,2020-07-29 21:27:08+00:00,active,True,True,0,True,74,11,74,6,0,True,,,2020-07-29 21:28:45,2020
66,0,2020-07-29 21:19:57+00:00,active,True,True,0,False,75,0,75,15,0,True,,,2020-07-29 21:28:45,2020
67,1,2020-07-29 21:26:45+00:00,active,True,True,0,False,76,7,76,9,0,True,,,2020-07-29 21:28:45,2020
68,0,2020-07-29 21:27:28+00:00,active,True,True,0,False,77,5,77,10,0,True,,,2020-07-29 21:28:45,2020
69,0,2020-07-29 21:03:24+00:00,active,True,True,0,False,78,16,78,3,0,True,,,2020-07-29 21:28:45,2020
70,1,2020-07-29 21:17:25+00:00,active,True,True,0,False,79,3,79,15,0,True,,,2020-07-29 21:28:45,2020
