,is_returning,legacy_id,station_status,num_bikes_disabled,station_id,is_renting,last_reported,num_docks_disabled,eightd_has_available_keys,num_bikes_available,num_ebikes_available,is_installed,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
0,True,3,active,1,3,True,2020-08-13 01:19:04+00:00,0,False,0,0,True,14,2020-08-13 01:23:05,2020
1,True,4,active,0,4,True,2020-08-13 01:08:15+00:00,0,False,13,0,True,6,2020-08-13 01:23:05,2020
2,True,5,active,0,5,True,2020-08-13 01:13:18+00:00,0,False,2,0,True,13,2020-08-13 01:23:05,2020
3,True,6,active,1,6,True,2020-08-13 01:19:37+00:00,0,False,3,0,True,11,2020-08-13 01:23:05,2020
4,True,7,active,0,7,True,2020-08-13 01:05:42+00:00,0,False,4,0,True,11,2020-08-13 01:23:05,2020
5,True,8,active,0,8,True,2020-08-13 01:18:15+00:00,0,False,17,0,True,2,2020-08-13 01:23:05,2020
6,True,9,active,1,9,True,2020-08-13 00:54:13+00:00,0,False,10,0,True,4,2020-08-13 01:23:05,2020
7,True,10,active,0,10,True,2020-08-13 01:20:15+00:00,0,False,2,0,True,9,2020-08-13 01:23:05,2020
8,True,11,active,1,11,True,2020-08-13 00:02:11+00:00,0,False,0,0,True,14,2020-08-13 01:23:05,2020
9,True,12,active,0,12,True,2020-08-13 00:44:54+00:00,0,True,17,0,True,1,2020-08-13 01:23:05,2020
10,True,13,active,1,13,True,2020-08-13 00:39:33+00:00,0,False,6,0,True,12,2020-08-13 01:23:05,2020
11,True,14,active,0,14,True,2020-08-13 01:21:25+00:00,0,False,1,0,True,24,2020-08-13 01:23:05,2020
12,True,15,active,0,15,True,2020-08-13 01:19:43+00:00,0,False,14,0,True,1,2020-08-13 01:23:05,2020
13,True,16,active,0,16,True,2020-08-13 00:51:31+00:00,0,True,11,0,True,8,2020-08-13 01:23:05,2020
14,True,17,active,1,17,True,2020-08-13 01:06:15+00:00,0,False,0,0,True,14,2020-08-13 01:23:05,2020
15,True,19,active,0,19,True,2020-08-13 01:14:23+00:00,0,False,8,0,True,7,2020-08-13 01:23:05,2020
16,True,20,active,0,20,True,2020-08-13 01:21:05+00:00,0,True,13,0,True,10,2020-08-13 01:23:05,2020
17,True,21,active,0,21,True,2020-08-13 00:36:01+00:00,0,True,10,0,True,8,2020-08-13 01:23:05,2020
18,True,22,active,0,22,True,2020-08-13 01:04:59+00:00,0,True,6,0,True,41,2020-08-13 01:23:05,2020
19,True,23,active,0,23,True,2020-08-13 01:21:35+00:00,0,False,0,0,True,21,2020-08-13 01:23:05,2020
20,True,24,active,2,24,True,2020-08-13 01:03:35+00:00,0,False,14,0,True,3,2020-08-13 01:23:05,2020
21,True,25,active,1,25,True,2020-08-13 01:00:05+00:00,0,False,13,0,True,1,2020-08-13 01:23:05,2020
22,True,26,active,0,26,True,2020-08-13 01:11:49+00:00,0,False,13,0,True,2,2020-08-13 01:23:05,2020
23,True,27,active,1,27,True,2020-08-13 01:22:36+00:00,0,False,9,0,True,13,2020-08-13 01:23:05,2020
24,True,29,active,0,29,True,2020-08-12 23:26:05+00:00,0,False,7,0,True,8,2020-08-13 01:23:05,2020
25,True,30,active,0,30,True,2020-08-13 01:21:02+00:00,0,False,0,0,True,15,2020-08-13 01:23:05,2020
