,legacy_id,last_reported,is_returning,num_ebikes_available,is_installed,num_docks_disabled,station_id,num_bikes_available,station_status,num_bikes_disabled,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,3,2020-08-20 19:23:30+00:00,True,0,True,0,3,13,active,0,True,False,2,,,2020-08-20 20:29:40,2020
1,4,2020-08-20 20:24:19+00:00,True,0,True,0,4,8,active,0,True,False,11,,,2020-08-20 20:29:40,2020
2,5,2020-08-20 20:29:17+00:00,True,0,True,0,5,5,active,0,True,False,10,,,2020-08-20 20:29:40,2020
3,6,2020-08-20 20:20:57+00:00,True,0,True,0,6,14,active,1,True,False,0,,,2020-08-20 20:29:40,2020
4,7,2020-08-20 20:18:09+00:00,True,0,True,0,7,5,active,0,True,False,10,,,2020-08-20 20:29:40,2020
5,8,2020-08-20 20:23:23+00:00,True,0,True,0,8,8,active,1,True,False,10,,,2020-08-20 20:29:40,2020
6,9,2020-08-20 20:27:20+00:00,True,0,True,0,9,8,active,0,True,False,7,,,2020-08-20 20:29:40,2020
7,10,2020-08-20 20:23:59+00:00,True,0,True,0,10,8,active,0,True,False,3,,,2020-08-20 20:29:40,2020
8,11,2020-08-20 20:29:20+00:00,True,0,True,0,11,6,active,0,True,False,9,"{'region': 'BOS', 'valet_revision': 98, 'off_dock_capacity': 50, 'off_dock_count': 38, 'dock_blocked_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-20 20:29:40,2020
9,12,2020-08-20 20:18:32+00:00,True,0,True,0,12,16,active,2,True,True,0,,,2020-08-20 20:29:40,2020
10,13,2020-08-20 20:28:11+00:00,True,0,True,0,13,0,active,0,True,False,19,,,2020-08-20 20:29:40,2020
11,14,2020-08-20 20:25:49+00:00,True,0,True,0,14,20,active,0,True,False,5,,,2020-08-20 20:29:40,2020
12,15,2020-08-20 20:28:32+00:00,True,0,True,0,15,12,active,0,True,False,3,,,2020-08-20 20:29:40,2020
13,16,2020-08-20 20:17:52+00:00,True,0,True,0,16,7,active,0,True,True,12,,,2020-08-20 20:29:40,2020
14,17,2020-08-20 20:29:28+00:00,True,0,True,0,17,1,active,1,True,False,13,,,2020-08-20 20:29:40,2020
15,19,2020-08-20 20:23:26+00:00,True,0,True,0,19,3,active,0,True,False,12,,,2020-08-20 20:29:40,2020
16,20,2020-08-20 20:25:54+00:00,True,0,True,0,20,4,active,0,True,True,19,,,2020-08-20 20:29:40,2020
17,21,2020-08-20 20:26:39+00:00,True,0,True,0,21,2,active,0,True,True,16,,,2020-08-20 20:29:40,2020
18,22,2020-08-20 20:08:20+00:00,True,0,True,0,22,16,active,0,True,True,31,,,2020-08-20 20:29:40,2020
19,23,2020-08-20 20:24:26+00:00,True,0,True,0,23,5,active,0,True,False,16,,,2020-08-20 20:29:40,2020
20,24,2020-08-20 20:22:54+00:00,True,0,True,0,24,11,active,1,True,False,7,,,2020-08-20 20:29:40,2020
21,25,2020-08-20 20:17:06+00:00,True,0,True,0,25,4,active,1,True,False,10,,,2020-08-20 20:29:40,2020
22,26,2020-08-20 20:22:08+00:00,True,0,True,0,26,6,active,1,True,False,8,,,2020-08-20 20:29:40,2020
23,27,2020-08-20 20:28:51+00:00,True,0,True,0,27,18,active,2,True,False,3,,,2020-08-20 20:29:40,2020
24,29,2020-08-20 20:10:17+00:00,True,0,True,0,29,1,active,1,True,False,13,,,2020-08-20 20:29:40,2020
25,30,2020-08-20 20:12:40+00:00,True,0,True,0,30,7,active,0,True,False,8,,,2020-08-20 20:29:40,2020
