,num_bikes_disabled,eightd_has_available_keys,legacy_id,num_docks_available,station_id,is_installed,is_renting,num_docks_disabled,last_reported,num_bikes_available,station_status,num_ebikes_available,is_returning,timestamp_of_data_read_request,year_station_last_reported
52,0,False,60,12,60,True,True,0,2020-08-11 01:21:00+00:00,7,active,0,True,2020-08-11 01:21:40,2020
53,1,False,61,16,61,True,True,0,2020-08-11 01:20:32+00:00,2,active,0,True,2020-08-11 01:21:40,2020
54,2,False,63,9,63,True,True,0,2020-08-10 22:55:41+00:00,4,active,0,True,2020-08-11 01:21:40,2020
55,0,False,64,12,64,True,True,0,2020-08-11 00:11:36+00:00,7,active,0,True,2020-08-11 01:21:40,2020
56,0,False,65,19,65,True,True,0,2020-08-10 23:13:48+00:00,4,active,0,True,2020-08-11 01:21:40,2020
57,0,False,66,1,66,True,True,0,2020-08-11 00:47:28+00:00,14,active,0,True,2020-08-11 01:21:40,2020
58,0,True,67,22,67,True,True,0,2020-08-11 01:12:55+00:00,5,active,0,True,2020-08-11 01:21:40,2020
59,1,True,68,9,68,True,True,0,2020-08-11 01:20:33+00:00,9,active,0,True,2020-08-11 01:21:40,2020
60,1,True,69,12,69,True,True,0,2020-08-11 01:16:12+00:00,6,active,0,True,2020-08-11 01:21:40,2020
61,0,False,70,2,70,True,True,0,2020-08-11 01:00:24+00:00,21,active,0,True,2020-08-11 01:21:40,2020
62,0,False,71,1,71,True,True,0,2020-08-11 01:18:45+00:00,22,active,0,True,2020-08-11 01:21:40,2020
63,0,False,72,23,72,True,True,0,2020-08-11 00:52:03+00:00,0,active,0,True,2020-08-11 01:21:40,2020
64,0,False,73,14,73,True,True,0,2020-08-11 01:08:15+00:00,1,active,0,True,2020-08-11 01:21:40,2020
65,1,True,74,12,74,True,True,0,2020-08-11 00:39:57+00:00,6,active,0,True,2020-08-11 01:21:40,2020
66,0,False,75,12,75,True,True,0,2020-08-11 01:01:15+00:00,3,active,0,True,2020-08-11 01:21:40,2020
67,0,False,76,13,76,True,True,0,2020-08-11 01:11:57+00:00,4,active,0,True,2020-08-11 01:21:40,2020
68,1,False,77,8,77,True,True,0,2020-08-11 00:54:57+00:00,6,active,0,True,2020-08-11 01:21:40,2020
69,0,False,78,16,78,True,True,0,2020-08-11 01:02:35+00:00,3,active,0,True,2020-08-11 01:21:40,2020
70,3,False,79,1,79,True,True,0,2020-08-11 01:00:05+00:00,15,active,0,True,2020-08-11 01:21:40,2020
71,0,False,80,25,80,True,True,0,2020-08-11 01:18:51+00:00,10,active,0,True,2020-08-11 01:21:40,2020
72,0,False,81,9,81,True,True,0,2020-08-11 00:53:11+00:00,10,active,0,True,2020-08-11 01:21:40,2020
73,0,False,82,14,82,True,True,0,2020-08-11 01:05:23+00:00,1,active,0,True,2020-08-11 01:21:40,2020
74,1,False,84,6,84,True,True,0,2020-08-11 01:21:09+00:00,8,active,0,True,2020-08-11 01:21:40,2020
75,0,False,85,19,85,True,True,0,2020-08-11 00:49:00+00:00,0,active,0,True,2020-08-11 01:21:40,2020
