,is_installed,station_status,is_returning,num_docks_disabled,num_ebikes_available,last_reported,num_bikes_disabled,legacy_id,eightd_has_available_keys,is_renting,num_docks_available,station_id,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
157,True,active,True,0,0,2020-08-18 20:44:49+00:00,0,183,False,True,4,183,15,,,2020-08-18 20:46:25,2020
158,True,active,True,0,0,2020-08-18 20:45:11+00:00,0,184,False,True,12,184,7,,,2020-08-18 20:46:25,2020
159,True,active,True,0,0,2020-08-18 20:28:50+00:00,1,185,False,True,10,185,4,,,2020-08-18 20:46:25,2020
160,True,active,True,0,0,2020-08-18 20:40:31+00:00,0,186,True,True,11,186,4,,,2020-08-18 20:46:25,2020
161,True,active,True,0,0,2020-08-18 19:42:17+00:00,0,187,False,True,5,187,10,,,2020-08-18 20:46:25,2020
162,True,active,True,0,0,2020-08-18 20:14:48+00:00,0,188,False,True,5,188,10,,,2020-08-18 20:46:25,2020
163,True,active,True,0,0,2020-08-18 20:45:06+00:00,0,189,True,True,3,189,20,,,2020-08-18 20:46:25,2020
164,True,active,True,0,0,2020-08-18 20:46:04+00:00,1,190,True,True,20,190,16,,,2020-08-18 20:46:25,2020
165,True,active,True,0,0,2020-08-18 19:59:15+00:00,0,191,False,True,12,191,3,,,2020-08-18 20:46:25,2020
166,True,active,True,0,0,2020-08-18 20:46:22+00:00,0,192,False,True,17,192,2,,,2020-08-18 20:46:25,2020
167,True,active,True,0,0,2020-08-18 20:35:03+00:00,0,193,True,True,14,193,1,,,2020-08-18 20:46:25,2020
168,True,active,True,0,0,2020-08-18 18:08:26+00:00,3,194,False,True,15,194,1,,,2020-08-18 20:46:25,2020
169,True,active,True,0,0,2020-08-18 20:28:49+00:00,1,195,False,True,21,195,1,,,2020-08-18 20:46:25,2020
170,True,active,True,0,0,2020-08-18 19:58:53+00:00,0,196,False,True,10,196,0,,,2020-08-18 20:46:25,2020
171,True,active,True,0,0,2020-08-18 18:41:50+00:00,0,197,False,True,7,197,8,,,2020-08-18 20:46:25,2020
172,True,active,True,0,0,2020-08-18 20:44:02+00:00,0,199,False,True,7,199,8,,,2020-08-18 20:46:25,2020
173,True,active,True,0,0,2020-08-18 20:36:33+00:00,0,200,False,True,6,200,13,,,2020-08-18 20:46:25,2020
174,True,active,True,0,0,2020-08-18 19:29:27+00:00,0,201,False,True,9,201,6,,,2020-08-18 20:46:25,2020
175,True,active,True,0,0,2020-08-18 19:28:12+00:00,1,202,False,True,11,202,3,,,2020-08-18 20:46:25,2020
176,True,active,True,0,0,2020-08-18 08:39:35+00:00,0,203,False,True,7,203,8,,,2020-08-18 20:46:25,2020
177,True,active,True,0,0,2020-08-18 19:08:19+00:00,0,204,False,True,12,204,3,,,2020-08-18 20:46:25,2020
178,True,active,True,0,0,2020-08-18 20:21:05+00:00,0,205,False,True,13,205,2,,,2020-08-18 20:46:25,2020
179,True,active,True,0,0,2020-08-18 20:21:43+00:00,1,206,True,True,9,206,13,,,2020-08-18 20:46:25,2020
180,True,active,True,0,0,2020-08-18 20:35:51+00:00,0,208,True,True,6,208,9,,,2020-08-18 20:46:25,2020
181,True,active,True,0,0,2020-08-18 16:12:40+00:00,1,209,False,True,1,209,13,,,2020-08-18 20:46:25,2020
182,True,active,True,0,0,2020-08-18 18:50:30+00:00,1,210,False,True,11,210,3,,,2020-08-18 20:46:25,2020
183,True,active,True,0,0,2020-08-18 18:26:35+00:00,0,211,False,True,18,211,1,,,2020-08-18 20:46:25,2020
184,True,active,True,0,0,2020-08-18 20:34:29+00:00,0,212,False,True,32,212,1,,,2020-08-18 20:46:25,2020
185,True,active,True,0,0,2020-08-18 19:30:12+00:00,0,213,True,True,14,213,2,,,2020-08-18 20:46:25,2020
186,True,active,True,0,0,2020-08-18 20:26:44+00:00,0,214,False,True,4,214,11,,,2020-08-18 20:46:25,2020
187,True,active,True,0,0,2020-08-18 19:28:23+00:00,2,215,False,True,4,215,9,,,2020-08-18 20:46:25,2020
188,True,active,True,0,0,2020-08-18 08:04:08+00:00,0,216,False,True,0,216,19,,,2020-08-18 20:46:25,2020
189,True,active,True,0,0,2020-08-18 20:36:55+00:00,1,217,False,True,10,217,8,,,2020-08-18 20:46:25,2020
190,True,active,True,0,0,2020-08-18 20:35:33+00:00,2,218,False,True,8,218,5,,,2020-08-18 20:46:25,2020
191,True,active,True,0,0,2020-08-18 19:07:11+00:00,0,219,False,True,11,219,4,,,2020-08-18 20:46:25,2020
192,True,active,True,0,0,2020-08-18 20:38:27+00:00,1,221,False,True,17,221,1,,,2020-08-18 20:46:25,2020
193,True,active,True,0,0,2020-08-18 20:27:39+00:00,0,222,True,True,14,222,0,,,2020-08-18 20:46:25,2020
194,True,active,True,0,0,2020-08-18 20:42:25+00:00,1,224,False,True,4,224,12,,,2020-08-18 20:46:25,2020
195,True,active,True,0,0,2020-08-18 20:43:50+00:00,1,225,False,True,11,225,7,,,2020-08-18 20:46:25,2020
196,True,active,True,0,0,2020-08-18 20:18:42+00:00,1,226,False,True,14,226,0,,,2020-08-18 20:46:25,2020
197,True,active,True,0,0,2020-08-18 20:29:22+00:00,2,227,False,True,15,227,2,,,2020-08-18 20:46:25,2020
198,True,active,True,0,0,2020-08-18 20:39:02+00:00,0,228,False,True,16,228,3,,,2020-08-18 20:46:25,2020
199,True,active,True,0,0,2020-08-18 19:33:43+00:00,0,232,False,True,10,232,1,,,2020-08-18 20:46:25,2020
200,True,active,True,0,0,2020-08-18 20:45:06+00:00,2,233,False,True,11,233,2,,,2020-08-18 20:46:25,2020
201,True,active,True,0,0,2020-08-18 19:59:12+00:00,0,234,False,True,13,234,2,,,2020-08-18 20:46:25,2020
202,True,active,True,0,0,2020-08-18 20:18:49+00:00,0,235,False,True,6,235,9,,,2020-08-18 20:46:25,2020
203,True,active,True,0,0,2020-08-18 20:01:22+00:00,0,236,False,True,5,236,10,,,2020-08-18 20:46:25,2020
204,True,active,True,0,0,2020-08-18 19:34:28+00:00,0,239,False,True,3,239,12,,,2020-08-18 20:46:25,2020
205,True,active,True,0,0,2020-08-18 19:37:34+00:00,0,255,False,True,8,255,7,,,2020-08-18 20:46:25,2020
206,True,active,True,0,0,2020-08-18 11:20:18+00:00,0,258,False,True,7,258,8,,,2020-08-18 20:46:25,2020
207,True,active,True,0,0,2020-08-18 17:28:18+00:00,0,259,False,True,5,259,10,,,2020-08-18 20:46:25,2020
208,True,active,True,0,0,2020-08-18 20:07:20+00:00,0,260,False,True,11,260,4,,,2020-08-18 20:46:25,2020
209,True,active,True,0,0,2020-08-18 19:27:34+00:00,0,271,False,True,5,271,10,,,2020-08-18 20:46:25,2020
210,True,active,True,0,0,2020-08-18 20:13:15+00:00,0,272,False,True,8,272,11,,,2020-08-18 20:46:25,2020
211,True,active,True,0,0,2020-08-18 20:40:08+00:00,0,273,False,True,17,273,23,,,2020-08-18 20:46:25,2020
212,True,active,True,0,0,2020-08-18 20:29:18+00:00,0,279,False,True,1,279,18,,,2020-08-18 20:46:25,2020
213,True,active,True,0,0,2020-08-18 20:24:27+00:00,0,280,False,True,8,280,11,,,2020-08-18 20:46:25,2020
214,True,active,True,0,0,2020-08-18 20:31:40+00:00,0,282,False,True,5,282,10,,,2020-08-18 20:46:25,2020
215,True,active,True,0,0,2020-08-18 20:40:58+00:00,1,296,False,True,12,296,10,,,2020-08-18 20:46:25,2020
216,True,active,True,0,0,2020-08-18 20:38:00+00:00,0,318,False,True,0,318,19,,,2020-08-18 20:46:25,2020
217,True,active,True,0,0,2020-08-18 18:54:04+00:00,0,319,False,True,21,319,4,,,2020-08-18 20:46:25,2020
218,True,active,True,0,0,2020-08-18 19:51:44+00:00,0,327,False,True,11,327,4,,,2020-08-18 20:46:25,2020
219,True,active,True,0,0,2020-08-18 20:46:18+00:00,0,328,False,True,12,328,3,,,2020-08-18 20:46:25,2020
220,True,active,True,0,0,2020-08-18 19:13:49+00:00,1,329,False,True,0,329,14,,,2020-08-18 20:46:25,2020
221,True,active,True,0,0,2020-08-18 20:30:31+00:00,1,330,False,True,10,330,4,,,2020-08-18 20:46:25,2020
222,True,active,True,0,0,2020-08-18 20:44:34+00:00,0,331,False,True,5,331,10,,,2020-08-18 20:46:25,2020
223,True,active,True,0,0,2020-08-18 20:41:57+00:00,1,332,False,True,13,332,1,,,2020-08-18 20:46:25,2020
224,True,active,True,0,0,2020-08-18 19:58:30+00:00,0,333,False,True,0,333,25,,,2020-08-18 20:46:25,2020
225,True,active,True,0,0,2020-08-18 20:10:50+00:00,0,334,False,True,2,334,17,,,2020-08-18 20:46:25,2020
226,True,active,True,0,0,2020-08-18 20:25:55+00:00,0,335,False,True,10,335,9,,,2020-08-18 20:46:25,2020
227,True,active,True,0,0,2020-08-18 08:33:19+00:00,0,336,False,True,11,336,4,,,2020-08-18 20:46:25,2020
228,True,active,True,0,0,2020-08-18 16:03:33+00:00,0,337,False,True,2,337,13,,,2020-08-18 20:46:25,2020
229,True,active,True,0,0,2020-08-18 20:39:54+00:00,0,338,False,True,13,338,2,,,2020-08-18 20:46:25,2020
230,True,active,True,0,0,2020-08-18 15:42:46+00:00,0,339,False,True,8,339,7,,,2020-08-18 20:46:25,2020
231,True,active,True,0,0,2020-08-18 19:23:25+00:00,0,340,False,True,1,340,18,,,2020-08-18 20:46:25,2020
232,True,active,True,0,0,2020-08-18 08:32:50+00:00,0,341,True,True,3,341,12,,,2020-08-18 20:46:25,2020
233,True,active,True,0,0,2020-08-18 20:44:22+00:00,0,342,False,True,10,342,5,,,2020-08-18 20:46:25,2020
234,True,active,True,0,0,2020-08-18 11:13:56+00:00,1,343,False,True,11,343,3,,,2020-08-18 20:46:25,2020
235,True,active,True,0,0,2020-08-18 20:03:19+00:00,0,344,False,True,9,344,10,,,2020-08-18 20:46:25,2020
236,True,active,True,0,0,2020-08-18 20:14:05+00:00,1,345,False,True,8,345,10,,,2020-08-18 20:46:25,2020
237,True,active,True,0,0,2020-08-18 18:50:44+00:00,0,346,False,True,10,346,5,,,2020-08-18 20:46:25,2020
238,True,active,True,0,0,2020-08-18 20:18:31+00:00,0,347,False,True,10,347,5,,,2020-08-18 20:46:25,2020
239,True,active,True,0,0,2020-08-18 20:34:40+00:00,0,348,False,True,13,348,2,,,2020-08-18 20:46:25,2020
240,True,active,True,0,0,2020-08-18 08:32:49+00:00,0,349,False,True,12,349,5,,,2020-08-18 20:46:25,2020
241,True,active,True,0,0,2020-08-18 20:31:33+00:00,0,350,False,True,3,350,14,,,2020-08-18 20:46:25,2020
242,True,active,True,0,0,2020-08-18 17:40:09+00:00,0,351,False,True,5,351,10,,,2020-08-18 20:46:25,2020
243,True,active,True,0,0,2020-08-18 20:46:14+00:00,0,352,False,True,13,352,2,,,2020-08-18 20:46:25,2020
244,True,active,True,0,0,2020-08-18 08:34:23+00:00,0,353,True,True,6,353,9,,,2020-08-18 20:46:25,2020
245,True,active,True,0,0,2020-08-18 20:25:55+00:00,0,354,False,True,15,354,0,,,2020-08-18 20:46:25,2020
246,True,active,True,0,0,2020-08-18 18:55:26+00:00,0,355,False,True,1,355,16,,,2020-08-18 20:46:25,2020
247,True,active,True,0,0,2020-08-18 20:26:35+00:00,0,356,False,True,12,356,11,,,2020-08-18 20:46:25,2020
248,True,active,True,0,0,2020-08-18 20:41:14+00:00,0,357,False,True,7,357,8,,,2020-08-18 20:46:25,2020
249,True,active,True,0,0,2020-08-18 18:19:41+00:00,0,358,False,True,3,358,16,,,2020-08-18 20:46:25,2020
250,True,active,True,0,0,2020-08-18 20:33:10+00:00,2,359,False,True,12,359,1,,,2020-08-18 20:46:25,2020
251,True,active,True,0,0,2020-08-18 20:33:53+00:00,1,360,False,True,10,360,4,,,2020-08-18 20:46:25,2020
252,True,active,True,0,0,2020-08-18 20:28:09+00:00,0,361,False,True,11,361,8,,,2020-08-18 20:46:25,2020
253,True,active,True,0,0,2020-08-18 20:28:19+00:00,0,362,False,True,6,362,13,,,2020-08-18 20:46:25,2020
254,True,active,True,0,0,2020-08-18 20:45:08+00:00,0,363,False,True,15,363,4,,,2020-08-18 20:46:25,2020
255,True,active,True,0,0,2020-08-18 20:40:22+00:00,1,364,False,True,10,364,8,,,2020-08-18 20:46:25,2020
256,True,active,True,0,0,2020-08-18 20:10:52+00:00,0,365,False,True,12,365,7,,,2020-08-18 20:46:25,2020
257,True,active,True,0,0,2020-08-18 20:13:40+00:00,0,366,False,True,6,366,9,,,2020-08-18 20:46:25,2020
258,True,active,True,0,0,2020-08-18 20:42:44+00:00,0,367,False,True,2,367,17,,,2020-08-18 20:46:25,2020
259,True,active,True,0,0,2020-08-18 20:07:08+00:00,0,368,False,True,12,368,3,,,2020-08-18 20:46:25,2020
260,True,active,True,0,0,2020-08-18 20:44:13+00:00,0,369,False,True,14,369,1,,,2020-08-18 20:46:25,2020
261,True,active,True,0,0,2020-08-18 20:40:19+00:00,0,370,False,True,15,370,4,,,2020-08-18 20:46:25,2020
262,True,active,True,0,0,2020-08-18 20:20:34+00:00,0,371,False,True,13,371,6,,,2020-08-18 20:46:25,2020
263,True,active,True,0,0,2020-08-18 20:39:33+00:00,1,372,False,True,8,372,10,,,2020-08-18 20:46:25,2020
264,True,active,True,0,0,2020-08-18 13:27:24+00:00,0,373,False,True,7,373,8,,,2020-08-18 20:46:25,2020
265,True,active,True,0,0,2020-08-18 20:16:00+00:00,1,374,False,True,0,374,18,,,2020-08-18 20:46:25,2020
266,True,active,True,0,0,2020-08-18 19:26:24+00:00,0,376,False,True,2,376,13,,,2020-08-18 20:46:25,2020
267,True,active,True,0,0,2020-08-18 20:07:28+00:00,0,377,False,True,13,377,6,,,2020-08-18 20:46:25,2020
268,True,active,True,0,0,2020-08-18 20:27:01+00:00,0,378,False,True,18,378,1,,,2020-08-18 20:46:25,2020
269,True,active,True,0,0,2020-08-18 20:29:59+00:00,1,379,False,True,13,379,1,,,2020-08-18 20:46:25,2020
270,True,active,True,0,0,2020-08-18 20:38:47+00:00,1,380,False,True,12,380,5,,,2020-08-18 20:46:25,2020
271,True,active,True,0,0,2020-08-18 20:45:35+00:00,0,381,False,True,17,381,2,,,2020-08-18 20:46:25,2020
272,True,active,True,0,0,2020-08-18 20:46:17+00:00,0,384,True,True,16,384,3,,,2020-08-18 20:46:25,2020
273,True,active,True,1,0,2020-08-18 20:34:40+00:00,0,385,False,True,4,385,10,,,2020-08-18 20:46:25,2020
274,True,active,True,0,0,2020-08-18 20:43:20+00:00,0,386,False,True,18,386,1,,,2020-08-18 20:46:25,2020
275,True,active,True,0,0,2020-08-18 08:53:57+00:00,0,387,False,True,0,387,15,,,2020-08-18 20:46:25,2020
276,True,active,True,0,0,2020-08-18 20:26:36+00:00,0,388,False,True,3,388,8,,,2020-08-18 20:46:25,2020
277,True,active,True,0,0,2020-08-18 20:11:12+00:00,0,389,False,True,9,389,5,,,2020-08-18 20:46:25,2020
278,True,active,True,0,0,2020-08-18 15:43:58+00:00,0,390,False,True,7,390,8,,,2020-08-18 20:46:25,2020
279,True,active,True,0,0,2020-08-18 13:31:28+00:00,0,391,False,True,1,391,14,,,2020-08-18 20:46:25,2020
280,True,active,True,0,0,2020-08-18 18:54:31+00:00,0,392,False,True,8,392,7,,,2020-08-18 20:46:25,2020
281,True,active,True,0,0,2020-08-18 10:52:53+00:00,0,393,False,True,8,393,7,,,2020-08-18 20:46:25,2020
282,True,active,True,0,0,2020-08-18 20:00:07+00:00,0,394,False,True,13,394,1,,,2020-08-18 20:46:25,2020
283,True,active,True,0,0,2020-08-18 19:35:53+00:00,0,395,False,True,3,395,12,,,2020-08-18 20:46:25,2020
284,True,active,True,0,0,2020-08-18 20:17:58+00:00,0,396,False,True,3,396,12,,,2020-08-18 20:46:25,2020
285,True,active,True,0,0,2020-08-18 20:30:21+00:00,1,397,False,True,8,397,6,,,2020-08-18 20:46:25,2020
286,True,active,True,0,0,2020-08-18 20:43:53+00:00,0,398,False,True,7,398,12,,,2020-08-18 20:46:25,2020
287,True,active,True,0,0,2020-08-18 20:13:38+00:00,0,399,False,True,5,399,10,,,2020-08-18 20:46:25,2020
288,True,active,True,0,0,2020-08-18 20:19:02+00:00,0,400,False,True,9,400,18,,,2020-08-18 20:46:25,2020
289,True,active,True,0,0,2020-08-18 20:37:22+00:00,0,401,False,True,4,401,11,,,2020-08-18 20:46:25,2020
290,True,active,True,0,0,2020-08-18 20:41:14+00:00,0,402,False,True,9,402,6,,,2020-08-18 20:46:25,2020
291,True,active,True,0,0,2020-08-18 20:24:23+00:00,1,403,False,True,12,403,2,,,2020-08-18 20:46:25,2020
292,True,active,True,0,0,2020-08-18 20:38:56+00:00,0,404,False,True,11,404,5,,,2020-08-18 20:46:25,2020
293,True,active,True,0,0,2020-08-18 19:05:59+00:00,0,405,False,True,6,405,13,,,2020-08-18 20:46:25,2020
294,True,active,True,0,0,2020-08-18 19:30:26+00:00,0,406,False,True,2,406,17,,,2020-08-18 20:46:25,2020
295,True,active,True,0,0,2020-08-18 16:50:24+00:00,0,407,False,True,18,407,1,,,2020-08-18 20:46:25,2020
