,last_reported,eightd_has_available_keys,num_bikes_disabled,num_bikes_available,station_status,num_docks_disabled,num_docks_available,is_returning,station_id,legacy_id,is_installed,num_ebikes_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,2020-08-06 13:29:14+00:00,False,0,7,active,0,8,True,3,3,True,0,True,,,2020-08-06 14:02:25,2020
1,2020-08-06 13:47:04+00:00,False,0,14,active,0,5,True,4,4,True,0,True,,,2020-08-06 14:02:25,2020
2,2020-08-06 13:59:18+00:00,False,1,5,active,0,9,True,5,5,True,0,True,,,2020-08-06 14:02:25,2020
3,2020-08-06 13:58:20+00:00,False,2,12,active,0,1,True,6,6,True,0,True,,,2020-08-06 14:02:25,2020
4,2020-08-06 13:39:55+00:00,False,0,6,active,0,9,True,7,7,True,0,True,,,2020-08-06 14:02:25,2020
5,2020-08-06 14:01:20+00:00,False,1,3,active,0,15,True,8,8,True,0,True,,,2020-08-06 14:02:25,2020
6,2020-08-06 13:53:41+00:00,False,0,14,active,0,1,True,9,9,True,0,True,,,2020-08-06 14:02:25,2020
7,2020-08-06 13:54:03+00:00,False,0,7,active,0,4,True,10,10,True,0,True,,,2020-08-06 14:02:25,2020
8,2020-08-06 13:58:39+00:00,False,1,3,active,0,11,True,11,11,True,0,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 52, 'region': 'BOS', 'off_dock_capacity': 50, 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 79, 'dock_blocked_count': 0}",2020-08-06 14:02:25,2020
9,2020-08-06 13:40:16+00:00,True,0,13,active,0,5,True,12,12,True,0,True,,,2020-08-06 14:02:25,2020
10,2020-08-06 14:00:20+00:00,False,1,13,active,0,5,True,13,13,True,0,True,,,2020-08-06 14:02:25,2020
11,2020-08-06 13:50:25+00:00,False,2,18,active,0,5,True,14,14,True,0,True,,,2020-08-06 14:02:25,2020
12,2020-08-06 13:22:12+00:00,False,0,7,active,0,8,True,15,15,True,0,True,,,2020-08-06 14:02:25,2020
13,2020-08-06 13:40:14+00:00,True,0,3,active,0,16,True,16,16,True,0,True,,,2020-08-06 14:02:25,2020
14,2020-08-06 13:40:05+00:00,False,0,1,active,0,14,True,17,17,True,0,True,,,2020-08-06 14:02:25,2020
15,2020-08-06 13:33:03+00:00,False,0,7,active,0,8,True,19,19,True,0,True,,,2020-08-06 14:02:25,2020
16,2020-08-06 13:57:31+00:00,True,0,8,active,0,15,True,20,20,True,0,True,,,2020-08-06 14:02:25,2020
17,2020-08-06 13:57:24+00:00,True,0,5,active,0,13,True,21,21,True,0,True,,,2020-08-06 14:02:25,2020
18,2020-08-06 13:48:06+00:00,True,2,16,active,0,29,True,22,22,True,0,True,,,2020-08-06 14:02:25,2020
19,2020-08-06 14:02:05+00:00,True,0,15,active,0,6,True,23,23,True,0,True,,,2020-08-06 14:02:25,2020
20,2020-08-06 13:59:26+00:00,False,0,12,active,0,7,True,24,24,True,0,True,,,2020-08-06 14:02:25,2020
21,2020-08-06 13:54:38+00:00,False,0,1,active,0,14,True,25,25,True,0,True,,,2020-08-06 14:02:25,2020
22,2020-08-06 14:02:04+00:00,False,1,3,active,0,11,True,26,26,True,0,True,,,2020-08-06 14:02:25,2020
