,num_bikes_available,num_docks_disabled,is_installed,legacy_id,is_returning,station_status,is_renting,last_reported,eightd_has_available_keys,station_id,num_ebikes_available,num_docks_available,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
125,14,0,True,140,True,active,True,2020-08-07 00:41:16+00:00,False,140,0,1,2,,,2020-08-07 01:58:50,2020
126,5,0,True,141,True,active,True,2020-08-07 00:45:34+00:00,False,141,0,9,1,,,2020-08-07 01:58:50,2020
127,9,0,True,142,True,active,True,2020-08-07 01:23:33+00:00,False,142,0,12,2,,,2020-08-07 01:58:50,2020
128,15,0,True,143,True,active,True,2020-08-07 01:53:38+00:00,False,143,0,7,1,,,2020-08-07 01:58:50,2020
129,14,0,True,144,True,active,True,2020-08-07 00:16:25+00:00,False,144,0,5,0,,,2020-08-07 01:58:50,2020
130,3,0,True,145,True,active,True,2020-08-07 01:58:19+00:00,False,145,0,16,0,,,2020-08-07 01:58:50,2020
131,6,0,True,146,True,active,True,2020-08-07 01:39:05+00:00,False,146,0,12,1,,,2020-08-07 01:58:50,2020
132,16,0,True,149,True,active,True,2020-08-07 01:42:48+00:00,True,149,0,2,0,,,2020-08-07 01:58:50,2020
133,5,0,True,150,True,active,True,2020-08-07 00:25:51+00:00,False,150,0,13,1,,,2020-08-07 01:58:50,2020
134,13,0,True,151,True,active,True,2020-08-06 23:35:05+00:00,False,151,0,6,0,,,2020-08-07 01:58:50,2020
135,15,0,True,152,True,active,True,2020-08-07 00:26:23+00:00,True,152,0,0,0,,,2020-08-07 01:58:50,2020
136,6,0,True,156,True,active,True,2020-08-07 00:28:21+00:00,False,156,0,9,0,,,2020-08-07 01:58:50,2020
137,3,0,True,157,True,active,True,2020-08-07 01:56:22+00:00,False,157,0,12,0,,,2020-08-07 01:58:50,2020
138,6,0,True,159,True,active,True,2020-08-07 01:22:36+00:00,False,159,0,9,0,,,2020-08-07 01:58:50,2020
139,1,0,True,160,True,active,True,2020-08-07 00:45:45+00:00,True,160,0,13,0,,,2020-08-07 01:58:50,2020
140,8,0,True,161,True,active,True,2020-08-07 01:33:50+00:00,True,161,0,14,1,,,2020-08-07 01:58:50,2020
141,8,0,True,162,True,active,True,2020-08-07 00:44:46+00:00,False,162,0,7,0,,,2020-08-07 01:58:50,2020
142,6,0,True,163,True,active,True,2020-08-07 01:13:36+00:00,True,163,0,13,0,,,2020-08-07 01:58:50,2020
143,3,0,True,167,True,active,True,2020-08-07 00:21:14+00:00,False,167,0,12,0,,,2020-08-07 01:58:50,2020
144,8,0,True,169,True,active,True,2020-08-07 00:02:04+00:00,False,169,0,9,2,,,2020-08-07 01:58:50,2020
145,1,0,True,170,True,active,True,2020-08-07 00:15:09+00:00,True,170,0,13,0,,,2020-08-07 01:58:50,2020
146,7,0,True,171,True,active,True,2020-08-07 01:13:25+00:00,True,171,0,16,0,,,2020-08-07 01:58:50,2020
147,2,0,True,173,True,active,True,2020-08-07 00:47:13+00:00,True,173,0,12,0,,,2020-08-07 01:58:50,2020
148,1,0,True,174,True,active,True,2020-08-07 01:05:06+00:00,False,174,0,13,1,,,2020-08-07 01:58:50,2020
149,1,0,True,175,True,active,True,2020-08-07 01:12:48+00:00,True,175,0,16,0,,,2020-08-07 01:58:50,2020
150,6,0,True,176,True,active,True,2020-08-07 01:36:47+00:00,False,176,0,9,0,,,2020-08-07 01:58:50,2020
151,2,0,True,177,True,active,True,2020-08-07 01:54:12+00:00,False,177,0,17,0,,,2020-08-07 01:58:50,2020
152,3,0,True,178,True,active,True,2020-08-07 01:53:38+00:00,False,178,0,16,0,,,2020-08-07 01:58:50,2020
153,7,0,True,179,True,active,True,2020-08-07 01:18:05+00:00,False,179,0,18,0,,,2020-08-07 01:58:50,2020
154,11,0,True,180,True,active,True,2020-08-07 00:41:06+00:00,False,180,0,8,0,,,2020-08-07 01:58:50,2020
155,19,0,True,181,True,active,True,2020-08-07 01:07:11+00:00,False,181,0,0,0,,,2020-08-07 01:58:50,2020
156,13,0,True,182,True,active,True,2020-08-07 01:31:43+00:00,True,182,0,6,0,,,2020-08-07 01:58:50,2020
157,4,0,True,183,True,active,True,2020-08-07 00:01:52+00:00,False,183,0,15,0,,,2020-08-07 01:58:50,2020
158,9,0,True,184,True,active,True,2020-08-07 01:31:11+00:00,False,184,0,9,1,,,2020-08-07 01:58:50,2020
159,10,0,True,185,True,active,True,2020-08-07 01:00:54+00:00,False,185,0,5,0,,,2020-08-07 01:58:50,2020
160,9,0,True,186,True,active,True,2020-08-07 01:35:23+00:00,True,186,0,5,1,,,2020-08-07 01:58:50,2020
161,13,0,True,187,True,active,True,2020-08-07 00:34:48+00:00,False,187,0,2,0,,,2020-08-07 01:58:50,2020
162,13,0,True,188,True,active,True,2020-08-07 00:53:53+00:00,False,188,0,2,0,,,2020-08-07 01:58:50,2020
163,13,0,True,189,True,active,True,2020-08-07 01:46:33+00:00,True,189,0,10,0,,,2020-08-07 01:58:50,2020
164,23,0,True,190,True,active,True,2020-08-07 01:55:53+00:00,True,190,0,13,1,,,2020-08-07 01:58:50,2020
165,4,0,True,191,True,active,True,2020-08-06 23:34:32+00:00,False,191,0,11,0,,,2020-08-07 01:58:50,2020
166,7,0,True,192,True,active,True,2020-08-07 01:48:34+00:00,False,192,0,12,0,,,2020-08-07 01:58:50,2020
167,1,0,True,193,True,active,True,2020-08-06 23:50:56+00:00,True,193,0,13,1,,,2020-08-07 01:58:50,2020
168,6,0,True,194,True,active,True,2020-08-07 01:42:21+00:00,False,194,0,13,0,,,2020-08-07 01:58:50,2020
169,9,0,True,195,True,active,True,2020-08-07 01:30:40+00:00,False,195,0,12,2,,,2020-08-07 01:58:50,2020
170,9,0,True,196,True,active,True,2020-08-07 01:39:14+00:00,True,196,0,1,0,,,2020-08-07 01:58:50,2020
171,3,0,True,197,True,active,True,2020-08-06 23:36:42+00:00,False,197,0,12,0,,,2020-08-07 01:58:50,2020
172,5,0,True,199,True,active,True,2020-08-06 23:35:08+00:00,False,199,0,10,0,,,2020-08-07 01:58:50,2020
173,16,0,True,200,True,active,True,2020-08-07 00:17:56+00:00,False,200,0,3,0,,,2020-08-07 01:58:50,2020
174,4,0,True,201,True,active,True,2020-08-06 19:37:33+00:00,False,201,0,11,0,,,2020-08-07 01:58:50,2020
175,6,0,True,202,True,active,True,2020-08-06 22:07:57+00:00,False,202,0,9,0,,,2020-08-07 01:58:50,2020
176,3,0,True,203,True,active,True,2020-08-07 00:32:50+00:00,False,203,0,12,0,,,2020-08-07 01:58:50,2020
177,6,0,True,204,True,active,True,2020-08-07 01:53:42+00:00,False,204,0,8,1,,,2020-08-07 01:58:50,2020
178,8,0,True,205,True,active,True,2020-08-06 22:02:09+00:00,False,205,0,7,0,,,2020-08-07 01:58:50,2020
179,0,0,True,206,True,active,True,2020-08-07 01:17:10+00:00,True,206,0,23,0,,,2020-08-07 01:58:50,2020
180,9,0,True,208,True,active,True,2020-08-07 01:21:52+00:00,True,208,0,6,0,,,2020-08-07 01:58:50,2020
181,10,0,True,209,True,active,True,2020-08-06 23:51:49+00:00,False,209,0,5,0,,,2020-08-07 01:58:50,2020
182,2,0,True,210,True,active,True,2020-08-07 00:17:28+00:00,False,210,0,13,0,,,2020-08-07 01:58:50,2020
183,8,0,True,211,True,active,True,2020-08-07 01:42:13+00:00,False,211,0,11,0,,,2020-08-07 01:58:50,2020
184,17,0,True,212,True,active,True,2020-08-07 01:02:13+00:00,False,212,0,16,0,,,2020-08-07 01:58:50,2020
185,8,0,True,213,True,active,True,2020-08-07 00:39:37+00:00,True,213,0,8,0,,,2020-08-07 01:58:50,2020
186,1,0,True,214,True,active,True,2020-08-07 01:52:17+00:00,False,214,0,14,0,,,2020-08-07 01:58:50,2020
187,11,0,True,215,True,active,True,2020-08-07 00:58:12+00:00,False,215,0,4,0,,,2020-08-07 01:58:50,2020
188,17,0,True,216,True,active,True,2020-08-06 08:37:47+00:00,False,216,0,2,0,,,2020-08-07 01:58:50,2020
189,17,0,True,217,True,active,True,2020-08-07 01:33:36+00:00,False,217,0,2,0,,,2020-08-07 01:58:50,2020
190,9,0,True,218,True,active,True,2020-08-07 01:51:51+00:00,False,218,0,6,0,,,2020-08-07 01:58:50,2020
191,12,0,True,219,True,active,True,2020-08-06 22:40:37+00:00,False,219,0,3,0,,,2020-08-07 01:58:50,2020
192,13,0,True,221,True,active,True,2020-08-07 01:35:44+00:00,False,221,0,6,0,,,2020-08-07 01:58:50,2020
193,2,0,True,222,True,active,True,2020-08-07 01:41:24+00:00,True,222,0,12,0,,,2020-08-07 01:58:50,2020
194,8,0,True,224,True,active,True,2020-08-07 00:41:55+00:00,False,224,0,8,1,,,2020-08-07 01:58:50,2020
195,3,0,True,225,True,active,True,2020-08-07 01:47:19+00:00,False,225,0,16,0,,,2020-08-07 01:58:50,2020
196,4,0,True,226,True,active,True,2020-08-07 01:22:02+00:00,False,226,0,11,0,,,2020-08-07 01:58:50,2020
197,5,0,True,227,True,active,True,2020-08-07 01:33:57+00:00,False,227,0,13,1,,,2020-08-07 01:58:50,2020
198,3,0,True,228,True,active,True,2020-08-07 01:51:29+00:00,False,228,0,15,1,,,2020-08-07 01:58:50,2020
199,1,0,True,232,True,active,True,2020-08-06 23:51:16+00:00,False,232,0,10,0,,,2020-08-07 01:58:50,2020
200,4,0,True,233,True,active,True,2020-08-07 01:28:15+00:00,False,233,0,11,0,,,2020-08-07 01:58:50,2020
201,9,0,True,234,True,active,True,2020-08-07 01:34:02+00:00,False,234,0,5,1,,,2020-08-07 01:58:50,2020
202,0,0,True,235,True,active,True,2020-08-07 01:32:23+00:00,False,235,0,14,1,,,2020-08-07 01:58:50,2020
203,11,0,True,236,True,active,True,2020-08-07 01:16:22+00:00,False,236,0,4,0,,,2020-08-07 01:58:50,2020
204,12,0,True,239,True,active,True,2020-08-07 00:53:54+00:00,False,239,0,3,0,,,2020-08-07 01:58:50,2020
205,12,0,True,255,True,active,True,2020-08-06 08:38:19+00:00,False,255,0,3,0,,,2020-08-07 01:58:50,2020
206,10,0,True,258,True,active,True,2020-08-07 01:20:55+00:00,False,258,0,5,0,,,2020-08-07 01:58:50,2020
207,2,0,True,259,True,active,True,2020-08-06 12:36:54+00:00,False,259,0,13,0,,,2020-08-07 01:58:50,2020
208,9,0,True,260,False,active,False,2020-08-06 20:43:38+00:00,False,260,0,6,0,,,2020-08-07 01:58:50,2020
209,8,0,True,271,True,active,True,2020-08-06 23:47:46+00:00,False,271,0,7,0,,,2020-08-07 01:58:50,2020
210,4,0,True,272,True,active,True,2020-08-07 01:20:48+00:00,False,272,0,15,0,,,2020-08-07 01:58:50,2020
211,24,0,True,273,True,active,True,2020-08-07 01:55:16+00:00,False,273,0,16,0,,,2020-08-07 01:58:50,2020
212,12,0,True,279,True,active,True,2020-08-07 01:52:44+00:00,False,279,0,7,0,,,2020-08-07 01:58:50,2020
213,11,0,True,280,True,active,True,2020-08-06 23:56:19+00:00,False,280,0,8,0,,,2020-08-07 01:58:50,2020
214,12,0,True,282,True,active,True,2020-08-07 01:53:23+00:00,False,282,0,3,0,,,2020-08-07 01:58:50,2020
215,7,0,True,296,True,active,True,2020-08-07 01:57:29+00:00,False,296,0,15,1,,,2020-08-07 01:58:50,2020
216,1,0,True,318,True,active,True,2020-08-07 01:51:09+00:00,False,318,0,18,0,,,2020-08-07 01:58:50,2020
217,14,0,True,319,True,active,True,2020-08-07 00:59:27+00:00,False,319,0,11,0,,,2020-08-07 01:58:50,2020
218,2,0,True,327,True,active,True,2020-08-07 00:10:11+00:00,False,327,0,13,0,,,2020-08-07 01:58:50,2020
219,12,0,True,328,True,active,True,2020-08-07 01:36:17+00:00,False,328,0,3,0,,,2020-08-07 01:58:50,2020
220,5,0,True,329,True,active,True,2020-08-07 01:25:17+00:00,False,329,0,9,1,,,2020-08-07 01:58:50,2020
221,10,0,True,330,True,active,True,2020-08-07 00:57:51+00:00,False,330,0,5,0,,,2020-08-07 01:58:50,2020
222,3,0,True,331,True,active,True,2020-08-07 01:35:07+00:00,False,331,0,12,0,,,2020-08-07 01:58:50,2020
223,15,0,True,332,True,active,True,2020-08-07 00:51:55+00:00,False,332,0,0,0,,,2020-08-07 01:58:50,2020
224,19,0,True,333,True,active,True,2020-08-07 01:50:22+00:00,False,333,0,5,1,,,2020-08-07 01:58:50,2020
225,6,0,True,334,True,active,True,2020-08-07 01:05:36+00:00,False,334,0,12,1,,,2020-08-07 01:58:50,2020
226,10,0,True,335,True,active,True,2020-08-07 01:20:59+00:00,False,335,0,9,0,,,2020-08-07 01:58:50,2020
227,13,0,True,336,True,active,True,2020-08-06 23:31:23+00:00,False,336,0,2,0,,,2020-08-07 01:58:50,2020
228,14,0,True,337,True,active,True,2020-08-07 00:02:53+00:00,False,337,0,1,0,,,2020-08-07 01:58:50,2020
229,3,0,True,338,True,active,True,2020-08-07 00:47:28+00:00,False,338,0,12,0,,,2020-08-07 01:58:50,2020
230,15,0,True,339,True,active,True,2020-08-07 00:20:15+00:00,False,339,0,0,0,,,2020-08-07 01:58:50,2020
231,17,0,True,340,True,active,True,2020-08-06 08:37:01+00:00,False,340,0,2,0,,,2020-08-07 01:58:50,2020
232,1,0,True,341,True,active,True,2020-08-07 01:09:02+00:00,True,341,0,14,0,,,2020-08-07 01:58:50,2020
233,10,0,True,342,True,active,True,2020-08-07 01:55:57+00:00,False,342,0,5,0,,,2020-08-07 01:58:50,2020
234,6,0,True,343,True,active,True,2020-08-06 08:36:41+00:00,False,343,0,9,0,,,2020-08-07 01:58:50,2020
235,1,0,True,344,True,active,True,2020-08-07 01:03:42+00:00,False,344,0,18,0,,,2020-08-07 01:58:50,2020
236,13,0,True,345,True,active,True,2020-08-07 01:55:59+00:00,False,345,0,6,0,,,2020-08-07 01:58:50,2020
237,6,0,True,346,True,active,True,2020-08-07 00:58:05+00:00,False,346,0,9,0,,,2020-08-07 01:58:50,2020
238,11,0,True,347,True,active,True,2020-08-06 22:42:07+00:00,False,347,0,4,0,,,2020-08-07 01:58:50,2020
239,5,0,True,348,True,active,True,2020-08-06 23:32:35+00:00,False,348,0,10,0,,,2020-08-07 01:58:50,2020
240,7,0,True,349,True,active,True,2020-08-06 22:15:26+00:00,True,349,0,10,0,,,2020-08-07 01:58:50,2020
241,8,0,True,350,True,active,True,2020-08-06 23:33:10+00:00,False,350,0,9,0,,,2020-08-07 01:58:50,2020
242,9,0,True,351,True,active,True,2020-08-06 23:40:51+00:00,False,351,0,6,0,,,2020-08-07 01:58:50,2020
243,10,0,True,352,True,active,True,2020-08-07 01:58:30+00:00,False,352,0,5,0,,,2020-08-07 01:58:50,2020
244,7,0,True,353,True,active,True,2020-08-06 22:33:20+00:00,True,353,0,8,0,,,2020-08-07 01:58:50,2020
245,2,0,True,354,True,active,True,2020-08-07 01:29:17+00:00,False,354,0,13,0,,,2020-08-07 01:58:50,2020
246,13,0,True,355,True,active,True,2020-08-07 00:12:23+00:00,False,355,0,4,0,,,2020-08-07 01:58:50,2020
247,12,0,True,356,True,active,True,2020-08-07 01:35:17+00:00,False,356,0,11,0,,,2020-08-07 01:58:50,2020
248,13,0,True,357,True,active,True,2020-08-07 00:34:27+00:00,False,357,0,2,0,,,2020-08-07 01:58:50,2020
249,15,0,True,358,True,active,True,2020-08-07 01:10:44+00:00,False,358,0,4,0,,,2020-08-07 01:58:50,2020
250,3,0,True,359,True,active,True,2020-08-07 01:48:24+00:00,False,359,0,12,0,,,2020-08-07 01:58:50,2020
251,5,0,True,360,True,active,True,2020-08-07 01:23:37+00:00,False,360,0,10,0,,,2020-08-07 01:58:50,2020
252,14,0,True,361,True,active,True,2020-08-07 01:40:36+00:00,False,361,0,4,1,,,2020-08-07 01:58:50,2020
253,7,0,True,362,True,active,True,2020-08-07 01:31:39+00:00,False,362,0,12,0,,,2020-08-07 01:58:50,2020
254,15,0,True,363,True,active,True,2020-08-07 01:20:15+00:00,False,363,0,3,1,,,2020-08-07 01:58:50,2020
255,11,0,True,364,True,active,True,2020-08-07 01:24:01+00:00,False,364,0,7,1,,,2020-08-07 01:58:50,2020
256,6,0,True,365,True,active,True,2020-08-07 01:26:59+00:00,False,365,0,13,0,,,2020-08-07 01:58:50,2020
257,14,0,True,366,True,active,True,2020-08-07 01:28:31+00:00,False,366,0,1,0,,,2020-08-07 01:58:50,2020
258,19,0,True,367,True,active,True,2020-08-07 00:27:44+00:00,False,367,0,0,0,,,2020-08-07 01:58:50,2020
259,4,0,True,368,True,active,True,2020-08-07 00:01:00+00:00,False,368,0,11,0,,,2020-08-07 01:58:50,2020
260,9,0,True,369,True,active,True,2020-08-07 01:51:32+00:00,False,369,0,4,2,,,2020-08-07 01:58:50,2020
261,5,0,True,370,True,active,True,2020-08-07 01:57:21+00:00,False,370,0,13,1,,,2020-08-07 01:58:50,2020
262,15,0,True,371,True,active,True,2020-08-07 01:09:32+00:00,False,371,0,4,0,,,2020-08-07 01:58:50,2020
263,10,0,True,372,True,active,True,2020-08-07 01:31:56+00:00,False,372,0,9,0,,,2020-08-07 01:58:50,2020
264,7,0,True,373,True,active,True,2020-08-06 22:44:04+00:00,False,373,0,8,0,,,2020-08-07 01:58:50,2020
265,10,0,True,374,True,active,True,2020-08-07 01:29:48+00:00,False,374,0,9,0,,,2020-08-07 01:58:50,2020
266,4,0,True,376,True,active,True,2020-08-07 01:07:58+00:00,False,376,0,11,0,,,2020-08-07 01:58:50,2020
267,16,0,True,377,False,active,False,2020-08-07 00:59:19+00:00,False,377,0,3,0,,,2020-08-07 01:58:50,2020
268,7,0,True,378,True,active,True,2020-08-07 01:44:24+00:00,False,378,0,12,0,,,2020-08-07 01:58:50,2020
269,4,0,True,379,True,active,True,2020-08-07 01:52:08+00:00,False,379,0,11,0,,,2020-08-07 01:58:50,2020
270,2,0,True,380,True,active,True,2020-08-07 01:49:17+00:00,False,380,0,16,0,,,2020-08-07 01:58:50,2020
271,18,0,True,381,True,active,True,2020-08-07 01:31:46+00:00,False,381,0,1,0,,,2020-08-07 01:58:50,2020
272,11,0,True,384,True,active,True,2020-08-07 01:03:38+00:00,True,384,0,8,0,,,2020-08-07 01:58:50,2020
273,2,1,True,385,True,active,True,2020-08-07 01:03:22+00:00,False,385,0,9,3,,,2020-08-07 01:58:50,2020
274,5,0,True,386,True,active,True,2020-08-07 01:32:32+00:00,False,386,0,13,1,,,2020-08-07 01:58:50,2020
275,14,0,True,387,True,active,True,2020-08-07 01:32:04+00:00,False,387,0,1,0,,,2020-08-07 01:58:50,2020
276,2,0,True,388,True,active,True,2020-08-07 00:56:36+00:00,False,388,0,9,0,,,2020-08-07 01:58:50,2020
277,14,0,True,389,True,active,True,2020-08-07 01:32:01+00:00,False,389,0,0,0,,,2020-08-07 01:58:50,2020
278,13,0,True,390,True,active,True,2020-08-07 00:44:47+00:00,False,390,0,2,0,,,2020-08-07 01:58:50,2020
279,13,0,True,391,True,active,True,2020-08-07 00:29:36+00:00,False,391,0,2,0,,,2020-08-07 01:58:50,2020
280,6,0,True,392,True,active,True,2020-08-07 00:11:23+00:00,False,392,0,9,0,,,2020-08-07 01:58:50,2020
281,5,0,True,393,True,active,True,2020-08-07 00:32:34+00:00,False,393,0,10,0,,,2020-08-07 01:58:50,2020
282,2,0,True,394,True,active,True,2020-08-07 01:46:57+00:00,False,394,0,12,0,,,2020-08-07 01:58:50,2020
283,11,0,True,395,True,active,True,2020-08-06 22:05:57+00:00,False,395,0,4,0,,,2020-08-07 01:58:50,2020
284,13,0,True,396,True,active,True,2020-08-06 23:04:03+00:00,False,396,0,2,0,,,2020-08-07 01:58:50,2020
285,7,0,True,397,True,active,True,2020-08-06 18:00:52+00:00,False,397,0,8,0,,,2020-08-07 01:58:50,2020
286,4,0,True,398,True,active,True,2020-08-07 01:51:01+00:00,False,398,0,14,1,,,2020-08-07 01:58:50,2020
287,5,0,True,399,True,active,True,2020-08-07 01:16:40+00:00,False,399,0,10,0,,,2020-08-07 01:58:50,2020
