,num_bikes_disabled,is_returning,is_renting,num_docks_available,legacy_id,num_docks_disabled,is_installed,station_status,num_bikes_available,last_reported,num_ebikes_available,station_id,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,True,True,13,3,0,True,active,2,2020-07-30 21:33:10+00:00,0,3,True,,,2020-07-30 21:51:00,2020
1,0,True,True,6,4,0,True,active,13,2020-07-30 21:45:15+00:00,0,4,False,,,2020-07-30 21:51:00,2020
2,0,True,True,6,5,0,True,active,9,2020-07-30 21:50:46+00:00,0,5,False,,,2020-07-30 21:51:00,2020
3,1,True,True,5,6,0,True,active,9,2020-07-30 21:50:16+00:00,0,6,False,,,2020-07-30 21:51:00,2020
4,1,True,True,2,7,0,True,active,12,2020-07-30 21:35:02+00:00,0,7,False,,,2020-07-30 21:51:00,2020
5,2,True,True,13,8,0,True,active,4,2020-07-30 21:48:03+00:00,0,8,False,,,2020-07-30 21:51:00,2020
6,0,True,True,0,9,0,True,active,15,2020-07-30 21:48:24+00:00,0,9,False,,,2020-07-30 21:51:00,2020
7,0,True,True,9,10,0,True,active,2,2020-07-30 21:48:07+00:00,0,10,False,,,2020-07-30 21:51:00,2020
8,0,True,True,4,11,0,True,active,11,2020-07-30 21:49:13+00:00,0,11,False,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 73, 'off_dock_capacity': 50, 'off_dock_count': 23, 'dock_blocked_count': 0, 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS'}",2020-07-30 21:51:00,2020
9,1,True,True,12,12,0,True,active,5,2020-07-30 21:40:47+00:00,0,12,True,,,2020-07-30 21:51:00,2020
10,0,True,True,18,13,0,True,active,1,2020-07-30 21:49:28+00:00,0,13,False,,,2020-07-30 21:51:00,2020
11,0,True,True,18,14,0,True,active,7,2020-07-30 21:43:46+00:00,0,14,False,,,2020-07-30 21:51:00,2020
12,1,True,True,5,15,0,True,active,9,2020-07-30 21:41:42+00:00,0,15,False,,,2020-07-30 21:51:00,2020
13,2,True,True,11,16,0,True,active,6,2020-07-30 21:49:19+00:00,0,16,True,,,2020-07-30 21:51:00,2020
14,0,True,True,7,17,0,True,active,8,2020-07-30 21:48:11+00:00,0,17,False,,,2020-07-30 21:51:00,2020
15,0,True,True,15,19,0,True,active,0,2020-07-30 21:41:33+00:00,0,19,False,,,2020-07-30 21:51:00,2020
16,0,True,True,12,20,0,True,active,11,2020-07-30 21:45:09+00:00,0,20,True,,,2020-07-30 21:51:00,2020
17,0,True,True,10,21,0,True,active,8,2020-07-30 21:50:56+00:00,0,21,True,,,2020-07-30 21:51:00,2020
18,0,True,True,41,22,0,True,active,6,2020-07-30 21:46:14+00:00,0,22,True,,,2020-07-30 21:51:00,2020
19,0,True,True,10,23,0,True,active,11,2020-07-30 21:47:54+00:00,0,23,True,,,2020-07-30 21:51:00,2020
20,1,True,True,7,24,0,True,active,11,2020-07-30 21:39:53+00:00,0,24,False,,,2020-07-30 21:51:00,2020
21,0,True,True,6,25,0,True,active,9,2020-07-30 21:28:36+00:00,0,25,False,,,2020-07-30 21:51:00,2020
22,2,True,True,12,26,0,True,active,1,2020-07-30 21:48:33+00:00,0,26,False,,,2020-07-30 21:51:00,2020
23,2,True,True,9,27,0,True,active,12,2020-07-30 21:47:18+00:00,0,27,False,,,2020-07-30 21:51:00,2020
24,0,True,True,6,29,0,True,active,9,2020-07-30 21:18:48+00:00,0,29,False,,,2020-07-30 21:51:00,2020
25,0,True,True,12,30,0,True,active,3,2020-07-30 21:45:21+00:00,0,30,False,,,2020-07-30 21:51:00,2020
