,num_bikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,is_renting,is_returning,station_id,last_reported,is_installed,num_bikes_disabled,num_ebikes_available,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,1,3,0,True,True,True,3,2020-07-28 22:48:23+00:00,True,0,0,14,active,,,2020-07-28 22:55:00,2020
1,13,4,0,False,True,True,4,2020-07-28 22:46:24+00:00,True,0,0,6,active,,,2020-07-28 22:55:00,2020
2,14,5,0,False,True,True,5,2020-07-28 22:54:28+00:00,True,0,0,1,active,,,2020-07-28 22:55:00,2020
3,4,6,0,False,True,True,6,2020-07-28 22:43:18+00:00,True,0,0,11,active,,,2020-07-28 22:55:00,2020
4,5,7,0,False,True,True,7,2020-07-28 22:51:37+00:00,True,0,0,10,active,,,2020-07-28 22:55:00,2020
5,6,8,0,False,True,True,8,2020-07-28 22:40:09+00:00,True,1,0,12,active,,,2020-07-28 22:55:00,2020
6,11,9,0,False,True,True,9,2020-07-28 22:50:33+00:00,True,1,0,3,active,,,2020-07-28 22:55:00,2020
7,7,10,0,False,True,True,10,2020-07-28 22:47:42+00:00,True,1,0,3,active,,,2020-07-28 22:55:00,2020
8,0,11,0,False,True,True,11,2020-07-28 22:32:48+00:00,True,2,0,13,active,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'valet_revision': 69, 'region': 'BOS', 'active': True, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 30}",2020-07-28 22:55:00,2020
9,14,12,0,True,True,True,12,2020-07-28 22:53:59+00:00,True,0,0,4,active,,,2020-07-28 22:55:00,2020
10,3,13,0,False,True,True,13,2020-07-28 22:46:10+00:00,True,0,0,16,active,,,2020-07-28 22:55:00,2020
11,1,14,0,False,True,True,14,2020-07-28 22:53:36+00:00,True,0,0,24,active,,,2020-07-28 22:55:00,2020
12,9,15,0,False,True,True,15,2020-07-28 22:49:40+00:00,True,0,0,6,active,,,2020-07-28 22:55:00,2020
13,11,16,0,True,True,True,16,2020-07-28 22:40:38+00:00,True,2,0,6,active,,,2020-07-28 22:55:00,2020
14,5,17,0,False,True,True,17,2020-07-28 22:52:18+00:00,True,0,0,10,active,,,2020-07-28 22:55:00,2020
15,3,19,0,False,True,True,19,2020-07-28 21:49:16+00:00,True,0,0,12,active,,,2020-07-28 22:55:00,2020
16,15,20,0,True,True,True,20,2020-07-28 22:41:36+00:00,True,0,0,8,active,,,2020-07-28 22:55:00,2020
17,9,21,0,True,True,True,21,2020-07-28 22:43:55+00:00,True,2,0,7,active,,,2020-07-28 22:55:00,2020
18,4,22,0,False,True,True,22,2020-07-28 22:45:25+00:00,True,0,0,43,active,,,2020-07-28 22:55:00,2020
19,1,23,0,True,True,True,23,2020-07-28 22:52:17+00:00,True,2,0,18,active,,,2020-07-28 22:55:00,2020
20,10,24,0,False,True,True,24,2020-07-28 22:36:33+00:00,True,0,0,9,active,,,2020-07-28 22:55:00,2020
21,15,25,0,False,True,True,25,2020-07-28 22:51:56+00:00,True,0,0,0,active,,,2020-07-28 22:55:00,2020
22,10,26,0,False,True,True,26,2020-07-28 22:40:03+00:00,True,0,0,5,active,,,2020-07-28 22:55:00,2020
23,14,27,0,False,True,True,27,2020-07-28 22:54:42+00:00,True,0,0,9,active,,,2020-07-28 22:55:00,2020
24,10,29,0,False,True,True,29,2020-07-28 22:22:10+00:00,True,1,0,4,active,,,2020-07-28 22:55:00,2020
25,4,30,0,False,True,True,30,2020-07-28 22:41:11+00:00,True,0,0,11,active,,,2020-07-28 22:55:00,2020
26,4,31,0,True,True,True,31,2020-07-28 22:53:44+00:00,True,1,0,14,active,,,2020-07-28 22:55:00,2020
27,3,32,0,False,True,True,32,2020-07-28 22:51:53+00:00,True,0,0,12,active,,,2020-07-28 22:55:00,2020
28,9,33,0,False,True,True,33,2020-07-28 22:49:41+00:00,True,2,0,16,active,,,2020-07-28 22:55:00,2020
29,0,35,0,False,True,True,35,2020-07-28 22:49:44+00:00,True,1,0,22,active,,,2020-07-28 22:55:00,2020
30,24,36,0,True,True,True,36,2020-07-28 22:45:34+00:00,True,1,0,8,active,,,2020-07-28 22:55:00,2020
31,1,37,0,True,True,True,37,2020-07-28 20:55:56+00:00,True,0,0,14,active,,,2020-07-28 22:55:00,2020
32,3,39,0,False,True,True,39,2020-07-28 22:49:21+00:00,True,1,0,19,active,,,2020-07-28 22:55:00,2020
33,12,40,0,False,True,True,40,2020-07-28 22:50:37+00:00,True,1,0,6,active,,,2020-07-28 22:55:00,2020
34,15,41,0,True,True,True,41,2020-07-28 22:50:09+00:00,True,1,0,11,active,,,2020-07-28 22:55:00,2020
35,13,42,0,False,True,True,42,2020-07-28 22:43:21+00:00,True,0,0,10,active,,,2020-07-28 22:55:00,2020
36,3,43,0,True,True,True,43,2020-07-28 22:31:31+00:00,True,0,0,12,active,,,2020-07-28 22:55:00,2020
37,5,44,0,False,True,True,44,2020-07-28 22:52:13+00:00,True,0,0,18,active,,,2020-07-28 22:55:00,2020
38,9,46,0,False,True,True,46,2020-07-28 22:48:25+00:00,True,1,0,9,active,,,2020-07-28 22:55:00,2020
39,18,47,0,True,True,True,47,2020-07-28 22:53:13+00:00,True,0,0,1,active,,,2020-07-28 22:55:00,2020
40,0,48,0,False,True,True,48,2020-07-28 22:44:42+00:00,True,1,0,18,active,,,2020-07-28 22:55:00,2020
41,1,49,0,False,True,True,49,2020-07-28 22:36:29+00:00,True,1,0,16,active,,,2020-07-28 22:55:00,2020
42,2,50,0,True,True,True,50,2020-07-28 22:53:00+00:00,True,0,0,13,active,,,2020-07-28 22:55:00,2020
43,6,51,0,False,True,True,51,2020-07-28 22:51:22+00:00,True,2,0,7,active,,,2020-07-28 22:55:00,2020
44,17,52,0,True,True,True,52,2020-07-28 22:48:19+00:00,True,3,0,3,active,,,2020-07-28 22:55:00,2020
45,16,53,0,False,True,True,53,2020-07-28 22:47:51+00:00,True,0,0,3,active,,,2020-07-28 22:55:00,2020
