,num_docks_available,num_ebikes_available,station_id,num_docks_disabled,station_status,legacy_id,num_bikes_disabled,eightd_has_available_keys,is_installed,num_bikes_available,is_renting,is_returning,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,3,0,3,0,active,3,0,True,True,12,True,True,2020-07-31 18:40:04+00:00,,,2020-07-31 18:56:45,2020
1,16,0,4,0,active,4,0,False,True,3,True,True,2020-07-31 18:30:40+00:00,,,2020-07-31 18:56:45,2020
2,5,0,5,0,active,5,0,False,True,10,True,True,2020-07-31 18:53:04+00:00,,,2020-07-31 18:56:45,2020
3,12,0,6,0,active,6,0,False,True,3,True,True,2020-07-31 18:48:23+00:00,,,2020-07-31 18:56:45,2020
4,1,0,7,0,active,7,1,False,True,13,True,True,2020-07-31 18:44:49+00:00,,,2020-07-31 18:56:45,2020
5,15,0,8,0,active,8,2,False,True,2,True,True,2020-07-31 18:55:28+00:00,,,2020-07-31 18:56:45,2020
6,1,0,9,0,active,9,0,False,True,14,True,True,2020-07-31 18:11:48+00:00,,,2020-07-31 18:56:45,2020
7,1,0,10,0,active,10,0,False,True,10,True,True,2020-07-31 18:49:52+00:00,,,2020-07-31 18:56:45,2020
8,2,0,11,0,active,11,0,False,True,13,True,True,2020-07-31 18:48:27+00:00,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 75, 'active': True, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 67, 'dock_blocked_count': 0, 'region': 'BOS'}",2020-07-31 18:56:45,2020
9,12,0,12,0,active,12,2,True,True,4,True,True,2020-07-31 18:53:56+00:00,,,2020-07-31 18:56:45,2020
10,12,0,13,0,active,13,0,False,True,7,True,True,2020-07-31 18:13:47+00:00,,,2020-07-31 18:56:45,2020
11,0,0,14,0,active,14,1,False,True,24,True,True,2020-07-31 18:24:08+00:00,,,2020-07-31 18:56:45,2020
12,6,0,15,0,active,15,1,False,True,8,True,True,2020-07-31 18:20:34+00:00,,,2020-07-31 18:56:45,2020
13,15,0,16,0,active,16,2,True,True,2,True,True,2020-07-31 18:46:20+00:00,,,2020-07-31 18:56:45,2020
14,6,0,17,0,active,17,0,False,True,9,True,True,2020-07-31 18:39:32+00:00,,,2020-07-31 18:56:45,2020
15,14,0,19,0,active,19,1,False,True,0,True,True,2020-07-31 18:47:07+00:00,,,2020-07-31 18:56:45,2020
16,9,0,20,0,active,20,0,True,True,14,True,True,2020-07-31 18:56:08+00:00,,,2020-07-31 18:56:45,2020
17,15,0,21,0,active,21,1,True,True,2,True,True,2020-07-31 18:49:06+00:00,,,2020-07-31 18:56:45,2020
18,36,0,22,0,active,22,1,True,True,10,True,True,2020-07-31 18:49:49+00:00,,,2020-07-31 18:56:45,2020
19,12,0,23,0,active,23,0,True,True,9,True,True,2020-07-31 18:53:42+00:00,,,2020-07-31 18:56:45,2020
20,5,0,24,0,active,24,0,False,True,14,True,True,2020-07-31 18:51:47+00:00,,,2020-07-31 18:56:45,2020
