,num_docks_available,num_docks_disabled,num_bikes_disabled,is_renting,is_installed,last_reported,eightd_has_available_keys,legacy_id,station_id,num_ebikes_available,num_bikes_available,is_returning,station_status,timestamp_of_data_read_request,year_station_last_reported
0,5,0,1,True,True,2020-08-12 18:44:35+00:00,False,3,3,0,9,True,active,2020-08-12 18:44:50,2020
1,10,0,0,True,True,2020-08-12 18:41:12+00:00,False,4,4,0,9,True,active,2020-08-12 18:44:50,2020
2,6,0,0,True,True,2020-08-12 18:30:58+00:00,False,5,5,0,9,True,active,2020-08-12 18:44:50,2020
3,5,0,2,True,True,2020-08-12 18:04:23+00:00,False,6,6,0,8,True,active,2020-08-12 18:44:50,2020
4,5,0,1,True,True,2020-08-12 18:17:55+00:00,False,7,7,0,9,True,active,2020-08-12 18:44:50,2020
5,10,0,0,True,True,2020-08-12 18:37:06+00:00,False,8,8,0,9,True,active,2020-08-12 18:44:50,2020
6,11,0,1,True,True,2020-08-12 18:42:34+00:00,False,9,9,0,3,True,active,2020-08-12 18:44:50,2020
7,3,0,0,True,True,2020-08-12 16:31:41+00:00,False,10,10,0,8,True,active,2020-08-12 18:44:50,2020
8,3,0,1,True,True,2020-08-12 18:43:13+00:00,False,11,11,0,11,True,active,2020-08-12 18:44:50,2020
9,1,0,0,True,True,2020-08-12 18:34:37+00:00,True,12,12,0,17,True,active,2020-08-12 18:44:50,2020
10,15,0,0,True,True,2020-08-12 18:36:17+00:00,False,13,13,0,4,True,active,2020-08-12 18:44:50,2020
11,8,0,0,True,True,2020-08-12 18:31:54+00:00,False,14,14,0,17,True,active,2020-08-12 18:44:50,2020
12,6,0,0,True,True,2020-08-12 17:38:40+00:00,False,15,15,0,9,True,active,2020-08-12 18:44:50,2020
13,16,0,0,True,True,2020-08-12 18:36:24+00:00,True,16,16,0,3,True,active,2020-08-12 18:44:50,2020
14,12,0,1,True,True,2020-08-12 18:42:34+00:00,False,17,17,0,2,True,active,2020-08-12 18:44:50,2020
15,13,0,0,True,True,2020-08-12 18:33:27+00:00,False,19,19,0,2,True,active,2020-08-12 18:44:50,2020
16,14,0,0,True,True,2020-08-12 18:30:56+00:00,True,20,20,0,9,True,active,2020-08-12 18:44:50,2020
17,5,0,0,True,True,2020-08-12 18:41:37+00:00,True,21,21,0,13,True,active,2020-08-12 18:44:50,2020
18,35,0,0,True,True,2020-08-12 18:43:52+00:00,True,22,22,0,12,True,active,2020-08-12 18:44:50,2020
19,6,0,0,True,True,2020-08-12 18:42:57+00:00,False,23,23,0,15,True,active,2020-08-12 18:44:50,2020
20,7,0,1,True,True,2020-08-12 18:10:27+00:00,False,24,24,0,11,True,active,2020-08-12 18:44:50,2020
21,13,0,1,True,True,2020-08-12 18:44:35+00:00,False,25,25,0,1,True,active,2020-08-12 18:44:50,2020
22,1,0,0,True,True,2020-08-12 17:51:51+00:00,False,26,26,0,14,True,active,2020-08-12 18:44:50,2020
