,station_id,eightd_has_available_keys,legacy_id,last_reported,num_docks_disabled,is_renting,num_bikes_available,station_status,is_returning,is_installed,num_docks_available,num_bikes_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
52,60,False,60,2020-08-12 02:16:48+00:00,0,True,9,active,True,True,10,0,0,2020-08-12 02:29:40,2020
53,61,False,61,2020-08-12 01:56:18+00:00,0,True,3,active,True,True,16,0,0,2020-08-12 02:29:40,2020
54,63,False,63,2020-08-11 23:56:13+00:00,0,True,4,active,True,True,11,0,0,2020-08-12 02:29:40,2020
55,64,False,64,2020-08-12 02:19:16+00:00,0,True,9,active,True,True,9,1,0,2020-08-12 02:29:40,2020
56,65,False,65,2020-08-12 02:11:17+00:00,0,True,1,active,True,True,21,1,0,2020-08-12 02:29:40,2020
57,66,False,66,2020-08-12 02:00:45+00:00,0,True,15,active,True,True,0,0,0,2020-08-12 02:29:40,2020
58,67,True,67,2020-08-12 02:28:17+00:00,0,True,2,active,True,True,24,1,0,2020-08-12 02:29:40,2020
59,68,True,68,2020-08-12 02:23:10+00:00,0,True,11,active,True,True,6,2,0,2020-08-12 02:29:40,2020
60,69,True,69,2020-08-12 02:15:23+00:00,0,True,14,active,True,True,5,0,0,2020-08-12 02:29:40,2020
61,70,False,70,2020-08-12 01:38:27+00:00,0,True,12,active,True,True,11,0,0,2020-08-12 02:29:40,2020
62,71,False,71,2020-08-12 02:11:14+00:00,0,True,20,active,True,True,3,0,0,2020-08-12 02:29:40,2020
63,72,False,72,2020-08-12 02:14:56+00:00,0,True,0,active,True,True,23,0,0,2020-08-12 02:29:40,2020
64,73,False,73,2020-08-12 02:04:55+00:00,0,True,4,active,True,True,10,1,0,2020-08-12 02:29:40,2020
65,74,True,74,2020-08-12 02:16:58+00:00,0,True,11,active,True,True,7,1,0,2020-08-12 02:29:40,2020
66,75,False,75,2020-08-12 01:09:00+00:00,0,True,5,active,True,True,10,0,0,2020-08-12 02:29:40,2020
67,76,False,76,2020-08-12 02:19:03+00:00,0,True,13,active,True,True,3,1,0,2020-08-12 02:29:40,2020
68,77,False,77,2020-08-12 00:00:32+00:00,0,True,6,active,True,True,9,0,0,2020-08-12 02:29:40,2020
69,78,False,78,2020-08-12 01:29:27+00:00,0,True,10,active,True,True,9,0,0,2020-08-12 02:29:40,2020
70,79,False,79,2020-08-12 01:50:52+00:00,0,True,16,active,True,True,2,1,0,2020-08-12 02:29:40,2020
71,80,False,80,2020-08-12 02:01:19+00:00,0,True,0,active,True,True,35,0,0,2020-08-12 02:29:40,2020
72,81,False,81,2020-08-12 01:59:06+00:00,0,True,13,active,True,True,2,4,0,2020-08-12 02:29:40,2020
73,82,False,82,2020-08-12 00:56:23+00:00,0,True,5,active,True,True,10,0,0,2020-08-12 02:29:40,2020
74,84,False,84,2020-08-12 02:27:53+00:00,0,True,12,active,True,True,3,0,0,2020-08-12 02:29:40,2020
75,85,False,85,2020-08-12 02:25:19+00:00,0,True,4,active,True,True,15,0,0,2020-08-12 02:29:40,2020
76,86,False,86,2020-08-12 01:42:11+00:00,0,True,8,active,True,True,11,0,0,2020-08-12 02:29:40,2020
77,87,False,87,2020-08-12 02:23:48+00:00,0,True,14,active,True,True,1,0,0,2020-08-12 02:29:40,2020
78,89,False,89,2020-08-12 02:14:00+00:00,0,True,5,active,True,True,14,0,0,2020-08-12 02:29:40,2020
79,90,False,90,2020-08-12 01:52:22+00:00,0,True,18,active,True,True,0,1,0,2020-08-12 02:29:40,2020
80,91,False,91,2020-08-12 02:12:54+00:00,0,True,0,active,True,True,18,1,0,2020-08-12 02:29:40,2020
81,92,False,92,2020-08-12 00:24:18+00:00,0,True,9,active,True,True,9,1,0,2020-08-12 02:29:40,2020
82,93,False,93,2020-08-12 01:34:16+00:00,0,True,10,active,True,True,3,2,0,2020-08-12 02:29:40,2020
83,94,False,94,2020-08-12 01:02:57+00:00,0,True,7,active,True,True,4,0,0,2020-08-12 02:29:40,2020
84,95,False,95,2020-08-12 01:08:07+00:00,0,True,1,active,True,True,13,1,0,2020-08-12 02:29:40,2020
85,96,False,96,2020-08-12 02:06:08+00:00,0,True,14,active,True,True,4,1,0,2020-08-12 02:29:40,2020
86,97,False,97,2020-08-12 02:28:32+00:00,0,True,15,active,True,True,4,0,0,2020-08-12 02:29:40,2020
87,98,False,98,2020-08-11 17:39:33+00:00,0,False,12,active,False,True,11,0,0,2020-08-12 02:29:40,2020
88,99,False,99,2020-08-12 01:23:21+00:00,0,True,9,active,True,True,6,0,0,2020-08-12 02:29:40,2020
89,100,True,100,2020-08-12 01:42:28+00:00,0,True,22,active,True,True,2,1,0,2020-08-12 02:29:40,2020
90,101,False,101,2020-08-12 01:21:02+00:00,0,True,10,active,True,True,5,0,0,2020-08-12 02:29:40,2020
91,102,False,102,2020-08-12 02:16:13+00:00,0,True,5,active,True,True,10,0,0,2020-08-12 02:29:40,2020
