,legacy_id,station_id,eightd_has_available_keys,num_bikes_available,is_returning,last_reported,station_status,is_renting,is_installed,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
160,186,186,True,15,True,2020-07-31 22:35:20+00:00,active,True,True,0,0,0,0,,,2020-07-31 22:51:35,2020
161,187,187,False,12,True,2020-07-31 22:17:22+00:00,active,True,True,0,3,0,0,,,2020-07-31 22:51:35,2020
162,188,188,False,6,True,2020-07-31 22:42:49+00:00,active,True,True,0,9,0,0,,,2020-07-31 22:51:35,2020
163,189,189,True,1,True,2020-07-31 22:51:21+00:00,active,True,True,0,22,0,0,,,2020-07-31 22:51:35,2020
164,190,190,True,23,True,2020-07-31 22:49:35+00:00,active,True,True,3,11,0,0,,,2020-07-31 22:51:35,2020
165,191,191,False,2,True,2020-07-31 20:45:59+00:00,active,True,True,0,13,0,0,,,2020-07-31 22:51:35,2020
166,192,192,False,6,True,2020-07-31 22:48:15+00:00,active,True,True,2,11,0,0,,,2020-07-31 22:51:35,2020
167,193,193,True,7,True,2020-07-31 22:44:07+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
168,194,194,False,14,True,2020-07-31 19:33:38+00:00,active,True,True,0,5,0,0,,,2020-07-31 22:51:35,2020
169,195,195,False,17,True,2020-07-31 22:45:56+00:00,active,True,True,0,6,0,0,,,2020-07-31 22:51:35,2020
170,196,196,True,0,True,2020-07-31 22:18:01+00:00,active,True,True,1,9,0,0,,,2020-07-31 22:51:35,2020
171,197,197,False,1,True,2020-07-31 22:31:46+00:00,active,True,True,0,14,0,0,,,2020-07-31 22:51:35,2020
172,199,199,False,5,True,2020-07-31 18:45:24+00:00,active,True,True,2,8,0,0,,,2020-07-31 22:51:35,2020
173,200,200,False,14,True,2020-07-31 22:37:15+00:00,active,True,True,0,5,0,0,,,2020-07-31 22:51:35,2020
174,201,201,False,0,True,2020-07-31 08:12:47+00:00,active,True,True,0,15,0,0,,,2020-07-31 22:51:35,2020
175,202,202,False,1,True,2020-07-31 22:15:31+00:00,active,True,True,0,14,0,0,,,2020-07-31 22:51:35,2020
176,203,203,False,6,True,2020-07-31 22:34:17+00:00,active,True,True,0,9,0,0,,,2020-07-31 22:51:35,2020
177,204,204,False,5,True,2020-07-31 20:37:24+00:00,active,True,True,0,10,0,0,,,2020-07-31 22:51:35,2020
178,205,205,False,7,True,2020-07-31 17:39:13+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
179,206,206,False,13,True,2020-07-31 22:41:59+00:00,active,True,True,0,10,0,0,,,2020-07-31 22:51:35,2020
180,208,208,True,11,True,2020-07-31 22:18:40+00:00,active,True,True,0,4,0,0,,,2020-07-31 22:51:35,2020
181,209,209,False,10,True,2020-07-31 18:24:14+00:00,active,True,True,1,4,0,0,,,2020-07-31 22:51:35,2020
182,210,210,False,2,True,2020-07-31 22:27:56+00:00,active,True,True,0,13,0,0,,,2020-07-31 22:51:35,2020
183,211,211,False,18,True,2020-07-31 22:50:43+00:00,active,True,True,0,1,0,0,,,2020-07-31 22:51:35,2020
184,212,212,False,16,True,2020-07-31 22:43:18+00:00,active,True,True,0,17,0,0,,,2020-07-31 22:51:35,2020
185,213,213,True,3,True,2020-07-31 22:24:18+00:00,active,True,True,0,13,0,0,,,2020-07-31 22:51:35,2020
186,214,214,False,0,True,2020-07-31 22:38:51+00:00,active,True,True,0,15,0,0,,,2020-07-31 22:51:35,2020
187,215,215,False,7,True,2020-07-31 22:48:58+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
188,216,216,False,16,True,2020-07-31 08:26:03+00:00,active,True,True,0,3,0,0,,,2020-07-31 22:51:35,2020
189,217,217,False,5,True,2020-07-31 22:38:31+00:00,active,True,True,0,14,0,0,,,2020-07-31 22:51:35,2020
190,218,218,False,15,True,2020-07-31 22:48:54+00:00,active,True,True,0,0,0,0,,,2020-07-31 22:51:35,2020
191,219,219,False,9,True,2020-07-31 22:04:27+00:00,active,True,True,1,5,0,0,,,2020-07-31 22:51:35,2020
192,221,221,False,7,True,2020-07-31 22:46:51+00:00,active,True,True,0,12,0,0,,,2020-07-31 22:51:35,2020
193,222,222,True,1,True,2020-07-31 22:26:39+00:00,active,True,True,0,13,0,0,,,2020-07-31 22:51:35,2020
194,224,224,False,13,True,2020-07-31 21:41:02+00:00,active,True,True,1,3,0,0,,,2020-07-31 22:51:35,2020
195,225,225,False,9,True,2020-07-31 22:48:21+00:00,active,True,True,0,10,0,0,,,2020-07-31 22:51:35,2020
196,226,226,False,8,True,2020-07-31 22:49:46+00:00,active,True,True,1,6,0,0,,,2020-07-31 22:51:35,2020
197,227,227,False,3,True,2020-07-31 22:45:21+00:00,active,True,True,0,16,0,0,,,2020-07-31 22:51:35,2020
198,228,228,False,11,True,2020-07-31 22:27:07+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
