,num_docks_disabled,last_reported,is_installed,legacy_id,num_bikes_disabled,num_ebikes_available,eightd_has_available_keys,station_status,num_bikes_available,station_id,is_returning,is_renting,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,0,2020-07-30 14:21:15+00:00,True,56,0,0,True,active,11,56,True,True,7,,,2020-07-30 14:52:25,2020
49,0,2020-07-30 14:49:36+00:00,True,57,0,0,True,active,5,57,True,True,9,,,2020-07-30 14:52:25,2020
50,0,2020-07-30 14:23:41+00:00,True,58,0,0,True,active,11,58,True,True,8,,,2020-07-30 14:52:25,2020
51,0,2020-07-30 14:49:52+00:00,True,59,0,0,True,active,7,59,True,True,12,,,2020-07-30 14:52:25,2020
52,0,2020-07-30 14:49:23+00:00,True,60,0,0,False,active,3,60,True,True,16,"{'region': 'BOS', 'valet_revision': 63, 'dock_blocked_count': 0, 'off_dock_capacity': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 40, 'active': True}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-30 14:52:25,2020
53,0,2020-07-30 14:09:16+00:00,True,61,0,0,False,active,9,61,True,True,10,,,2020-07-30 14:52:25,2020
54,0,2020-07-30 12:36:54+00:00,True,63,0,0,False,active,14,63,True,True,1,,,2020-07-30 14:52:25,2020
55,0,2020-07-30 14:42:39+00:00,True,64,2,0,False,active,7,64,True,True,10,,,2020-07-30 14:52:25,2020
56,0,2020-07-30 12:59:16+00:00,True,65,0,0,False,active,10,65,True,True,13,,,2020-07-30 14:52:25,2020
57,0,2020-07-30 14:35:43+00:00,True,66,0,0,False,active,0,66,True,True,15,,,2020-07-30 14:52:25,2020
58,0,2020-07-30 14:49:34+00:00,True,67,0,0,True,active,15,67,True,True,12,,,2020-07-30 14:52:25,2020
59,0,2020-07-30 14:48:08+00:00,True,68,2,0,True,active,3,68,True,True,14,,,2020-07-30 14:52:25,2020
60,0,2020-07-30 14:31:56+00:00,True,69,0,0,True,active,4,69,True,True,15,,,2020-07-30 14:52:25,2020
61,0,2020-07-30 14:31:32+00:00,True,70,0,0,False,active,1,70,True,True,22,,,2020-07-30 14:52:25,2020
62,0,2020-07-30 14:21:22+00:00,True,71,0,0,False,active,20,71,True,True,3,,,2020-07-30 14:52:25,2020
63,0,2020-07-30 13:55:01+00:00,True,72,0,0,False,active,3,72,True,True,20,,,2020-07-30 14:52:25,2020
64,0,2020-07-30 14:37:57+00:00,True,73,1,0,False,active,10,73,True,True,4,,,2020-07-30 14:52:25,2020
65,0,2020-07-30 14:45:59+00:00,True,74,1,0,True,active,14,74,True,True,4,,,2020-07-30 14:52:25,2020
66,0,2020-07-30 13:40:07+00:00,True,75,0,0,False,active,8,75,True,True,7,,,2020-07-30 14:52:25,2020
67,0,2020-07-30 14:48:03+00:00,True,76,0,0,False,active,1,76,True,True,16,,,2020-07-30 14:52:25,2020
68,0,2020-07-30 14:29:11+00:00,True,77,1,0,False,active,5,77,True,True,9,,,2020-07-30 14:52:25,2020
69,0,2020-07-30 14:37:10+00:00,True,78,0,0,False,active,16,78,True,True,3,,,2020-07-30 14:52:25,2020
70,0,2020-07-30 14:37:59+00:00,True,79,0,0,False,active,3,79,True,True,16,,,2020-07-30 14:52:25,2020
71,0,2020-07-30 14:50:04+00:00,True,80,1,0,False,active,34,80,True,True,0,,,2020-07-30 14:52:25,2020
72,0,2020-07-30 14:15:30+00:00,True,81,0,0,False,active,7,81,True,True,12,,,2020-07-30 14:52:25,2020
73,0,2020-07-30 13:49:33+00:00,True,82,0,0,False,active,5,82,True,True,10,,,2020-07-30 14:52:25,2020
74,0,2020-07-30 13:35:14+00:00,True,84,0,0,False,active,11,84,True,True,4,,,2020-07-30 14:52:25,2020
75,0,2020-07-30 14:29:43+00:00,True,85,0,0,False,active,18,85,True,True,1,,,2020-07-30 14:52:25,2020
76,0,2020-07-30 14:34:32+00:00,True,86,0,0,False,active,6,86,True,True,13,,,2020-07-30 14:52:25,2020
77,0,2020-07-30 14:17:03+00:00,True,87,1,0,False,active,3,87,True,True,11,,,2020-07-30 14:52:25,2020
78,0,2020-07-30 14:25:54+00:00,True,89,0,0,False,active,16,89,True,True,3,,,2020-07-30 14:52:25,2020
79,0,2020-07-30 14:43:58+00:00,True,90,2,0,False,active,7,90,True,True,10,,,2020-07-30 14:52:25,2020
80,0,2020-07-30 14:23:08+00:00,True,91,3,0,False,active,10,91,True,True,6,,,2020-07-30 14:52:25,2020
81,0,2020-07-30 12:41:43+00:00,True,92,1,0,False,active,11,92,True,True,7,,,2020-07-30 14:52:25,2020
82,0,2020-07-30 12:38:38+00:00,True,93,3,0,False,active,4,93,True,True,8,,,2020-07-30 14:52:25,2020
83,0,2020-07-30 14:20:38+00:00,True,94,0,0,False,active,4,94,True,True,7,,,2020-07-30 14:52:25,2020
84,0,2020-07-30 14:49:46+00:00,True,95,1,0,False,active,12,95,True,True,2,,,2020-07-30 14:52:25,2020
85,0,2020-07-30 14:47:50+00:00,True,96,0,0,False,active,3,96,True,True,16,,,2020-07-30 14:52:25,2020
86,0,2020-07-30 14:18:45+00:00,True,97,1,0,False,active,1,97,True,True,17,,,2020-07-30 14:52:25,2020
87,0,2020-07-30 14:48:56+00:00,True,98,0,0,False,active,0,98,True,True,22,,,2020-07-30 14:52:25,2020
88,0,2020-07-30 14:19:15+00:00,True,99,0,0,False,active,9,99,True,True,6,,,2020-07-30 14:52:25,2020
89,0,2020-07-30 13:49:37+00:00,True,100,2,0,True,active,14,100,True,True,9,,,2020-07-30 14:52:25,2020
90,0,2020-07-30 13:25:45+00:00,True,101,0,0,False,active,0,101,True,True,15,,,2020-07-30 14:52:25,2020
91,0,2020-07-30 14:24:32+00:00,True,102,0,0,False,active,8,102,True,True,7,,,2020-07-30 14:52:25,2020
92,0,2020-07-30 14:35:51+00:00,True,103,1,0,False,active,0,103,True,True,14,,,2020-07-30 14:52:25,2020
93,0,2020-07-30 14:08:55+00:00,True,104,1,0,False,active,12,104,True,True,6,,,2020-07-30 14:52:25,2020
94,0,2020-07-30 14:40:23+00:00,True,105,0,0,False,active,7,105,True,True,12,,,2020-07-30 14:52:25,2020
95,0,2020-07-30 12:55:09+00:00,True,106,0,0,False,active,7,106,True,True,8,,,2020-07-30 14:52:25,2020
96,0,2020-07-30 14:38:07+00:00,True,107,0,0,False,active,19,107,True,True,0,,,2020-07-30 14:52:25,2020
97,0,2020-07-30 14:46:52+00:00,True,108,0,0,False,active,13,108,True,True,4,,,2020-07-30 14:52:25,2020
98,0,2020-07-30 14:43:54+00:00,True,109,2,0,False,active,26,109,True,True,7,,,2020-07-30 14:52:25,2020
99,0,2020-07-30 14:42:39+00:00,True,110,0,0,False,active,9,110,True,True,6,,,2020-07-30 14:52:25,2020
100,0,2020-07-30 14:21:30+00:00,True,111,0,0,False,active,3,111,True,True,12,,,2020-07-30 14:52:25,2020
101,0,2020-07-30 13:35:05+00:00,True,112,0,0,False,active,8,112,True,True,7,,,2020-07-30 14:52:25,2020
102,0,2020-07-30 14:08:29+00:00,True,113,0,0,False,active,13,113,True,True,2,,,2020-07-30 14:52:25,2020
103,0,2020-07-30 13:27:43+00:00,True,114,0,0,False,active,2,114,True,True,13,,,2020-07-30 14:52:25,2020
104,0,2020-07-30 13:40:21+00:00,True,115,0,0,False,active,9,115,True,True,10,,,2020-07-30 14:52:25,2020
105,0,2020-07-30 14:37:28+00:00,True,116,0,0,False,active,5,116,True,True,18,,,2020-07-30 14:52:25,2020
106,0,2020-07-30 13:25:46+00:00,True,117,0,0,False,active,19,117,True,True,0,,,2020-07-30 14:52:25,2020
107,0,2020-07-30 12:33:13+00:00,True,118,0,0,False,active,5,118,True,True,14,,,2020-07-30 14:52:25,2020
108,0,2020-07-30 14:51:18+00:00,True,119,0,0,False,active,6,119,True,True,9,,,2020-07-30 14:52:25,2020
109,0,2020-07-30 14:43:13+00:00,True,120,1,0,False,active,5,120,True,True,9,,,2020-07-30 14:52:25,2020
110,0,2020-07-30 14:03:16+00:00,True,121,2,0,False,active,1,121,True,True,14,,,2020-07-30 14:52:25,2020
111,0,2020-07-30 13:05:25+00:00,True,122,0,0,False,active,1,122,True,True,14,,,2020-07-30 14:52:25,2020
112,0,2020-07-30 01:11:26+00:00,True,124,0,0,False,active,5,124,True,True,10,,,2020-07-30 14:52:25,2020
113,0,2020-07-30 13:28:33+00:00,True,125,0,0,False,active,2,125,True,True,13,,,2020-07-30 14:52:25,2020
114,0,2020-07-30 13:51:56+00:00,True,126,0,0,False,active,1,126,True,True,14,,,2020-07-30 14:52:25,2020
115,0,2020-07-30 14:38:39+00:00,True,128,1,0,False,active,15,128,True,True,3,,,2020-07-30 14:52:25,2020
116,0,2020-07-30 13:51:41+00:00,True,129,0,0,False,active,6,129,True,True,13,,,2020-07-30 14:52:25,2020
117,0,2020-07-30 08:51:09+00:00,True,130,0,0,False,active,10,130,True,True,5,,,2020-07-30 14:52:25,2020
118,0,2020-07-30 14:50:39+00:00,True,131,2,0,False,active,10,131,True,True,6,,,2020-07-30 14:52:25,2020
119,0,2020-07-30 14:50:56+00:00,True,133,0,0,False,active,13,133,True,True,10,,,2020-07-30 14:52:25,2020
120,0,2020-07-30 12:52:56+00:00,True,135,1,0,False,active,9,135,True,True,7,,,2020-07-30 14:52:25,2020
121,0,2020-07-30 14:48:30+00:00,True,136,0,0,False,active,16,136,True,True,3,,,2020-07-30 14:52:25,2020
122,0,2020-07-30 13:36:00+00:00,True,137,0,0,False,active,1,137,True,True,14,,,2020-07-30 14:52:25,2020
123,0,2020-07-30 14:09:30+00:00,True,138,0,0,False,active,11,138,True,True,4,,,2020-07-30 14:52:25,2020
124,0,2020-07-30 14:01:34+00:00,True,139,0,0,False,active,3,139,True,True,16,,,2020-07-30 14:52:25,2020
125,0,2020-07-30 11:41:40+00:00,True,140,0,0,False,active,8,140,True,True,9,,,2020-07-30 14:52:25,2020
126,0,2020-07-30 14:27:40+00:00,True,141,0,0,False,active,8,141,True,True,7,,,2020-07-30 14:52:25,2020
127,0,2020-07-30 12:21:38+00:00,True,142,1,0,False,active,16,142,True,True,6,,,2020-07-30 14:52:25,2020
128,0,2020-07-30 14:51:52+00:00,True,143,0,0,False,active,9,143,True,True,14,,,2020-07-30 14:52:25,2020
129,0,2020-07-30 14:39:38+00:00,True,144,0,0,False,active,4,144,True,True,15,,,2020-07-30 14:52:25,2020
130,0,2020-07-30 14:39:35+00:00,True,145,0,0,False,active,7,145,True,True,12,,,2020-07-30 14:52:25,2020
131,0,2020-07-30 13:44:56+00:00,True,146,1,0,False,active,11,146,True,True,7,,,2020-07-30 14:52:25,2020
132,0,2020-07-30 14:25:21+00:00,True,149,0,0,True,active,9,149,True,True,9,,,2020-07-30 14:52:25,2020
133,0,2020-07-30 14:20:05+00:00,True,150,0,0,False,active,12,150,True,True,7,,,2020-07-30 14:52:25,2020
134,0,2020-07-30 14:01:47+00:00,True,151,1,0,False,active,11,151,True,True,7,,,2020-07-30 14:52:25,2020
135,0,2020-07-30 13:56:31+00:00,True,152,0,0,True,active,10,152,True,True,5,,,2020-07-30 14:52:25,2020
136,0,2020-07-30 14:00:21+00:00,True,156,0,0,False,active,3,156,True,True,12,,,2020-07-30 14:52:25,2020
137,0,2020-07-30 14:23:23+00:00,True,157,1,0,False,active,5,157,True,True,9,,,2020-07-30 14:52:25,2020
138,0,2020-07-30 14:37:48+00:00,True,159,1,0,False,active,1,159,True,True,13,,,2020-07-30 14:52:25,2020
139,0,2020-07-30 12:22:55+00:00,True,160,0,0,True,active,0,160,True,True,14,,,2020-07-30 14:52:25,2020
140,0,2020-07-30 14:49:58+00:00,True,161,0,0,True,active,0,161,True,True,23,,,2020-07-30 14:52:25,2020
141,0,2020-07-30 08:36:26+00:00,True,162,0,0,False,active,1,162,True,True,14,,,2020-07-30 14:52:25,2020
142,0,2020-07-30 14:30:45+00:00,True,163,0,0,True,active,6,163,True,True,13,,,2020-07-30 14:52:25,2020
143,0,2020-07-30 14:46:51+00:00,True,167,1,0,False,active,8,167,True,True,6,,,2020-07-30 14:52:25,2020
144,0,2020-07-30 14:00:43+00:00,True,169,0,0,False,active,9,169,True,True,10,,,2020-07-30 14:52:25,2020
