,legacy_id,eightd_has_available_keys,num_bikes_available,num_bikes_disabled,num_ebikes_available,is_returning,num_docks_disabled,is_installed,last_reported,station_id,is_renting,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
50,58,True,12,1,0,True,0,True,2020-08-07 00:41:49+00:00,58,True,6,active,,,2020-08-07 00:57:30,2020
51,59,True,3,2,0,True,0,True,2020-08-07 00:29:52+00:00,59,True,14,active,,,2020-08-07 00:57:30,2020
52,60,False,3,0,0,True,0,True,2020-08-07 00:57:20+00:00,60,True,16,active,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 3, 'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 40, 'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 69}",2020-08-07 00:57:30,2020
53,61,False,17,1,0,True,0,True,2020-08-07 00:49:15+00:00,61,True,1,active,,,2020-08-07 00:57:30,2020
54,63,False,8,0,0,True,0,True,2020-08-07 00:32:26+00:00,63,True,7,active,,,2020-08-07 00:57:30,2020
55,64,False,13,0,0,True,0,True,2020-08-07 00:46:03+00:00,64,True,6,active,,,2020-08-07 00:57:30,2020
56,65,False,4,1,0,True,0,True,2020-08-07 00:42:22+00:00,65,True,18,active,,,2020-08-07 00:57:30,2020
57,66,False,4,0,0,True,0,True,2020-08-07 00:57:16+00:00,66,True,11,active,,,2020-08-07 00:57:30,2020
58,67,True,6,1,0,True,0,True,2020-08-07 00:57:08+00:00,67,True,20,active,,,2020-08-07 00:57:30,2020
59,68,True,11,0,0,True,0,True,2020-08-07 00:56:55+00:00,68,True,8,active,,,2020-08-07 00:57:30,2020
60,69,True,8,0,0,True,0,True,2020-08-07 00:46:30+00:00,69,True,11,active,,,2020-08-07 00:57:30,2020
61,70,False,22,1,0,True,0,True,2020-08-07 00:53:41+00:00,70,True,0,active,,,2020-08-07 00:57:30,2020
