,last_reported,eightd_has_available_keys,station_id,is_renting,num_docks_disabled,station_status,num_bikes_available,num_bikes_disabled,is_installed,is_returning,legacy_id,num_ebikes_available,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
52,2020-08-19 00:40:36+00:00,False,60,True,0,active,5,2,True,True,60,0,12,2020-08-19 00:51:30,2020
53,2020-08-19 00:50:00+00:00,False,61,True,0,active,14,0,True,True,61,0,5,2020-08-19 00:51:30,2020
54,2020-08-19 00:24:41+00:00,False,63,True,0,active,15,0,True,True,63,0,0,2020-08-19 00:51:30,2020
55,2020-08-19 00:05:11+00:00,False,64,True,0,active,10,1,True,True,64,0,8,2020-08-19 00:51:30,2020
56,2020-08-18 22:07:36+00:00,False,65,True,0,active,0,0,True,True,65,0,23,2020-08-19 00:51:30,2020
57,2020-08-19 00:28:27+00:00,False,66,True,0,active,13,1,True,True,66,0,1,2020-08-19 00:51:30,2020
58,2020-08-19 00:49:31+00:00,True,67,True,0,active,3,0,True,True,67,0,24,2020-08-19 00:51:30,2020
59,2020-08-19 00:50:42+00:00,True,68,True,0,active,12,0,True,True,68,0,7,2020-08-19 00:51:30,2020
60,2020-08-19 00:31:47+00:00,True,69,True,0,active,15,0,True,True,69,0,4,2020-08-19 00:51:30,2020
61,2020-08-19 00:49:23+00:00,False,70,True,0,active,7,0,True,True,70,0,16,2020-08-19 00:51:30,2020
62,2020-08-19 00:17:41+00:00,False,71,True,0,active,17,0,True,True,71,0,6,2020-08-19 00:51:30,2020
63,2020-08-19 00:24:32+00:00,False,72,True,0,active,15,0,True,True,72,0,8,2020-08-19 00:51:30,2020
64,2020-08-19 00:46:06+00:00,False,73,True,0,active,7,3,True,True,73,0,5,2020-08-19 00:51:30,2020
65,2020-08-19 00:40:37+00:00,True,74,True,0,active,8,1,True,True,74,0,10,2020-08-19 00:51:30,2020
66,2020-08-19 00:51:14+00:00,False,75,True,0,active,4,1,True,True,75,0,10,2020-08-19 00:51:30,2020
67,2020-08-19 00:35:41+00:00,False,76,True,0,active,15,0,True,True,76,0,2,2020-08-19 00:51:30,2020
68,2020-08-19 00:25:17+00:00,False,77,True,0,active,8,0,True,True,77,0,7,2020-08-19 00:51:30,2020
69,2020-08-19 00:46:23+00:00,False,78,True,0,active,10,0,True,True,78,0,9,2020-08-19 00:51:30,2020
70,2020-08-19 00:49:17+00:00,False,79,True,0,active,16,2,True,True,79,0,1,2020-08-19 00:51:30,2020
71,2020-08-19 00:45:02+00:00,False,80,True,0,active,0,0,True,True,80,0,35,2020-08-19 00:51:30,2020
72,2020-08-19 00:45:02+00:00,False,81,True,0,active,7,2,True,True,81,0,10,2020-08-19 00:51:30,2020
73,2020-08-19 00:39:06+00:00,False,82,True,0,active,9,1,True,True,82,0,5,2020-08-19 00:51:30,2020
74,2020-08-19 00:48:56+00:00,False,84,True,0,active,7,1,True,True,84,0,7,2020-08-19 00:51:30,2020
75,2020-08-19 00:22:07+00:00,False,85,True,0,active,1,0,True,True,85,0,18,2020-08-19 00:51:30,2020
76,2020-08-19 00:48:45+00:00,False,86,True,0,active,9,0,True,True,86,0,10,2020-08-19 00:51:30,2020
77,2020-08-19 00:34:46+00:00,False,87,True,0,active,14,1,True,True,87,0,0,2020-08-19 00:51:30,2020
