,num_bikes_disabled,is_returning,is_renting,eightd_has_available_keys,num_docks_disabled,is_installed,num_ebikes_available,last_reported,station_status,num_docks_available,legacy_id,num_bikes_available,station_id,timestamp_of_data_read_request,year_station_last_reported
52,0,True,True,False,0,True,0,2020-08-12 02:40:28+00:00,active,11,60,8,60,2020-08-12 02:50:00,2020
53,0,True,True,False,0,True,0,2020-08-12 02:40:18+00:00,active,18,61,1,61,2020-08-12 02:50:00,2020
54,0,True,True,False,0,True,0,2020-08-11 23:56:13+00:00,active,11,63,4,63,2020-08-12 02:50:00,2020
55,2,True,True,False,0,True,0,2020-08-12 02:43:48+00:00,active,14,64,3,64,2020-08-12 02:50:00,2020
56,1,True,True,False,0,True,0,2020-08-12 02:11:17+00:00,active,21,65,1,65,2020-08-12 02:50:00,2020
57,0,True,True,False,0,True,0,2020-08-12 02:33:44+00:00,active,1,66,14,66,2020-08-12 02:50:00,2020
58,1,True,True,True,0,True,0,2020-08-12 02:30:11+00:00,active,25,67,1,67,2020-08-12 02:50:00,2020
59,1,True,True,True,0,True,0,2020-08-12 02:45:58+00:00,active,5,68,13,68,2020-08-12 02:50:00,2020
60,0,True,True,True,0,True,0,2020-08-12 02:43:30+00:00,active,4,69,15,69,2020-08-12 02:50:00,2020
61,0,True,True,False,0,True,0,2020-08-12 02:38:33+00:00,active,13,70,10,70,2020-08-12 02:50:00,2020
62,0,True,True,False,0,True,0,2020-08-12 02:11:14+00:00,active,3,71,20,71,2020-08-12 02:50:00,2020
63,0,True,True,False,0,True,0,2020-08-12 02:14:56+00:00,active,23,72,0,72,2020-08-12 02:50:00,2020
64,1,True,True,False,0,True,0,2020-08-12 02:04:55+00:00,active,10,73,4,73,2020-08-12 02:50:00,2020
65,1,True,True,True,0,True,0,2020-08-12 02:16:58+00:00,active,7,74,11,74,2020-08-12 02:50:00,2020
66,0,True,True,False,0,True,0,2020-08-12 02:38:17+00:00,active,11,75,4,75,2020-08-12 02:50:00,2020
67,1,True,True,False,0,True,0,2020-08-12 02:45:27+00:00,active,2,76,14,76,2020-08-12 02:50:00,2020
68,0,True,True,False,0,True,0,2020-08-12 00:00:32+00:00,active,9,77,6,77,2020-08-12 02:50:00,2020
69,0,True,True,False,0,True,0,2020-08-12 01:29:27+00:00,active,9,78,10,78,2020-08-12 02:50:00,2020
