,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,eightd_active_station_services,num_docks_disabled,is_returning,valet,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,timestamp_of_data_read_request,year_station_last_reported
0,296,True,0,0,False,2020-08-01 18:46:15+00:00,[{'id': 'e4cf42bb-42a8-4a72-9a2f-5f76a12e7a7a'}],0,True,"{'off_dock_capacity': 0, 'station_id': '74cb9bf6-bb53-4c70-88d2-67998b99628c', 'off_dock_count': 31, 'active': True, 'dock_blocked_count': 0, 'valet_revision': 3, 'region': 'BOS'}",296,True,19,4,active,2020-08-01 18:46:30,2020
1,3,True,0,0,True,2020-08-01 17:41:38+00:00,,0,True,,3,True,5,10,active,2020-08-01 18:46:30,2020
2,4,True,0,0,False,2020-08-01 18:45:46+00:00,,0,True,,4,True,2,17,active,2020-08-01 18:46:30,2020
3,5,True,0,0,False,2020-08-01 18:39:54+00:00,,0,True,,5,True,3,12,active,2020-08-01 18:46:30,2020
4,6,True,0,0,False,2020-08-01 18:42:27+00:00,,0,True,,6,True,1,14,active,2020-08-01 18:46:30,2020
5,7,True,0,0,False,2020-08-01 18:45:17+00:00,,0,True,,7,True,9,6,active,2020-08-01 18:46:30,2020
6,8,True,0,2,False,2020-08-01 18:22:29+00:00,,0,True,,8,True,3,14,active,2020-08-01 18:46:30,2020
7,9,True,0,0,False,2020-08-01 18:30:34+00:00,,0,True,,9,True,5,10,active,2020-08-01 18:46:30,2020
8,10,True,0,1,False,2020-08-01 18:36:40+00:00,,0,True,,10,True,5,5,active,2020-08-01 18:46:30,2020
9,11,True,0,2,False,2020-08-01 18:33:00+00:00,,0,True,,11,True,7,6,active,2020-08-01 18:46:30,2020
10,12,True,0,2,True,2020-08-01 18:18:40+00:00,,0,True,,12,True,0,16,active,2020-08-01 18:46:30,2020
11,13,True,0,0,False,2020-08-01 18:40:21+00:00,,0,True,,13,True,16,3,active,2020-08-01 18:46:30,2020
12,14,True,0,0,False,2020-08-01 18:44:11+00:00,,0,True,,14,True,16,9,active,2020-08-01 18:46:30,2020
