,is_installed,num_docks_disabled,num_ebikes_available,eightd_has_available_keys,legacy_id,num_docks_available,num_bikes_available,station_id,num_bikes_disabled,last_reported,station_status,is_renting,is_returning,timestamp_of_data_read_request,year_station_last_reported
68,True,0,0,False,77,11,4,77,0,2020-08-09 00:57:58+00:00,active,True,True,2020-08-09 01:10:40,2020
69,True,0,0,False,78,3,16,78,0,2020-08-09 00:54:53+00:00,active,True,True,2020-08-09 01:10:40,2020
70,True,0,0,False,79,12,5,79,2,2020-08-09 00:41:47+00:00,active,True,True,2020-08-09 01:10:40,2020
71,True,0,0,False,80,34,0,80,1,2020-08-08 22:58:33+00:00,active,True,True,2020-08-09 01:10:40,2020
72,True,0,0,False,81,13,5,81,1,2020-08-09 01:02:38+00:00,active,True,True,2020-08-09 01:10:40,2020
73,True,0,0,False,82,13,2,82,0,2020-08-08 23:21:29+00:00,active,True,True,2020-08-09 01:10:40,2020
74,True,0,0,False,84,11,4,84,0,2020-08-09 00:55:55+00:00,active,True,True,2020-08-09 01:10:40,2020
75,True,0,0,False,85,9,9,85,1,2020-08-09 00:11:44+00:00,active,True,True,2020-08-09 01:10:40,2020
76,True,0,0,False,86,8,11,86,0,2020-08-09 01:04:57+00:00,active,True,True,2020-08-09 01:10:40,2020
77,True,0,0,False,87,9,4,87,2,2020-08-09 01:10:06+00:00,active,True,True,2020-08-09 01:10:40,2020
78,True,0,0,False,89,11,8,89,0,2020-08-09 01:00:07+00:00,active,True,True,2020-08-09 01:10:40,2020
79,True,0,0,False,90,16,2,90,1,2020-08-09 01:01:22+00:00,active,True,True,2020-08-09 01:10:40,2020
80,True,0,0,False,91,9,8,91,2,2020-08-09 00:58:28+00:00,active,True,True,2020-08-09 01:10:40,2020
81,True,0,0,False,92,9,10,92,0,2020-08-08 20:49:16+00:00,active,True,True,2020-08-09 01:10:40,2020
82,True,0,0,False,93,1,14,93,0,2020-08-09 00:27:56+00:00,active,True,True,2020-08-09 01:10:40,2020
83,True,0,0,False,94,4,6,94,1,2020-08-09 00:38:16+00:00,active,True,True,2020-08-09 01:10:40,2020
84,True,0,0,False,95,8,7,95,0,2020-08-09 00:55:08+00:00,active,True,True,2020-08-09 01:10:40,2020
85,True,0,0,False,96,8,11,96,0,2020-08-09 00:38:59+00:00,active,True,True,2020-08-09 01:10:40,2020
86,True,0,0,False,97,12,6,97,1,2020-08-09 00:46:35+00:00,active,True,True,2020-08-09 01:10:40,2020
87,True,0,0,False,98,13,10,98,0,2020-08-09 00:48:06+00:00,active,True,True,2020-08-09 01:10:40,2020
88,True,0,0,False,99,11,4,99,0,2020-08-09 00:27:34+00:00,active,True,True,2020-08-09 01:10:40,2020
89,True,0,0,True,100,1,22,100,2,2020-08-09 00:59:14+00:00,active,True,True,2020-08-09 01:10:40,2020
90,True,0,0,False,101,9,6,101,0,2020-08-09 00:12:43+00:00,active,True,True,2020-08-09 01:10:40,2020
91,True,0,0,False,102,2,10,102,3,2020-08-09 00:53:00+00:00,active,True,True,2020-08-09 01:10:40,2020
92,True,0,0,False,103,14,1,103,0,2020-08-09 00:09:28+00:00,active,True,True,2020-08-09 01:10:40,2020
93,True,0,0,False,104,0,19,104,0,2020-08-08 23:50:12+00:00,active,True,True,2020-08-09 01:10:40,2020
94,True,0,0,False,105,13,5,105,1,2020-08-09 00:43:19+00:00,active,True,True,2020-08-09 01:10:40,2020
95,True,0,0,False,106,7,8,106,0,2020-08-09 00:48:25+00:00,active,True,True,2020-08-09 01:10:40,2020
96,True,0,0,False,107,14,5,107,0,2020-08-09 00:52:17+00:00,active,True,True,2020-08-09 01:10:40,2020
97,True,0,0,False,108,15,2,108,0,2020-08-09 00:21:04+00:00,active,True,True,2020-08-09 01:10:40,2020
98,True,0,0,False,109,25,10,109,0,2020-08-08 23:50:17+00:00,active,True,True,2020-08-09 01:10:40,2020
99,True,0,0,False,110,14,0,110,1,2020-08-09 00:43:28+00:00,active,True,True,2020-08-09 01:10:40,2020
100,True,0,0,False,111,13,2,111,0,2020-08-08 23:40:17+00:00,active,True,True,2020-08-09 01:10:40,2020
101,True,0,0,False,112,8,7,112,0,2020-08-09 00:27:30+00:00,active,True,True,2020-08-09 01:10:40,2020
102,True,0,0,False,113,13,1,113,1,2020-08-09 00:27:38+00:00,active,True,True,2020-08-09 01:10:40,2020
103,True,0,0,False,114,12,3,114,0,2020-08-09 01:03:40+00:00,active,True,True,2020-08-09 01:10:40,2020
104,True,0,0,False,115,0,19,115,0,2020-08-09 00:58:31+00:00,active,True,True,2020-08-09 01:10:40,2020
105,True,0,0,False,116,18,5,116,0,2020-08-09 00:33:51+00:00,active,True,True,2020-08-09 01:10:40,2020
106,True,0,0,False,117,11,7,117,1,2020-08-09 01:03:36+00:00,active,True,True,2020-08-09 01:10:40,2020
107,True,0,0,False,118,13,5,118,1,2020-08-09 00:59:03+00:00,active,True,True,2020-08-09 01:10:40,2020
108,True,0,0,False,119,5,10,119,0,2020-08-09 01:06:51+00:00,active,True,True,2020-08-09 01:10:40,2020
109,True,0,0,False,120,5,5,120,5,2020-08-09 01:03:16+00:00,active,True,True,2020-08-09 01:10:40,2020
110,True,0,0,False,121,2,15,121,0,2020-08-09 01:04:18+00:00,active,True,True,2020-08-09 01:10:40,2020
111,True,0,0,False,122,10,5,122,0,2020-08-09 00:41:53+00:00,active,True,True,2020-08-09 01:10:40,2020
112,True,0,0,False,124,5,10,124,0,2020-08-08 22:18:30+00:00,active,False,False,2020-08-09 01:10:40,2020
113,True,0,0,False,125,11,4,125,0,2020-08-09 01:09:36+00:00,active,True,True,2020-08-09 01:10:40,2020
114,True,0,0,False,126,8,7,126,0,2020-08-08 23:07:09+00:00,active,True,True,2020-08-09 01:10:40,2020
115,True,0,0,False,128,3,15,128,1,2020-08-09 01:03:48+00:00,active,True,True,2020-08-09 01:10:40,2020
116,True,0,0,False,129,11,8,129,0,2020-08-09 00:34:48+00:00,active,True,True,2020-08-09 01:10:40,2020
117,True,0,0,False,130,3,12,130,0,2020-08-08 22:55:56+00:00,active,True,True,2020-08-09 01:10:40,2020
118,True,0,0,False,131,7,11,131,0,2020-08-09 01:08:53+00:00,active,True,True,2020-08-09 01:10:40,2020
119,True,0,0,False,133,6,17,133,0,2020-08-08 23:02:57+00:00,active,True,True,2020-08-09 01:10:40,2020
120,True,0,0,False,135,14,2,135,1,2020-08-08 22:25:34+00:00,active,True,True,2020-08-09 01:10:40,2020
121,True,0,0,False,136,13,5,136,1,2020-08-09 00:28:52+00:00,active,True,True,2020-08-09 01:10:40,2020
122,True,0,0,False,137,8,7,137,0,2020-08-09 00:17:21+00:00,active,True,True,2020-08-09 01:10:40,2020
123,True,0,0,False,138,9,5,138,1,2020-08-09 00:59:10+00:00,active,True,True,2020-08-09 01:10:40,2020
124,True,0,0,False,139,12,7,139,0,2020-08-09 00:24:24+00:00,active,True,True,2020-08-09 01:10:40,2020
125,True,0,0,False,140,0,0,140,17,2020-08-08 14:27:37+00:00,active,False,True,2020-08-09 01:10:40,2020
126,True,0,0,False,141,12,3,141,0,2020-08-09 01:06:31+00:00,active,True,True,2020-08-09 01:10:40,2020
127,True,0,0,False,142,16,7,142,0,2020-08-09 00:10:02+00:00,active,True,True,2020-08-09 01:10:40,2020
128,True,0,0,False,143,16,7,143,0,2020-08-09 01:01:34+00:00,active,True,True,2020-08-09 01:10:40,2020
129,True,0,0,False,144,3,16,144,0,2020-08-09 01:06:16+00:00,active,True,True,2020-08-09 01:10:40,2020
130,True,0,0,False,145,4,15,145,0,2020-08-09 00:51:04+00:00,active,True,True,2020-08-09 01:10:40,2020
