,eightd_has_available_keys,num_docks_available,num_docks_disabled,station_id,num_ebikes_available,legacy_id,last_reported,num_bikes_available,is_installed,is_renting,is_returning,num_bikes_disabled,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
236,False,5,0,345,0,345,2020-08-20 21:00:26+00:00,14,True,True,True,0,active,,,2020-08-20 21:20:45,2020
237,False,13,0,346,0,346,2020-08-20 20:54:00+00:00,2,True,True,True,0,active,,,2020-08-20 21:20:45,2020
238,False,5,0,347,0,347,2020-08-20 11:58:38+00:00,10,True,True,True,0,active,,,2020-08-20 21:20:45,2020
239,False,9,0,348,0,348,2020-08-20 17:04:21+00:00,6,True,True,True,0,active,,,2020-08-20 21:20:45,2020
240,False,11,0,349,0,349,2020-08-20 14:18:20+00:00,6,True,True,True,0,active,,,2020-08-20 21:20:45,2020
241,False,5,0,350,0,350,2020-08-20 20:26:19+00:00,12,True,True,True,0,active,,,2020-08-20 21:20:45,2020
242,False,2,0,351,0,351,2020-08-20 20:59:42+00:00,13,True,True,True,0,active,,,2020-08-20 21:20:45,2020
243,False,3,0,352,0,352,2020-08-20 21:17:52+00:00,12,True,True,True,0,active,,,2020-08-20 21:20:45,2020
244,True,8,0,353,0,353,2020-08-20 21:10:55+00:00,7,True,True,True,0,active,,,2020-08-20 21:20:45,2020
245,False,13,0,354,0,354,2020-08-20 20:42:43+00:00,2,True,True,True,0,active,,,2020-08-20 21:20:45,2020
246,False,0,0,355,0,355,2020-08-20 20:22:30+00:00,17,True,True,True,0,active,,,2020-08-20 21:20:45,2020
247,False,12,0,356,0,356,2020-08-20 21:20:09+00:00,10,True,True,True,1,active,,,2020-08-20 21:20:45,2020
248,False,3,0,357,0,357,2020-08-20 21:10:21+00:00,12,True,True,True,0,active,,,2020-08-20 21:20:45,2020
249,False,8,0,358,0,358,2020-08-20 20:35:55+00:00,11,True,True,True,0,active,,,2020-08-20 21:20:45,2020
250,False,14,0,359,0,359,2020-08-20 21:15:58+00:00,1,True,True,True,0,active,,,2020-08-20 21:20:45,2020
251,False,13,0,360,0,360,2020-08-20 21:12:34+00:00,2,True,True,True,0,active,,,2020-08-20 21:20:45,2020
252,False,5,0,361,0,361,2020-08-20 21:16:12+00:00,13,True,True,True,1,active,,,2020-08-20 21:20:45,2020
253,False,6,0,362,0,362,2020-08-20 20:50:21+00:00,10,True,True,True,3,active,,,2020-08-20 21:20:45,2020
254,False,0,0,363,0,363,2020-08-20 20:54:56+00:00,19,True,True,True,0,active,,,2020-08-20 21:20:45,2020
255,False,13,0,364,0,364,2020-08-20 21:16:14+00:00,5,True,True,True,1,active,,,2020-08-20 21:20:45,2020
256,False,2,0,365,0,365,2020-08-20 20:57:00+00:00,17,True,True,True,0,active,,,2020-08-20 21:20:45,2020
257,False,0,0,366,0,366,1970-01-02 00:00:00+00:00,0,False,True,True,0,out_of_service,,,2020-08-20 21:20:45,1970
258,False,3,0,367,0,367,2020-08-20 19:08:17+00:00,16,True,True,True,0,active,,,2020-08-20 21:20:45,2020
259,False,10,0,368,0,368,2020-08-20 19:33:42+00:00,5,True,True,True,0,active,,,2020-08-20 21:20:45,2020
260,False,9,0,369,0,369,2020-08-20 21:20:38+00:00,6,True,True,True,0,active,,,2020-08-20 21:20:45,2020
261,False,9,0,370,0,370,2020-08-20 21:19:13+00:00,10,True,True,True,0,active,,,2020-08-20 21:20:45,2020
262,False,17,0,371,0,371,2020-08-20 18:04:37+00:00,2,True,True,True,0,active,,,2020-08-20 21:20:45,2020
263,False,17,0,372,0,372,2020-08-20 21:12:04+00:00,1,True,True,True,1,active,,,2020-08-20 21:20:45,2020
264,False,8,0,373,0,373,2020-08-20 12:11:08+00:00,7,True,True,True,0,active,,,2020-08-20 21:20:45,2020
265,False,10,0,374,0,374,2020-08-20 21:18:00+00:00,9,True,True,True,0,active,,,2020-08-20 21:20:45,2020
266,False,10,0,376,0,376,2020-08-20 19:58:52+00:00,5,True,True,True,0,active,,,2020-08-20 21:20:45,2020
267,False,14,0,377,0,377,2020-08-20 20:28:12+00:00,5,True,True,True,0,active,,,2020-08-20 21:20:45,2020
268,False,16,0,378,0,378,2020-08-20 20:52:54+00:00,3,True,True,True,0,active,,,2020-08-20 21:20:45,2020
269,False,5,0,379,0,379,2020-08-20 21:14:22+00:00,10,True,True,True,0,active,,,2020-08-20 21:20:45,2020
270,False,8,0,380,0,380,2020-08-20 21:20:13+00:00,9,True,True,True,1,active,,,2020-08-20 21:20:45,2020
271,False,18,0,381,0,381,2020-08-20 21:18:56+00:00,1,True,True,True,0,active,,,2020-08-20 21:20:45,2020
272,True,7,0,384,0,384,2020-08-20 21:13:14+00:00,12,True,True,True,0,active,,,2020-08-20 21:20:45,2020
273,False,8,1,385,0,385,2020-08-20 21:15:18+00:00,6,True,True,True,0,active,,,2020-08-20 21:20:45,2020
274,False,14,0,386,0,386,2020-08-20 21:05:05+00:00,5,True,True,True,0,active,,,2020-08-20 21:20:45,2020
275,False,4,0,387,0,387,2020-08-20 17:27:45+00:00,11,True,True,True,0,active,,,2020-08-20 21:20:45,2020
276,False,3,0,388,0,388,2020-08-20 09:01:03+00:00,8,True,True,True,0,active,,,2020-08-20 21:20:45,2020
277,False,9,0,389,0,389,2020-08-20 08:55:40+00:00,5,True,True,True,0,active,,,2020-08-20 21:20:45,2020
278,False,7,0,390,0,390,2020-08-20 20:12:46+00:00,8,True,True,True,0,active,,,2020-08-20 21:20:45,2020
279,False,2,0,391,0,391,2020-08-20 20:02:27+00:00,13,True,True,True,0,active,,,2020-08-20 21:20:45,2020
280,False,9,0,392,0,392,2020-08-20 20:19:47+00:00,6,True,True,True,0,active,,,2020-08-20 21:20:45,2020
281,False,7,0,393,0,393,2020-08-20 19:44:08+00:00,8,True,True,True,0,active,,,2020-08-20 21:20:45,2020
282,False,14,0,394,0,394,2020-08-20 09:00:38+00:00,0,True,True,True,0,active,,,2020-08-20 21:20:45,2020
283,False,2,0,395,0,395,2020-08-20 18:55:51+00:00,13,True,True,True,0,active,,,2020-08-20 21:20:45,2020
284,False,2,0,396,0,396,2020-08-20 08:56:31+00:00,13,True,True,True,0,active,,,2020-08-20 21:20:45,2020
285,False,4,0,397,0,397,2020-08-20 20:38:13+00:00,11,True,True,True,0,active,,,2020-08-20 21:20:45,2020
286,False,5,0,398,0,398,2020-08-20 21:20:20+00:00,14,True,True,True,0,active,,,2020-08-20 21:20:45,2020
287,False,3,0,399,0,399,2020-08-20 21:02:49+00:00,12,True,True,True,0,active,,,2020-08-20 21:20:45,2020
