,last_reported,is_renting,num_bikes_available,num_ebikes_available,station_status,legacy_id,num_docks_available,station_id,num_docks_disabled,num_bikes_disabled,eightd_has_available_keys,is_installed,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
41,2020-08-04 22:47:26+00:00,True,10,0,active,49,7,49,0,1,False,True,True,,,2020-08-04 22:49:10,2020
42,2020-08-04 22:37:06+00:00,True,8,0,active,50,5,50,0,2,True,True,True,,,2020-08-04 22:49:10,2020
43,2020-08-04 22:45:48+00:00,True,4,0,active,51,10,51,0,1,False,True,True,,,2020-08-04 22:49:10,2020
44,2020-08-04 22:46:18+00:00,True,18,0,active,52,4,52,0,1,True,True,True,,,2020-08-04 22:49:10,2020
45,2020-08-04 22:45:26+00:00,True,14,0,active,53,5,53,0,0,False,True,True,,,2020-08-04 22:49:10,2020
46,2020-08-04 22:44:13+00:00,True,9,0,active,54,5,54,0,1,False,True,True,,,2020-08-04 22:49:10,2020
47,2020-08-04 22:33:35+00:00,True,9,0,active,55,6,55,0,0,False,True,True,,,2020-08-04 22:49:10,2020
48,2020-08-04 20:58:14+00:00,True,7,0,active,56,11,56,0,0,True,True,True,,,2020-08-04 22:49:10,2020
49,2020-08-04 22:48:26+00:00,True,2,0,active,57,11,57,0,1,True,True,True,,,2020-08-04 22:49:10,2020
50,2020-08-04 22:43:45+00:00,True,7,0,active,58,10,58,0,2,True,True,True,,,2020-08-04 22:49:10,2020
51,2020-08-04 22:28:35+00:00,True,5,0,active,59,13,59,0,1,True,True,True,,,2020-08-04 22:49:10,2020
52,2020-08-04 22:40:31+00:00,True,17,0,active,60,2,60,0,0,False,True,True,,,2020-08-04 22:49:10,2020
53,2020-08-04 22:46:12+00:00,True,3,0,active,61,16,61,0,0,False,True,True,,,2020-08-04 22:49:10,2020
54,2020-08-04 19:44:51+00:00,True,6,0,active,63,9,63,0,0,False,True,True,,,2020-08-04 22:49:10,2020
55,2020-08-04 22:37:19+00:00,True,10,0,active,64,9,64,0,0,False,True,True,,,2020-08-04 22:49:10,2020
56,2020-08-04 16:26:16+00:00,True,6,0,active,65,16,65,0,1,False,True,True,,,2020-08-04 22:49:10,2020
57,2020-08-04 22:37:56+00:00,True,4,0,active,66,11,66,0,0,False,True,True,,,2020-08-04 22:49:10,2020
58,2020-08-04 22:47:29+00:00,True,10,0,active,67,17,67,0,0,True,True,True,,,2020-08-04 22:49:10,2020
59,2020-08-04 22:33:13+00:00,True,4,0,active,68,14,68,0,1,True,True,True,,,2020-08-04 22:49:10,2020
60,2020-08-04 22:38:29+00:00,True,10,0,active,69,9,69,0,0,True,True,True,,,2020-08-04 22:49:10,2020
61,2020-08-04 22:44:04+00:00,True,17,0,active,70,6,70,0,0,False,True,True,,,2020-08-04 22:49:10,2020
62,2020-08-04 22:32:24+00:00,True,20,0,active,71,3,71,0,0,False,True,True,,,2020-08-04 22:49:10,2020
63,2020-08-04 22:44:56+00:00,True,4,0,active,72,19,72,0,0,False,True,True,,,2020-08-04 22:49:10,2020
64,2020-08-04 22:28:05+00:00,True,3,0,active,73,12,73,0,0,False,True,True,,,2020-08-04 22:49:10,2020
65,2020-08-04 22:39:48+00:00,True,8,0,active,74,10,74,0,1,True,True,True,,,2020-08-04 22:49:10,2020
66,2020-08-04 22:39:26+00:00,True,2,0,active,75,13,75,0,0,False,True,True,,,2020-08-04 22:49:10,2020
67,2020-08-04 22:13:28+00:00,True,7,0,active,76,10,76,0,0,False,True,True,,,2020-08-04 22:49:10,2020
68,2020-08-04 21:20:54+00:00,True,7,0,active,77,8,77,0,0,False,True,True,,,2020-08-04 22:49:10,2020
69,2020-08-04 22:37:09+00:00,True,17,0,active,78,2,78,0,0,False,True,True,,,2020-08-04 22:49:10,2020
70,2020-08-04 22:36:03+00:00,True,13,0,active,79,6,79,0,0,False,True,True,,,2020-08-04 22:49:10,2020
71,2020-08-04 22:47:04+00:00,True,10,0,active,80,25,80,0,0,False,True,True,,,2020-08-04 22:49:10,2020
72,2020-08-04 22:40:35+00:00,True,1,0,active,81,17,81,0,1,False,True,True,,,2020-08-04 22:49:10,2020
73,2020-08-04 22:36:10+00:00,True,11,0,active,82,3,82,0,1,False,True,True,,,2020-08-04 22:49:10,2020
74,2020-08-04 22:08:43+00:00,True,8,0,active,84,7,84,0,0,False,True,True,,,2020-08-04 22:49:10,2020
75,2020-08-04 22:20:33+00:00,True,5,0,active,85,12,85,0,2,False,True,True,,,2020-08-04 22:49:10,2020
76,2020-08-04 22:32:54+00:00,True,8,0,active,86,11,86,0,0,False,True,True,,,2020-08-04 22:49:10,2020
77,2020-08-04 22:40:34+00:00,True,7,0,active,87,8,87,0,0,False,True,True,,,2020-08-04 22:49:10,2020
78,2020-08-04 22:22:28+00:00,True,12,0,active,89,6,89,0,1,False,True,True,,,2020-08-04 22:49:10,2020
79,2020-08-04 22:38:38+00:00,True,8,0,active,90,9,90,0,2,False,True,True,,,2020-08-04 22:49:10,2020
80,2020-08-04 22:39:25+00:00,True,5,0,active,91,13,91,0,1,False,True,True,,,2020-08-04 22:49:10,2020
81,2020-08-04 17:12:55+00:00,True,15,0,active,92,4,92,0,0,False,True,True,,,2020-08-04 22:49:10,2020
82,2020-08-04 21:18:51+00:00,True,11,0,active,93,3,93,0,1,False,True,True,,,2020-08-04 22:49:10,2020
83,2020-08-04 22:12:54+00:00,True,5,0,active,94,4,94,0,2,False,True,True,,,2020-08-04 22:49:10,2020
84,2020-08-04 22:33:49+00:00,True,13,0,active,95,2,95,0,0,False,True,True,,,2020-08-04 22:49:10,2020
85,2020-08-04 22:28:37+00:00,True,15,0,active,96,4,96,0,0,False,True,True,,,2020-08-04 22:49:10,2020
86,2020-08-04 22:48:59+00:00,True,8,0,active,97,10,97,0,1,False,True,True,,,2020-08-04 22:49:10,2020
