,station_status,num_docks_disabled,num_docks_available,legacy_id,is_renting,num_bikes_disabled,eightd_has_available_keys,is_returning,station_id,is_installed,last_reported,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,active,0,12,49,True,0,False,True,49,True,2020-08-01 02:06:26+00:00,0,6,,,2020-08-01 02:26:25,2020
42,active,0,15,50,True,0,True,True,50,True,2020-08-01 02:07:44+00:00,0,0,,,2020-08-01 02:26:25,2020
43,active,0,10,51,True,2,False,True,51,True,2020-08-01 02:04:43+00:00,0,3,,,2020-08-01 02:26:25,2020
44,active,0,16,52,True,1,True,True,52,True,2020-08-01 02:15:02+00:00,0,6,,,2020-08-01 02:26:25,2020
45,active,0,4,53,True,1,False,True,53,True,2020-08-01 02:23:23+00:00,0,14,,,2020-08-01 02:26:25,2020
46,active,0,7,54,True,0,False,True,54,True,2020-08-01 01:40:50+00:00,0,8,,,2020-08-01 02:26:25,2020
47,active,0,13,55,True,0,False,True,55,True,2020-08-01 02:26:18+00:00,0,2,,,2020-08-01 02:26:25,2020
48,active,0,9,56,True,0,True,True,56,True,2020-08-01 02:20:46+00:00,0,9,,,2020-08-01 02:26:25,2020
49,active,0,2,57,True,0,True,True,57,True,2020-08-01 02:07:08+00:00,0,12,,,2020-08-01 02:26:25,2020
50,active,0,8,58,True,0,True,True,58,True,2020-08-01 02:23:08+00:00,0,11,,,2020-08-01 02:26:25,2020
51,active,0,5,59,True,0,False,True,59,True,2020-08-01 02:26:11+00:00,0,14,,,2020-08-01 02:26:25,2020
52,active,0,3,60,True,2,False,True,60,True,2020-08-01 02:22:50+00:00,0,14,"{'off_dock_capacity': 40, 'dock_blocked_count': 0, 'off_dock_count': 2, 'region': 'BOS', 'active': True, 'valet_revision': 63, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-08-01 02:26:25,2020
53,active,0,10,61,True,0,False,True,61,True,2020-08-01 02:21:29+00:00,0,9,,,2020-08-01 02:26:25,2020
54,active,0,14,63,True,0,False,True,63,True,2020-08-01 00:38:23+00:00,0,1,,,2020-08-01 02:26:25,2020
55,active,0,4,64,True,1,False,True,64,True,2020-08-01 02:02:49+00:00,0,14,,,2020-08-01 02:26:25,2020
56,active,0,9,65,True,1,False,True,65,True,2020-08-01 01:18:13+00:00,0,13,,,2020-08-01 02:26:25,2020
57,active,0,8,66,True,1,False,True,66,True,2020-08-01 02:26:13+00:00,0,6,,,2020-08-01 02:26:25,2020
58,active,0,23,67,True,2,True,True,67,True,2020-08-01 02:25:50+00:00,0,2,,,2020-08-01 02:26:25,2020
59,active,0,11,68,True,0,True,True,68,True,2020-08-01 02:25:40+00:00,0,8,,,2020-08-01 02:26:25,2020
60,active,0,8,69,True,0,True,True,69,True,2020-08-01 02:18:25+00:00,0,11,,,2020-08-01 02:26:25,2020
61,active,0,0,70,True,1,False,True,70,True,2020-08-01 02:00:54+00:00,0,22,,,2020-08-01 02:26:25,2020
62,active,0,1,71,True,0,False,True,71,True,2020-08-01 01:57:45+00:00,0,22,,,2020-08-01 02:26:25,2020
63,active,0,23,72,True,0,False,True,72,True,2020-08-01 02:02:29+00:00,0,0,,,2020-08-01 02:26:25,2020
64,active,0,4,73,True,0,False,True,73,True,2020-08-01 02:26:07+00:00,0,11,,,2020-08-01 02:26:25,2020
65,active,0,3,74,True,1,True,True,74,True,2020-08-01 02:11:11+00:00,0,15,,,2020-08-01 02:26:25,2020
