,station_status,legacy_id,num_docks_available,num_bikes_disabled,station_id,num_docks_disabled,is_returning,is_renting,num_bikes_available,is_installed,eightd_has_available_keys,last_reported,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,active,3,3,0,3,0,True,True,12,True,False,2020-08-21 21:54:04+00:00,0,,,2020-08-21 21:59:15,2020
1,active,4,5,1,4,0,True,True,13,True,False,2020-08-21 21:58:12+00:00,0,,,2020-08-21 21:59:15,2020
2,active,5,9,0,5,0,True,True,6,True,False,2020-08-21 21:47:49+00:00,0,,,2020-08-21 21:59:15,2020
3,active,6,15,0,6,0,True,True,0,True,False,2020-08-21 21:52:12+00:00,0,,,2020-08-21 21:59:15,2020
4,active,7,6,0,7,0,True,True,9,True,False,2020-08-21 21:34:51+00:00,0,,,2020-08-21 21:59:15,2020
5,active,8,5,3,8,0,True,True,11,True,False,2020-08-21 21:59:08+00:00,0,,,2020-08-21 21:59:15,2020
6,active,9,8,0,9,0,True,True,7,True,False,2020-08-21 21:57:52+00:00,0,,,2020-08-21 21:59:15,2020
7,active,10,11,0,10,0,True,True,0,True,False,2020-08-21 21:35:54+00:00,0,,,2020-08-21 21:59:15,2020
8,active,11,0,0,11,0,True,True,15,True,False,2020-08-21 21:59:10+00:00,0,"{'off_dock_count': 9, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'region': 'BOS', 'valet_revision': 100, 'dock_blocked_count': 0, 'off_dock_capacity': 50}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-21 21:59:15,2020
9,active,12,18,0,12,0,True,True,0,True,True,2020-08-21 21:57:37+00:00,0,,,2020-08-21 21:59:15,2020
10,active,13,19,0,13,0,True,True,0,True,False,2020-08-21 21:36:57+00:00,0,,,2020-08-21 21:59:15,2020
11,active,14,14,2,14,0,True,True,9,True,False,2020-08-21 21:51:48+00:00,0,,,2020-08-21 21:59:15,2020
12,active,15,4,0,15,0,True,True,11,True,False,2020-08-21 21:54:36+00:00,0,,,2020-08-21 21:59:15,2020
