,station_id,last_reported,num_docks_disabled,eightd_has_available_keys,is_renting,num_bikes_disabled,is_installed,num_ebikes_available,is_returning,num_docks_available,legacy_id,station_status,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
45,53,2020-08-05 05:06:12+00:00,0,False,True,0,True,0,True,5,53,active,14,2020-08-05 06:59:10,2020
46,54,2020-08-05 05:23:18+00:00,0,False,True,0,True,0,True,3,54,active,12,2020-08-05 06:59:10,2020
47,55,2020-08-05 06:37:50+00:00,0,False,True,0,True,0,True,0,55,active,15,2020-08-05 06:59:10,2020
48,56,2020-08-05 03:25:12+00:00,0,True,True,0,True,0,True,8,56,active,10,2020-08-05 06:59:10,2020
49,57,2020-08-05 04:37:30+00:00,0,True,True,1,True,0,True,8,57,active,5,2020-08-05 06:59:10,2020
50,58,2020-08-05 04:41:31+00:00,0,True,True,0,True,0,True,12,58,active,7,2020-08-05 06:59:10,2020
51,59,2020-08-05 03:58:16+00:00,0,True,True,0,True,0,True,15,59,active,4,2020-08-05 06:59:10,2020
52,60,2020-08-05 02:36:19+00:00,0,False,True,1,True,0,True,11,60,active,7,2020-08-05 06:59:10,2020
53,61,2020-08-05 05:48:29+00:00,0,False,True,0,True,0,True,17,61,active,2,2020-08-05 06:59:10,2020
54,63,2020-08-04 23:07:50+00:00,0,False,True,0,True,0,True,10,63,active,5,2020-08-05 06:59:10,2020
55,64,2020-08-04 23:41:56+00:00,0,False,True,0,True,0,True,10,64,active,9,2020-08-05 06:59:10,2020
56,65,2020-08-05 02:07:24+00:00,0,False,True,1,True,0,True,17,65,active,5,2020-08-05 06:59:10,2020
57,66,2020-08-05 06:03:22+00:00,0,False,True,0,True,0,True,7,66,active,8,2020-08-05 06:59:10,2020
58,67,2020-08-05 06:14:45+00:00,0,True,True,0,True,0,True,24,67,active,3,2020-08-05 06:59:10,2020
59,68,2020-08-05 04:28:13+00:00,0,True,True,0,True,0,True,15,68,active,4,2020-08-05 06:59:10,2020
60,69,2020-08-05 05:13:50+00:00,0,True,True,0,True,0,True,4,69,active,15,2020-08-05 06:59:10,2020
61,70,2020-08-05 03:39:38+00:00,0,False,True,0,True,0,True,2,70,active,21,2020-08-05 06:59:10,2020
62,71,2020-08-05 00:48:57+00:00,0,False,True,0,True,0,True,3,71,active,20,2020-08-05 06:59:10,2020
63,72,2020-08-05 04:18:44+00:00,0,False,True,0,True,0,True,19,72,active,4,2020-08-05 06:59:10,2020
64,73,2020-08-05 03:35:03+00:00,0,False,True,0,True,0,True,12,73,active,3,2020-08-05 06:59:10,2020
65,74,2020-08-05 04:51:15+00:00,0,True,True,0,True,0,True,11,74,active,8,2020-08-05 06:59:10,2020
66,75,2020-08-05 03:04:28+00:00,0,False,True,0,True,0,True,11,75,active,4,2020-08-05 06:59:10,2020
67,76,2020-08-05 03:30:19+00:00,0,False,True,0,True,0,True,7,76,active,10,2020-08-05 06:59:10,2020
68,77,2020-08-05 04:08:38+00:00,0,False,True,0,True,0,True,7,77,active,8,2020-08-05 06:59:10,2020
69,78,2020-08-05 06:19:51+00:00,0,False,True,0,True,0,True,1,78,active,18,2020-08-05 06:59:10,2020
70,79,2020-08-05 03:39:22+00:00,0,False,True,0,True,0,True,4,79,active,15,2020-08-05 06:59:10,2020
71,80,2020-08-05 01:38:15+00:00,0,False,True,0,True,0,True,35,80,active,0,2020-08-05 06:59:10,2020
72,81,2020-08-05 05:38:11+00:00,0,False,True,0,True,0,True,7,81,active,12,2020-08-05 06:59:10,2020
73,82,2020-08-05 01:48:06+00:00,0,False,True,1,True,0,True,4,82,active,10,2020-08-05 06:59:10,2020
74,84,2020-08-05 06:46:00+00:00,0,False,True,0,True,0,True,7,84,active,8,2020-08-05 06:59:10,2020
75,85,2020-08-05 02:35:51+00:00,0,False,True,0,True,0,True,17,85,active,2,2020-08-05 06:59:10,2020
76,86,2020-08-05 04:43:12+00:00,0,False,True,0,True,0,True,13,86,active,6,2020-08-05 06:59:10,2020
77,87,2020-08-05 03:40:43+00:00,0,False,True,0,True,0,True,5,87,active,10,2020-08-05 06:59:10,2020
78,89,2020-08-05 02:42:39+00:00,0,False,True,0,True,0,True,1,89,active,18,2020-08-05 06:59:10,2020
79,90,2020-08-05 06:04:54+00:00,0,False,True,0,True,0,True,2,90,active,17,2020-08-05 06:59:10,2020
80,91,2020-08-05 03:06:04+00:00,0,False,True,0,True,0,True,15,91,active,4,2020-08-05 06:59:10,2020
81,92,2020-08-04 17:12:55+00:00,0,False,True,0,True,0,True,4,92,active,15,2020-08-05 06:59:10,2020
82,93,2020-08-04 21:18:51+00:00,0,False,True,1,True,0,True,3,93,active,11,2020-08-05 06:59:10,2020
83,94,2020-08-05 04:54:31+00:00,0,False,True,0,True,0,True,7,94,active,4,2020-08-05 06:59:10,2020
84,95,2020-08-05 04:30:46+00:00,0,False,True,0,True,0,True,4,95,active,11,2020-08-05 06:59:10,2020
85,96,2020-08-05 02:51:31+00:00,0,False,True,0,True,0,True,2,96,active,17,2020-08-05 06:59:10,2020
86,97,2020-08-05 03:51:42+00:00,0,False,True,0,True,0,True,6,97,active,13,2020-08-05 06:59:10,2020
87,98,2020-08-04 23:24:11+00:00,0,False,True,0,True,0,True,8,98,active,15,2020-08-05 06:59:10,2020
88,99,2020-08-05 04:38:02+00:00,0,False,True,0,True,0,True,8,99,active,7,2020-08-05 06:59:10,2020
89,100,2020-08-05 02:43:38+00:00,0,True,True,1,True,0,True,7,100,active,17,2020-08-05 06:59:10,2020
90,101,2020-08-05 00:32:54+00:00,0,False,True,0,True,0,True,0,101,active,15,2020-08-05 06:59:10,2020
91,102,2020-08-05 03:57:12+00:00,0,False,True,1,True,0,True,2,102,active,12,2020-08-05 06:59:10,2020
92,103,2020-08-05 03:20:14+00:00,0,False,True,1,True,0,True,8,103,active,6,2020-08-05 06:59:10,2020
93,104,2020-08-05 03:28:31+00:00,0,False,True,0,True,0,True,13,104,active,6,2020-08-05 06:59:10,2020
94,105,2020-08-05 02:38:52+00:00,0,False,True,1,True,0,True,11,105,active,7,2020-08-05 06:59:10,2020
95,106,2020-08-05 02:48:11+00:00,0,False,True,0,True,0,True,11,106,active,4,2020-08-05 06:59:10,2020
96,107,2020-08-05 01:10:45+00:00,0,False,True,0,True,0,True,19,107,active,0,2020-08-05 06:59:10,2020
97,108,2020-08-05 04:31:18+00:00,0,False,True,1,True,0,True,11,108,active,5,2020-08-05 06:59:10,2020
98,109,2020-08-05 05:14:10+00:00,0,False,True,1,True,0,True,24,109,active,10,2020-08-05 06:59:10,2020
99,110,2020-08-05 02:49:19+00:00,0,False,True,0,True,0,True,7,110,active,8,2020-08-05 06:59:10,2020
100,111,2020-08-05 02:50:17+00:00,0,False,True,0,True,0,True,11,111,active,4,2020-08-05 06:59:10,2020
101,112,2020-08-05 00:45:28+00:00,0,False,True,0,True,0,True,6,112,active,9,2020-08-05 06:59:10,2020
102,113,2020-08-04 23:32:16+00:00,0,False,True,1,True,0,True,0,113,active,14,2020-08-05 06:59:10,2020
103,114,2020-08-05 02:41:04+00:00,0,False,True,0,True,0,True,5,114,active,10,2020-08-05 06:59:10,2020
104,115,2020-08-05 05:41:10+00:00,0,False,True,0,True,0,True,1,115,active,18,2020-08-05 06:59:10,2020
105,116,2020-08-05 04:24:27+00:00,0,False,True,0,True,0,True,2,116,active,21,2020-08-05 06:59:10,2020
106,117,2020-08-05 03:33:14+00:00,0,False,True,0,True,0,True,11,117,active,8,2020-08-05 06:59:10,2020
107,118,2020-08-05 02:34:12+00:00,0,False,True,0,True,0,True,3,118,active,16,2020-08-05 06:59:10,2020
108,119,2020-08-05 03:34:53+00:00,0,False,True,1,True,0,True,14,119,active,0,2020-08-05 06:59:10,2020
109,120,2020-08-05 03:49:33+00:00,0,False,True,0,True,0,True,8,120,active,7,2020-08-05 06:59:10,2020
110,121,2020-08-05 05:06:55+00:00,0,False,True,0,True,0,True,14,121,active,3,2020-08-05 06:59:10,2020
111,122,2020-08-05 05:29:01+00:00,0,False,True,0,True,0,True,13,122,active,2,2020-08-05 06:59:10,2020
112,124,2020-08-04 21:00:19+00:00,0,False,True,0,True,0,True,14,124,active,1,2020-08-05 06:59:10,2020
113,125,2020-08-05 01:50:42+00:00,0,False,True,0,True,0,True,12,125,active,3,2020-08-05 06:59:10,2020
114,126,2020-08-05 04:28:16+00:00,0,False,True,1,True,0,True,13,126,active,1,2020-08-05 06:59:10,2020
115,128,2020-08-05 01:20:29+00:00,0,False,True,0,True,0,True,3,128,active,16,2020-08-05 06:59:10,2020
116,129,2020-08-04 22:37:04+00:00,0,False,True,0,True,0,True,2,129,active,17,2020-08-05 06:59:10,2020
117,130,2020-08-05 01:49:34+00:00,0,False,True,0,True,0,True,3,130,active,12,2020-08-05 06:59:10,2020
118,131,2020-08-05 04:53:57+00:00,0,False,True,0,True,0,True,3,131,active,15,2020-08-05 06:59:10,2020
119,133,2020-08-05 02:22:48+00:00,0,False,True,1,True,0,True,8,133,active,14,2020-08-05 06:59:10,2020
120,135,2020-08-05 00:23:42+00:00,0,False,True,0,True,0,True,6,135,active,11,2020-08-05 06:59:10,2020
121,136,2020-08-05 00:59:53+00:00,0,False,True,1,True,0,True,10,136,active,8,2020-08-05 06:59:10,2020
122,137,2020-08-05 01:17:55+00:00,0,False,True,0,True,0,True,8,137,active,7,2020-08-05 06:59:10,2020
123,138,2020-08-05 06:58:54+00:00,0,False,True,1,True,0,True,4,138,active,10,2020-08-05 06:59:10,2020
124,139,2020-08-05 04:43:22+00:00,0,False,True,0,True,0,True,7,139,active,12,2020-08-05 06:59:10,2020
125,140,2020-08-05 06:47:55+00:00,0,False,True,0,True,0,True,2,140,active,15,2020-08-05 06:59:10,2020
126,141,2020-08-05 03:15:11+00:00,0,False,True,2,True,0,True,10,141,active,3,2020-08-05 06:59:10,2020
127,142,2020-08-04 23:38:23+00:00,0,False,True,2,True,0,True,11,142,active,10,2020-08-05 06:59:10,2020
128,143,2020-08-05 06:21:19+00:00,0,False,True,1,True,0,True,7,143,active,15,2020-08-05 06:59:10,2020
129,144,2020-08-05 02:36:27+00:00,0,False,True,0,True,0,True,17,144,active,2,2020-08-05 06:59:10,2020
130,145,2020-08-05 02:56:12+00:00,0,False,True,0,True,0,True,0,145,active,19,2020-08-05 06:59:10,2020
131,146,2020-08-05 01:13:12+00:00,0,False,True,2,True,0,True,8,146,active,9,2020-08-05 06:59:10,2020
132,149,2020-08-05 03:06:52+00:00,0,True,True,0,True,0,True,14,149,active,4,2020-08-05 06:59:10,2020
