,num_docks_available,last_reported,legacy_id,station_id,is_renting,is_installed,is_returning,station_status,num_bikes_disabled,eightd_has_available_keys,num_bikes_available,num_docks_disabled,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
189,3,2020-08-07 21:24:18+00:00,217,217,True,True,True,active,1,False,15,0,0,,,2020-08-07 23:14:00,2020
190,1,2020-08-07 23:13:22+00:00,218,218,True,True,True,active,0,False,14,0,0,,,2020-08-07 23:14:00,2020
191,5,2020-08-07 21:08:13+00:00,219,219,True,True,True,active,0,False,10,0,0,,,2020-08-07 23:14:00,2020
192,13,2020-08-07 23:03:10+00:00,221,221,True,True,True,active,0,False,6,0,0,,,2020-08-07 23:14:00,2020
193,11,2020-08-07 22:48:24+00:00,222,222,True,True,True,active,0,True,3,0,0,,,2020-08-07 23:14:00,2020
194,3,2020-08-07 22:42:24+00:00,224,224,True,True,True,active,0,False,14,0,0,,,2020-08-07 23:14:00,2020
195,14,2020-08-07 23:12:09+00:00,225,225,True,True,True,active,0,False,5,0,0,,,2020-08-07 23:14:00,2020
196,14,2020-08-07 23:05:45+00:00,226,226,True,True,True,active,0,False,1,0,0,,,2020-08-07 23:14:00,2020
197,7,2020-08-07 23:11:59+00:00,227,227,True,True,True,active,0,False,12,0,0,,,2020-08-07 23:14:00,2020
198,15,2020-08-07 22:46:06+00:00,228,228,True,True,True,active,0,False,4,0,0,,,2020-08-07 23:14:00,2020
199,9,2020-08-07 18:06:05+00:00,232,232,True,True,True,active,0,False,2,0,0,,,2020-08-07 23:14:00,2020
200,3,2020-08-07 22:54:29+00:00,233,233,True,True,True,active,0,False,12,0,0,,,2020-08-07 23:14:00,2020
201,8,2020-08-07 22:11:22+00:00,234,234,True,True,True,active,0,False,7,0,0,,,2020-08-07 23:14:00,2020
202,13,2020-08-07 22:54:17+00:00,235,235,True,True,True,active,1,False,1,0,0,,,2020-08-07 23:14:00,2020
203,4,2020-08-07 23:13:29+00:00,236,236,True,True,True,active,0,False,11,0,0,,,2020-08-07 23:14:00,2020
204,7,2020-08-07 22:59:56+00:00,239,239,True,True,True,active,0,False,8,0,0,,,2020-08-07 23:14:00,2020
205,4,2020-08-07 18:29:21+00:00,255,255,True,True,True,active,0,False,11,0,0,,,2020-08-07 23:14:00,2020
206,7,2020-08-07 22:25:25+00:00,258,258,True,True,True,active,0,False,8,0,0,,,2020-08-07 23:14:00,2020
207,7,2020-08-07 23:08:02+00:00,259,259,True,True,True,active,0,False,8,0,0,,,2020-08-07 23:14:00,2020
208,0,2020-08-07 23:02:01+00:00,260,260,True,True,True,active,1,False,14,0,0,,,2020-08-07 23:14:00,2020
209,10,2020-08-07 23:02:56+00:00,271,271,True,True,True,active,0,False,5,0,0,,,2020-08-07 23:14:00,2020
210,15,2020-08-07 20:12:44+00:00,272,272,True,True,True,active,0,False,4,0,0,,,2020-08-07 23:14:00,2020
211,22,2020-08-07 22:26:55+00:00,273,273,True,True,True,active,1,False,17,0,0,,,2020-08-07 23:14:00,2020
212,7,2020-08-07 22:56:40+00:00,279,279,True,True,True,active,0,False,12,0,0,,,2020-08-07 23:14:00,2020
213,10,2020-08-07 21:26:55+00:00,280,280,True,True,True,active,0,False,9,0,0,,,2020-08-07 23:14:00,2020
214,8,2020-08-07 23:02:19+00:00,282,282,True,True,True,active,1,False,6,0,0,,,2020-08-07 23:14:00,2020
215,21,2020-08-07 23:08:57+00:00,296,296,True,True,True,active,1,False,1,0,0,,,2020-08-07 23:14:00,2020
216,7,2020-08-07 23:07:02+00:00,318,318,True,True,True,active,0,False,12,0,0,,,2020-08-07 23:14:00,2020
217,18,2020-08-07 23:09:06+00:00,319,319,True,True,True,active,0,False,7,0,0,,,2020-08-07 23:14:00,2020
218,15,2020-08-07 22:28:05+00:00,327,327,True,True,True,active,0,False,0,0,0,,,2020-08-07 23:14:00,2020
219,2,2020-08-07 23:13:12+00:00,328,328,True,True,True,active,0,False,13,0,0,,,2020-08-07 23:14:00,2020
220,13,2020-08-07 22:02:48+00:00,329,329,True,True,True,active,1,False,1,0,0,,,2020-08-07 23:14:00,2020
