,is_renting,is_returning,last_reported,num_bikes_disabled,eightd_has_available_keys,legacy_id,station_id,num_bikes_available,is_installed,num_docks_disabled,station_status,num_docks_available,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
0,True,True,2020-08-18 22:52:35+00:00,0,False,3,3,2,True,0,active,13,0,2020-08-18 22:59:20,2020
1,True,True,2020-08-18 22:45:38+00:00,0,False,4,4,10,True,0,active,9,0,2020-08-18 22:59:20,2020
2,True,True,2020-08-18 22:58:46+00:00,1,False,5,5,8,True,0,active,6,0,2020-08-18 22:59:20,2020
3,True,True,2020-08-18 22:59:06+00:00,2,False,6,6,1,True,0,active,12,0,2020-08-18 22:59:20,2020
4,True,True,2020-08-18 22:41:24+00:00,1,False,7,7,6,True,0,active,8,0,2020-08-18 22:59:20,2020
5,True,True,2020-08-18 22:51:16+00:00,4,False,8,8,1,True,0,active,14,0,2020-08-18 22:59:20,2020
6,True,True,2020-08-18 22:56:55+00:00,1,False,9,9,3,True,0,active,11,0,2020-08-18 22:59:20,2020
7,True,True,2020-08-18 22:57:31+00:00,0,False,10,10,0,True,0,active,11,0,2020-08-18 22:59:20,2020
8,True,True,2020-08-18 22:46:58+00:00,0,False,11,11,0,True,0,active,15,0,2020-08-18 22:59:20,2020
9,True,True,2020-08-18 22:58:29+00:00,0,False,12,12,5,True,0,active,13,0,2020-08-18 22:59:20,2020
10,True,True,2020-08-18 22:58:21+00:00,1,False,13,13,1,True,0,active,17,0,2020-08-18 22:59:20,2020
11,True,True,2020-08-18 22:29:39+00:00,0,False,14,14,0,True,0,active,25,0,2020-08-18 22:59:20,2020
12,True,True,2020-08-18 22:27:45+00:00,2,False,15,15,12,True,0,active,1,0,2020-08-18 22:59:20,2020
13,True,True,2020-08-18 22:40:18+00:00,1,True,16,16,11,True,0,active,7,0,2020-08-18 22:59:20,2020
14,True,True,2020-08-18 22:56:51+00:00,1,False,17,17,2,True,0,active,12,0,2020-08-18 22:59:20,2020
15,True,True,2020-08-18 22:47:58+00:00,0,False,19,19,6,True,0,active,9,0,2020-08-18 22:59:20,2020
16,True,True,2020-08-18 22:57:03+00:00,0,True,20,20,9,True,0,active,14,0,2020-08-18 22:59:20,2020
17,True,True,2020-08-18 22:57:59+00:00,0,True,21,21,4,True,0,active,14,0,2020-08-18 22:59:20,2020
18,True,True,2020-08-18 22:57:37+00:00,1,True,22,22,8,True,0,active,38,0,2020-08-18 22:59:20,2020
19,True,True,2020-08-18 22:49:38+00:00,0,False,23,23,3,True,0,active,18,0,2020-08-18 22:59:20,2020
20,True,True,2020-08-18 22:50:22+00:00,1,False,24,24,15,True,0,active,3,0,2020-08-18 22:59:20,2020
21,True,True,2020-08-18 22:58:25+00:00,0,False,25,25,14,True,0,active,1,0,2020-08-18 22:59:20,2020
22,True,True,2020-08-18 22:55:02+00:00,0,False,26,26,11,True,0,active,4,0,2020-08-18 22:59:20,2020
23,True,True,2020-08-18 22:53:45+00:00,0,False,27,27,17,True,0,active,6,0,2020-08-18 22:59:20,2020
24,True,True,2020-08-18 22:20:35+00:00,1,False,29,29,6,True,0,active,8,0,2020-08-18 22:59:20,2020
25,True,True,2020-08-18 22:40:57+00:00,0,False,30,30,0,True,0,active,15,0,2020-08-18 22:59:20,2020
26,True,True,2020-08-18 22:50:28+00:00,0,True,31,31,3,True,0,active,16,0,2020-08-18 22:59:20,2020
27,True,True,2020-08-18 22:59:11+00:00,2,False,32,32,7,True,0,active,6,0,2020-08-18 22:59:20,2020
28,True,True,2020-08-18 22:46:36+00:00,1,False,33,33,21,True,0,active,5,0,2020-08-18 22:59:20,2020
29,True,True,2020-08-18 22:56:44+00:00,0,False,35,35,4,True,0,active,19,0,2020-08-18 22:59:20,2020
30,True,True,2020-08-18 22:41:29+00:00,0,True,36,36,20,True,0,active,13,0,2020-08-18 22:59:20,2020
31,True,True,2020-08-18 22:28:52+00:00,0,True,37,37,15,True,0,active,0,0,2020-08-18 22:59:20,2020
32,True,True,2020-08-18 22:45:43+00:00,0,False,39,39,0,True,0,active,23,0,2020-08-18 22:59:20,2020
33,True,True,2020-08-18 22:57:36+00:00,1,False,40,40,13,True,0,active,5,0,2020-08-18 22:59:20,2020
34,True,True,2020-08-18 22:56:17+00:00,1,True,41,41,14,True,0,active,12,0,2020-08-18 22:59:20,2020
35,True,True,2020-08-18 22:59:07+00:00,0,False,42,42,11,True,0,active,12,0,2020-08-18 22:59:20,2020
36,True,True,2020-08-18 22:44:17+00:00,0,True,43,43,1,True,0,active,14,0,2020-08-18 22:59:20,2020
37,True,True,2020-08-18 22:54:07+00:00,0,False,44,44,13,True,0,active,10,0,2020-08-18 22:59:20,2020
38,True,True,2020-08-18 22:58:07+00:00,0,False,46,46,8,True,0,active,11,0,2020-08-18 22:59:20,2020
39,True,True,2020-08-18 22:54:12+00:00,0,True,47,47,18,True,0,active,1,0,2020-08-18 22:59:20,2020
40,True,True,2020-08-18 22:47:11+00:00,0,False,48,48,8,True,0,active,11,0,2020-08-18 22:59:20,2020
41,True,True,2020-08-18 22:47:54+00:00,0,False,49,49,10,True,0,active,8,0,2020-08-18 22:59:20,2020
42,True,True,2020-08-18 22:59:06+00:00,0,True,50,50,13,True,0,active,2,0,2020-08-18 22:59:20,2020
43,True,True,2020-08-18 22:00:01+00:00,0,False,51,51,0,True,0,active,15,0,2020-08-18 22:59:20,2020
44,True,True,2020-08-18 22:52:19+00:00,3,True,52,52,17,True,0,active,3,0,2020-08-18 22:59:20,2020
45,True,True,2020-08-18 22:57:39+00:00,3,False,53,53,8,True,0,active,8,0,2020-08-18 22:59:20,2020
46,True,True,2020-08-18 22:50:21+00:00,0,False,54,54,13,True,0,active,2,0,2020-08-18 22:59:20,2020
47,True,True,2020-08-18 22:46:50+00:00,0,False,55,55,1,True,0,active,14,0,2020-08-18 22:59:20,2020
48,True,True,2020-08-18 22:34:21+00:00,1,False,56,56,5,True,0,active,12,0,2020-08-18 22:59:20,2020
49,True,True,2020-08-18 22:53:12+00:00,0,True,57,57,1,True,0,active,13,0,2020-08-18 22:59:20,2020
50,True,True,2020-08-18 22:56:16+00:00,2,True,58,58,9,True,0,active,8,0,2020-08-18 22:59:20,2020
51,True,True,2020-08-18 22:50:24+00:00,0,True,59,59,3,True,0,active,16,0,2020-08-18 22:59:20,2020
52,True,True,2020-08-18 22:56:33+00:00,2,False,60,60,12,True,0,active,5,0,2020-08-18 22:59:20,2020
