,num_bikes_available,num_bikes_disabled,num_docks_disabled,is_renting,last_reported,num_docks_available,eightd_has_available_keys,is_returning,legacy_id,station_id,is_installed,num_ebikes_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,11,0,0,True,2020-08-20 22:31:15+00:00,4,False,True,3,3,True,0,active,,,2020-08-20 22:42:30,2020
1,11,0,0,True,2020-08-20 22:42:25+00:00,8,False,True,4,4,True,0,active,,,2020-08-20 22:42:30,2020
2,5,0,0,True,2020-08-20 22:40:48+00:00,10,False,True,5,5,True,0,active,,,2020-08-20 22:42:30,2020
3,2,0,0,True,2020-08-20 22:40:37+00:00,13,False,True,6,6,True,0,active,,,2020-08-20 22:42:30,2020
4,8,0,0,True,2020-08-20 22:30:00+00:00,7,False,True,7,7,True,0,active,,,2020-08-20 22:42:30,2020
5,9,0,0,True,2020-08-20 22:40:44+00:00,10,False,True,8,8,True,0,active,,,2020-08-20 22:42:30,2020
6,8,0,0,True,2020-08-20 22:34:19+00:00,7,False,True,9,9,True,0,active,,,2020-08-20 22:42:30,2020
7,2,0,0,True,2020-08-20 22:30:36+00:00,9,False,True,10,10,True,0,active,,,2020-08-20 22:42:30,2020
8,0,0,0,True,2020-08-20 22:17:51+00:00,15,False,True,11,11,True,0,active,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'off_dock_capacity': 50, 'valet_revision': 98, 'dock_blocked_count': 0, 'region': 'BOS', 'off_dock_count': 3}",2020-08-20 22:42:30,2020
9,14,2,0,True,2020-08-20 22:30:30+00:00,2,True,True,12,12,True,0,active,,,2020-08-20 22:42:30,2020
10,1,0,0,True,2020-08-20 22:36:00+00:00,18,False,True,13,13,True,0,active,,,2020-08-20 22:42:30,2020
11,3,0,0,True,2020-08-20 22:42:05+00:00,22,False,True,14,14,True,0,active,,,2020-08-20 22:42:30,2020
12,12,0,0,True,2020-08-20 22:36:05+00:00,3,False,True,15,15,True,0,active,,,2020-08-20 22:42:30,2020
13,9,0,0,True,2020-08-20 22:15:08+00:00,10,True,True,16,16,True,0,active,,,2020-08-20 22:42:30,2020
14,1,0,0,True,2020-08-20 22:30:23+00:00,14,False,True,17,17,True,0,active,,,2020-08-20 22:42:30,2020
15,4,0,0,True,2020-08-20 22:32:42+00:00,11,False,True,19,19,True,0,active,,,2020-08-20 22:42:30,2020
16,7,0,0,True,2020-08-20 22:37:35+00:00,16,True,True,20,20,True,0,active,,,2020-08-20 22:42:30,2020
17,14,0,0,True,2020-08-20 22:33:44+00:00,4,True,True,21,21,True,0,active,,,2020-08-20 22:42:30,2020
18,8,0,0,True,2020-08-20 22:21:23+00:00,39,True,True,22,22,True,0,active,,,2020-08-20 22:42:30,2020
19,3,0,0,True,2020-08-20 22:28:39+00:00,18,False,True,23,23,True,0,active,,,2020-08-20 22:42:30,2020
20,15,1,0,True,2020-08-20 22:40:53+00:00,3,False,True,24,24,True,0,active,,,2020-08-20 22:42:30,2020
21,4,1,0,True,2020-08-20 22:37:30+00:00,10,False,True,25,25,True,0,active,,,2020-08-20 22:42:30,2020
22,9,0,0,True,2020-08-20 22:41:36+00:00,6,False,True,26,26,True,0,active,,,2020-08-20 22:42:30,2020
23,4,4,0,True,2020-08-20 22:34:28+00:00,15,False,True,27,27,True,0,active,,,2020-08-20 22:42:30,2020
24,1,1,0,True,2020-08-20 22:21:51+00:00,13,False,True,29,29,True,0,active,,,2020-08-20 22:42:30,2020
25,0,0,0,True,2020-08-20 22:30:59+00:00,15,False,True,30,30,True,0,active,,,2020-08-20 22:42:30,2020
26,8,0,0,True,2020-08-20 22:34:23+00:00,11,True,True,31,31,True,0,active,,,2020-08-20 22:42:30,2020
