,num_bikes_available,is_installed,last_reported,station_id,eightd_has_available_keys,station_status,num_docks_available,num_ebikes_available,num_bikes_disabled,is_returning,legacy_id,is_renting,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,11,True,2020-08-04 21:07:36+00:00,49,False,active,6,0,1,True,49,True,0,,,2020-08-04 22:38:55,2020
42,8,True,2020-08-04 22:37:06+00:00,50,True,active,5,0,2,True,50,True,0,,,2020-08-04 22:38:55,2020
43,5,True,2020-08-04 22:34:46+00:00,51,False,active,9,0,1,True,51,True,0,,,2020-08-04 22:38:55,2020
44,16,True,2020-08-04 22:30:23+00:00,52,True,active,6,0,1,True,52,True,0,,,2020-08-04 22:38:55,2020
45,15,True,2020-08-04 22:08:24+00:00,53,False,active,4,0,0,True,53,True,0,,,2020-08-04 22:38:55,2020
46,10,True,2020-08-04 22:05:06+00:00,54,False,active,4,0,1,True,54,True,0,,,2020-08-04 22:38:55,2020
47,9,True,2020-08-04 22:33:35+00:00,55,False,active,6,0,0,True,55,True,0,,,2020-08-04 22:38:55,2020
48,7,True,2020-08-04 20:58:14+00:00,56,True,active,11,0,0,True,56,True,0,,,2020-08-04 22:38:55,2020
49,1,True,2020-08-04 22:37:50+00:00,57,True,active,12,0,1,True,57,True,0,,,2020-08-04 22:38:55,2020
50,7,True,2020-08-04 22:38:43+00:00,58,True,active,11,0,1,True,58,True,0,,,2020-08-04 22:38:55,2020
51,5,True,2020-08-04 22:28:35+00:00,59,True,active,13,0,1,True,59,True,0,,,2020-08-04 22:38:55,2020
52,19,True,2020-08-04 22:35:44+00:00,60,False,active,0,0,0,True,60,True,0,,,2020-08-04 22:38:55,2020
53,4,True,2020-08-04 22:18:47+00:00,61,False,active,15,0,0,True,61,True,0,,,2020-08-04 22:38:55,2020
54,6,True,2020-08-04 19:44:51+00:00,63,False,active,9,0,0,True,63,True,0,,,2020-08-04 22:38:55,2020
55,10,True,2020-08-04 22:37:19+00:00,64,False,active,9,0,0,True,64,True,0,,,2020-08-04 22:38:55,2020
56,6,True,2020-08-04 16:26:16+00:00,65,False,active,16,0,1,True,65,True,0,,,2020-08-04 22:38:55,2020
57,4,True,2020-08-04 22:37:56+00:00,66,False,active,11,0,0,True,66,True,0,,,2020-08-04 22:38:55,2020
58,10,True,2020-08-04 22:33:46+00:00,67,True,active,17,0,0,True,67,True,0,,,2020-08-04 22:38:55,2020
59,4,True,2020-08-04 22:33:13+00:00,68,True,active,14,0,1,True,68,True,0,,,2020-08-04 22:38:55,2020
60,10,True,2020-08-04 22:38:29+00:00,69,True,active,9,0,0,True,69,True,0,,,2020-08-04 22:38:55,2020
61,18,True,2020-08-04 21:23:14+00:00,70,False,active,5,0,0,True,70,True,0,,,2020-08-04 22:38:55,2020
62,20,True,2020-08-04 22:32:24+00:00,71,False,active,3,0,0,True,71,True,0,,,2020-08-04 22:38:55,2020
