,num_bikes_available,is_installed,legacy_id,station_status,eightd_has_available_keys,num_docks_available,num_ebikes_available,is_renting,is_returning,last_reported,station_id,num_docks_disabled,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,9,True,3,active,True,6,0,True,True,2020-08-05 13:37:07+00:00,3,0,0,,,2020-08-05 13:38:55,2020
1,6,True,4,active,False,13,0,True,True,2020-08-05 13:38:46+00:00,4,0,0,,,2020-08-05 13:38:55,2020
2,7,True,5,active,False,8,0,True,True,2020-08-05 13:38:21+00:00,5,0,0,,,2020-08-05 13:38:55,2020
3,13,True,6,active,False,2,0,True,True,2020-08-05 13:28:00+00:00,6,0,0,,,2020-08-05 13:38:55,2020
4,11,True,7,active,False,4,0,True,True,2020-08-05 13:32:18+00:00,7,0,0,,,2020-08-05 13:38:55,2020
5,9,True,8,active,False,10,0,True,True,2020-08-05 13:38:27+00:00,8,0,0,,,2020-08-05 13:38:55,2020
6,6,True,9,active,False,9,0,True,True,2020-08-05 13:26:32+00:00,9,0,0,,,2020-08-05 13:38:55,2020
7,0,True,10,active,False,11,0,True,True,2020-08-05 13:14:58+00:00,10,0,0,,,2020-08-05 13:38:55,2020
8,7,True,11,active,False,8,0,True,True,2020-08-05 13:38:29+00:00,11,0,0,"{'off_dock_count': 73, 'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 50, 'region': 'BOS', 'valet_revision': 79, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-05 13:38:55,2020
9,6,True,12,active,True,12,0,True,True,2020-08-05 13:33:49+00:00,12,0,0,,,2020-08-05 13:38:55,2020
10,13,True,13,active,False,6,0,True,True,2020-08-05 13:22:18+00:00,13,0,0,,,2020-08-05 13:38:55,2020
11,12,True,14,active,False,13,0,True,True,2020-08-05 13:17:21+00:00,14,0,0,,,2020-08-05 13:38:55,2020
12,7,True,15,active,False,8,0,True,True,2020-08-05 13:18:48+00:00,15,0,0,,,2020-08-05 13:38:55,2020
13,9,True,16,active,True,10,0,True,True,2020-08-05 13:36:29+00:00,16,0,0,,,2020-08-05 13:38:55,2020
14,3,True,17,active,False,12,0,True,True,2020-08-05 13:17:01+00:00,17,0,0,,,2020-08-05 13:38:55,2020
15,7,True,19,active,False,8,0,True,True,2020-08-05 13:30:11+00:00,19,0,0,,,2020-08-05 13:38:55,2020
16,14,True,20,active,True,9,0,True,True,2020-08-05 13:27:10+00:00,20,0,0,,,2020-08-05 13:38:55,2020
17,2,True,21,active,True,15,0,True,True,2020-08-05 13:38:31+00:00,21,0,1,,,2020-08-05 13:38:55,2020
18,13,True,22,active,True,32,0,True,True,2020-08-05 13:24:24+00:00,22,0,2,,,2020-08-05 13:38:55,2020
19,8,True,23,active,True,13,0,True,True,2020-08-05 13:34:58+00:00,23,0,0,,,2020-08-05 13:38:55,2020
20,5,True,24,active,False,14,0,True,True,2020-08-05 12:56:25+00:00,24,0,0,,,2020-08-05 13:38:55,2020
21,3,True,25,active,False,12,0,True,True,2020-08-05 13:14:53+00:00,25,0,0,,,2020-08-05 13:38:55,2020
22,4,True,26,active,False,10,0,True,True,2020-08-05 13:21:53+00:00,26,0,1,,,2020-08-05 13:38:55,2020
23,7,True,27,active,False,16,0,True,True,2020-08-05 13:32:50+00:00,27,0,0,,,2020-08-05 13:38:55,2020
24,13,True,29,active,False,2,0,True,True,2020-08-05 12:44:55+00:00,29,0,0,,,2020-08-05 13:38:55,2020
25,6,True,30,active,False,9,0,True,True,2020-08-05 12:35:59+00:00,30,0,0,,,2020-08-05 13:38:55,2020
26,6,True,31,active,True,13,0,True,True,2020-08-05 13:10:50+00:00,31,0,0,,,2020-08-05 13:38:55,2020
27,9,True,32,active,False,6,0,True,True,2020-08-05 13:34:51+00:00,32,0,0,,,2020-08-05 13:38:55,2020
28,9,True,33,active,False,18,0,True,True,2020-08-05 13:02:32+00:00,33,0,0,,,2020-08-05 13:38:55,2020
29,17,True,35,active,False,6,0,True,True,2020-08-05 13:37:54+00:00,35,0,0,,,2020-08-05 13:38:55,2020
30,16,True,36,active,True,17,0,True,True,2020-08-05 13:01:34+00:00,36,0,0,,,2020-08-05 13:38:55,2020
31,10,True,37,active,True,5,0,True,True,2020-08-05 13:29:24+00:00,37,0,0,,,2020-08-05 13:38:55,2020
32,12,True,39,active,False,11,0,True,True,2020-08-05 13:31:45+00:00,39,0,0,,,2020-08-05 13:38:55,2020
33,9,True,40,active,False,9,0,True,True,2020-08-05 13:33:37+00:00,40,0,1,,,2020-08-05 13:38:55,2020
34,3,True,41,active,True,23,0,True,True,2020-08-05 13:37:39+00:00,41,1,0,,,2020-08-05 13:38:55,2020
35,3,True,42,active,False,20,0,True,True,2020-08-05 13:36:46+00:00,42,0,0,,,2020-08-05 13:38:55,2020
36,10,True,43,active,True,5,0,True,True,2020-08-05 13:26:54+00:00,43,0,0,,,2020-08-05 13:38:55,2020
37,18,True,44,active,False,5,0,True,True,2020-08-05 13:26:18+00:00,44,0,0,,,2020-08-05 13:38:55,2020
38,3,True,46,active,False,16,0,True,True,2020-08-05 13:30:17+00:00,46,0,0,,,2020-08-05 13:38:55,2020
39,0,True,47,active,True,19,0,True,True,2020-08-05 13:31:43+00:00,47,0,0,,,2020-08-05 13:38:55,2020
40,14,True,48,active,False,5,0,True,True,2020-08-05 13:27:26+00:00,48,0,0,,,2020-08-05 13:38:55,2020
41,15,True,49,active,False,2,0,True,True,2020-08-05 13:12:05+00:00,49,0,1,,,2020-08-05 13:38:55,2020
42,12,True,50,active,True,2,0,True,True,2020-08-05 13:27:05+00:00,50,0,1,,,2020-08-05 13:38:55,2020
43,5,True,51,active,False,10,0,True,True,2020-08-05 13:37:51+00:00,51,0,0,,,2020-08-05 13:38:55,2020
44,6,True,52,active,True,17,0,True,True,2020-08-05 13:34:23+00:00,52,0,0,,,2020-08-05 13:38:55,2020
45,10,True,53,active,False,9,0,True,True,2020-08-05 13:32:02+00:00,53,0,0,,,2020-08-05 13:38:55,2020
46,14,True,54,active,False,1,0,True,True,2020-08-05 13:38:26+00:00,54,0,0,,,2020-08-05 13:38:55,2020
47,13,True,55,active,False,2,0,True,True,2020-08-05 13:08:04+00:00,55,0,0,,,2020-08-05 13:38:55,2020
48,5,True,56,active,True,13,0,True,True,2020-08-05 12:28:11+00:00,56,0,0,,,2020-08-05 13:38:55,2020
49,2,True,57,active,True,11,0,True,True,2020-08-05 13:06:19+00:00,57,0,1,,,2020-08-05 13:38:55,2020
50,3,True,58,active,True,16,0,True,True,2020-08-05 13:20:52+00:00,58,0,0,,,2020-08-05 13:38:55,2020
51,10,True,59,active,True,9,0,True,True,2020-08-05 13:34:52+00:00,59,0,0,,,2020-08-05 13:38:55,2020
52,3,True,60,active,False,16,0,True,True,2020-08-05 13:36:06+00:00,60,0,0,"{'off_dock_count': 19, 'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 40, 'region': 'BOS', 'valet_revision': 67, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-08-05 13:38:55,2020
53,11,True,61,active,False,8,0,True,True,2020-08-05 13:36:39+00:00,61,0,0,,,2020-08-05 13:38:55,2020
54,4,True,63,active,False,11,0,True,True,2020-08-05 12:41:35+00:00,63,0,0,,,2020-08-05 13:38:55,2020
55,12,True,64,active,False,7,0,True,True,2020-08-05 13:04:33+00:00,64,0,0,,,2020-08-05 13:38:55,2020
56,4,True,65,active,False,18,0,True,True,2020-08-05 12:54:48+00:00,65,0,1,,,2020-08-05 13:38:55,2020
57,0,True,66,active,False,15,0,True,True,2020-08-05 13:26:53+00:00,66,0,0,,,2020-08-05 13:38:55,2020
58,9,True,67,active,True,18,0,True,True,2020-08-05 13:19:45+00:00,67,0,0,,,2020-08-05 13:38:55,2020
59,7,True,68,active,True,11,0,True,True,2020-08-05 13:36:14+00:00,68,0,1,,,2020-08-05 13:38:55,2020
60,11,True,69,active,True,8,0,True,True,2020-08-05 12:52:35+00:00,69,0,0,,,2020-08-05 13:38:55,2020
61,14,True,70,active,False,9,0,True,True,2020-08-05 12:57:15+00:00,70,0,0,,,2020-08-05 13:38:55,2020
62,14,True,71,active,False,9,0,True,True,2020-08-05 13:36:21+00:00,71,0,0,,,2020-08-05 13:38:55,2020
63,7,True,72,active,False,16,0,True,True,2020-08-05 13:13:45+00:00,72,0,0,,,2020-08-05 13:38:55,2020
64,7,True,73,active,False,8,0,True,True,2020-08-05 13:01:30+00:00,73,0,0,,,2020-08-05 13:38:55,2020
65,12,True,74,active,True,7,0,True,True,2020-08-05 13:34:04+00:00,74,0,0,,,2020-08-05 13:38:55,2020
66,1,True,75,active,False,14,0,True,True,2020-08-05 12:46:40+00:00,75,0,0,,,2020-08-05 13:38:55,2020
67,4,True,76,active,False,13,0,True,True,2020-08-05 13:36:40+00:00,76,0,0,,,2020-08-05 13:38:55,2020
68,2,True,77,active,False,13,0,True,True,2020-08-05 12:40:13+00:00,77,0,0,,,2020-08-05 13:38:55,2020
69,9,True,78,active,False,9,0,True,True,2020-08-05 12:59:44+00:00,78,0,1,,,2020-08-05 13:38:55,2020
70,9,True,79,active,False,10,0,True,True,2020-08-05 13:37:33+00:00,79,0,0,,,2020-08-05 13:38:55,2020
71,22,True,80,active,False,13,0,True,True,2020-08-05 13:34:56+00:00,80,0,0,,,2020-08-05 13:38:55,2020
72,8,True,81,active,False,11,0,True,True,2020-08-05 13:08:44+00:00,81,0,0,,,2020-08-05 13:38:55,2020
73,5,True,82,active,False,9,0,True,True,2020-08-05 13:26:35+00:00,82,0,1,,,2020-08-05 13:38:55,2020
74,10,True,84,active,False,5,0,True,True,2020-08-05 13:37:25+00:00,84,0,0,,,2020-08-05 13:38:55,2020
75,14,True,85,active,False,5,0,True,True,2020-08-05 13:26:17+00:00,85,0,0,,,2020-08-05 13:38:55,2020
76,3,True,86,active,False,16,0,True,True,2020-08-05 13:22:40+00:00,86,0,0,,,2020-08-05 13:38:55,2020
77,0,True,87,active,False,15,0,True,True,2020-08-05 13:19:51+00:00,87,0,0,,,2020-08-05 13:38:55,2020
78,14,True,89,active,False,5,0,True,True,2020-08-05 13:28:43+00:00,89,0,0,,,2020-08-05 13:38:55,2020
79,13,True,90,active,False,6,0,True,True,2020-08-05 13:05:07+00:00,90,0,0,,,2020-08-05 13:38:55,2020
80,10,True,91,active,False,8,0,True,True,2020-08-05 13:29:30+00:00,91,0,1,,,2020-08-05 13:38:55,2020
81,16,True,92,active,False,3,0,True,True,2020-08-05 13:10:20+00:00,92,0,0,,,2020-08-05 13:38:55,2020
82,10,True,93,active,False,3,0,True,True,2020-08-05 13:02:35+00:00,93,0,2,,,2020-08-05 13:38:55,2020
83,4,True,94,active,False,7,0,True,True,2020-08-05 13:16:06+00:00,94,0,0,,,2020-08-05 13:38:55,2020
84,8,True,95,active,False,7,0,True,True,2020-08-05 13:29:43+00:00,95,0,0,,,2020-08-05 13:38:55,2020
85,7,True,96,active,False,12,0,True,True,2020-08-05 13:23:37+00:00,96,0,0,,,2020-08-05 13:38:55,2020
86,13,True,97,active,False,6,0,True,True,2020-08-05 13:38:41+00:00,97,0,0,,,2020-08-05 13:38:55,2020
87,4,True,98,active,False,18,0,True,True,2020-08-05 12:57:52+00:00,98,0,1,,,2020-08-05 13:38:55,2020
88,10,True,99,active,False,5,0,True,True,2020-08-05 13:13:11+00:00,99,0,0,,,2020-08-05 13:38:55,2020
89,16,True,100,active,True,8,0,True,True,2020-08-05 13:37:02+00:00,100,0,1,,,2020-08-05 13:38:55,2020
90,13,True,101,active,False,2,0,True,True,2020-08-05 13:27:17+00:00,101,0,0,,,2020-08-05 13:38:55,2020
91,13,True,102,active,False,2,0,True,True,2020-08-05 12:45:07+00:00,102,0,0,,,2020-08-05 13:38:55,2020
92,0,True,103,active,False,15,0,True,True,2020-08-05 12:25:47+00:00,103,0,0,,,2020-08-05 13:38:55,2020
93,0,True,104,active,False,18,0,True,True,2020-08-05 12:41:10+00:00,104,0,1,,,2020-08-05 13:38:55,2020
94,7,True,105,active,False,11,0,True,True,2020-08-05 13:38:19+00:00,105,0,1,,,2020-08-05 13:38:55,2020
95,3,True,106,active,False,12,0,True,True,2020-08-05 10:38:01+00:00,106,0,0,,,2020-08-05 13:38:55,2020
96,18,True,107,active,False,1,0,True,True,2020-08-05 13:26:33+00:00,107,0,0,,,2020-08-05 13:38:55,2020
97,8,True,108,active,False,8,0,True,True,2020-08-05 13:29:56+00:00,108,0,1,,,2020-08-05 13:38:55,2020
98,10,True,109,active,False,24,0,True,True,2020-08-05 08:57:44+00:00,109,0,1,,,2020-08-05 13:38:55,2020
99,11,True,110,active,False,4,0,True,True,2020-08-05 13:20:00+00:00,110,0,0,,,2020-08-05 13:38:55,2020
100,4,True,111,active,False,11,0,True,True,2020-08-05 08:47:21+00:00,111,0,0,,,2020-08-05 13:38:55,2020
101,8,True,112,active,False,7,0,True,True,2020-08-05 13:32:00+00:00,112,0,0,,,2020-08-05 13:38:55,2020
102,9,True,113,active,False,5,0,True,True,2020-08-05 12:55:09+00:00,113,0,1,,,2020-08-05 13:38:55,2020
103,9,True,114,active,False,6,0,True,True,2020-08-05 12:18:20+00:00,114,0,0,,,2020-08-05 13:38:55,2020
104,18,True,115,active,False,1,0,True,True,2020-08-05 13:02:42+00:00,115,0,0,,,2020-08-05 13:38:55,2020
105,16,True,116,active,False,7,0,True,True,2020-08-05 13:36:49+00:00,116,0,0,,,2020-08-05 13:38:55,2020
106,11,True,117,active,False,8,0,True,True,2020-08-05 12:24:48+00:00,117,0,0,,,2020-08-05 13:38:55,2020
107,15,True,118,active,False,4,0,True,True,2020-08-05 13:17:04+00:00,118,0,0,,,2020-08-05 13:38:55,2020
108,1,True,119,active,False,14,0,True,True,2020-08-05 13:10:11+00:00,119,0,0,,,2020-08-05 13:38:55,2020
109,2,True,120,active,False,12,0,True,True,2020-08-05 13:30:39+00:00,120,0,1,,,2020-08-05 13:38:55,2020
110,0,True,121,active,False,17,0,True,True,2020-08-05 11:39:15+00:00,121,0,0,,,2020-08-05 13:38:55,2020
111,0,True,122,active,False,15,0,True,True,2020-08-05 11:51:38+00:00,122,0,0,,,2020-08-05 13:38:55,2020
112,2,True,124,active,False,13,0,True,True,2020-08-05 13:31:26+00:00,124,0,0,,,2020-08-05 13:38:55,2020
113,0,True,125,active,False,13,0,True,True,2020-08-05 12:18:37+00:00,125,0,2,,,2020-08-05 13:38:55,2020
114,1,True,126,active,False,14,0,True,True,2020-08-05 13:16:01+00:00,126,0,0,,,2020-08-05 13:38:55,2020
115,13,True,128,active,False,6,0,True,True,2020-08-05 13:10:45+00:00,128,0,0,,,2020-08-05 13:38:55,2020
116,14,True,129,active,False,5,0,True,True,2020-08-05 13:27:30+00:00,129,0,0,,,2020-08-05 13:38:55,2020
117,11,True,130,active,False,4,0,True,True,2020-08-05 10:24:41+00:00,130,0,0,,,2020-08-05 13:38:55,2020
118,7,True,131,active,False,11,0,True,True,2020-08-05 13:29:04+00:00,131,0,0,,,2020-08-05 13:38:55,2020
119,9,True,133,active,False,13,0,True,True,2020-08-05 13:35:33+00:00,133,0,1,,,2020-08-05 13:38:55,2020
120,13,True,135,active,False,4,0,True,True,2020-08-05 10:57:40+00:00,135,0,0,,,2020-08-05 13:38:55,2020
121,11,True,136,active,False,7,0,True,True,2020-08-05 13:20:48+00:00,136,0,1,,,2020-08-05 13:38:55,2020
122,3,True,137,active,False,12,0,True,True,2020-08-05 13:04:30+00:00,137,0,0,,,2020-08-05 13:38:55,2020
123,11,True,138,active,False,3,0,True,True,2020-08-05 11:26:51+00:00,138,0,1,,,2020-08-05 13:38:55,2020
124,2,True,139,active,False,17,0,True,True,2020-08-05 13:30:24+00:00,139,0,0,,,2020-08-05 13:38:55,2020
125,16,True,140,active,False,1,0,True,True,2020-08-05 12:37:15+00:00,140,0,0,,,2020-08-05 13:38:55,2020
126,6,True,141,active,False,7,0,True,True,2020-08-05 13:13:04+00:00,141,0,2,,,2020-08-05 13:38:55,2020
127,12,True,142,active,False,9,0,True,True,2020-08-05 13:11:57+00:00,142,0,2,,,2020-08-05 13:38:55,2020
128,14,True,143,active,False,8,0,True,True,2020-08-05 13:04:35+00:00,143,0,1,,,2020-08-05 13:38:55,2020
129,3,True,144,active,False,16,0,True,True,2020-08-05 13:25:54+00:00,144,0,0,,,2020-08-05 13:38:55,2020
130,14,True,145,active,False,5,0,True,True,2020-08-05 13:38:35+00:00,145,0,0,,,2020-08-05 13:38:55,2020
131,8,True,146,active,False,9,0,True,True,2020-08-05 13:35:38+00:00,146,0,2,,,2020-08-05 13:38:55,2020
132,2,True,149,active,True,15,0,True,True,2020-08-05 13:15:20+00:00,149,0,1,,,2020-08-05 13:38:55,2020
133,1,True,150,active,False,18,0,True,True,2020-08-05 13:23:37+00:00,150,0,0,,,2020-08-05 13:38:55,2020
134,10,True,151,active,False,9,0,True,True,2020-08-05 13:26:59+00:00,151,0,0,,,2020-08-05 13:38:55,2020
