,is_returning,num_bikes_available,station_id,num_bikes_disabled,is_installed,num_docks_disabled,station_status,is_renting,num_docks_available,legacy_id,last_reported,eightd_has_available_keys,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
52,True,0,60,0,True,0,active,True,19,60,2020-08-14 01:31:39+00:00,False,0,2020-08-14 01:33:35,2020
53,True,5,61,0,True,0,active,True,14,61,2020-08-14 01:07:03+00:00,False,0,2020-08-14 01:33:35,2020
54,True,7,63,0,True,0,active,True,8,63,2020-08-14 01:28:32+00:00,False,0,2020-08-14 01:33:35,2020
55,True,12,64,2,True,0,active,True,5,64,2020-08-14 01:28:07+00:00,False,0,2020-08-14 01:33:35,2020
56,True,4,65,1,True,0,active,True,18,65,2020-08-14 01:32:13+00:00,False,0,2020-08-14 01:33:35,2020
57,True,8,66,2,True,0,active,True,5,66,2020-08-14 01:30:50+00:00,False,0,2020-08-14 01:33:35,2020
58,True,0,67,0,True,0,active,True,27,67,2020-08-14 01:31:58+00:00,True,0,2020-08-14 01:33:35,2020
59,True,11,68,1,True,0,active,True,7,68,2020-08-14 01:32:13+00:00,True,0,2020-08-14 01:33:35,2020
60,True,14,69,1,True,0,active,True,4,69,2020-08-14 01:16:58+00:00,True,0,2020-08-14 01:33:35,2020
61,True,19,70,0,True,0,active,True,4,70,2020-08-14 00:50:39+00:00,False,0,2020-08-14 01:33:35,2020
62,True,15,71,1,True,0,active,True,7,71,2020-08-14 00:50:40+00:00,False,0,2020-08-14 01:33:35,2020
63,True,2,72,0,True,0,active,True,21,72,2020-08-14 01:28:17+00:00,False,0,2020-08-14 01:33:35,2020
64,True,1,73,1,True,0,active,True,13,73,2020-08-14 01:04:16+00:00,False,0,2020-08-14 01:33:35,2020
65,True,16,74,1,True,0,active,True,2,74,2020-08-14 01:20:21+00:00,True,0,2020-08-14 01:33:35,2020
66,True,4,75,0,True,0,active,True,11,75,2020-08-14 00:59:16+00:00,False,0,2020-08-14 01:33:35,2020
67,True,7,76,1,True,0,active,True,9,76,2020-08-14 01:27:15+00:00,False,0,2020-08-14 01:33:35,2020
68,True,8,77,1,True,0,active,True,6,77,2020-08-14 01:10:13+00:00,False,0,2020-08-14 01:33:35,2020
69,True,18,78,0,True,0,active,True,1,78,2020-08-14 01:26:33+00:00,False,0,2020-08-14 01:33:35,2020
70,True,12,79,5,True,0,active,True,2,79,2020-08-14 01:33:32+00:00,False,0,2020-08-14 01:33:35,2020
71,True,12,80,1,True,0,active,True,22,80,2020-08-14 01:24:47+00:00,False,0,2020-08-14 01:33:35,2020
72,True,11,81,2,True,0,active,True,6,81,2020-08-14 01:08:27+00:00,False,0,2020-08-14 01:33:35,2020
73,True,1,82,0,True,0,active,True,14,82,2020-08-14 00:12:20+00:00,False,0,2020-08-14 01:33:35,2020
74,True,4,84,0,True,0,active,True,11,84,2020-08-14 00:54:47+00:00,False,0,2020-08-14 01:33:35,2020
75,True,1,85,0,True,0,active,True,18,85,2020-08-14 00:16:27+00:00,False,0,2020-08-14 01:33:35,2020
76,True,16,86,0,True,0,active,True,3,86,2020-08-14 01:21:29+00:00,False,0,2020-08-14 01:33:35,2020
77,True,15,87,0,True,0,active,True,0,87,2020-08-14 00:45:21+00:00,False,0,2020-08-14 01:33:35,2020
78,True,12,89,0,True,0,active,True,7,89,2020-08-14 01:09:36+00:00,False,0,2020-08-14 01:33:35,2020
79,True,16,90,1,True,0,active,True,2,90,2020-08-14 01:14:38+00:00,False,0,2020-08-14 01:33:35,2020
80,True,2,91,0,True,0,active,True,17,91,2020-08-14 01:24:39+00:00,False,0,2020-08-14 01:33:35,2020
81,True,10,92,0,True,0,active,True,9,92,2020-08-14 00:17:58+00:00,False,0,2020-08-14 01:33:35,2020
82,True,14,93,0,True,0,active,True,1,93,2020-08-14 00:45:30+00:00,False,0,2020-08-14 01:33:35,2020
83,True,5,94,0,True,0,active,True,6,94,2020-08-14 01:02:51+00:00,False,0,2020-08-14 01:33:35,2020
84,True,8,95,1,True,0,active,True,6,95,2020-08-14 01:00:21+00:00,False,0,2020-08-14 01:33:35,2020
85,True,12,96,1,True,0,active,True,6,96,2020-08-14 01:18:27+00:00,False,0,2020-08-14 01:33:35,2020
86,True,9,97,1,True,0,active,True,9,97,2020-08-14 01:16:33+00:00,False,0,2020-08-14 01:33:35,2020
87,True,10,98,0,True,0,active,True,13,98,2020-08-14 01:32:33+00:00,False,0,2020-08-14 01:33:35,2020
88,True,13,99,0,True,0,active,True,2,99,2020-08-14 01:31:41+00:00,False,0,2020-08-14 01:33:35,2020
89,True,21,100,2,True,0,active,True,2,100,2020-08-14 01:26:16+00:00,True,0,2020-08-14 01:33:35,2020
90,True,15,101,0,True,0,active,True,0,101,2020-08-14 00:15:33+00:00,False,0,2020-08-14 01:33:35,2020
91,True,10,102,1,True,0,active,True,4,102,2020-08-14 01:33:32+00:00,False,0,2020-08-14 01:33:35,2020
92,True,3,103,0,True,0,active,True,12,103,2020-08-14 01:10:50+00:00,False,0,2020-08-14 01:33:35,2020
93,True,9,104,0,True,0,active,True,10,104,2020-08-14 00:43:34+00:00,False,0,2020-08-14 01:33:35,2020
94,True,6,105,0,True,0,active,True,13,105,2020-08-14 01:20:28+00:00,False,0,2020-08-14 01:33:35,2020
95,True,3,106,1,True,0,active,True,11,106,2020-08-14 01:23:23+00:00,False,0,2020-08-14 01:33:35,2020
96,True,0,107,0,True,0,active,True,19,107,2020-08-14 00:53:06+00:00,False,0,2020-08-14 01:33:35,2020
97,True,5,108,0,True,0,active,True,12,108,2020-08-14 01:19:55+00:00,False,0,2020-08-14 01:33:35,2020
98,True,0,109,0,True,0,active,True,35,109,2020-08-13 22:42:01+00:00,False,0,2020-08-14 01:33:35,2020
99,True,3,110,0,True,0,active,True,12,110,2020-08-14 01:06:58+00:00,False,0,2020-08-14 01:33:35,2020
100,True,7,111,0,True,0,active,True,8,111,2020-08-13 23:56:44+00:00,False,0,2020-08-14 01:33:35,2020
101,True,10,112,0,True,0,active,True,5,112,2020-08-13 23:03:36+00:00,False,0,2020-08-14 01:33:35,2020
102,True,9,113,0,True,0,active,True,6,113,2020-08-14 00:13:22+00:00,False,0,2020-08-14 01:33:35,2020
103,True,3,114,1,True,0,active,True,11,114,2020-08-14 01:31:14+00:00,False,0,2020-08-14 01:33:35,2020
104,True,11,115,3,True,0,active,True,5,115,2020-08-14 01:22:36+00:00,False,0,2020-08-14 01:33:35,2020
105,True,15,116,0,True,0,active,True,8,116,2020-08-14 01:18:18+00:00,False,0,2020-08-14 01:33:35,2020
106,True,3,117,0,True,0,active,True,16,117,2020-08-14 01:26:43+00:00,False,0,2020-08-14 01:33:35,2020
107,True,16,118,1,True,0,active,True,2,118,2020-08-14 01:28:07+00:00,False,0,2020-08-14 01:33:35,2020
108,True,13,119,0,True,0,active,True,2,119,2020-08-14 00:12:36+00:00,False,0,2020-08-14 01:33:35,2020
109,True,9,120,0,True,0,active,True,6,120,2020-08-14 01:17:21+00:00,False,0,2020-08-14 01:33:35,2020
110,True,12,121,0,True,0,active,True,5,121,2020-08-14 01:18:49+00:00,False,0,2020-08-14 01:33:35,2020
111,True,10,122,0,True,0,active,True,5,122,2020-08-14 01:13:25+00:00,False,0,2020-08-14 01:33:35,2020
112,True,6,124,1,True,0,active,True,8,124,2020-08-14 00:34:05+00:00,False,0,2020-08-14 01:33:35,2020
113,True,9,125,1,True,0,active,True,5,125,2020-08-14 01:30:43+00:00,False,0,2020-08-14 01:33:35,2020
114,True,6,126,1,True,0,active,True,8,126,2020-08-13 23:34:21+00:00,False,0,2020-08-14 01:33:35,2020
115,True,10,128,0,True,0,active,True,9,128,2020-08-14 01:28:07+00:00,False,0,2020-08-14 01:33:35,2020
116,True,19,129,0,True,0,active,True,0,129,2020-08-13 23:17:20+00:00,False,0,2020-08-14 01:33:35,2020
117,True,10,130,0,True,0,active,True,5,130,2020-08-14 01:32:45+00:00,False,0,2020-08-14 01:33:35,2020
118,True,13,131,1,True,0,active,True,4,131,2020-08-14 01:28:26+00:00,False,0,2020-08-14 01:33:35,2020
119,True,7,133,1,True,0,active,True,15,133,2020-08-14 01:01:29+00:00,False,0,2020-08-14 01:33:35,2020
120,True,1,135,0,True,0,active,True,16,135,2020-08-13 20:55:32+00:00,False,0,2020-08-14 01:33:35,2020
121,True,4,136,2,True,0,active,True,13,136,2020-08-14 00:49:43+00:00,False,0,2020-08-14 01:33:35,2020
122,True,6,137,0,True,0,active,True,9,137,2020-08-14 01:13:54+00:00,False,0,2020-08-14 01:33:35,2020
123,True,11,138,2,True,0,active,True,2,138,2020-08-14 01:30:33+00:00,False,0,2020-08-14 01:33:35,2020
124,True,9,139,1,True,0,active,True,9,139,2020-08-14 00:37:14+00:00,False,0,2020-08-14 01:33:35,2020
125,True,15,140,2,True,0,active,True,0,140,2020-08-14 01:00:27+00:00,False,0,2020-08-14 01:33:35,2020
126,True,13,141,0,True,0,active,True,2,141,2020-08-14 01:22:27+00:00,False,0,2020-08-14 01:33:35,2020
127,True,8,142,1,True,0,active,True,14,142,2020-08-14 01:07:36+00:00,False,0,2020-08-14 01:33:35,2020
128,True,16,143,1,True,0,active,True,6,143,2020-08-14 00:16:53+00:00,False,0,2020-08-14 01:33:35,2020
129,True,12,144,0,True,0,active,True,7,144,2020-08-14 01:09:44+00:00,False,0,2020-08-14 01:33:35,2020
130,True,19,145,0,True,0,active,True,0,145,2020-08-14 00:58:11+00:00,False,0,2020-08-14 01:33:35,2020
131,True,9,146,0,True,0,active,True,10,146,2020-08-14 01:12:01+00:00,False,0,2020-08-14 01:33:35,2020
132,True,7,149,1,True,0,active,True,10,149,2020-08-14 00:26:12+00:00,True,0,2020-08-14 01:33:35,2020
