,station_status,num_bikes_disabled,last_reported,legacy_id,is_installed,num_docks_available,eightd_has_available_keys,is_renting,station_id,num_ebikes_available,num_bikes_available,is_returning,num_docks_disabled,timestamp_of_data_read_request,year_station_last_reported
84,active,0,2020-08-22 02:28:28+00:00,95,True,4,False,True,95,0,11,True,0,2020-08-22 03:05:25,2020
85,active,1,2020-08-22 02:40:26+00:00,96,True,13,False,True,96,0,5,True,0,2020-08-22 03:05:25,2020
86,active,1,2020-08-22 02:00:46+00:00,97,True,15,False,True,97,0,3,True,0,2020-08-22 03:05:25,2020
87,active,1,2020-08-22 01:17:20+00:00,98,True,14,False,True,98,0,8,True,0,2020-08-22 03:05:25,2020
88,active,0,2020-08-22 01:35:34+00:00,99,True,0,False,True,99,0,15,True,0,2020-08-22 03:05:25,2020
89,active,1,2020-08-22 03:02:14+00:00,100,True,17,True,True,100,0,7,True,0,2020-08-22 03:05:25,2020
90,active,0,2020-08-22 01:12:29+00:00,101,True,11,False,True,101,0,4,True,0,2020-08-22 03:05:25,2020
91,active,0,2020-08-22 01:40:11+00:00,102,True,12,False,True,102,0,3,True,0,2020-08-22 03:05:25,2020
92,active,0,2020-08-22 01:51:24+00:00,103,True,3,False,True,103,0,12,True,0,2020-08-22 03:05:25,2020
93,active,0,2020-08-22 02:52:41+00:00,104,True,12,False,True,104,0,7,True,0,2020-08-22 03:05:25,2020
94,active,0,2020-08-22 01:54:01+00:00,105,True,12,False,True,105,0,7,True,0,2020-08-22 03:05:25,2020
95,active,0,2020-08-21 23:30:26+00:00,106,True,14,False,True,106,0,1,True,0,2020-08-22 03:05:25,2020
96,active,0,2020-08-22 02:18:49+00:00,107,True,19,False,True,107,0,0,True,0,2020-08-22 03:05:25,2020
97,active,0,2020-08-22 01:56:58+00:00,108,True,13,False,True,108,0,4,True,0,2020-08-22 03:05:25,2020
98,active,0,2020-08-22 00:11:18+00:00,109,True,33,False,True,109,0,2,True,0,2020-08-22 03:05:25,2020
99,active,0,2020-08-22 02:58:54+00:00,110,True,11,False,True,110,0,4,True,0,2020-08-22 03:05:25,2020
100,active,0,2020-08-21 23:08:55+00:00,111,True,8,False,True,111,0,7,True,0,2020-08-22 03:05:25,2020
101,active,0,2020-08-22 02:40:19+00:00,112,True,6,False,True,112,0,9,True,0,2020-08-22 03:05:25,2020
102,active,0,2020-08-22 02:32:01+00:00,113,True,9,False,True,113,0,6,True,0,2020-08-22 03:05:25,2020
103,active,0,2020-08-22 00:42:02+00:00,114,True,9,False,True,114,0,6,True,0,2020-08-22 03:05:25,2020
104,active,0,2020-08-22 02:18:50+00:00,115,True,14,False,True,115,0,5,True,0,2020-08-22 03:05:25,2020
105,active,0,2020-08-22 02:55:32+00:00,116,True,4,False,True,116,0,19,True,0,2020-08-22 03:05:25,2020
106,active,0,2020-08-22 02:02:44+00:00,117,True,6,False,True,117,0,13,True,0,2020-08-22 03:05:25,2020
107,active,1,2020-08-22 02:05:09+00:00,118,True,2,False,True,118,0,16,True,0,2020-08-22 03:05:25,2020
108,active,0,2020-08-22 02:49:53+00:00,119,True,3,False,True,119,0,12,True,0,2020-08-22 03:05:25,2020
109,active,1,2020-08-22 03:04:18+00:00,120,True,10,False,True,120,0,4,True,0,2020-08-22 03:05:25,2020
110,active,0,2020-08-22 02:57:47+00:00,121,True,7,False,True,121,0,10,True,0,2020-08-22 03:05:25,2020
111,active,0,2020-08-22 03:01:27+00:00,122,True,4,False,True,122,0,11,True,0,2020-08-22 03:05:25,2020
112,active,0,2020-08-22 02:12:23+00:00,124,True,14,False,True,124,0,1,True,0,2020-08-22 03:05:25,2020
