,is_installed,station_status,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_available,valet,legacy_id,is_returning,num_docks_available,station_id,num_docks_disabled,last_reported,num_bikes_disabled,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
117,True,active,True,False,0,12,,129,True,7,129,0,2020-08-02 22:48:59+00:00,0,,2020-08-03 02:17:40,2020
118,True,active,True,False,0,14,,130,True,1,130,0,2020-08-03 01:33:36+00:00,0,,2020-08-03 02:17:40,2020
119,True,active,True,False,0,11,,131,True,5,131,0,2020-08-03 02:17:33+00:00,2,,2020-08-03 02:17:40,2020
120,True,active,True,False,0,19,,133,True,4,133,0,2020-08-03 01:15:34+00:00,0,,2020-08-03 02:17:40,2020
121,True,active,True,False,0,7,,135,True,10,135,0,2020-08-02 23:56:17+00:00,0,,2020-08-03 02:17:40,2020
122,True,active,True,False,0,13,,136,True,6,136,0,2020-08-02 22:40:47+00:00,0,,2020-08-03 02:17:40,2020
123,True,active,True,False,0,8,,137,True,7,137,0,2020-08-03 01:35:02+00:00,0,,2020-08-03 02:17:40,2020
124,True,active,True,False,0,12,,138,True,3,138,0,2020-08-02 22:18:43+00:00,0,,2020-08-03 02:17:40,2020
125,True,active,True,False,0,11,,139,True,8,139,0,2020-08-03 02:02:11+00:00,0,,2020-08-03 02:17:40,2020
126,True,active,True,False,0,12,,140,True,5,140,0,2020-08-03 02:17:04+00:00,0,,2020-08-03 02:17:40,2020
127,True,active,True,False,0,5,,141,True,10,141,0,2020-08-03 02:06:52+00:00,0,,2020-08-03 02:17:40,2020
128,True,active,True,False,0,9,,142,True,14,142,0,2020-08-03 01:48:03+00:00,0,,2020-08-03 02:17:40,2020
129,True,active,True,False,0,15,,143,True,8,143,0,2020-08-03 01:34:24+00:00,0,,2020-08-03 02:17:40,2020
130,True,active,True,False,0,4,,144,True,15,144,0,2020-08-03 00:26:26+00:00,0,,2020-08-03 02:17:40,2020
131,True,active,True,False,0,17,,145,True,2,145,0,2020-08-03 00:09:38+00:00,0,,2020-08-03 02:17:40,2020
132,True,active,True,False,0,12,,146,True,6,146,0,2020-08-03 01:21:13+00:00,1,,2020-08-03 02:17:40,2020
133,True,active,True,True,0,12,,149,True,6,149,0,2020-08-03 02:14:31+00:00,0,,2020-08-03 02:17:40,2020
134,True,active,True,False,0,6,,150,True,13,150,0,2020-08-02 23:02:34+00:00,0,,2020-08-03 02:17:40,2020
135,True,active,True,False,0,8,,151,True,10,151,0,2020-08-03 00:51:32+00:00,1,,2020-08-03 02:17:40,2020
136,True,active,True,True,0,5,,152,True,10,152,0,2020-08-03 01:14:17+00:00,0,,2020-08-03 02:17:40,2020
137,True,active,True,False,0,6,,156,True,9,156,0,2020-08-02 22:21:17+00:00,0,,2020-08-03 02:17:40,2020
138,True,active,True,False,0,2,,157,True,12,157,0,2020-08-03 02:07:58+00:00,1,,2020-08-03 02:17:40,2020
139,True,active,True,False,0,3,,159,True,11,159,0,2020-08-03 02:09:59+00:00,1,,2020-08-03 02:17:40,2020
140,True,active,True,True,0,5,,160,True,9,160,0,2020-08-03 01:43:56+00:00,0,,2020-08-03 02:17:40,2020
141,True,active,True,True,0,10,,161,True,13,161,0,2020-08-02 23:49:24+00:00,0,,2020-08-03 02:17:40,2020
142,True,active,True,False,0,0,,162,True,15,162,0,2020-08-03 02:13:28+00:00,0,,2020-08-03 02:17:40,2020
143,True,active,True,True,0,3,,163,True,16,163,0,2020-08-03 02:01:09+00:00,0,,2020-08-03 02:17:40,2020
144,True,active,True,False,0,13,,167,True,2,167,0,2020-08-03 01:41:35+00:00,0,,2020-08-03 02:17:40,2020
145,True,active,True,False,0,9,,169,True,10,169,0,2020-08-02 22:51:06+00:00,0,,2020-08-03 02:17:40,2020
146,True,active,True,True,0,3,,170,True,11,170,0,2020-08-03 00:27:23+00:00,0,,2020-08-03 02:17:40,2020
147,True,active,True,True,0,5,,171,True,18,171,0,2020-08-02 20:57:53+00:00,0,,2020-08-03 02:17:40,2020
148,True,active,True,True,0,14,,173,True,0,173,0,2020-08-03 01:17:39+00:00,0,,2020-08-03 02:17:40,2020
149,True,active,True,False,0,10,,174,True,5,174,0,2020-08-03 01:39:07+00:00,0,,2020-08-03 02:17:40,2020
150,True,active,True,True,0,9,,175,True,8,175,0,2020-08-03 01:10:47+00:00,0,,2020-08-03 02:17:40,2020
151,True,active,True,False,0,15,,176,True,0,176,0,2020-08-02 20:47:41+00:00,0,,2020-08-03 02:17:40,2020
152,True,active,True,False,0,4,,177,True,15,177,0,2020-08-03 02:09:41+00:00,0,,2020-08-03 02:17:40,2020
153,True,active,True,False,0,16,,178,True,1,178,0,2020-08-03 02:03:58+00:00,2,,2020-08-03 02:17:40,2020
154,True,active,True,False,0,12,,179,True,13,179,0,2020-08-03 02:13:43+00:00,0,,2020-08-03 02:17:40,2020
155,True,active,True,False,0,8,,180,True,11,180,0,2020-08-03 00:53:27+00:00,0,,2020-08-03 02:17:40,2020
156,True,active,True,False,0,14,,181,True,4,181,0,2020-08-02 21:19:20+00:00,1,,2020-08-03 02:17:40,2020
