,is_installed,eightd_has_available_keys,is_renting,station_status,legacy_id,is_returning,num_bikes_disabled,num_docks_available,num_docks_disabled,num_bikes_available,station_id,num_ebikes_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,True,True,active,3,True,0,14,0,1,3,0,2020-07-31 08:17:44+00:00,,,2020-07-31 10:36:30,2020
1,True,False,True,active,4,True,0,3,0,16,4,0,2020-07-31 09:53:51+00:00,,,2020-07-31 10:36:30,2020
2,True,False,True,active,5,True,0,1,0,14,5,0,2020-07-31 10:33:56+00:00,,,2020-07-31 10:36:30,2020
3,True,False,True,active,6,True,0,9,0,6,6,0,2020-07-31 10:27:39+00:00,,,2020-07-31 10:36:30,2020
4,True,False,True,active,7,True,1,4,0,10,7,0,2020-07-31 09:28:01+00:00,,,2020-07-31 10:36:30,2020
5,True,False,True,active,8,True,2,1,0,16,8,0,2020-07-31 09:13:56+00:00,,,2020-07-31 10:36:30,2020
6,True,False,True,active,9,True,0,4,0,11,9,0,2020-07-31 08:01:54+00:00,,,2020-07-31 10:36:30,2020
7,True,False,True,active,10,True,0,3,0,8,10,0,2020-07-31 09:58:31+00:00,,,2020-07-31 10:36:30,2020
8,True,False,True,active,11,True,0,4,0,11,11,0,2020-07-31 10:32:51+00:00,,,2020-07-31 10:36:30,2020
9,True,True,True,active,12,True,1,17,0,0,12,0,2020-07-31 10:32:45+00:00,,,2020-07-31 10:36:30,2020
10,True,False,True,active,13,True,0,3,0,16,13,0,2020-07-31 10:26:52+00:00,,,2020-07-31 10:36:30,2020
11,True,False,True,active,14,True,0,16,0,9,14,0,2020-07-31 10:29:21+00:00,,,2020-07-31 10:36:30,2020
12,True,False,True,active,15,True,2,2,0,11,15,0,2020-07-31 08:56:17+00:00,,,2020-07-31 10:36:30,2020
13,True,True,True,active,16,True,1,13,0,5,16,0,2020-07-31 10:11:23+00:00,,,2020-07-31 10:36:30,2020
14,True,False,True,active,17,True,0,3,0,12,17,0,2020-07-31 09:31:45+00:00,,,2020-07-31 10:36:30,2020
15,True,False,True,active,19,True,0,5,0,10,19,0,2020-07-31 10:04:12+00:00,,,2020-07-31 10:36:30,2020
16,True,True,True,active,20,True,0,18,0,5,20,0,2020-07-31 09:42:31+00:00,,,2020-07-31 10:36:30,2020
17,True,True,True,active,21,True,0,13,0,5,21,0,2020-07-31 10:18:05+00:00,,,2020-07-31 10:36:30,2020
18,True,True,True,active,22,True,1,37,0,9,22,0,2020-07-31 09:57:45+00:00,,,2020-07-31 10:36:30,2020
