,is_installed,station_status,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_available,valet,legacy_id,is_returning,num_docks_available,station_id,num_docks_disabled,last_reported,num_bikes_disabled,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,active,True,False,0,9,"{'dock_blocked_count': 0, 'active': True, 'off_dock_count': 0, 'off_dock_capacity': 0, 'station_id': '74cb9bf6-bb53-4c70-88d2-67998b99628c', 'region': 'BOS', 'valet_revision': 3}",296,True,14,296,0,2020-08-02 17:56:31+00:00,0,[{'id': 'e4cf42bb-42a8-4a72-9a2f-5f76a12e7a7a'}],2020-08-02 17:57:40,2020
1,True,active,True,True,0,10,,3,True,3,3,0,2020-08-02 17:44:21+00:00,2,,2020-08-02 17:57:40,2020
2,True,active,True,False,0,3,,4,True,16,4,0,2020-08-02 17:42:28+00:00,0,,2020-08-02 17:57:40,2020
3,True,active,True,False,0,6,,5,True,9,5,0,2020-08-02 17:57:34+00:00,0,,2020-08-02 17:57:40,2020
4,True,active,True,False,0,5,,6,True,10,6,0,2020-08-02 17:55:41+00:00,0,,2020-08-02 17:57:40,2020
5,True,active,True,False,0,5,,7,True,10,7,0,2020-08-02 17:51:16+00:00,0,,2020-08-02 17:57:40,2020
6,True,active,True,False,0,7,,8,True,9,8,0,2020-08-02 17:46:43+00:00,3,,2020-08-02 17:57:40,2020
7,True,active,True,False,0,6,,9,True,9,9,0,2020-08-02 17:31:41+00:00,0,,2020-08-02 17:57:40,2020
8,True,active,True,False,0,3,,10,True,6,10,0,2020-08-02 17:57:35+00:00,2,,2020-08-02 17:57:40,2020
9,True,active,True,False,0,12,,11,True,1,11,0,2020-08-02 17:56:30+00:00,2,,2020-08-02 17:57:40,2020
10,True,active,True,True,0,3,,12,True,15,12,0,2020-08-02 17:46:56+00:00,0,,2020-08-02 17:57:40,2020
11,True,active,True,False,0,11,,13,True,8,13,0,2020-08-02 17:57:09+00:00,0,,2020-08-02 17:57:40,2020
12,True,active,True,False,0,14,,14,True,10,14,0,2020-08-02 17:57:25+00:00,1,,2020-08-02 17:57:40,2020
13,True,active,True,False,0,12,,15,True,2,15,0,2020-08-02 17:10:03+00:00,1,,2020-08-02 17:57:40,2020
14,True,active,True,True,0,11,,16,True,7,16,0,2020-08-02 17:50:51+00:00,1,,2020-08-02 17:57:40,2020
15,True,active,True,False,0,7,,17,True,7,17,0,2020-08-02 17:28:03+00:00,1,,2020-08-02 17:57:40,2020
16,True,active,True,False,0,4,,19,True,11,19,0,2020-08-02 17:51:03+00:00,0,,2020-08-02 17:57:40,2020
17,True,active,True,True,0,16,,20,True,7,20,0,2020-08-02 17:50:16+00:00,0,,2020-08-02 17:57:40,2020
18,True,active,True,True,0,1,,21,True,17,21,0,2020-08-02 17:53:43+00:00,0,,2020-08-02 17:57:40,2020
19,True,active,True,True,0,5,,22,True,42,22,0,2020-08-02 17:46:48+00:00,0,,2020-08-02 17:57:40,2020
20,True,active,True,True,0,0,,23,True,21,23,0,2020-08-02 17:18:16+00:00,0,,2020-08-02 17:57:40,2020
21,True,active,True,False,0,6,,24,True,10,24,0,2020-08-02 17:41:09+00:00,3,,2020-08-02 17:57:40,2020
22,True,active,True,False,0,8,,25,True,6,25,0,2020-08-02 17:53:33+00:00,1,,2020-08-02 17:57:40,2020
23,True,active,True,False,0,4,,26,True,11,26,0,2020-08-02 17:41:47+00:00,0,,2020-08-02 17:57:40,2020
24,True,active,True,False,0,0,,27,True,21,27,0,2020-08-02 17:45:13+00:00,2,,2020-08-02 17:57:40,2020
25,True,active,True,False,0,10,,29,True,5,29,0,2020-08-02 16:50:51+00:00,0,,2020-08-02 17:57:40,2020
26,True,active,True,False,0,3,,30,True,9,30,0,2020-08-02 17:56:23+00:00,3,,2020-08-02 17:57:40,2020
27,True,active,True,True,0,5,,31,True,14,31,0,2020-08-02 17:54:08+00:00,0,,2020-08-02 17:57:40,2020
28,True,active,True,False,0,10,,32,True,2,32,0,2020-08-02 17:56:51+00:00,3,,2020-08-02 17:57:40,2020
29,True,active,True,False,0,4,,33,True,22,33,0,2020-08-02 17:53:42+00:00,1,,2020-08-02 17:57:40,2020
30,True,active,True,False,0,6,,35,True,17,35,0,2020-08-02 17:20:09+00:00,0,,2020-08-02 17:57:40,2020
31,True,active,True,True,0,10,,36,True,22,36,0,2020-08-02 17:50:53+00:00,1,,2020-08-02 17:57:40,2020
32,True,active,True,True,0,8,,37,True,7,37,0,2020-08-02 17:12:28+00:00,0,,2020-08-02 17:57:40,2020
33,True,active,True,False,0,17,,39,True,6,39,0,2020-08-02 17:53:56+00:00,0,,2020-08-02 17:57:40,2020
34,True,active,True,False,0,9,,40,True,7,40,0,2020-08-02 17:35:17+00:00,3,,2020-08-02 17:57:40,2020
35,True,active,True,True,0,0,,41,True,22,41,0,2020-08-02 17:43:40+00:00,5,,2020-08-02 17:57:40,2020
36,True,active,True,False,0,3,,42,True,19,42,0,2020-08-02 17:56:26+00:00,1,,2020-08-02 17:57:40,2020
37,True,active,True,True,0,15,,43,True,0,43,0,2020-08-02 17:57:35+00:00,0,,2020-08-02 17:57:40,2020
