,is_returning,num_bikes_available,num_bikes_disabled,is_renting,is_installed,num_ebikes_available,legacy_id,last_reported,station_id,num_docks_available,num_docks_disabled,eightd_has_available_keys,station_status,timestamp_of_data_read_request,year_station_last_reported
0,True,1,0,True,True,0,3,2020-08-05 04:43:24+00:00,3,14,0,True,active,2020-08-05 04:56:45,2020
1,True,10,1,True,True,0,4,2020-08-05 01:40:50+00:00,4,8,0,False,active,2020-08-05 04:56:45,2020
2,True,10,0,True,True,0,5,2020-08-05 04:02:44+00:00,5,5,0,False,active,2020-08-05 04:56:45,2020
3,True,1,0,True,True,0,6,2020-08-05 03:42:35+00:00,6,14,0,False,active,2020-08-05 04:56:45,2020
4,True,7,0,True,True,0,7,2020-08-05 04:30:00+00:00,7,8,0,False,active,2020-08-05 04:56:45,2020
5,True,11,0,True,True,0,8,2020-08-05 04:51:53+00:00,8,8,0,False,active,2020-08-05 04:56:45,2020
6,True,8,0,True,True,0,9,2020-08-05 03:34:12+00:00,9,7,0,False,active,2020-08-05 04:56:45,2020
7,True,3,0,True,True,0,10,2020-08-05 04:45:57+00:00,10,8,0,False,active,2020-08-05 04:56:45,2020
8,True,0,0,True,True,0,11,2020-08-05 03:19:03+00:00,11,15,0,False,active,2020-08-05 04:56:45,2020
9,True,7,0,True,True,0,12,2020-08-05 04:54:59+00:00,12,11,0,True,active,2020-08-05 04:56:45,2020
10,True,0,0,True,True,0,13,2020-08-05 04:28:02+00:00,13,19,0,False,active,2020-08-05 04:56:45,2020
11,True,0,0,True,True,0,14,2020-08-05 02:47:45+00:00,14,25,0,False,active,2020-08-05 04:56:45,2020
12,True,7,0,True,True,0,15,2020-08-05 01:16:22+00:00,15,8,0,False,active,2020-08-05 04:56:45,2020
13,True,10,0,True,True,0,16,2020-08-05 03:08:16+00:00,16,9,0,True,active,2020-08-05 04:56:45,2020
14,True,5,0,True,True,0,17,2020-08-05 04:47:33+00:00,17,10,0,False,active,2020-08-05 04:56:45,2020
15,True,13,0,True,True,0,19,2020-08-05 00:05:32+00:00,19,2,0,False,active,2020-08-05 04:56:45,2020
16,True,12,0,True,True,0,20,2020-08-05 03:38:46+00:00,20,11,0,True,active,2020-08-05 04:56:45,2020
17,True,4,1,True,True,0,21,2020-08-05 01:19:10+00:00,21,13,0,True,active,2020-08-05 04:56:45,2020
18,True,5,1,True,True,0,22,2020-08-05 03:39:01+00:00,22,41,0,True,active,2020-08-05 04:56:45,2020
19,True,3,0,True,True,0,23,2020-08-05 03:33:33+00:00,23,18,0,True,active,2020-08-05 04:56:45,2020
20,True,2,1,True,True,0,24,2020-08-05 03:50:24+00:00,24,16,0,False,active,2020-08-05 04:56:45,2020
21,True,11,0,True,True,0,25,2020-08-05 02:18:09+00:00,25,4,0,False,active,2020-08-05 04:56:45,2020
22,True,6,2,True,True,0,26,2020-08-05 01:32:09+00:00,26,7,0,False,active,2020-08-05 04:56:45,2020
23,True,19,0,True,True,0,27,2020-08-05 04:25:53+00:00,27,4,0,False,active,2020-08-05 04:56:45,2020
24,True,10,0,True,True,0,29,2020-08-04 20:06:14+00:00,29,5,0,False,active,2020-08-05 04:56:45,2020
25,True,10,0,True,True,0,30,2020-08-05 04:55:30+00:00,30,5,0,False,active,2020-08-05 04:56:45,2020
26,True,3,0,True,True,0,31,2020-08-05 01:09:42+00:00,31,16,0,True,active,2020-08-05 04:56:45,2020
27,True,13,0,True,True,0,32,2020-08-05 04:34:16+00:00,32,2,0,False,active,2020-08-05 04:56:45,2020
28,True,8,0,True,True,0,33,2020-08-05 04:29:11+00:00,33,19,0,False,active,2020-08-05 04:56:45,2020
29,True,2,0,True,True,0,35,2020-08-05 04:25:29+00:00,35,21,0,False,active,2020-08-05 04:56:45,2020
30,True,15,0,True,True,0,36,2020-08-05 04:15:09+00:00,36,18,0,True,active,2020-08-05 04:56:45,2020
31,True,10,0,True,True,0,37,2020-08-05 03:59:38+00:00,37,5,0,True,active,2020-08-05 04:56:45,2020
32,True,2,0,True,True,0,39,2020-08-05 04:06:40+00:00,39,21,0,False,active,2020-08-05 04:56:45,2020
33,True,14,0,True,True,0,40,2020-08-05 04:05:06+00:00,40,5,0,False,active,2020-08-05 04:56:45,2020
34,True,13,0,True,True,0,41,2020-08-05 04:30:51+00:00,41,13,1,True,active,2020-08-05 04:56:45,2020
35,True,1,0,True,True,0,42,2020-08-05 01:38:24+00:00,42,22,0,False,active,2020-08-05 04:56:45,2020
36,True,8,0,True,True,0,43,2020-08-05 00:30:56+00:00,43,7,0,True,active,2020-08-05 04:56:45,2020
