,is_renting,num_bikes_disabled,station_id,last_reported,num_ebikes_available,num_docks_disabled,is_returning,legacy_id,num_docks_available,station_status,eightd_has_available_keys,num_bikes_available,is_installed,timestamp_of_data_read_request,year_station_last_reported
0,True,1,3,2020-08-12 23:14:11+00:00,0,0,True,3,14,active,False,0,True,2020-08-13 00:11:40,2020
1,True,0,4,2020-08-13 00:06:03+00:00,0,0,True,4,5,active,False,14,True,2020-08-13 00:11:40,2020
2,True,0,5,2020-08-13 00:08:51+00:00,0,0,True,5,14,active,False,1,True,2020-08-13 00:11:40,2020
3,True,1,6,2020-08-13 00:10:00+00:00,0,0,True,6,12,active,False,2,True,2020-08-13 00:11:40,2020
4,True,0,7,2020-08-12 23:47:50+00:00,0,0,True,7,9,active,False,6,True,2020-08-13 00:11:40,2020
5,True,0,8,2020-08-13 00:09:29+00:00,0,0,True,8,8,active,False,11,True,2020-08-13 00:11:40,2020
6,True,1,9,2020-08-12 23:54:30+00:00,0,0,True,9,4,active,False,10,True,2020-08-13 00:11:40,2020
7,True,0,10,2020-08-12 23:51:02+00:00,0,0,True,10,5,active,False,6,True,2020-08-13 00:11:40,2020
8,True,1,11,2020-08-13 00:02:11+00:00,0,0,True,11,14,active,False,0,True,2020-08-13 00:11:40,2020
9,True,0,12,2020-08-13 00:09:05+00:00,0,0,True,12,2,active,True,16,True,2020-08-13 00:11:40,2020
10,True,1,13,2020-08-13 00:06:19+00:00,0,0,True,13,14,active,False,4,True,2020-08-13 00:11:40,2020
11,True,0,14,2020-08-12 22:37:17+00:00,0,0,True,14,25,active,False,0,True,2020-08-13 00:11:40,2020
12,True,0,15,2020-08-12 23:59:31+00:00,0,0,True,15,4,active,False,11,True,2020-08-13 00:11:40,2020
13,True,0,16,2020-08-13 00:02:46+00:00,0,0,True,16,5,active,True,14,True,2020-08-13 00:11:40,2020
14,True,1,17,2020-08-13 00:08:30+00:00,0,0,True,17,9,active,False,5,True,2020-08-13 00:11:40,2020
15,True,0,19,2020-08-13 00:11:17+00:00,0,0,True,19,9,active,False,6,True,2020-08-13 00:11:40,2020
16,True,0,20,2020-08-13 00:01:45+00:00,0,0,True,20,6,active,True,17,True,2020-08-13 00:11:40,2020
17,True,0,21,2020-08-13 00:03:04+00:00,0,0,True,21,6,active,True,12,True,2020-08-13 00:11:40,2020
18,True,0,22,2020-08-13 00:10:34+00:00,0,0,True,22,43,active,True,4,True,2020-08-13 00:11:40,2020
19,True,0,23,2020-08-13 00:02:55+00:00,0,0,True,23,16,active,False,5,True,2020-08-13 00:11:40,2020
20,True,2,24,2020-08-12 23:44:07+00:00,0,0,True,24,4,active,False,13,True,2020-08-13 00:11:40,2020
21,True,1,25,2020-08-13 00:10:28+00:00,0,0,True,25,1,active,False,13,True,2020-08-13 00:11:40,2020
22,True,0,26,2020-08-13 00:02:03+00:00,0,0,True,26,4,active,False,11,True,2020-08-13 00:11:40,2020
23,True,2,27,2020-08-13 00:02:06+00:00,0,0,True,27,17,active,False,4,True,2020-08-13 00:11:40,2020
24,True,0,29,2020-08-12 23:26:05+00:00,0,0,True,29,8,active,False,7,True,2020-08-13 00:11:40,2020
25,True,0,30,2020-08-13 00:11:08+00:00,0,0,True,30,13,active,False,2,True,2020-08-13 00:11:40,2020
26,True,0,31,2020-08-12 21:43:33+00:00,0,0,True,31,15,active,True,4,True,2020-08-13 00:11:40,2020
27,True,0,32,2020-08-12 23:53:03+00:00,0,0,True,32,15,active,False,0,True,2020-08-13 00:11:40,2020
28,True,2,33,2020-08-13 00:00:26+00:00,0,0,True,33,16,active,False,9,True,2020-08-13 00:11:40,2020
29,True,0,35,2020-08-12 23:44:46+00:00,0,0,True,35,15,active,False,8,True,2020-08-13 00:11:40,2020
30,True,1,36,2020-08-12 23:46:48+00:00,0,0,True,36,27,active,True,5,True,2020-08-13 00:11:40,2020
31,True,0,37,2020-08-12 22:02:58+00:00,0,0,True,37,14,active,True,1,True,2020-08-13 00:11:40,2020
32,True,2,39,2020-08-13 00:10:08+00:00,0,0,True,39,20,active,False,1,True,2020-08-13 00:11:40,2020
