,station_status,eightd_has_available_keys,is_returning,num_ebikes_available,last_reported,is_installed,num_docks_available,legacy_id,num_docks_disabled,is_renting,num_bikes_available,num_bikes_disabled,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
67,active,False,True,0,2020-08-21 15:28:57+00:00,True,14,76,0,True,3,0,76,,,2020-08-21 15:41:15,2020
68,active,False,True,0,2020-08-21 15:10:36+00:00,True,13,77,0,True,2,0,77,,,2020-08-21 15:41:15,2020
69,active,False,True,0,2020-08-21 15:41:02+00:00,True,4,78,0,True,15,0,78,,,2020-08-21 15:41:15,2020
70,active,False,True,0,2020-08-21 15:38:17+00:00,True,13,79,0,True,4,2,79,,,2020-08-21 15:41:15,2020
71,active,False,True,0,2020-08-21 15:29:07+00:00,True,0,80,0,True,35,0,80,,,2020-08-21 15:41:15,2020
72,active,False,True,0,2020-08-21 15:37:06+00:00,True,10,81,0,True,9,0,81,,,2020-08-21 15:41:15,2020
73,active,False,True,0,2020-08-21 14:55:17+00:00,True,13,82,0,True,1,1,82,,,2020-08-21 15:41:15,2020
74,active,False,True,0,2020-08-21 15:33:48+00:00,True,4,84,0,True,11,0,84,,,2020-08-21 15:41:15,2020
75,active,False,True,0,2020-08-21 15:27:50+00:00,True,0,85,0,True,18,1,85,,,2020-08-21 15:41:15,2020
76,active,False,True,0,2020-08-21 15:25:00+00:00,True,17,86,0,True,2,0,86,,,2020-08-21 15:41:15,2020
77,active,False,True,0,2020-08-21 15:30:01+00:00,True,11,87,0,True,4,0,87,,,2020-08-21 15:41:15,2020
78,active,False,True,0,2020-08-21 15:21:37+00:00,True,8,89,0,True,11,0,89,,,2020-08-21 15:41:15,2020
79,active,False,True,0,2020-08-21 14:31:52+00:00,True,12,90,0,True,7,0,90,,,2020-08-21 15:41:15,2020
80,active,False,True,0,2020-08-21 15:39:38+00:00,True,2,91,0,True,16,1,91,,,2020-08-21 15:41:15,2020
81,active,False,True,0,2020-08-21 15:07:20+00:00,True,9,92,0,True,9,1,92,,,2020-08-21 15:41:15,2020
82,active,False,True,0,2020-08-21 15:18:09+00:00,True,9,93,0,True,6,0,93,,,2020-08-21 15:41:15,2020
83,active,False,True,0,2020-08-21 15:32:15+00:00,True,4,94,0,True,6,1,94,,,2020-08-21 15:41:15,2020
84,active,False,True,0,2020-08-21 15:33:54+00:00,True,10,95,0,True,4,1,95,,,2020-08-21 15:41:15,2020
85,active,False,True,0,2020-08-21 14:56:50+00:00,True,12,96,0,True,7,0,96,,,2020-08-21 15:41:15,2020
86,active,False,True,0,2020-08-21 15:19:43+00:00,True,7,97,0,True,12,0,97,,,2020-08-21 15:41:15,2020
87,active,False,True,0,2020-08-21 15:21:18+00:00,True,20,98,0,True,2,1,98,,,2020-08-21 15:41:15,2020
88,active,False,True,0,2020-08-21 14:29:04+00:00,True,2,99,0,True,13,0,99,,,2020-08-21 15:41:15,2020
89,active,True,True,0,2020-08-21 15:27:21+00:00,True,12,100,0,True,12,1,100,,,2020-08-21 15:41:15,2020
90,active,False,True,0,2020-08-21 15:24:57+00:00,True,11,101,0,True,4,0,101,,,2020-08-21 15:41:15,2020
91,active,False,True,0,2020-08-21 15:14:11+00:00,True,15,102,0,True,0,0,102,,,2020-08-21 15:41:15,2020
92,active,False,True,0,2020-08-21 15:35:01+00:00,True,7,103,0,True,8,0,103,,,2020-08-21 15:41:15,2020
93,active,False,True,0,2020-08-21 14:39:23+00:00,True,7,104,0,True,12,0,104,,,2020-08-21 15:41:15,2020
94,active,False,True,0,2020-08-21 15:29:17+00:00,True,12,105,0,True,6,1,105,,,2020-08-21 15:41:15,2020
95,active,False,True,0,2020-08-21 14:28:10+00:00,True,9,106,0,True,6,0,106,,,2020-08-21 15:41:15,2020
96,active,False,True,0,2020-08-21 15:17:44+00:00,True,0,107,0,True,19,0,107,,,2020-08-21 15:41:15,2020
97,active,False,True,0,2020-08-21 15:14:47+00:00,True,7,108,0,True,10,0,108,,,2020-08-21 15:41:15,2020
98,active,False,True,0,2020-08-21 08:55:46+00:00,True,33,109,0,True,2,0,109,,,2020-08-21 15:41:15,2020
99,active,False,True,0,2020-08-21 14:35:02+00:00,True,13,110,0,True,2,0,110,,,2020-08-21 15:41:15,2020
100,active,False,True,0,2020-08-21 14:01:54+00:00,True,8,111,0,True,7,0,111,,,2020-08-21 15:41:15,2020
101,active,False,True,0,2020-08-21 13:56:40+00:00,True,8,112,0,True,7,0,112,,,2020-08-21 15:41:15,2020
102,active,False,True,0,2020-08-21 15:39:15+00:00,True,9,113,0,True,4,2,113,,,2020-08-21 15:41:15,2020
103,active,False,True,0,2020-08-21 14:04:57+00:00,True,13,114,0,True,2,0,114,,,2020-08-21 15:41:15,2020
104,active,False,True,0,2020-08-21 14:46:11+00:00,True,12,115,0,True,7,0,115,,,2020-08-21 15:41:15,2020
105,active,False,True,0,2020-08-21 15:31:29+00:00,True,13,116,0,True,10,0,116,,,2020-08-21 15:41:15,2020
106,active,False,True,0,2020-08-21 14:41:22+00:00,True,9,117,0,True,10,0,117,,,2020-08-21 15:41:15,2020
107,active,False,True,0,2020-08-21 15:17:30+00:00,True,0,118,0,True,17,2,118,,,2020-08-21 15:41:15,2020
108,active,False,True,0,2020-08-21 15:12:48+00:00,True,12,119,0,True,3,0,119,,,2020-08-21 15:41:15,2020
