,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,eightd_has_available_keys,legacy_id,is_returning,station_status,last_reported,num_bikes_disabled,station_id,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
56,15,0,7,0,True,False,65,True,active,2020-07-30 22:54:36+00:00,1,65,True,,,2020-07-30 23:33:20,2020
57,5,0,10,0,True,False,66,True,active,2020-07-30 23:28:07+00:00,0,66,True,,,2020-07-30 23:33:20,2020
58,19,0,7,0,True,True,67,True,active,2020-07-30 23:26:50+00:00,1,67,True,,,2020-07-30 23:33:20,2020
59,6,0,13,0,True,True,68,True,active,2020-07-30 23:32:44+00:00,0,68,True,,,2020-07-30 23:33:20,2020
60,10,0,7,0,True,True,69,True,active,2020-07-30 23:32:12+00:00,2,69,True,,,2020-07-30 23:33:20,2020
61,16,0,7,0,True,False,70,True,active,2020-07-30 23:31:53+00:00,0,70,True,,,2020-07-30 23:33:20,2020
62,23,0,0,0,True,False,71,True,active,2020-07-30 22:51:18+00:00,0,71,True,,,2020-07-30 23:33:20,2020
63,7,0,16,0,True,False,72,True,active,2020-07-30 23:33:01+00:00,0,72,True,,,2020-07-30 23:33:20,2020
64,8,0,7,0,True,False,73,True,active,2020-07-30 23:28:31+00:00,0,73,True,,,2020-07-30 23:33:20,2020
65,1,0,18,0,True,True,74,True,active,2020-07-30 23:27:33+00:00,0,74,True,,,2020-07-30 23:33:20,2020
66,11,0,4,0,True,False,75,True,active,2020-07-30 23:16:54+00:00,0,75,True,,,2020-07-30 23:33:20,2020
67,12,0,5,0,True,False,76,True,active,2020-07-30 23:33:11+00:00,0,76,True,,,2020-07-30 23:33:20,2020
68,5,0,10,0,True,False,77,True,active,2020-07-30 23:19:37+00:00,0,77,True,,,2020-07-30 23:33:20,2020
69,17,0,0,0,True,False,78,True,active,2020-07-30 22:30:39+00:00,2,78,True,,,2020-07-30 23:33:20,2020
70,1,0,18,0,True,False,79,True,active,2020-07-30 23:17:22+00:00,0,79,True,,,2020-07-30 23:33:20,2020
71,3,0,32,0,True,False,80,True,active,2020-07-30 23:23:03+00:00,0,80,True,,,2020-07-30 23:33:20,2020
72,15,0,4,0,True,False,81,True,active,2020-07-30 23:23:49+00:00,0,81,True,,,2020-07-30 23:33:20,2020
73,3,0,12,0,True,False,82,True,active,2020-07-30 23:30:44+00:00,0,82,True,,,2020-07-30 23:33:20,2020
74,8,0,7,0,True,False,84,True,active,2020-07-30 23:10:02+00:00,0,84,True,,,2020-07-30 23:33:20,2020
75,3,0,16,0,True,False,85,True,active,2020-07-30 23:32:11+00:00,0,85,True,,,2020-07-30 23:33:20,2020
76,8,0,11,0,True,False,86,True,active,2020-07-30 23:27:58+00:00,0,86,True,,,2020-07-30 23:33:20,2020
77,10,0,5,0,True,False,87,True,active,2020-07-30 23:29:22+00:00,0,87,True,,,2020-07-30 23:33:20,2020
78,14,0,5,0,True,False,89,True,active,2020-07-30 23:14:29+00:00,0,89,True,,,2020-07-30 23:33:20,2020
79,9,0,9,0,True,False,90,True,active,2020-07-30 23:31:53+00:00,1,90,True,,,2020-07-30 23:33:20,2020
80,3,0,16,0,True,False,91,True,active,2020-07-30 23:31:11+00:00,0,91,True,,,2020-07-30 23:33:20,2020
81,9,0,9,0,True,False,92,True,active,2020-07-30 22:30:26+00:00,1,92,True,,,2020-07-30 23:33:20,2020
