,station_status,num_bikes_disabled,eightd_has_available_keys,num_ebikes_available,is_installed,last_reported,legacy_id,num_docks_available,is_returning,is_renting,num_docks_disabled,num_bikes_available,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
124,active,0,False,0,True,2020-08-18 19:11:40+00:00,139,15,True,True,0,4,139,,,2020-08-18 19:14:30,2020
125,active,0,False,0,True,2020-08-18 18:41:19+00:00,140,11,True,True,0,6,140,,,2020-08-18 19:14:30,2020
126,active,0,False,0,True,2020-08-18 18:50:33+00:00,141,11,True,True,0,4,141,,,2020-08-18 19:14:30,2020
127,active,0,False,0,True,2020-08-18 18:47:29+00:00,142,5,True,True,0,18,142,,,2020-08-18 19:14:30,2020
128,active,0,False,0,True,2020-08-18 18:53:48+00:00,143,17,True,True,0,6,143,,,2020-08-18 19:14:30,2020
129,active,0,False,0,True,2020-08-18 17:23:53+00:00,144,3,True,True,0,16,144,,,2020-08-18 19:14:30,2020
130,active,1,False,0,True,2020-08-18 18:51:26+00:00,145,2,True,True,0,16,145,,,2020-08-18 19:14:30,2020
131,active,2,False,0,True,2020-08-18 19:08:54+00:00,146,8,True,True,0,9,146,,,2020-08-18 19:14:30,2020
132,active,1,True,0,True,2020-08-18 19:04:24+00:00,149,13,True,True,0,4,149,,,2020-08-18 19:14:30,2020
133,active,1,False,0,True,2020-08-18 19:14:09+00:00,150,6,True,True,0,12,150,,,2020-08-18 19:14:30,2020
134,active,0,False,0,True,2020-08-18 18:59:15+00:00,151,7,True,True,0,12,151,,,2020-08-18 19:14:30,2020
135,active,0,True,0,True,2020-08-18 18:41:52+00:00,152,5,True,True,0,10,152,,,2020-08-18 19:14:30,2020
136,active,0,False,0,True,2020-08-18 19:05:31+00:00,156,15,True,True,0,0,156,,,2020-08-18 19:14:30,2020
137,active,3,False,0,True,2020-08-18 19:10:56+00:00,157,6,True,True,0,6,157,,,2020-08-18 19:14:30,2020
138,active,0,False,0,True,2020-08-18 18:49:21+00:00,159,12,True,True,0,3,159,,,2020-08-18 19:14:30,2020
139,active,0,True,0,True,2020-08-18 19:02:24+00:00,160,9,True,True,0,5,160,,,2020-08-18 19:14:30,2020
140,active,1,True,0,True,2020-08-18 18:53:37+00:00,161,4,True,True,0,18,161,,,2020-08-18 19:14:30,2020
141,active,0,False,0,True,2020-08-18 18:28:26+00:00,162,9,True,True,0,6,162,,,2020-08-18 19:14:30,2020
142,active,0,True,0,True,2020-08-18 19:04:07+00:00,163,13,True,True,0,6,163,,,2020-08-18 19:14:30,2020
143,active,0,False,0,True,2020-08-18 18:28:45+00:00,167,11,True,True,0,4,167,,,2020-08-18 19:14:30,2020
144,active,0,False,0,True,2020-08-18 17:32:04+00:00,169,15,True,True,0,4,169,,,2020-08-18 19:14:30,2020
145,active,0,True,0,True,2020-08-18 15:32:54+00:00,170,10,True,True,0,4,170,,,2020-08-18 19:14:30,2020
146,active,0,True,0,True,2020-08-18 19:07:53+00:00,171,22,True,True,0,1,171,,,2020-08-18 19:14:30,2020
147,active,0,True,0,True,2020-08-18 17:51:29+00:00,173,5,True,True,0,9,173,,,2020-08-18 19:14:30,2020
148,active,0,False,0,True,2020-08-18 16:40:49+00:00,174,12,True,True,0,3,174,,,2020-08-18 19:14:30,2020
149,active,0,True,0,True,2020-08-18 18:57:42+00:00,175,9,True,True,0,8,175,,,2020-08-18 19:14:30,2020
150,active,0,False,0,True,2020-08-18 19:14:22+00:00,176,7,True,True,0,8,176,,,2020-08-18 19:14:30,2020
151,active,0,False,0,True,2020-08-18 19:07:44+00:00,177,14,True,True,0,5,177,,,2020-08-18 19:14:30,2020
152,active,0,False,0,True,2020-08-18 19:01:27+00:00,178,17,True,True,0,2,178,,,2020-08-18 19:14:30,2020
153,active,0,False,0,True,2020-08-18 19:10:32+00:00,179,10,True,True,0,15,179,,,2020-08-18 19:14:30,2020
154,active,0,False,0,True,2020-08-18 19:10:30+00:00,180,4,True,True,0,15,180,,,2020-08-18 19:14:30,2020
155,active,0,False,0,True,2020-08-18 18:51:26+00:00,181,11,True,True,0,8,181,,,2020-08-18 19:14:30,2020
156,active,0,True,0,True,2020-08-18 19:02:05+00:00,182,13,True,True,0,6,182,,,2020-08-18 19:14:30,2020
157,active,0,False,0,True,2020-08-18 18:56:14+00:00,183,6,True,True,0,13,183,,,2020-08-18 19:14:30,2020
158,active,0,False,0,True,2020-08-18 19:12:23+00:00,184,10,True,True,0,9,184,,,2020-08-18 19:14:30,2020
159,active,1,False,0,True,2020-08-18 18:33:32+00:00,185,13,True,True,0,1,185,,,2020-08-18 19:14:30,2020
160,active,0,True,0,True,2020-08-18 19:12:58+00:00,186,13,True,True,0,2,186,,,2020-08-18 19:14:30,2020
161,active,0,False,0,True,2020-08-18 17:37:44+00:00,187,4,True,True,0,11,187,,,2020-08-18 19:14:30,2020
162,active,0,False,0,True,2020-08-18 18:50:24+00:00,188,6,True,True,0,9,188,,,2020-08-18 19:14:30,2020
163,active,1,True,0,True,2020-08-18 19:13:01+00:00,189,1,True,True,0,21,189,,,2020-08-18 19:14:30,2020
164,active,1,False,0,True,2020-08-18 19:10:49+00:00,190,19,True,True,0,17,190,,,2020-08-18 19:14:30,2020
165,active,0,False,0,True,2020-08-18 13:28:06+00:00,191,13,True,True,0,2,191,,,2020-08-18 19:14:30,2020
166,active,0,False,0,True,2020-08-18 19:06:00+00:00,192,5,True,True,0,14,192,,,2020-08-18 19:14:30,2020
167,active,0,True,0,True,2020-08-18 19:02:29+00:00,193,10,True,True,0,5,193,,,2020-08-18 19:14:30,2020
168,active,3,False,0,True,2020-08-18 18:08:26+00:00,194,15,True,True,0,1,194,,,2020-08-18 19:14:30,2020
169,active,1,False,0,True,2020-08-18 18:59:52+00:00,195,19,True,True,0,3,195,,,2020-08-18 19:14:30,2020
170,active,0,False,0,True,2020-08-18 17:21:47+00:00,196,9,True,True,0,1,196,,,2020-08-18 19:14:30,2020
171,active,0,False,0,True,2020-08-18 18:41:50+00:00,197,7,True,True,0,8,197,,,2020-08-18 19:14:30,2020
172,active,0,False,0,True,2020-08-18 15:32:08+00:00,199,8,True,True,0,7,199,,,2020-08-18 19:14:30,2020
173,active,0,False,0,True,2020-08-18 18:44:33+00:00,200,3,True,True,0,16,200,,,2020-08-18 19:14:30,2020
174,active,0,False,0,True,2020-08-18 17:55:13+00:00,201,10,True,True,0,5,201,,,2020-08-18 19:14:30,2020
175,active,1,False,0,True,2020-08-18 19:10:22+00:00,202,11,True,True,0,3,202,,,2020-08-18 19:14:30,2020
176,active,0,False,0,True,2020-08-18 08:39:35+00:00,203,7,True,True,0,8,203,,,2020-08-18 19:14:30,2020
